,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,24,08o8uu,False,False,False,0,Naive,Naive,Naive,374,Unknown,Unknown,2
1,39,08o8uu,False,False,False,0,Naive,Naive,Naive,432,Unknown,Unknown,1
2,65,08o8uu,False,False,False,0,Naive,Naive,Naive,371,Unknown,Unknown,1
3,63,08o8uu,False,False,False,0,Naive,Naive,Naive,110,Unknown,Unknown,1
4,94,08o8uu,False,False,False,0,Naive,Naive,Naive,464,Unknown,Unknown,1
5,50,08o8uu,False,False,False,0,Naive,Naive,Naive,473,Unknown,Unknown,1
6,92,08o8uu,False,False,False,0,Naive,Naive,Naive,125,Unknown,Unknown,1
7,8,08o8uu,False,False,False,0,Naive,Naive,Naive,214,Unknown,Unknown,1
8,70,08o8uu,False,False,False,0,Naive,Naive,Naive,494,Unknown,Unknown,2
9,68,08o8uu,False,False,False,0,Naive,Naive,Naive,445,Unknown,Unknown,1
10,9,08o8uu,False,False,False,0,Naive,Naive,Naive,390,Unknown,Unknown,2
11,12,08o8uu,False,False,False,0,Naive,Naive,Naive,487,Unknown,Unknown,1
12,40,08o8uu,False,False,False,0,Naive,Naive,Naive,144,Unknown,Unknown,1
13,98,08o8uu,False,False,False,0,Naive,Naive,Naive,405,Unknown,Unknown,1
14,81,08o8uu,False,False,False,0,Naive,Naive,Naive,380,Unknown,Unknown,1
15,75,08o8uu,False,False,False,0,Naive,Naive,Naive,443,Unknown,Unknown,2
16,4,08o8uu,False,False,False,0,Naive,Naive,Naive,154,Unknown,Unknown,2
17,62,08o8uu,False,False,False,0,Naive,Naive,Naive,154,Unknown,Unknown,2
18,46,08o8uu,False,False,False,0,Naive,Naive,Naive,339,Unknown,Unknown,2
19,26,08o8uu,False,False,False,0,Naive,Naive,Naive,270,Unknown,Unknown,1
20,6,08o8uu,False,False,False,0,Naive,Naive,Naive,245,Unknown,Unknown,1
21,34,08o8uu,False,False,False,0,Naive,Naive,Naive,506,Unknown,Unknown,1
22,28,08o8uu,False,False,False,0,Naive,Naive,Naive,460,Unknown,Unknown,1
23,66,08o8uu,False,False,False,0,Naive,Naive,Naive,304,Unknown,Unknown,1
24,23,08o8uu,False,False,False,0,Naive,Naive,Naive,496,Unknown,Unknown,1
25,43,08o8uu,False,False,False,0,Naive,Naive,Naive,502,Unknown,Unknown,1
26,36,08o8uu,False,False,False,0,Naive,Naive,Naive,443,Unknown,Unknown,1
27,3,08o8uu,False,False,False,0,Naive,Naive,Naive,395,Unknown,Unknown,2
28,73,08o8uu,False,False,False,0,Naive,Naive,Naive,422,Unknown,Unknown,2
29,35,08o8uu,False,False,False,0,Naive,Naive,Naive,479,Unknown,Unknown,1
30,21,08o8uu,False,False,False,0,Naive,Naive,Naive,400,Unknown,Unknown,2
31,96,08o8uu,False,False,False,0,Naive,Naive,Naive,233,Unknown,Unknown,1
32,56,08o8uu,False,False,False,0,Naive,Naive,Naive,233,Unknown,Unknown,1
33,84,08o8uu,False,False,False,0,Naive,Naive,Naive,480,Unknown,Unknown,1
34,29,08o8uu,False,False,False,0,Naive,Naive,Naive,318,Unknown,Unknown,1
35,90,08o8uu,False,False,False,0,Naive,Naive,Naive,233,Unknown,Unknown,1
36,74,08o8uu,False,False,False,0,Naive,Naive,Naive,201,Unknown,Unknown,2
37,42,08o8uu,False,False,False,0,Naive,Naive,Naive,217,Unknown,Unknown,1
38,103,08o8uu,False,False,False,0,Naive,Naive,Naive,22,67,False,1
39,58,08o8uu,False,False,False,0,Naive,Naive,Naive,83,Unknown,Unknown,2
40,25,08o8uu,False,False,False,0,Naive,Naive,Naive,79,Unknown,Unknown,1
41,14,08o8uu,False,False,False,1,Naive,Naive,Naive,471,Unknown,Unknown,2
42,109,08o8uu,False,False,False,0,Naive,Naive,Naive,22,89,False,2
43,127,08o8uu,False,False,False,0,Naive,Naive,Naive,12,117,False,2
44,10,08o8uu,False,False,False,0,Naive,Naive,Naive,311,Unknown,Unknown,2
45,16,08o8uu,False,False,False,0,Naive,Naive,Naive,494,Unknown,Unknown,1
46,88,08o8uu,False,False,False,0,Naive,Naive,Naive,292,Unknown,Unknown,2
47,111,08o8uu,False,False,False,0,Naive,Naive,Naive,27,38,False,1
48,130,08o8uu,False,False,False,0,Naive,Naive,Naive,15,122,False,2
49,2,08o8uu,False,False,False,0,Naive,Naive,Naive,200,Unknown,Unknown,1
50,85,08o8uu,False,False,False,0,Naive,Naive,Naive,363,Unknown,Unknown,2
51,53,08o8uu,False,False,False,0,Naive,Naive,Naive,47,Unknown,Unknown,2
52,71,08o8uu,False,False,False,0,Naive,Naive,Naive,458,Unknown,Unknown,1
53,1,08o8uu,False,False,False,0,Naive,Naive,Naive,341,Unknown,Unknown,2
54,121,08o8uu,False,False,False,0,Naive,Naive,Naive,24,74,False,2
55,13,08o8uu,False,False,False,0,Naive,Naive,Naive,379,Unknown,Unknown,1
56,69,08o8uu,False,False,False,0,Naive,Naive,Naive,348,Unknown,Unknown,2
57,82,08o8uu,False,False,False,0,Naive,Naive,Naive,117,Unknown,Unknown,1
58,11,08o8uu,False,False,False,0,Naive,Naive,Naive,491,Unknown,Unknown,2
59,78,08o8uu,False,False,False,0,Naive,Naive,Naive,262,Unknown,Unknown,1
60,83,08o8uu,False,False,False,0,Naive,Naive,Naive,463,Unknown,Unknown,1
61,45,08o8uu,False,False,False,0,Naive,Naive,Naive,373,Unknown,Unknown,2
62,86,08o8uu,False,False,False,0,Naive,Naive,Naive,197,Unknown,Unknown,1
63,80,08o8uu,False,False,False,0,Naive,Naive,Naive,170,Unknown,Unknown,2
64,93,08o8uu,False,False,False,0,Naive,Naive,Naive,280,Unknown,Unknown,1
65,79,08o8uu,False,False,False,0,Naive,Naive,Naive,199,Unknown,Unknown,1
66,64,08o8uu,False,False,False,0,Naive,Naive,Naive,237,Unknown,Unknown,1
67,95,08o8uu,False,False,False,0,Naive,Naive,Naive,351,Unknown,Unknown,2
68,67,08o8uu,False,False,False,0,Naive,Naive,Naive,304,Unknown,Unknown,1
69,52,08o8uu,False,False,False,0,Naive,Naive,Naive,113,Unknown,Unknown,2
70,31,08o8uu,False,False,False,0,Naive,Naive,Naive,385,Unknown,Unknown,2
71,60,08o8uu,False,False,False,1,Naive,Naive,Naive,381,Unknown,Unknown,1
72,38,08o8uu,False,False,False,0,Naive,Naive,Naive,519,Unknown,Unknown,1
73,22,08o8uu,False,False,False,0,Naive,Naive,Naive,150,Unknown,Unknown,2
74,77,08o8uu,False,False,False,2,Naive,Naive,Naive,130,Unknown,Unknown,1
75,57,08o8uu,False,False,False,0,Naive,Naive,Naive,221,Unknown,Unknown,2
76,55,08o8uu,False,False,False,0,Naive,Naive,Naive,462,Unknown,Unknown,1
77,91,08o8uu,False,False,False,0,Naive,Naive,Naive,120,Unknown,Unknown,2
78,89,08o8uu,False,False,False,0,Naive,Naive,Naive,168,Unknown,Unknown,1
79,123,08o8uu,False,False,False,0,Naive,Naive,Naive,47,45,False,2
80,115,08o8uu,False,False,False,0,Naive,Naive,Naive,54,111,False,1
81,32,08o8uu,False,False,False,0,Naive,Naive,Naive,153,Unknown,Unknown,1
82,162,08o8uu,False,False,False,0,Naive,Naive,Naive,23,140,False,1
83,48,08o8uu,False,False,False,0,Naive,Naive,Naive,159,Unknown,Unknown,2
84,113,08o8uu,False,False,False,0,Naive,Naive,Naive,60,106,False,2
85,19,08o8uu,False,False,False,1,Naive,Naive,Naive,286,Unknown,Unknown,2
86,97,08o8uu,False,False,False,0,Naive,Naive,Naive,166,Unknown,Unknown,1
87,7,08o8uu,False,False,False,0,Naive,Naive,Naive,541,Unknown,Unknown,2
88,33,08o8uu,False,False,False,0,Naive,Naive,Naive,175,Unknown,Unknown,1
89,20,08o8uu,False,False,False,0,Naive,Naive,Naive,388,Unknown,Unknown,1
90,15,08o8uu,False,False,False,0,Naive,Naive,Naive,120,Unknown,Unknown,1
91,44,08o8uu,False,False,False,0,Naive,Naive,Naive,161,Unknown,Unknown,1
92,30,08o8uu,False,False,False,0,Naive,Naive,Naive,166,Unknown,Unknown,1
93,174,08o8uu,False,False,False,0,Naive,Naive,Naive,35,159,False,2
94,191,08o8uu,False,False,False,0,Naive,Naive,Naive,3,59,False,2
95,51,08o8uu,False,False,False,0,Naive,Naive,Naive,114,Unknown,Unknown,2
96,59,08o8uu,False,False,False,0,Naive,Naive,Naive,126,Unknown,Unknown,2
97,181,08o8uu,False,False,False,0,Naive,Naive,Naive,24,59,False,1
98,163,08o8uu,False,False,False,0,Naive,Naive,Naive,42,151,False,1
99,153,08o8uu,False,False,False,0,Naive,Naive,Naive,51,82,False,2
100,106,08o8uu,False,False,False,0,Naive,Naive,Naive,84,104,False,2
101,159,08o8uu,False,False,False,0,Naive,Naive,Naive,51,122,False,1
102,158,08o8uu,False,False,False,0,Naive,Naive,Naive,54,72,False,2
103,17,08o8uu,False,False,False,0,Naive,Naive,Naive,284,Unknown,Unknown,2
104,129,08o8uu,False,False,False,0,Naive,Naive,Naive,78,97,False,1
105,152,08o8uu,False,False,False,0,Naive,Naive,Naive,61,126,False,2
106,72,08o8uu,False,False,False,0,Naive,Naive,Naive,349,Unknown,Unknown,2
107,27,08o8uu,False,False,False,0,Naive,Naive,Naive,173,Unknown,Unknown,2
108,144,08o8uu,False,False,False,0,Naive,Naive,Naive,71,95,False,1
109,37,08o8uu,False,False,False,0,Naive,Naive,Naive,162,Unknown,Unknown,2
110,128,08o8uu,False,False,False,0,Naive,Naive,Naive,85,101,False,1
111,139,08o8uu,False,False,False,3,Naive,Naive,Naive,80,69,False,2
112,114,08o8uu,False,True,True,16,29,38,social,97,100,True,2
113,54,08o8uu,False,False,False,0,Naive,Naive,Naive,213,Unknown,Unknown,1
114,118,08o8uu,False,False,False,1,Naive,Naive,Naive,95,77,False,2
115,61,08o8uu,False,False,False,0,Naive,Naive,Naive,153,Unknown,Unknown,2
116,87,08o8uu,False,False,False,1,Naive,Naive,Naive,137,Unknown,Unknown,1
117,101,08o8uu,False,False,False,0,Naive,Naive,Naive,111,23,False,1
118,147,08o8uu,False,False,False,2,Naive,Naive,Naive,79,145,False,2
119,41,08o8uu,False,False,False,0,Naive,Naive,Naive,383,Unknown,Unknown,2
120,198,08o8uu,False,False,False,0,Naive,Naive,Naive,30,54,False,1
121,117,08o8uu,False,False,False,4,Naive,Naive,Naive,107,103,False,2
122,134,08o8uu,False,False,False,0,Naive,Naive,Naive,96,106,False,2
123,18,08o8uu,False,False,False,0,Naive,Naive,Naive,310,Unknown,Unknown,2
124,185,08o8uu,False,False,False,0,Naive,Naive,Naive,51,19,False,2
125,177,08o8uu,False,False,False,0,Naive,Naive,Naive,62,157,False,2
126,164,08o8uu,False,False,False,0,Naive,Naive,Naive,80,128,False,1
127,119,08o8uu,False,False,False,0,Naive,Naive,Naive,117,117,False,2
