,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,79,1k2bgp,False,False,False,0,Naive,Naive,Naive,500,Unknown,Unknown,2
1,29,1k2bgp,False,False,False,0,Naive,Naive,Naive,378,Unknown,Unknown,2
2,34,1k2bgp,False,False,False,0,Naive,Naive,Naive,498,Unknown,Unknown,1
3,97,1k2bgp,False,False,False,0,Naive,Naive,Naive,246,Unknown,Unknown,2
4,15,1k2bgp,False,False,False,0,Naive,Naive,Naive,425,Unknown,Unknown,2
5,33,1k2bgp,False,False,False,0,Naive,Naive,Naive,263,Unknown,Unknown,1
6,82,1k2bgp,False,False,False,0,Naive,Naive,Naive,436,Unknown,Unknown,2
7,51,1k2bgp,False,False,False,0,Naive,Naive,Naive,312,Unknown,Unknown,2
8,67,1k2bgp,False,False,False,0,Naive,Naive,Naive,140,Unknown,Unknown,1
9,39,1k2bgp,False,False,False,0,Naive,Naive,Naive,501,Unknown,Unknown,2
10,96,1k2bgp,False,False,False,0,Naive,Naive,Naive,197,Unknown,Unknown,2
11,35,1k2bgp,False,False,False,0,Naive,Naive,Naive,264,Unknown,Unknown,2
12,85,1k2bgp,False,False,False,0,Naive,Naive,Naive,94,Unknown,Unknown,2
13,31,1k2bgp,False,False,False,0,Naive,Naive,Naive,234,Unknown,Unknown,2
14,77,1k2bgp,False,False,False,0,Naive,Naive,Naive,424,Unknown,Unknown,2
15,56,1k2bgp,False,False,False,0,Naive,Naive,Naive,335,Unknown,Unknown,1
16,58,1k2bgp,False,False,False,0,Naive,Naive,Naive,295,Unknown,Unknown,2
17,30,1k2bgp,False,False,False,0,Naive,Naive,Naive,375,Unknown,Unknown,2
18,69,1k2bgp,False,False,False,0,Naive,Naive,Naive,199,Unknown,Unknown,1
19,32,1k2bgp,False,False,False,0,Naive,Naive,Naive,335,Unknown,Unknown,1
20,40,1k2bgp,False,False,False,0,Naive,Naive,Naive,272,Unknown,Unknown,2
21,98,1k2bgp,False,False,False,1,Naive,Naive,Naive,305,Unknown,Unknown,2
22,13,1k2bgp,False,False,False,0,Naive,Naive,Naive,475,Unknown,Unknown,1
23,94,1k2bgp,False,False,False,0,Naive,Naive,Naive,283,Unknown,Unknown,1
