,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,42,6FiZ54,False,False,False,0,Naive,Naive,Naive,275,Unknown,Unknown,2
1,38,6FiZ54,False,False,False,0,Naive,Naive,Naive,476,Unknown,Unknown,2
2,6,6FiZ54,False,False,False,0,Naive,Naive,Naive,455,Unknown,Unknown,1
3,65,6FiZ54,False,False,False,0,Naive,Naive,Naive,336,Unknown,Unknown,2
4,78,6FiZ54,False,False,False,0,Naive,Naive,Naive,206,Unknown,Unknown,1
5,33,6FiZ54,False,False,False,0,Naive,Naive,Naive,164,Unknown,Unknown,2
6,37,6FiZ54,False,False,False,0,Naive,Naive,Naive,307,Unknown,Unknown,2
7,43,6FiZ54,False,False,False,0,Naive,Naive,Naive,250,Unknown,Unknown,2
8,21,6FiZ54,False,False,False,0,Naive,Naive,Naive,430,Unknown,Unknown,2
9,87,6FiZ54,False,False,False,0,Naive,Naive,Naive,279,Unknown,Unknown,2
10,40,6FiZ54,False,False,False,0,Naive,Naive,Naive,218,Unknown,Unknown,1
11,28,6FiZ54,False,False,False,0,Naive,Naive,Naive,301,Unknown,Unknown,1
12,64,6FiZ54,False,False,False,0,Naive,Naive,Naive,453,Unknown,Unknown,1
13,54,6FiZ54,False,False,False,0,Naive,Naive,Naive,497,Unknown,Unknown,2
14,11,6FiZ54,False,False,False,1,Naive,Naive,Naive,343,Unknown,Unknown,2
15,89,6FiZ54,False,False,False,0,Naive,Naive,Naive,318,Unknown,Unknown,2
16,32,6FiZ54,False,False,False,0,Naive,Naive,Naive,145,Unknown,Unknown,2
17,110,6FiZ54,False,False,False,0,Naive,Naive,Naive,7,59,False,1
18,16,6FiZ54,False,False,False,0,Naive,Naive,Naive,73,Unknown,Unknown,2
19,93,6FiZ54,False,False,False,0,Naive,Naive,Naive,277,Unknown,Unknown,2
20,98,6FiZ54,False,False,False,0,Naive,Naive,Naive,181,Unknown,Unknown,2
21,27,6FiZ54,False,False,False,0,Naive,Naive,Naive,238,Unknown,Unknown,2
22,24,6FiZ54,False,False,False,0,Naive,Naive,Naive,203,Unknown,Unknown,1
23,36,6FiZ54,False,False,False,0,Naive,Naive,Naive,446,Unknown,Unknown,1
24,20,6FiZ54,False,False,False,0,Naive,Naive,Naive,274,Unknown,Unknown,2
25,94,6FiZ54,False,False,False,0,Naive,Naive,Naive,330,Unknown,Unknown,1
26,90,6FiZ54,False,False,False,0,Naive,Naive,Naive,372,Unknown,Unknown,1
27,80,6FiZ54,False,False,False,0,Naive,Naive,Naive,238,Unknown,Unknown,1
28,44,6FiZ54,False,False,False,0,Naive,Naive,Naive,238,Unknown,Unknown,2
29,84,6FiZ54,False,False,False,0,Naive,Naive,Naive,330,Unknown,Unknown,1
30,48,6FiZ54,False,False,False,0,Naive,Naive,Naive,193,Unknown,Unknown,1
31,81,6FiZ54,False,False,False,0,Naive,Naive,Naive,383,Unknown,Unknown,2
32,14,6FiZ54,False,False,False,0,Naive,Naive,Naive,496,Unknown,Unknown,1
33,57,6FiZ54,False,False,False,0,Naive,Naive,Naive,419,Unknown,Unknown,1
34,86,6FiZ54,False,False,False,0,Naive,Naive,Naive,131,Unknown,Unknown,2
35,77,6FiZ54,False,False,False,0,Naive,Naive,Naive,303,Unknown,Unknown,2
36,69,6FiZ54,False,False,False,0,Naive,Naive,Naive,162,Unknown,Unknown,1
37,5,6FiZ54,False,False,False,0,Naive,Naive,Naive,134,Unknown,Unknown,2
38,46,6FiZ54,False,False,False,0,Naive,Naive,Naive,163,Unknown,Unknown,2
39,53,6FiZ54,False,False,False,0,Naive,Naive,Naive,127,Unknown,Unknown,2
40,97,6FiZ54,False,False,False,0,Naive,Naive,Naive,166,Unknown,Unknown,2
41,30,6FiZ54,False,False,False,0,Naive,Naive,Naive,37,Unknown,Unknown,2
42,82,6FiZ54,False,False,False,0,Naive,Naive,Naive,385,Unknown,Unknown,1
43,7,6FiZ54,False,False,False,0,Naive,Naive,Naive,437,Unknown,Unknown,1
44,3,6FiZ54,False,False,False,0,Naive,Naive,Naive,387,Unknown,Unknown,1
45,23,6FiZ54,False,False,False,0,Naive,Naive,Naive,410,Unknown,Unknown,2
46,68,6FiZ54,False,False,False,1,Naive,Naive,Naive,500,Unknown,Unknown,1
47,137,6FiZ54,False,False,False,1,Naive,Naive,Naive,6,129,False,2
48,29,6FiZ54,False,False,False,0,Naive,Naive,Naive,40,Unknown,Unknown,1
49,47,6FiZ54,False,False,False,0,Naive,Naive,Naive,363,Unknown,Unknown,2
50,8,6FiZ54,False,False,False,0,Naive,Naive,Naive,493,Unknown,Unknown,2
51,39,6FiZ54,False,False,False,0,Naive,Naive,Naive,423,Unknown,Unknown,1
52,62,6FiZ54,False,False,False,0,Naive,Naive,Naive,206,Unknown,Unknown,2
53,61,6FiZ54,False,False,False,0,Naive,Naive,Naive,495,Unknown,Unknown,2
54,96,6FiZ54,False,False,False,0,Naive,Naive,Naive,157,Unknown,Unknown,1
55,56,6FiZ54,False,False,False,0,Naive,Naive,Naive,323,Unknown,Unknown,2
56,71,6FiZ54,False,False,False,0,Naive,Naive,Naive,183,Unknown,Unknown,1
57,73,6FiZ54,False,False,False,0,Naive,Naive,Naive,68,Unknown,Unknown,2
58,15,6FiZ54,False,False,False,0,Naive,Naive,Naive,508,Unknown,Unknown,1
59,31,6FiZ54,False,False,False,0,Naive,Naive,Naive,88,Unknown,Unknown,2
60,60,6FiZ54,False,False,False,0,Naive,Naive,Naive,348,Unknown,Unknown,2
61,45,6FiZ54,False,False,False,0,Naive,Naive,Naive,423,Unknown,Unknown,1
62,17,6FiZ54,False,False,False,0,Naive,Naive,Naive,396,Unknown,Unknown,2
63,35,6FiZ54,False,False,False,0,Naive,Naive,Naive,197,Unknown,Unknown,1
64,85,6FiZ54,False,False,False,0,Naive,Naive,Naive,87,Unknown,Unknown,2
65,99,6FiZ54,False,False,False,0,Naive,Naive,Naive,156,Unknown,Unknown,2
66,92,6FiZ54,False,False,False,0,Naive,Naive,Naive,416,Unknown,Unknown,2
67,50,6FiZ54,False,False,False,0,Naive,Naive,Naive,241,Unknown,Unknown,2
68,59,6FiZ54,False,False,False,0,Naive,Naive,Naive,362,Unknown,Unknown,1
69,12,6FiZ54,False,False,False,0,Naive,Naive,Naive,251,Unknown,Unknown,1
70,91,6FiZ54,False,False,False,0,Naive,Naive,Naive,301,Unknown,Unknown,2
71,2,6FiZ54,False,False,False,0,Naive,Naive,Naive,540,Unknown,Unknown,1
72,55,6FiZ54,False,False,False,0,Naive,Naive,Naive,169,Unknown,Unknown,1
73,95,6FiZ54,False,False,False,0,Naive,Naive,Naive,116,Unknown,Unknown,1
74,131,6FiZ54,False,False,False,0,Naive,Naive,Naive,38,82,False,2
75,9,6FiZ54,False,False,False,0,Naive,Naive,Naive,491,Unknown,Unknown,1
76,75,6FiZ54,False,False,False,0,Naive,Naive,Naive,95,Unknown,Unknown,1
77,4,6FiZ54,False,False,False,0,Naive,Naive,Naive,200,Unknown,Unknown,2
78,74,6FiZ54,False,False,False,1,Naive,Naive,Naive,518,Unknown,Unknown,1
79,18,6FiZ54,False,False,False,2,Naive,Naive,Naive,462,Unknown,Unknown,2
80,104,6FiZ54,False,False,False,0,Naive,Naive,Naive,56,58,False,2
81,1,6FiZ54,False,False,False,0,Naive,Naive,Naive,83,Unknown,Unknown,1
82,52,6FiZ54,False,False,False,0,Naive,Naive,Naive,479,Unknown,Unknown,1
83,170,6FiZ54,False,False,False,0,Naive,Naive,Naive,15,74,False,1
84,25,6FiZ54,False,False,False,2,Naive,Naive,Naive,113,Unknown,Unknown,1
85,180,6FiZ54,False,False,False,0,Naive,Naive,Naive,8,156,False,1
86,41,6FiZ54,False,False,False,0,Naive,Naive,Naive,215,Unknown,Unknown,1
87,129,6FiZ54,False,False,False,2,Naive,Naive,Naive,51,111,False,2
88,72,6FiZ54,False,False,False,0,Naive,Naive,Naive,421,Unknown,Unknown,1
89,10,6FiZ54,False,False,False,0,Naive,Naive,Naive,144,Unknown,Unknown,1
90,22,6FiZ54,False,False,False,0,Naive,Naive,Naive,77,Unknown,Unknown,2
91,34,6FiZ54,False,False,False,0,Naive,Naive,Naive,118,Unknown,Unknown,1
92,152,6FiZ54,False,False,False,0,Naive,Naive,Naive,42,22,False,2
93,169,6FiZ54,False,False,False,0,Naive,Naive,Naive,28,126,False,2
94,108,6FiZ54,False,False,False,0,Naive,Naive,Naive,73,15,False,1
95,109,6FiZ54,False,False,False,0,Naive,Naive,Naive,74,101,False,1
96,164,6FiZ54,False,False,False,0,Naive,Naive,Naive,36,143,False,1
97,76,6FiZ54,False,False,False,0,Naive,Naive,Naive,215,Unknown,Unknown,2
98,153,6FiZ54,False,False,False,0,Naive,Naive,Naive,54,138,False,1
99,79,6FiZ54,False,False,False,3,Naive,Naive,Naive,223,Unknown,Unknown,1
100,63,6FiZ54,False,False,False,0,Naive,Naive,Naive,499,Unknown,Unknown,2
101,154,6FiZ54,False,False,False,0,Naive,Naive,Naive,55,66,False,2
