,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,31,7x0pSH,False,False,False,0,Naive,Naive,Naive,147,Unknown,Unknown,1
1,54,7x0pSH,False,False,False,0,Naive,Naive,Naive,375,Unknown,Unknown,1
2,55,7x0pSH,False,False,False,0,Naive,Naive,Naive,45,Unknown,Unknown,1
3,97,7x0pSH,False,False,False,0,Naive,Naive,Naive,446,Unknown,Unknown,2
4,87,7x0pSH,False,False,False,0,Naive,Naive,Naive,15,Unknown,Unknown,1
5,29,7x0pSH,False,False,False,0,Naive,Naive,Naive,441,Unknown,Unknown,1
6,86,7x0pSH,False,False,False,0,Naive,Naive,Naive,138,Unknown,Unknown,2
7,8,7x0pSH,False,False,False,0,Naive,Naive,Naive,241,Unknown,Unknown,2
8,28,7x0pSH,False,False,False,0,Naive,Naive,Naive,249,Unknown,Unknown,1
9,49,7x0pSH,False,False,False,0,Naive,Naive,Naive,404,Unknown,Unknown,1
10,27,7x0pSH,False,False,False,0,Naive,Naive,Naive,311,Unknown,Unknown,1
11,65,7x0pSH,False,False,False,0,Naive,Naive,Naive,318,Unknown,Unknown,1
12,77,7x0pSH,False,False,False,0,Naive,Naive,Naive,199,Unknown,Unknown,1
13,48,7x0pSH,False,False,False,0,Naive,Naive,Naive,490,Unknown,Unknown,2
14,36,7x0pSH,False,False,False,0,Naive,Naive,Naive,267,Unknown,Unknown,1
15,44,7x0pSH,False,False,False,0,Naive,Naive,Naive,443,Unknown,Unknown,2
16,11,7x0pSH,False,False,False,0,Naive,Naive,Naive,146,Unknown,Unknown,2
17,76,7x0pSH,False,False,False,0,Naive,Naive,Naive,255,Unknown,Unknown,2
18,91,7x0pSH,False,False,False,0,Naive,Naive,Naive,218,Unknown,Unknown,2
19,64,7x0pSH,False,False,False,0,Naive,Naive,Naive,483,Unknown,Unknown,2
20,74,7x0pSH,False,False,False,0,Naive,Naive,Naive,456,Unknown,Unknown,1
21,19,7x0pSH,False,False,False,0,Naive,Naive,Naive,376,Unknown,Unknown,2
22,72,7x0pSH,False,False,False,0,Naive,Naive,Naive,481,Unknown,Unknown,2
23,14,7x0pSH,False,False,False,0,Naive,Naive,Naive,421,Unknown,Unknown,2
24,10,7x0pSH,False,False,False,0,Naive,Naive,Naive,365,Unknown,Unknown,1
25,32,7x0pSH,False,False,False,0,Naive,Naive,Naive,147,Unknown,Unknown,2
26,43,7x0pSH,False,False,False,0,Naive,Naive,Naive,367,Unknown,Unknown,1
27,24,7x0pSH,False,False,False,0,Naive,Naive,Naive,477,Unknown,Unknown,1
28,59,7x0pSH,False,False,False,0,Naive,Naive,Naive,96,Unknown,Unknown,2
