,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,40,9sIAR5,False,False,False,0,Naive,Naive,Naive,202,Unknown,Unknown,1
1,57,9sIAR5,False,False,False,0,Naive,Naive,Naive,451,Unknown,Unknown,2
2,4,9sIAR5,False,False,False,0,Naive,Naive,Naive,124,Unknown,Unknown,1
3,39,9sIAR5,False,False,False,0,Naive,Naive,Naive,314,Unknown,Unknown,1
4,64,9sIAR5,False,False,False,0,Naive,Naive,Naive,134,Unknown,Unknown,2
5,45,9sIAR5,False,False,False,0,Naive,Naive,Naive,354,Unknown,Unknown,1
6,93,9sIAR5,False,False,False,0,Naive,Naive,Naive,336,Unknown,Unknown,2
7,6,9sIAR5,False,False,False,0,Naive,Naive,Naive,388,Unknown,Unknown,1
8,12,9sIAR5,False,False,False,0,Naive,Naive,Naive,162,Unknown,Unknown,1
9,73,9sIAR5,False,False,False,0,Naive,Naive,Naive,460,Unknown,Unknown,2
10,38,9sIAR5,False,False,False,0,Naive,Naive,Naive,124,Unknown,Unknown,1
11,75,9sIAR5,False,False,False,0,Naive,Naive,Naive,217,Unknown,Unknown,1
12,3,9sIAR5,False,False,False,0,Naive,Naive,Naive,319,Unknown,Unknown,1
13,50,9sIAR5,False,False,False,0,Naive,Naive,Naive,203,Unknown,Unknown,1
14,14,9sIAR5,False,False,False,0,Naive,Naive,Naive,397,Unknown,Unknown,1
15,86,9sIAR5,False,False,False,0,Naive,Naive,Naive,466,Unknown,Unknown,2
16,99,9sIAR5,False,False,False,0,Naive,Naive,Naive,222,Unknown,Unknown,1
17,98,9sIAR5,False,False,False,0,Naive,Naive,Naive,448,Unknown,Unknown,2
18,74,9sIAR5,False,False,False,0,Naive,Naive,Naive,261,Unknown,Unknown,2
19,76,9sIAR5,False,False,False,0,Naive,Naive,Naive,428,Unknown,Unknown,2
20,62,9sIAR5,False,False,False,0,Naive,Naive,Naive,454,Unknown,Unknown,1
21,9,9sIAR5,False,False,False,0,Naive,Naive,Naive,484,Unknown,Unknown,2
22,48,9sIAR5,False,False,False,0,Naive,Naive,Naive,240,Unknown,Unknown,2
23,94,9sIAR5,False,False,False,0,Naive,Naive,Naive,238,Unknown,Unknown,1
24,31,9sIAR5,False,False,False,0,Naive,Naive,Naive,182,Unknown,Unknown,2
25,27,9sIAR5,False,False,False,0,Naive,Naive,Naive,164,Unknown,Unknown,1
26,78,9sIAR5,False,False,False,0,Naive,Naive,Naive,456,Unknown,Unknown,1
27,56,9sIAR5,False,False,False,0,Naive,Naive,Naive,148,Unknown,Unknown,2
28,82,9sIAR5,False,False,False,0,Naive,Naive,Naive,455,Unknown,Unknown,1
29,96,9sIAR5,False,False,False,0,Naive,Naive,Naive,511,Unknown,Unknown,2
30,20,9sIAR5,False,False,False,0,Naive,Naive,Naive,255,Unknown,Unknown,2
31,53,9sIAR5,False,False,False,0,Naive,Naive,Naive,290,Unknown,Unknown,1
32,11,9sIAR5,False,False,False,0,Naive,Naive,Naive,374,Unknown,Unknown,1
33,1,9sIAR5,False,False,False,0,Naive,Naive,Naive,498,Unknown,Unknown,1
34,7,9sIAR5,False,False,False,0,Naive,Naive,Naive,322,Unknown,Unknown,1
35,89,9sIAR5,False,False,False,0,Naive,Naive,Naive,394,Unknown,Unknown,1
36,37,9sIAR5,False,False,False,0,Naive,Naive,Naive,481,Unknown,Unknown,2
37,87,9sIAR5,False,False,False,0,Naive,Naive,Naive,112,Unknown,Unknown,1
38,28,9sIAR5,False,False,False,0,Naive,Naive,Naive,392,Unknown,Unknown,1
39,77,9sIAR5,False,False,False,0,Naive,Naive,Naive,236,Unknown,Unknown,2
40,29,9sIAR5,False,False,False,0,Naive,Naive,Naive,460,Unknown,Unknown,2
41,19,9sIAR5,False,False,False,0,Naive,Naive,Naive,508,Unknown,Unknown,2
42,35,9sIAR5,False,False,False,0,Naive,Naive,Naive,481,Unknown,Unknown,2
43,47,9sIAR5,False,False,False,0,Naive,Naive,Naive,507,Unknown,Unknown,1
44,2,9sIAR5,False,False,False,0,Naive,Naive,Naive,300,Unknown,Unknown,2
45,22,9sIAR5,False,False,False,0,Naive,Naive,Naive,320,Unknown,Unknown,2
46,17,9sIAR5,False,False,False,0,Naive,Naive,Naive,70,Unknown,Unknown,1
47,92,9sIAR5,False,False,False,0,Naive,Naive,Naive,73,Unknown,Unknown,2
48,23,9sIAR5,False,False,False,0,Naive,Naive,Naive,215,Unknown,Unknown,1
49,69,9sIAR5,False,True,True,2,138,21,social,145,Unknown,Unknown,1
50,123,9sIAR5,False,False,False,0,Naive,Naive,Naive,14,25,False,1
51,8,9sIAR5,False,False,False,0,Naive,Naive,Naive,75,Unknown,Unknown,2
52,46,9sIAR5,False,False,False,0,Naive,Naive,Naive,370,Unknown,Unknown,1
53,111,9sIAR5,False,False,False,0,Naive,Naive,Naive,23,68,False,2
54,71,9sIAR5,False,False,False,0,Naive,Naive,Naive,441,Unknown,Unknown,1
55,10,9sIAR5,False,False,False,0,Naive,Naive,Naive,447,Unknown,Unknown,2
56,5,9sIAR5,False,False,False,0,Naive,Naive,Naive,433,Unknown,Unknown,1
57,102,9sIAR5,False,False,False,0,Naive,Naive,Naive,31,84,False,2
58,36,9sIAR5,False,False,False,0,Naive,Naive,Naive,226,Unknown,Unknown,1
59,25,9sIAR5,False,False,False,0,Naive,Naive,Naive,205,Unknown,Unknown,1
60,95,9sIAR5,False,False,False,0,Naive,Naive,Naive,357,Unknown,Unknown,1
61,44,9sIAR5,False,False,False,0,Naive,Naive,Naive,277,Unknown,Unknown,2
62,63,9sIAR5,False,False,False,0,Naive,Naive,Naive,244,Unknown,Unknown,2
63,101,9sIAR5,False,False,False,7,Naive,Naive,Naive,37,100,True,1
64,145,9sIAR5,False,False,False,0,Naive,Naive,Naive,14,124,False,1
65,43,9sIAR5,False,False,False,0,Naive,Naive,Naive,390,Unknown,Unknown,1
66,54,9sIAR5,False,False,False,0,Naive,Naive,Naive,288,Unknown,Unknown,2
67,81,9sIAR5,False,False,False,0,Naive,Naive,Naive,310,Unknown,Unknown,2
68,85,9sIAR5,False,False,False,0,Naive,Naive,Naive,135,Unknown,Unknown,1
69,13,9sIAR5,False,False,False,0,Naive,Naive,Naive,229,Unknown,Unknown,2
70,65,9sIAR5,False,False,False,0,Naive,Naive,Naive,318,Unknown,Unknown,2
71,26,9sIAR5,False,False,False,0,Naive,Naive,Naive,300,Unknown,Unknown,2
72,52,9sIAR5,False,False,False,0,Naive,Naive,Naive,281,Unknown,Unknown,1
73,32,9sIAR5,False,False,False,0,Naive,Naive,Naive,269,Unknown,Unknown,1
74,18,9sIAR5,False,False,False,0,Naive,Naive,Naive,138,Unknown,Unknown,1
75,134,9sIAR5,False,False,False,0,Naive,Naive,Naive,27,85,False,2
76,21,9sIAR5,False,False,False,0,Naive,Naive,Naive,372,Unknown,Unknown,1
77,116,9sIAR5,False,False,False,0,Naive,Naive,Naive,40,90,False,2
78,88,9sIAR5,False,False,False,0,Naive,Naive,Naive,101,Unknown,Unknown,2
79,91,9sIAR5,False,False,False,0,Naive,Naive,Naive,273,Unknown,Unknown,1
80,125,9sIAR5,False,False,False,1,Naive,Naive,Naive,40,116,False,2
