,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,56,AG0xhu,False,False,False,0,Naive,Naive,Naive,293,Unknown,Unknown,2
1,61,AG0xhu,False,False,False,0,Naive,Naive,Naive,94,Unknown,Unknown,2
2,7,AG0xhu,False,False,False,0,Naive,Naive,Naive,267,Unknown,Unknown,1
3,91,AG0xhu,False,False,False,0,Naive,Naive,Naive,390,Unknown,Unknown,1
4,18,AG0xhu,False,False,False,0,Naive,Naive,Naive,272,Unknown,Unknown,1
5,11,AG0xhu,False,False,False,0,Naive,Naive,Naive,382,Unknown,Unknown,2
6,62,AG0xhu,False,False,False,0,Naive,Naive,Naive,233,Unknown,Unknown,1
7,14,AG0xhu,False,False,False,0,Naive,Naive,Naive,404,Unknown,Unknown,1
8,97,AG0xhu,False,False,False,0,Naive,Naive,Naive,384,Unknown,Unknown,2
9,90,AG0xhu,False,False,False,0,Naive,Naive,Naive,339,Unknown,Unknown,1
10,68,AG0xhu,False,False,False,0,Naive,Naive,Naive,428,Unknown,Unknown,2
11,50,AG0xhu,False,False,False,0,Naive,Naive,Naive,317,Unknown,Unknown,1
12,30,AG0xhu,False,False,False,0,Naive,Naive,Naive,148,Unknown,Unknown,2
13,95,AG0xhu,False,False,False,0,Naive,Naive,Naive,315,Unknown,Unknown,1
14,76,AG0xhu,False,False,False,0,Naive,Naive,Naive,367,Unknown,Unknown,2
15,47,AG0xhu,False,False,False,0,Naive,Naive,Naive,106,Unknown,Unknown,1
16,22,AG0xhu,False,False,False,0,Naive,Naive,Naive,203,Unknown,Unknown,2
17,45,AG0xhu,False,False,False,0,Naive,Naive,Naive,185,Unknown,Unknown,2
18,72,AG0xhu,False,False,False,0,Naive,Naive,Naive,333,Unknown,Unknown,1
19,63,AG0xhu,False,False,False,0,Naive,Naive,Naive,102,Unknown,Unknown,2
20,35,AG0xhu,False,False,False,0,Naive,Naive,Naive,330,Unknown,Unknown,2
21,65,AG0xhu,False,False,False,0,Naive,Naive,Naive,284,Unknown,Unknown,2
22,106,AG0xhu,False,False,False,0,Naive,Naive,Naive,8,8,False,1
23,93,AG0xhu,False,False,False,2,Naive,Naive,Naive,452,Unknown,Unknown,2
24,29,AG0xhu,False,False,False,0,Naive,Naive,Naive,453,Unknown,Unknown,1
25,96,AG0xhu,False,False,False,0,Naive,Naive,Naive,310,Unknown,Unknown,2
26,43,AG0xhu,False,False,False,0,Naive,Naive,Naive,205,Unknown,Unknown,1
27,42,AG0xhu,False,False,False,0,Naive,Naive,Naive,114,Unknown,Unknown,1
28,54,AG0xhu,False,False,False,0,Naive,Naive,Naive,307,Unknown,Unknown,1
29,64,AG0xhu,False,False,False,0,Naive,Naive,Naive,305,Unknown,Unknown,2
30,81,AG0xhu,False,False,False,0,Naive,Naive,Naive,357,Unknown,Unknown,1
31,31,AG0xhu,False,False,False,0,Naive,Naive,Naive,252,Unknown,Unknown,1
32,37,AG0xhu,False,False,False,0,Naive,Naive,Naive,378,Unknown,Unknown,2
33,24,AG0xhu,False,False,False,0,Naive,Naive,Naive,448,Unknown,Unknown,1
34,39,AG0xhu,False,False,False,0,Naive,Naive,Naive,249,Unknown,Unknown,2
35,98,AG0xhu,False,False,False,0,Naive,Naive,Naive,458,Unknown,Unknown,2
36,13,AG0xhu,False,False,False,0,Naive,Naive,Naive,239,Unknown,Unknown,1
37,25,AG0xhu,False,False,False,0,Naive,Naive,Naive,47,Unknown,Unknown,1
38,55,AG0xhu,False,False,False,0,Naive,Naive,Naive,388,Unknown,Unknown,2
39,73,AG0xhu,False,False,False,0,Naive,Naive,Naive,501,Unknown,Unknown,1
40,5,AG0xhu,False,False,False,0,Naive,Naive,Naive,125,Unknown,Unknown,1
41,23,AG0xhu,False,False,False,0,Naive,Naive,Naive,407,Unknown,Unknown,1
42,84,AG0xhu,False,False,False,0,Naive,Naive,Naive,245,Unknown,Unknown,1
43,16,AG0xhu,False,False,False,0,Naive,Naive,Naive,93,Unknown,Unknown,1
44,75,AG0xhu,False,False,False,0,Naive,Naive,Naive,249,Unknown,Unknown,1
45,33,AG0xhu,False,False,False,0,Naive,Naive,Naive,173,Unknown,Unknown,1
46,99,AG0xhu,False,False,False,2,Naive,Naive,Naive,385,Unknown,Unknown,2
47,69,AG0xhu,False,False,False,0,Naive,Naive,Naive,239,Unknown,Unknown,2
48,80,AG0xhu,False,False,False,0,Naive,Naive,Naive,181,Unknown,Unknown,1
49,9,AG0xhu,False,False,False,0,Naive,Naive,Naive,228,Unknown,Unknown,1
50,83,AG0xhu,False,False,False,0,Naive,Naive,Naive,351,Unknown,Unknown,1
51,49,AG0xhu,False,False,False,0,Naive,Naive,Naive,207,Unknown,Unknown,2
52,57,AG0xhu,False,False,False,0,Naive,Naive,Naive,82,Unknown,Unknown,1
53,20,AG0xhu,False,False,False,1,Naive,Naive,Naive,352,Unknown,Unknown,2
54,66,AG0xhu,False,False,False,0,Naive,Naive,Naive,259,Unknown,Unknown,1
55,92,AG0xhu,False,False,False,0,Naive,Naive,Naive,382,Unknown,Unknown,1
56,4,AG0xhu,False,False,False,0,Naive,Naive,Naive,416,Unknown,Unknown,1
57,44,AG0xhu,False,False,False,0,Naive,Naive,Naive,263,Unknown,Unknown,2
58,60,AG0xhu,False,False,False,0,Naive,Naive,Naive,183,Unknown,Unknown,1
59,74,AG0xhu,False,False,False,0,Naive,Naive,Naive,445,Unknown,Unknown,2
60,36,AG0xhu,False,False,False,0,Naive,Naive,Naive,407,Unknown,Unknown,2
61,38,AG0xhu,False,False,False,0,Naive,Naive,Naive,440,Unknown,Unknown,1
62,89,AG0xhu,False,False,False,0,Naive,Naive,Naive,452,Unknown,Unknown,2
63,120,AG0xhu,False,False,False,0,Naive,Naive,Naive,30,83,False,1
64,59,AG0xhu,False,False,False,0,Naive,Naive,Naive,64,Unknown,Unknown,1
65,118,AG0xhu,False,False,False,0,Naive,Naive,Naive,33,103,False,2
66,34,AG0xhu,False,False,False,0,Naive,Naive,Naive,454,Unknown,Unknown,1
67,122,AG0xhu,False,False,False,2,Naive,Naive,Naive,32,53,False,2
68,6,AG0xhu,False,False,False,0,Naive,Naive,Naive,460,Unknown,Unknown,1
69,119,AG0xhu,False,False,False,0,Naive,Naive,Naive,35,103,False,2
70,46,AG0xhu,False,False,False,0,Naive,Naive,Naive,400,Unknown,Unknown,2
71,135,AG0xhu,False,False,False,0,Naive,Naive,Naive,28,133,False,2
72,53,AG0xhu,False,False,False,0,Naive,Naive,Naive,195,Unknown,Unknown,2
73,32,AG0xhu,False,True,True,1,164,31,social,184,Unknown,Unknown,1
74,19,AG0xhu,False,False,False,0,Naive,Naive,Naive,531,Unknown,Unknown,2
75,94,AG0xhu,False,False,False,0,Naive,Naive,Naive,201,Unknown,Unknown,1
76,82,AG0xhu,False,False,False,0,Naive,Naive,Naive,557,Unknown,Unknown,2
77,21,AG0xhu,False,False,False,0,Naive,Naive,Naive,101,Unknown,Unknown,2
78,52,AG0xhu,False,False,False,0,Naive,Naive,Naive,154,Unknown,Unknown,1
79,51,AG0xhu,False,False,False,0,Naive,Naive,Naive,152,Unknown,Unknown,2
80,1,AG0xhu,False,True,True,2,440,62,social,442,Unknown,Unknown,1
81,28,AG0xhu,False,False,False,0,Naive,Naive,Naive,277,Unknown,Unknown,2
82,153,AG0xhu,False,False,False,0,Naive,Naive,Naive,34,135,False,2
83,146,AG0xhu,False,False,False,0,Naive,Naive,Naive,39,105,False,2
84,12,AG0xhu,False,False,False,0,Naive,Naive,Naive,387,Unknown,Unknown,1
85,136,AG0xhu,False,False,False,0,Naive,Naive,Naive,53,126,False,2
86,142,AG0xhu,False,False,False,0,Naive,Naive,Naive,48,86,False,1
87,17,AG0xhu,False,False,False,0,Naive,Naive,Naive,122,Unknown,Unknown,1
88,101,AG0xhu,False,True,True,8,32,33,social,75,100,True,1
89,167,AG0xhu,False,False,False,1,Naive,Naive,Naive,36,159,False,2
90,26,AG0xhu,False,True,True,2,110,72,social,119,Unknown,Unknown,1
91,145,AG0xhu,False,False,False,2,Naive,Naive,Naive,53,125,False,1
92,58,AG0xhu,False,False,False,1,Naive,Naive,Naive,460,Unknown,Unknown,1
93,86,AG0xhu,False,False,False,0,Naive,Naive,Naive,512,Unknown,Unknown,2
94,78,AG0xhu,False,False,False,3,Naive,Naive,Naive,252,Unknown,Unknown,2
95,132,AG0xhu,False,False,False,0,Naive,Naive,Naive,66,130,False,1
96,134,AG0xhu,False,False,False,0,Naive,Naive,Naive,66,44,False,2
97,137,AG0xhu,False,False,False,0,Naive,Naive,Naive,67,118,False,2
98,70,AG0xhu,False,False,False,0,Naive,Naive,Naive,97,Unknown,Unknown,1
99,48,AG0xhu,False,False,False,2,Naive,Naive,Naive,187,Unknown,Unknown,1
100,127,AG0xhu,False,False,False,1,Naive,Naive,Naive,80,74,False,2
101,181,AG0xhu,False,False,False,1,Naive,Naive,Naive,29,161,False,2
102,2,AG0xhu,False,False,False,2,Naive,Naive,Naive,306,Unknown,Unknown,2
103,131,AG0xhu,False,False,False,0,Naive,Naive,Naive,78,118,False,2
104,79,AG0xhu,False,False,False,1,Naive,Naive,Naive,129,Unknown,Unknown,2
105,10,AG0xhu,False,False,False,0,Naive,Naive,Naive,187,Unknown,Unknown,2
106,3,AG0xhu,False,False,False,1,Naive,Naive,Naive,224,Unknown,Unknown,1
107,155,AG0xhu,False,False,False,3,Naive,Naive,Naive,68,124,False,2
