,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,82,Bc0IZv,False,False,False,0,Naive,Naive,Naive,410,Unknown,Unknown,2
1,75,Bc0IZv,False,False,False,0,Naive,Naive,Naive,240,Unknown,Unknown,1
2,5,Bc0IZv,False,False,False,0,Naive,Naive,Naive,354,Unknown,Unknown,1
3,49,Bc0IZv,False,False,False,0,Naive,Naive,Naive,475,Unknown,Unknown,2
4,20,Bc0IZv,False,False,False,0,Naive,Naive,Naive,356,Unknown,Unknown,1
5,38,Bc0IZv,False,False,False,0,Naive,Naive,Naive,502,Unknown,Unknown,1
6,39,Bc0IZv,False,False,False,0,Naive,Naive,Naive,405,Unknown,Unknown,1
7,18,Bc0IZv,False,False,False,0,Naive,Naive,Naive,152,Unknown,Unknown,1
8,96,Bc0IZv,False,False,False,0,Naive,Naive,Naive,366,Unknown,Unknown,1
9,55,Bc0IZv,False,False,False,0,Naive,Naive,Naive,116,Unknown,Unknown,2
10,40,Bc0IZv,False,False,False,0,Naive,Naive,Naive,253,Unknown,Unknown,1
11,56,Bc0IZv,False,False,False,0,Naive,Naive,Naive,281,Unknown,Unknown,1
12,63,Bc0IZv,False,False,False,0,Naive,Naive,Naive,479,Unknown,Unknown,1
13,2,Bc0IZv,False,False,False,0,Naive,Naive,Naive,379,Unknown,Unknown,2
14,61,Bc0IZv,False,False,False,0,Naive,Naive,Naive,442,Unknown,Unknown,2
15,3,Bc0IZv,False,False,False,0,Naive,Naive,Naive,412,Unknown,Unknown,1
16,11,Bc0IZv,False,False,False,0,Naive,Naive,Naive,383,Unknown,Unknown,2
17,27,Bc0IZv,False,False,False,0,Naive,Naive,Naive,435,Unknown,Unknown,1
18,47,Bc0IZv,False,False,False,0,Naive,Naive,Naive,469,Unknown,Unknown,2
19,42,Bc0IZv,False,False,False,0,Naive,Naive,Naive,176,Unknown,Unknown,1
20,95,Bc0IZv,False,False,False,0,Naive,Naive,Naive,499,Unknown,Unknown,1
21,71,Bc0IZv,False,False,False,0,Naive,Naive,Naive,451,Unknown,Unknown,2
22,26,Bc0IZv,False,False,False,0,Naive,Naive,Naive,408,Unknown,Unknown,1
23,34,Bc0IZv,False,False,False,0,Naive,Naive,Naive,130,Unknown,Unknown,1
24,35,Bc0IZv,False,False,False,0,Naive,Naive,Naive,304,Unknown,Unknown,1
25,67,Bc0IZv,False,False,False,0,Naive,Naive,Naive,426,Unknown,Unknown,1
26,64,Bc0IZv,False,False,False,1,Naive,Naive,Naive,149,Unknown,Unknown,2
27,70,Bc0IZv,False,False,False,0,Naive,Naive,Naive,277,Unknown,Unknown,2
