,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,77,CJj1Bf,False,False,False,0,Naive,Naive,Naive,247,Unknown,Unknown,1
1,53,CJj1Bf,False,False,False,0,Naive,Naive,Naive,412,Unknown,Unknown,1
2,69,CJj1Bf,False,False,False,0,Naive,Naive,Naive,275,Unknown,Unknown,2
3,87,CJj1Bf,False,False,False,0,Naive,Naive,Naive,488,Unknown,Unknown,2
4,8,CJj1Bf,False,False,False,1,Naive,Naive,Naive,224,Unknown,Unknown,1
5,30,CJj1Bf,False,False,False,0,Naive,Naive,Naive,419,Unknown,Unknown,2
6,51,CJj1Bf,False,False,False,0,Naive,Naive,Naive,357,Unknown,Unknown,1
7,2,CJj1Bf,False,False,False,0,Naive,Naive,Naive,433,Unknown,Unknown,2
8,91,CJj1Bf,False,False,False,0,Naive,Naive,Naive,486,Unknown,Unknown,1
9,40,CJj1Bf,False,False,False,0,Naive,Naive,Naive,314,Unknown,Unknown,2
10,17,CJj1Bf,False,False,False,0,Naive,Naive,Naive,420,Unknown,Unknown,2
11,93,CJj1Bf,False,False,False,0,Naive,Naive,Naive,289,Unknown,Unknown,2
12,55,CJj1Bf,False,False,False,0,Naive,Naive,Naive,185,Unknown,Unknown,1
13,36,CJj1Bf,False,False,False,0,Naive,Naive,Naive,301,Unknown,Unknown,2
14,64,CJj1Bf,False,False,False,0,Naive,Naive,Naive,236,Unknown,Unknown,2
15,44,CJj1Bf,False,False,False,0,Naive,Naive,Naive,493,Unknown,Unknown,2
16,71,CJj1Bf,False,False,False,0,Naive,Naive,Naive,453,Unknown,Unknown,1
17,95,CJj1Bf,False,False,False,0,Naive,Naive,Naive,310,Unknown,Unknown,1
18,84,CJj1Bf,False,False,False,0,Naive,Naive,Naive,510,Unknown,Unknown,1
19,96,CJj1Bf,False,False,False,0,Naive,Naive,Naive,254,Unknown,Unknown,1
20,76,CJj1Bf,False,False,False,0,Naive,Naive,Naive,258,Unknown,Unknown,2
21,18,CJj1Bf,False,False,False,0,Naive,Naive,Naive,197,Unknown,Unknown,2
22,41,CJj1Bf,False,False,False,0,Naive,Naive,Naive,148,Unknown,Unknown,1
23,79,CJj1Bf,False,False,False,0,Naive,Naive,Naive,374,Unknown,Unknown,1
24,16,CJj1Bf,False,False,False,0,Naive,Naive,Naive,182,Unknown,Unknown,2
25,97,CJj1Bf,False,False,False,0,Naive,Naive,Naive,508,Unknown,Unknown,1
26,1,CJj1Bf,False,False,False,0,Naive,Naive,Naive,483,Unknown,Unknown,1
27,31,CJj1Bf,False,False,False,0,Naive,Naive,Naive,319,Unknown,Unknown,1
28,100,CJj1Bf,False,True,True,0,Naive,Naive,Naive,17,Unknown,Unknown,2
29,5,CJj1Bf,False,False,False,0,Naive,Naive,Naive,191,Unknown,Unknown,2
30,15,CJj1Bf,False,False,False,0,Naive,Naive,Naive,471,Unknown,Unknown,1
31,3,CJj1Bf,True,False,False,0,Naive,Naive,Naive,121,Unknown,Unknown,1
32,4,CJj1Bf,True,False,False,0,Naive,Naive,Naive,68,Unknown,Unknown,2
33,6,CJj1Bf,True,False,False,0,Naive,Naive,Naive,46,Unknown,Unknown,2
34,7,CJj1Bf,True,False,False,0,Naive,Naive,Naive,516,Unknown,Unknown,2
35,9,CJj1Bf,True,False,False,0,Naive,Naive,Naive,388,Unknown,Unknown,2
36,10,CJj1Bf,True,False,False,0,Naive,Naive,Naive,387,Unknown,Unknown,1
37,11,CJj1Bf,True,False,False,0,Naive,Naive,Naive,508,Unknown,Unknown,1
38,12,CJj1Bf,True,False,False,0,Naive,Naive,Naive,96,Unknown,Unknown,1
39,13,CJj1Bf,True,False,False,0,Naive,Naive,Naive,143,Unknown,Unknown,2
40,14,CJj1Bf,True,False,False,2,Naive,Naive,Naive,280,Unknown,Unknown,2
41,19,CJj1Bf,True,False,False,0,Naive,Naive,Naive,355,Unknown,Unknown,1
42,20,CJj1Bf,True,False,False,0,Naive,Naive,Naive,480,Unknown,Unknown,2
43,21,CJj1Bf,True,False,False,0,Naive,Naive,Naive,170,Unknown,Unknown,1
44,22,CJj1Bf,True,False,False,0,Naive,Naive,Naive,114,Unknown,Unknown,2
45,23,CJj1Bf,True,False,False,0,Naive,Naive,Naive,414,Unknown,Unknown,1
46,24,CJj1Bf,True,False,False,0,Naive,Naive,Naive,313,Unknown,Unknown,2
47,25,CJj1Bf,True,False,False,0,Naive,Naive,Naive,398,Unknown,Unknown,2
48,26,CJj1Bf,True,False,False,0,Naive,Naive,Naive,240,Unknown,Unknown,2
49,27,CJj1Bf,True,False,False,0,Naive,Naive,Naive,387,Unknown,Unknown,2
50,28,CJj1Bf,True,False,False,0,Naive,Naive,Naive,106,Unknown,Unknown,2
51,29,CJj1Bf,True,False,False,0,Naive,Naive,Naive,70,Unknown,Unknown,1
52,32,CJj1Bf,True,False,False,0,Naive,Naive,Naive,20,Unknown,Unknown,1
53,33,CJj1Bf,True,False,False,0,Naive,Naive,Naive,227,Unknown,Unknown,2
54,34,CJj1Bf,True,False,False,0,Naive,Naive,Naive,75,Unknown,Unknown,2
55,35,CJj1Bf,True,False,False,0,Naive,Naive,Naive,125,Unknown,Unknown,1
56,37,CJj1Bf,True,False,False,0,Naive,Naive,Naive,428,Unknown,Unknown,1
57,38,CJj1Bf,True,False,False,0,Naive,Naive,Naive,335,Unknown,Unknown,1
58,39,CJj1Bf,True,False,False,0,Naive,Naive,Naive,328,Unknown,Unknown,2
59,42,CJj1Bf,True,False,False,0,Naive,Naive,Naive,472,Unknown,Unknown,2
60,43,CJj1Bf,True,False,False,0,Naive,Naive,Naive,96,Unknown,Unknown,1
61,45,CJj1Bf,True,False,False,0,Naive,Naive,Naive,409,Unknown,Unknown,1
62,46,CJj1Bf,True,False,False,0,Naive,Naive,Naive,106,Unknown,Unknown,2
63,47,CJj1Bf,True,False,False,0,Naive,Naive,Naive,71,Unknown,Unknown,1
64,48,CJj1Bf,True,False,False,0,Naive,Naive,Naive,364,Unknown,Unknown,2
65,49,CJj1Bf,True,False,False,0,Naive,Naive,Naive,498,Unknown,Unknown,2
66,50,CJj1Bf,True,False,False,0,Naive,Naive,Naive,340,Unknown,Unknown,2
67,52,CJj1Bf,True,False,False,0,Naive,Naive,Naive,236,Unknown,Unknown,2
68,54,CJj1Bf,True,False,False,0,Naive,Naive,Naive,133,Unknown,Unknown,1
69,56,CJj1Bf,True,False,False,0,Naive,Naive,Naive,226,Unknown,Unknown,1
70,57,CJj1Bf,True,False,False,0,Naive,Naive,Naive,156,Unknown,Unknown,2
71,58,CJj1Bf,True,False,False,0,Naive,Naive,Naive,161,Unknown,Unknown,2
72,59,CJj1Bf,True,False,False,0,Naive,Naive,Naive,419,Unknown,Unknown,1
73,60,CJj1Bf,True,False,False,0,Naive,Naive,Naive,21,Unknown,Unknown,2
74,61,CJj1Bf,True,False,False,0,Naive,Naive,Naive,23,Unknown,Unknown,2
75,62,CJj1Bf,True,False,False,0,Naive,Naive,Naive,403,Unknown,Unknown,2
76,63,CJj1Bf,True,False,False,0,Naive,Naive,Naive,233,Unknown,Unknown,2
77,65,CJj1Bf,True,False,False,0,Naive,Naive,Naive,314,Unknown,Unknown,1
78,66,CJj1Bf,True,False,False,0,Naive,Naive,Naive,32,Unknown,Unknown,2
79,67,CJj1Bf,True,False,False,0,Naive,Naive,Naive,412,Unknown,Unknown,2
80,68,CJj1Bf,True,False,False,0,Naive,Naive,Naive,371,Unknown,Unknown,2
81,70,CJj1Bf,True,False,False,0,Naive,Naive,Naive,173,Unknown,Unknown,1
82,72,CJj1Bf,True,False,False,0,Naive,Naive,Naive,418,Unknown,Unknown,1
83,73,CJj1Bf,True,False,False,0,Naive,Naive,Naive,370,Unknown,Unknown,2
84,74,CJj1Bf,True,False,False,0,Naive,Naive,Naive,447,Unknown,Unknown,1
85,75,CJj1Bf,True,False,False,0,Naive,Naive,Naive,177,Unknown,Unknown,1
86,78,CJj1Bf,True,False,False,0,Naive,Naive,Naive,351,Unknown,Unknown,1
87,80,CJj1Bf,True,False,False,0,Naive,Naive,Naive,211,Unknown,Unknown,1
88,81,CJj1Bf,True,False,False,0,Naive,Naive,Naive,148,Unknown,Unknown,1
89,82,CJj1Bf,True,False,False,0,Naive,Naive,Naive,359,Unknown,Unknown,2
90,83,CJj1Bf,True,False,False,0,Naive,Naive,Naive,23,Unknown,Unknown,2
91,85,CJj1Bf,True,False,False,0,Naive,Naive,Naive,187,Unknown,Unknown,2
92,86,CJj1Bf,True,False,False,0,Naive,Naive,Naive,88,Unknown,Unknown,1
93,88,CJj1Bf,True,False,False,0,Naive,Naive,Naive,257,Unknown,Unknown,2
94,89,CJj1Bf,True,False,False,0,Naive,Naive,Naive,517,Unknown,Unknown,1
95,90,CJj1Bf,True,False,False,0,Naive,Naive,Naive,42,Unknown,Unknown,1
96,92,CJj1Bf,True,False,False,0,Naive,Naive,Naive,206,Unknown,Unknown,1
97,94,CJj1Bf,True,False,False,0,Naive,Naive,Naive,110,Unknown,Unknown,2
98,98,CJj1Bf,True,False,False,0,Naive,Naive,Naive,240,Unknown,Unknown,1
99,99,CJj1Bf,True,False,False,0,Naive,Naive,Naive,334,Unknown,Unknown,1
100,101,CJj1Bf,True,False,False,0,Naive,Naive,Naive,17,43,False,1
101,102,CJj1Bf,True,False,False,0,Naive,Naive,Naive,17,80,False,2
102,103,CJj1Bf,True,False,False,0,Naive,Naive,Naive,16,61,False,2
103,104,CJj1Bf,True,False,False,0,Naive,Naive,Naive,16,21,False,1
104,105,CJj1Bf,True,False,False,0,Naive,Naive,Naive,15,19,False,1
105,106,CJj1Bf,True,False,False,0,Naive,Naive,Naive,14,68,False,2
106,107,CJj1Bf,True,False,False,0,Naive,Naive,Naive,14,39,False,1
107,108,CJj1Bf,True,False,False,0,Naive,Naive,Naive,13,40,False,2
108,109,CJj1Bf,True,False,False,0,Naive,Naive,Naive,13,23,False,1
109,110,CJj1Bf,True,False,False,0,Naive,Naive,Naive,12,84,False,1
110,111,CJj1Bf,True,False,False,0,Naive,Naive,Naive,12,93,False,2
111,112,CJj1Bf,True,False,False,0,Naive,Naive,Naive,12,11,False,1
112,113,CJj1Bf,True,False,False,0,Naive,Naive,Naive,10,90,False,1
113,114,CJj1Bf,True,False,False,0,Naive,Naive,Naive,10,103,False,2
