,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,60,CbY7T0,False,False,False,0,Naive,Naive,Naive,173,Unknown,Unknown,2
1,59,CbY7T0,False,False,False,0,Naive,Naive,Naive,353,Unknown,Unknown,1
2,54,CbY7T0,False,False,False,0,Naive,Naive,Naive,246,Unknown,Unknown,1
3,19,CbY7T0,False,False,False,0,Naive,Naive,Naive,488,Unknown,Unknown,2
4,27,CbY7T0,False,False,False,0,Naive,Naive,Naive,407,Unknown,Unknown,2
5,92,CbY7T0,False,False,False,0,Naive,Naive,Naive,316,Unknown,Unknown,2
6,5,CbY7T0,False,False,False,0,Naive,Naive,Naive,426,Unknown,Unknown,2
7,29,CbY7T0,False,False,False,0,Naive,Naive,Naive,281,Unknown,Unknown,1
8,69,CbY7T0,False,False,False,0,Naive,Naive,Naive,377,Unknown,Unknown,2
9,97,CbY7T0,False,False,False,0,Naive,Naive,Naive,81,Unknown,Unknown,1
10,23,CbY7T0,False,False,False,0,Naive,Naive,Naive,470,Unknown,Unknown,2
11,67,CbY7T0,False,False,False,0,Naive,Naive,Naive,285,Unknown,Unknown,1
12,99,CbY7T0,False,False,False,0,Naive,Naive,Naive,393,Unknown,Unknown,1
13,3,CbY7T0,False,False,False,0,Naive,Naive,Naive,114,Unknown,Unknown,2
14,75,CbY7T0,False,False,False,0,Naive,Naive,Naive,291,Unknown,Unknown,1
15,89,CbY7T0,False,False,False,0,Naive,Naive,Naive,192,Unknown,Unknown,1
16,61,CbY7T0,False,False,False,0,Naive,Naive,Naive,236,Unknown,Unknown,2
17,51,CbY7T0,False,False,False,0,Naive,Naive,Naive,197,Unknown,Unknown,1
18,10,CbY7T0,False,False,False,0,Naive,Naive,Naive,474,Unknown,Unknown,2
19,71,CbY7T0,False,False,False,0,Naive,Naive,Naive,319,Unknown,Unknown,1
20,15,CbY7T0,False,False,False,0,Naive,Naive,Naive,432,Unknown,Unknown,1
21,40,CbY7T0,False,False,False,0,Naive,Naive,Naive,157,Unknown,Unknown,2
22,13,CbY7T0,False,False,False,0,Naive,Naive,Naive,114,Unknown,Unknown,1
23,91,CbY7T0,False,False,False,0,Naive,Naive,Naive,359,Unknown,Unknown,2
24,87,CbY7T0,False,False,False,0,Naive,Naive,Naive,463,Unknown,Unknown,2
25,90,CbY7T0,False,False,False,0,Naive,Naive,Naive,435,Unknown,Unknown,2
26,12,CbY7T0,False,False,False,0,Naive,Naive,Naive,152,Unknown,Unknown,1
27,50,CbY7T0,False,False,False,0,Naive,Naive,Naive,148,Unknown,Unknown,2
28,21,CbY7T0,False,False,False,0,Naive,Naive,Naive,392,Unknown,Unknown,2
29,74,CbY7T0,False,False,False,0,Naive,Naive,Naive,368,Unknown,Unknown,2
30,86,CbY7T0,False,False,False,0,Naive,Naive,Naive,342,Unknown,Unknown,2
31,33,CbY7T0,False,False,False,0,Naive,Naive,Naive,203,Unknown,Unknown,1
32,17,CbY7T0,False,False,False,0,Naive,Naive,Naive,278,Unknown,Unknown,1
33,68,CbY7T0,False,False,False,0,Naive,Naive,Naive,385,Unknown,Unknown,2
34,1,CbY7T0,False,False,False,0,Naive,Naive,Naive,438,Unknown,Unknown,1
35,31,CbY7T0,False,False,False,0,Naive,Naive,Naive,225,Unknown,Unknown,2
36,73,CbY7T0,False,False,False,0,Naive,Naive,Naive,322,Unknown,Unknown,1
37,46,CbY7T0,False,False,False,0,Naive,Naive,Naive,409,Unknown,Unknown,2
38,119,CbY7T0,False,False,False,0,Naive,Naive,Naive,14,79,False,2
39,36,CbY7T0,False,False,False,0,Naive,Naive,Naive,327,Unknown,Unknown,2
40,52,CbY7T0,False,False,False,0,Naive,Naive,Naive,350,Unknown,Unknown,2
41,28,CbY7T0,False,False,False,0,Naive,Naive,Naive,425,Unknown,Unknown,1
42,41,CbY7T0,False,False,False,0,Naive,Naive,Naive,243,Unknown,Unknown,1
43,76,CbY7T0,False,False,False,0,Naive,Naive,Naive,420,Unknown,Unknown,2
44,2,CbY7T0,False,False,False,0,Naive,Naive,Naive,443,Unknown,Unknown,1
45,63,CbY7T0,False,False,False,0,Naive,Naive,Naive,451,Unknown,Unknown,1
46,24,CbY7T0,False,False,False,0,Naive,Naive,Naive,306,Unknown,Unknown,2
47,8,CbY7T0,False,False,False,0,Naive,Naive,Naive,48,Unknown,Unknown,2
48,25,CbY7T0,False,False,False,0,Naive,Naive,Naive,269,Unknown,Unknown,1
49,11,CbY7T0,False,False,False,1,Naive,Naive,Naive,364,Unknown,Unknown,2
50,85,CbY7T0,False,False,False,0,Naive,Naive,Naive,315,Unknown,Unknown,1
51,43,CbY7T0,False,False,False,0,Naive,Naive,Naive,138,Unknown,Unknown,1
52,64,CbY7T0,False,False,False,0,Naive,Naive,Naive,463,Unknown,Unknown,2
53,94,CbY7T0,False,False,False,0,Naive,Naive,Naive,457,Unknown,Unknown,2
54,48,CbY7T0,False,False,False,0,Naive,Naive,Naive,518,Unknown,Unknown,1
55,93,CbY7T0,False,False,False,0,Naive,Naive,Naive,381,Unknown,Unknown,1
56,38,CbY7T0,False,False,False,0,Naive,Naive,Naive,285,Unknown,Unknown,2
57,47,CbY7T0,False,False,False,0,Naive,Naive,Naive,313,Unknown,Unknown,2
58,112,CbY7T0,False,False,False,0,Naive,Naive,Naive,32,14,False,2
59,58,CbY7T0,False,False,False,0,Naive,Naive,Naive,154,Unknown,Unknown,1
60,26,CbY7T0,False,False,False,0,Naive,Naive,Naive,183,Unknown,Unknown,2
61,14,CbY7T0,False,False,False,0,Naive,Naive,Naive,478,Unknown,Unknown,2
62,53,CbY7T0,False,False,False,0,Naive,Naive,Naive,455,Unknown,Unknown,1
63,100,CbY7T0,False,True,True,0,Naive,Naive,Naive,41,Unknown,Unknown,2
64,98,CbY7T0,False,False,False,0,Naive,Naive,Naive,320,Unknown,Unknown,1
65,6,CbY7T0,False,False,False,0,Naive,Naive,Naive,415,Unknown,Unknown,1
66,4,CbY7T0,True,False,False,0,Naive,Naive,Naive,210,Unknown,Unknown,1
67,7,CbY7T0,True,False,False,0,Naive,Naive,Naive,48,Unknown,Unknown,1
68,9,CbY7T0,True,False,False,1,Naive,Naive,Naive,192,Unknown,Unknown,1
69,16,CbY7T0,True,False,False,0,Naive,Naive,Naive,231,Unknown,Unknown,1
70,18,CbY7T0,True,False,False,1,Naive,Naive,Naive,309,Unknown,Unknown,2
71,20,CbY7T0,True,False,False,0,Naive,Naive,Naive,104,Unknown,Unknown,1
72,22,CbY7T0,True,False,False,0,Naive,Naive,Naive,45,Unknown,Unknown,1
73,30,CbY7T0,True,False,False,0,Naive,Naive,Naive,178,Unknown,Unknown,1
74,32,CbY7T0,True,False,False,0,Naive,Naive,Naive,130,Unknown,Unknown,2
75,34,CbY7T0,True,False,False,0,Naive,Naive,Naive,281,Unknown,Unknown,1
76,35,CbY7T0,True,False,False,0,Naive,Naive,Naive,182,Unknown,Unknown,1
77,37,CbY7T0,True,False,False,0,Naive,Naive,Naive,87,Unknown,Unknown,2
78,39,CbY7T0,True,False,False,0,Naive,Naive,Naive,154,Unknown,Unknown,2
79,42,CbY7T0,True,False,False,0,Naive,Naive,Naive,102,Unknown,Unknown,1
80,44,CbY7T0,True,False,False,0,Naive,Naive,Naive,139,Unknown,Unknown,2
81,45,CbY7T0,True,False,False,0,Naive,Naive,Naive,433,Unknown,Unknown,2
82,49,CbY7T0,True,False,False,0,Naive,Naive,Naive,141,Unknown,Unknown,2
83,55,CbY7T0,True,False,False,0,Naive,Naive,Naive,115,Unknown,Unknown,1
84,56,CbY7T0,True,False,False,0,Naive,Naive,Naive,197,Unknown,Unknown,1
85,57,CbY7T0,True,False,False,0,Naive,Naive,Naive,123,Unknown,Unknown,2
86,62,CbY7T0,True,False,False,0,Naive,Naive,Naive,392,Unknown,Unknown,2
87,65,CbY7T0,True,False,False,0,Naive,Naive,Naive,191,Unknown,Unknown,1
88,66,CbY7T0,True,False,False,0,Naive,Naive,Naive,140,Unknown,Unknown,1
89,70,CbY7T0,True,False,False,0,Naive,Naive,Naive,55,Unknown,Unknown,2
90,72,CbY7T0,True,False,False,1,Naive,Naive,Naive,51,Unknown,Unknown,2
91,77,CbY7T0,True,False,False,0,Naive,Naive,Naive,233,Unknown,Unknown,1
92,78,CbY7T0,True,False,False,0,Naive,Naive,Naive,248,Unknown,Unknown,1
93,79,CbY7T0,True,False,False,0,Naive,Naive,Naive,407,Unknown,Unknown,2
94,80,CbY7T0,True,False,False,0,Naive,Naive,Naive,355,Unknown,Unknown,2
95,81,CbY7T0,True,False,False,0,Naive,Naive,Naive,185,Unknown,Unknown,1
96,82,CbY7T0,True,False,False,0,Naive,Naive,Naive,191,Unknown,Unknown,2
97,83,CbY7T0,True,False,False,0,Naive,Naive,Naive,120,Unknown,Unknown,2
98,84,CbY7T0,True,False,False,0,Naive,Naive,Naive,199,Unknown,Unknown,1
99,88,CbY7T0,True,False,False,0,Naive,Naive,Naive,228,Unknown,Unknown,1
100,95,CbY7T0,True,False,False,0,Naive,Naive,Naive,276,Unknown,Unknown,2
101,96,CbY7T0,True,False,False,0,Naive,Naive,Naive,129,Unknown,Unknown,1
102,101,CbY7T0,True,False,False,0,Naive,Naive,Naive,41,35,False,2
103,102,CbY7T0,True,False,False,0,Naive,Naive,Naive,41,84,False,2
104,103,CbY7T0,True,False,False,0,Naive,Naive,Naive,41,1,False,1
105,104,CbY7T0,True,False,False,0,Naive,Naive,Naive,40,43,False,1
106,105,CbY7T0,True,False,False,0,Naive,Naive,Naive,40,39,False,2
107,106,CbY7T0,True,False,False,0,Naive,Naive,Naive,40,37,False,2
108,107,CbY7T0,True,False,False,1,Naive,Naive,Naive,40,4,False,1
109,108,CbY7T0,True,False,False,0,Naive,Naive,Naive,40,94,False,1
110,109,CbY7T0,True,False,False,0,Naive,Naive,Naive,40,85,False,2
111,110,CbY7T0,True,False,False,1,Naive,Naive,Naive,40,18,False,2
112,111,CbY7T0,True,False,False,0,Naive,Naive,Naive,40,7,False,1
113,113,CbY7T0,True,False,False,0,Naive,Naive,Naive,39,70,False,2
114,114,CbY7T0,True,False,False,0,Naive,Naive,Naive,37,113,False,2
115,115,CbY7T0,True,False,False,0,Naive,Naive,Naive,37,39,False,2
116,116,CbY7T0,True,False,False,1,Naive,Naive,Naive,37,38,False,2
117,117,CbY7T0,True,False,False,0,Naive,Naive,Naive,37,26,False,1
118,118,CbY7T0,True,False,False,0,Naive,Naive,Naive,37,109,False,1
119,120,CbY7T0,True,False,False,0,Naive,Naive,Naive,36,21,False,2
120,121,CbY7T0,True,False,False,0,Naive,Naive,Naive,36,114,False,2
121,122,CbY7T0,True,False,False,0,Naive,Naive,Naive,35,24,False,2
122,123,CbY7T0,True,False,False,0,Naive,Naive,Naive,35,110,False,1
123,124,CbY7T0,True,False,False,0,Naive,Naive,Naive,35,109,False,1
124,125,CbY7T0,True,False,False,2,Naive,Naive,Naive,34,63,False,1
125,126,CbY7T0,True,False,False,0,Naive,Naive,Naive,32,94,False,2
126,127,CbY7T0,True,False,False,0,Naive,Naive,Naive,32,102,False,2
127,128,CbY7T0,True,False,False,0,Naive,Naive,Naive,28,47,False,2
