,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,22,D7ud5T,False,False,False,0,Naive,Naive,Naive,207,Unknown,Unknown,2
1,7,D7ud5T,False,False,False,0,Naive,Naive,Naive,355,Unknown,Unknown,1
2,75,D7ud5T,False,False,False,0,Naive,Naive,Naive,284,Unknown,Unknown,2
3,44,D7ud5T,False,False,False,0,Naive,Naive,Naive,431,Unknown,Unknown,2
4,27,D7ud5T,False,False,False,0,Naive,Naive,Naive,185,Unknown,Unknown,1
5,92,D7ud5T,False,False,False,0,Naive,Naive,Naive,215,Unknown,Unknown,1
6,74,D7ud5T,False,False,False,0,Naive,Naive,Naive,292,Unknown,Unknown,2
7,13,D7ud5T,False,False,False,0,Naive,Naive,Naive,363,Unknown,Unknown,2
8,93,D7ud5T,False,False,False,0,Naive,Naive,Naive,139,Unknown,Unknown,1
9,83,D7ud5T,False,False,False,0,Naive,Naive,Naive,492,Unknown,Unknown,2
10,62,D7ud5T,False,False,False,0,Naive,Naive,Naive,499,Unknown,Unknown,1
11,49,D7ud5T,False,False,False,1,Naive,Naive,Naive,279,Unknown,Unknown,2
12,38,D7ud5T,False,False,False,0,Naive,Naive,Naive,16,Unknown,Unknown,1
13,6,D7ud5T,False,False,False,0,Naive,Naive,Naive,154,Unknown,Unknown,2
14,71,D7ud5T,False,False,False,0,Naive,Naive,Naive,327,Unknown,Unknown,2
15,63,D7ud5T,False,False,False,0,Naive,Naive,Naive,509,Unknown,Unknown,2
16,1,D7ud5T,False,False,False,0,Naive,Naive,Naive,128,Unknown,Unknown,1
17,85,D7ud5T,False,False,False,0,Naive,Naive,Naive,190,Unknown,Unknown,2
18,55,D7ud5T,False,False,False,0,Naive,Naive,Naive,466,Unknown,Unknown,1
19,77,D7ud5T,False,False,False,1,Naive,Naive,Naive,220,Unknown,Unknown,1
20,47,D7ud5T,False,False,False,0,Naive,Naive,Naive,189,Unknown,Unknown,1
21,16,D7ud5T,False,False,False,0,Naive,Naive,Naive,165,Unknown,Unknown,1
22,46,D7ud5T,False,False,False,0,Naive,Naive,Naive,263,Unknown,Unknown,2
23,39,D7ud5T,False,False,False,0,Naive,Naive,Naive,218,Unknown,Unknown,1
24,87,D7ud5T,False,False,False,0,Naive,Naive,Naive,498,Unknown,Unknown,2
25,86,D7ud5T,False,False,False,0,Naive,Naive,Naive,399,Unknown,Unknown,2
26,81,D7ud5T,False,False,False,0,Naive,Naive,Naive,78,Unknown,Unknown,1
27,18,D7ud5T,False,False,False,0,Naive,Naive,Naive,471,Unknown,Unknown,2
28,53,D7ud5T,False,False,False,0,Naive,Naive,Naive,196,Unknown,Unknown,2
29,2,D7ud5T,False,False,False,0,Naive,Naive,Naive,251,Unknown,Unknown,2
30,20,D7ud5T,False,False,False,0,Naive,Naive,Naive,220,Unknown,Unknown,1
31,29,D7ud5T,False,False,False,0,Naive,Naive,Naive,318,Unknown,Unknown,2
32,25,D7ud5T,False,False,False,0,Naive,Naive,Naive,397,Unknown,Unknown,2
33,15,D7ud5T,False,False,False,0,Naive,Naive,Naive,270,Unknown,Unknown,2
34,3,D7ud5T,False,False,False,0,Naive,Naive,Naive,399,Unknown,Unknown,1
35,11,D7ud5T,False,False,False,1,Naive,Naive,Naive,63,Unknown,Unknown,1
36,114,D7ud5T,False,False,False,0,Naive,Naive,Naive,19,12,False,1
37,54,D7ud5T,False,False,False,0,Naive,Naive,Naive,428,Unknown,Unknown,2
38,88,D7ud5T,False,False,False,0,Naive,Naive,Naive,269,Unknown,Unknown,2
39,70,D7ud5T,False,False,False,0,Naive,Naive,Naive,273,Unknown,Unknown,2
40,50,D7ud5T,False,False,False,0,Naive,Naive,Naive,288,Unknown,Unknown,1
41,90,D7ud5T,False,False,False,0,Naive,Naive,Naive,309,Unknown,Unknown,2
42,98,D7ud5T,False,False,False,0,Naive,Naive,Naive,139,Unknown,Unknown,1
43,109,D7ud5T,False,False,False,0,Naive,Naive,Naive,28,101,False,1
44,59,D7ud5T,False,False,False,0,Naive,Naive,Naive,110,Unknown,Unknown,2
45,23,D7ud5T,False,False,False,0,Naive,Naive,Naive,490,Unknown,Unknown,2
46,61,D7ud5T,False,False,False,0,Naive,Naive,Naive,425,Unknown,Unknown,2
47,69,D7ud5T,False,False,False,0,Naive,Naive,Naive,43,Unknown,Unknown,1
48,28,D7ud5T,False,False,False,0,Naive,Naive,Naive,78,Unknown,Unknown,2
49,60,D7ud5T,False,False,False,0,Naive,Naive,Naive,218,Unknown,Unknown,1
50,5,D7ud5T,False,False,False,0,Naive,Naive,Naive,75,Unknown,Unknown,2
51,32,D7ud5T,False,False,False,0,Naive,Naive,Naive,512,Unknown,Unknown,1
52,64,D7ud5T,False,False,False,0,Naive,Naive,Naive,289,Unknown,Unknown,2
53,72,D7ud5T,False,False,False,0,Naive,Naive,Naive,159,Unknown,Unknown,1
54,30,D7ud5T,False,False,False,0,Naive,Naive,Naive,352,Unknown,Unknown,1
55,80,D7ud5T,False,False,False,0,Naive,Naive,Naive,466,Unknown,Unknown,1
56,24,D7ud5T,False,False,False,0,Naive,Naive,Naive,159,Unknown,Unknown,2
57,84,D7ud5T,False,False,False,0,Naive,Naive,Naive,65,Unknown,Unknown,1
58,73,D7ud5T,False,False,False,0,Naive,Naive,Naive,166,Unknown,Unknown,1
59,97,D7ud5T,False,False,False,0,Naive,Naive,Naive,341,Unknown,Unknown,1
60,122,D7ud5T,False,False,False,0,Naive,Naive,Naive,37,102,False,2
61,107,D7ud5T,False,False,False,0,Naive,Naive,Naive,50,36,False,2
62,45,D7ud5T,False,False,False,0,Naive,Naive,Naive,74,Unknown,Unknown,1
63,42,D7ud5T,False,False,False,0,Naive,Naive,Naive,269,Unknown,Unknown,1
64,48,D7ud5T,False,False,False,0,Naive,Naive,Naive,405,Unknown,Unknown,1
65,26,D7ud5T,False,False,False,0,Naive,Naive,Naive,338,Unknown,Unknown,1
66,95,D7ud5T,False,False,False,0,Naive,Naive,Naive,316,Unknown,Unknown,1
67,41,D7ud5T,False,False,False,0,Naive,Naive,Naive,399,Unknown,Unknown,2
68,34,D7ud5T,False,False,False,3,Naive,Naive,Naive,106,Unknown,Unknown,2
69,9,D7ud5T,False,False,False,0,Naive,Naive,Naive,118,Unknown,Unknown,2
70,40,D7ud5T,False,False,False,0,Naive,Naive,Naive,337,Unknown,Unknown,1
71,113,D7ud5T,False,False,False,0,Naive,Naive,Naive,49,107,False,1
72,10,D7ud5T,False,False,False,0,Naive,Naive,Naive,365,Unknown,Unknown,2
73,76,D7ud5T,False,False,False,0,Naive,Naive,Naive,326,Unknown,Unknown,1
74,43,D7ud5T,False,False,False,0,Naive,Naive,Naive,296,Unknown,Unknown,2
75,121,D7ud5T,False,False,False,0,Naive,Naive,Naive,48,113,False,1
76,135,D7ud5T,False,False,False,0,Naive,Naive,Naive,37,120,False,1
77,89,D7ud5T,False,False,False,0,Naive,Naive,Naive,175,Unknown,Unknown,1
78,65,D7ud5T,False,False,False,0,Naive,Naive,Naive,238,Unknown,Unknown,1
79,127,D7ud5T,False,False,False,0,Naive,Naive,Naive,47,66,False,2
