,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,7,FISB9V,False,False,False,0,Naive,Naive,Naive,417,Unknown,Unknown,2
1,28,FISB9V,False,False,False,0,Naive,Naive,Naive,454,Unknown,Unknown,2
2,49,FISB9V,False,False,False,0,Naive,Naive,Naive,386,Unknown,Unknown,2
3,86,FISB9V,False,False,False,0,Naive,Naive,Naive,296,Unknown,Unknown,2
4,40,FISB9V,False,False,False,0,Naive,Naive,Naive,472,Unknown,Unknown,2
5,51,FISB9V,False,False,False,0,Naive,Naive,Naive,328,Unknown,Unknown,2
6,90,FISB9V,False,False,False,0,Naive,Naive,Naive,332,Unknown,Unknown,2
7,41,FISB9V,False,False,False,0,Naive,Naive,Naive,223,Unknown,Unknown,1
8,23,FISB9V,False,False,False,0,Naive,Naive,Naive,489,Unknown,Unknown,1
9,9,FISB9V,False,False,False,0,Naive,Naive,Naive,488,Unknown,Unknown,1
10,1,FISB9V,False,False,False,0,Naive,Naive,Naive,486,Unknown,Unknown,1
11,21,FISB9V,False,False,False,0,Naive,Naive,Naive,407,Unknown,Unknown,2
12,66,FISB9V,False,False,False,0,Naive,Naive,Naive,338,Unknown,Unknown,1
13,3,FISB9V,False,False,False,0,Naive,Naive,Naive,494,Unknown,Unknown,1
14,24,FISB9V,False,False,False,0,Naive,Naive,Naive,114,Unknown,Unknown,1
15,81,FISB9V,False,False,False,0,Naive,Naive,Naive,36,Unknown,Unknown,1
16,56,FISB9V,False,False,False,1,Naive,Naive,Naive,271,Unknown,Unknown,2
17,79,FISB9V,False,False,False,1,Naive,Naive,Naive,228,Unknown,Unknown,1
18,27,FISB9V,False,False,False,0,Naive,Naive,Naive,289,Unknown,Unknown,1
19,57,FISB9V,False,False,False,0,Naive,Naive,Naive,484,Unknown,Unknown,2
20,96,FISB9V,False,False,False,0,Naive,Naive,Naive,166,Unknown,Unknown,2
21,12,FISB9V,False,False,False,0,Naive,Naive,Naive,175,Unknown,Unknown,2
22,76,FISB9V,False,False,False,0,Naive,Naive,Naive,276,Unknown,Unknown,1
23,32,FISB9V,False,False,False,0,Naive,Naive,Naive,203,Unknown,Unknown,2
24,62,FISB9V,False,False,False,0,Naive,Naive,Naive,316,Unknown,Unknown,1
25,2,FISB9V,False,False,False,0,Naive,Naive,Naive,511,Unknown,Unknown,1
26,61,FISB9V,False,False,False,0,Naive,Naive,Naive,103,Unknown,Unknown,1
27,73,FISB9V,False,False,False,0,Naive,Naive,Naive,313,Unknown,Unknown,1
28,60,FISB9V,False,False,False,2,Naive,Naive,Naive,252,Unknown,Unknown,1
29,39,FISB9V,False,False,False,0,Naive,Naive,Naive,293,Unknown,Unknown,1
30,67,FISB9V,False,False,False,0,Naive,Naive,Naive,400,Unknown,Unknown,2
31,72,FISB9V,False,False,False,0,Naive,Naive,Naive,360,Unknown,Unknown,1
32,36,FISB9V,False,False,False,0,Naive,Naive,Naive,370,Unknown,Unknown,2
33,13,FISB9V,False,False,False,0,Naive,Naive,Naive,445,Unknown,Unknown,2
34,64,FISB9V,False,False,False,0,Naive,Naive,Naive,194,Unknown,Unknown,1
35,97,FISB9V,False,False,False,0,Naive,Naive,Naive,480,Unknown,Unknown,2
36,37,FISB9V,False,False,False,0,Naive,Naive,Naive,360,Unknown,Unknown,2
37,53,FISB9V,False,False,False,0,Naive,Naive,Naive,490,Unknown,Unknown,2
38,17,FISB9V,False,False,False,0,Naive,Naive,Naive,458,Unknown,Unknown,1
39,71,FISB9V,False,False,False,0,Naive,Naive,Naive,485,Unknown,Unknown,2
40,15,FISB9V,False,False,False,0,Naive,Naive,Naive,280,Unknown,Unknown,2
41,47,FISB9V,False,False,False,0,Naive,Naive,Naive,218,Unknown,Unknown,2
42,95,FISB9V,False,False,False,0,Naive,Naive,Naive,445,Unknown,Unknown,2
43,6,FISB9V,False,False,False,0,Naive,Naive,Naive,462,Unknown,Unknown,1
44,82,FISB9V,False,False,False,0,Naive,Naive,Naive,358,Unknown,Unknown,2
45,59,FISB9V,False,False,False,0,Naive,Naive,Naive,126,Unknown,Unknown,1
46,52,FISB9V,False,False,False,0,Naive,Naive,Naive,268,Unknown,Unknown,1
47,20,FISB9V,False,False,False,0,Naive,Naive,Naive,441,Unknown,Unknown,1
48,80,FISB9V,False,False,False,0,Naive,Naive,Naive,294,Unknown,Unknown,2
49,84,FISB9V,False,False,False,0,Naive,Naive,Naive,168,Unknown,Unknown,1
50,18,FISB9V,False,False,False,0,Naive,Naive,Naive,318,Unknown,Unknown,1
51,75,FISB9V,False,False,False,1,Naive,Naive,Naive,293,Unknown,Unknown,1
52,70,FISB9V,False,False,False,0,Naive,Naive,Naive,95,Unknown,Unknown,2
53,5,FISB9V,False,False,False,0,Naive,Naive,Naive,91,Unknown,Unknown,2
54,74,FISB9V,False,False,False,0,Naive,Naive,Naive,259,Unknown,Unknown,1
55,4,FISB9V,False,False,False,1,Naive,Naive,Naive,96,Unknown,Unknown,1
56,69,FISB9V,False,False,False,0,Naive,Naive,Naive,243,Unknown,Unknown,2
57,42,FISB9V,False,False,False,0,Naive,Naive,Naive,86,Unknown,Unknown,2
58,87,FISB9V,False,False,False,0,Naive,Naive,Naive,311,Unknown,Unknown,2
59,77,FISB9V,False,False,False,0,Naive,Naive,Naive,340,Unknown,Unknown,1
60,63,FISB9V,False,False,False,0,Naive,Naive,Naive,439,Unknown,Unknown,2
61,85,FISB9V,False,False,False,0,Naive,Naive,Naive,229,Unknown,Unknown,1
62,30,FISB9V,False,False,False,0,Naive,Naive,Naive,96,Unknown,Unknown,2
63,99,FISB9V,False,False,False,0,Naive,Naive,Naive,143,Unknown,Unknown,2
64,16,FISB9V,False,False,False,0,Naive,Naive,Naive,208,Unknown,Unknown,2
65,78,FISB9V,False,False,False,0,Naive,Naive,Naive,112,Unknown,Unknown,2
66,147,FISB9V,False,False,False,0,Naive,Naive,Naive,17,74,False,1
67,92,FISB9V,False,False,False,0,Naive,Naive,Naive,340,Unknown,Unknown,2
68,83,FISB9V,False,False,False,0,Naive,Naive,Naive,340,Unknown,Unknown,2
69,31,FISB9V,False,False,False,0,Naive,Naive,Naive,330,Unknown,Unknown,2
70,88,FISB9V,False,False,False,0,Naive,Naive,Naive,287,Unknown,Unknown,2
71,33,FISB9V,False,False,False,0,Naive,Naive,Naive,287,Unknown,Unknown,2
72,168,FISB9V,False,False,False,0,Naive,Naive,Naive,5,133,False,2
73,102,FISB9V,False,False,False,0,Naive,Naive,Naive,57,24,False,2
74,89,FISB9V,False,False,False,0,Naive,Naive,Naive,217,Unknown,Unknown,1
75,11,FISB9V,False,False,False,0,Naive,Naive,Naive,365,Unknown,Unknown,2
76,146,FISB9V,False,False,False,0,Naive,Naive,Naive,33,132,False,1
77,34,FISB9V,False,False,False,0,Naive,Naive,Naive,137,Unknown,Unknown,2
78,14,FISB9V,False,False,False,0,Naive,Naive,Naive,341,Unknown,Unknown,2
79,107,FISB9V,False,False,False,0,Naive,Naive,Naive,61,8,False,1
80,171,FISB9V,False,False,False,0,Naive,Naive,Naive,15,170,False,2
81,109,FISB9V,False,False,False,0,Naive,Naive,Naive,61,1,False,2
82,26,FISB9V,False,False,False,0,Naive,Naive,Naive,273,Unknown,Unknown,1
83,149,FISB9V,False,False,False,0,Naive,Naive,Naive,36,94,False,2
84,10,FISB9V,False,False,False,0,Naive,Naive,Naive,153,Unknown,Unknown,1
85,118,FISB9V,False,False,False,0,Naive,Naive,Naive,59,112,False,2
86,55,FISB9V,False,False,False,0,Naive,Naive,Naive,188,Unknown,Unknown,2
87,38,FISB9V,False,False,False,0,Naive,Naive,Naive,286,Unknown,Unknown,1
88,93,FISB9V,False,False,False,0,Naive,Naive,Naive,305,Unknown,Unknown,1
89,127,FISB9V,False,False,False,0,Naive,Naive,Naive,59,77,False,1
90,128,FISB9V,False,False,False,0,Naive,Naive,Naive,60,118,False,2
91,8,FISB9V,False,False,False,0,Naive,Naive,Naive,396,Unknown,Unknown,2
92,45,FISB9V,False,False,False,0,Naive,Naive,Naive,532,Unknown,Unknown,1
93,94,FISB9V,False,False,False,0,Naive,Naive,Naive,231,Unknown,Unknown,2
94,121,FISB9V,False,False,False,2,Naive,Naive,Naive,71,91,False,1
95,148,FISB9V,False,False,False,0,Naive,Naive,Naive,56,114,False,2
96,156,FISB9V,False,False,False,0,Naive,Naive,Naive,50,94,False,2
97,50,FISB9V,False,False,False,0,Naive,Naive,Naive,265,Unknown,Unknown,2
98,134,FISB9V,False,False,False,0,Naive,Naive,Naive,75,123,False,1
99,100,FISB9V,False,True,True,0,Naive,Naive,Naive,96,Unknown,Unknown,2
100,140,FISB9V,False,False,False,0,Naive,Naive,Naive,70,126,False,2
101,186,FISB9V,False,False,False,0,Naive,Naive,Naive,27,169,False,2
102,103,FISB9V,False,False,False,0,Naive,Naive,Naive,97,69,False,2
103,123,FISB9V,False,False,False,2,Naive,Naive,Naive,86,101,False,1
104,143,FISB9V,False,False,False,1,Naive,Naive,Naive,72,134,False,2
105,180,FISB9V,False,False,False,0,Naive,Naive,Naive,36,139,False,1
