,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,31,H7Ztzt,False,False,False,0,Naive,Naive,Naive,207,Unknown,Unknown,2
1,51,H7Ztzt,False,False,False,0,Naive,Naive,Naive,174,Unknown,Unknown,1
2,3,H7Ztzt,False,False,False,0,Naive,Naive,Naive,448,Unknown,Unknown,1
3,11,H7Ztzt,False,False,False,0,Naive,Naive,Naive,449,Unknown,Unknown,1
4,13,H7Ztzt,False,False,False,0,Naive,Naive,Naive,443,Unknown,Unknown,2
5,64,H7Ztzt,False,False,False,0,Naive,Naive,Naive,371,Unknown,Unknown,2
6,84,H7Ztzt,False,False,False,0,Naive,Naive,Naive,412,Unknown,Unknown,1
7,54,H7Ztzt,False,False,False,0,Naive,Naive,Naive,323,Unknown,Unknown,1
8,9,H7Ztzt,False,False,False,0,Naive,Naive,Naive,96,Unknown,Unknown,2
9,85,H7Ztzt,False,False,False,0,Naive,Naive,Naive,320,Unknown,Unknown,1
10,52,H7Ztzt,False,False,False,0,Naive,Naive,Naive,343,Unknown,Unknown,2
11,72,H7Ztzt,False,False,False,0,Naive,Naive,Naive,355,Unknown,Unknown,1
12,90,H7Ztzt,False,False,False,0,Naive,Naive,Naive,286,Unknown,Unknown,2
13,53,H7Ztzt,False,False,False,0,Naive,Naive,Naive,242,Unknown,Unknown,2
14,65,H7Ztzt,False,False,False,0,Naive,Naive,Naive,161,Unknown,Unknown,2
15,2,H7Ztzt,False,False,False,0,Naive,Naive,Naive,427,Unknown,Unknown,2
16,91,H7Ztzt,False,False,False,0,Naive,Naive,Naive,383,Unknown,Unknown,2
17,62,H7Ztzt,False,False,False,0,Naive,Naive,Naive,207,Unknown,Unknown,1
18,79,H7Ztzt,False,False,False,0,Naive,Naive,Naive,416,Unknown,Unknown,2
19,42,H7Ztzt,False,False,False,0,Naive,Naive,Naive,495,Unknown,Unknown,1
20,43,H7Ztzt,False,False,False,0,Naive,Naive,Naive,198,Unknown,Unknown,1
21,55,H7Ztzt,False,False,False,0,Naive,Naive,Naive,464,Unknown,Unknown,2
22,76,H7Ztzt,False,False,False,0,Naive,Naive,Naive,411,Unknown,Unknown,2
23,93,H7Ztzt,False,False,False,0,Naive,Naive,Naive,298,Unknown,Unknown,2
24,45,H7Ztzt,False,False,False,0,Naive,Naive,Naive,504,Unknown,Unknown,1
25,33,H7Ztzt,False,False,False,0,Naive,Naive,Naive,217,Unknown,Unknown,1
26,6,H7Ztzt,False,False,False,0,Naive,Naive,Naive,95,Unknown,Unknown,2
27,27,H7Ztzt,False,False,False,0,Naive,Naive,Naive,84,Unknown,Unknown,1
28,21,H7Ztzt,False,False,False,0,Naive,Naive,Naive,279,Unknown,Unknown,2
29,97,H7Ztzt,False,False,False,0,Naive,Naive,Naive,303,Unknown,Unknown,1
30,36,H7Ztzt,False,False,False,0,Naive,Naive,Naive,507,Unknown,Unknown,2
31,70,H7Ztzt,False,False,False,0,Naive,Naive,Naive,173,Unknown,Unknown,2
32,23,H7Ztzt,False,False,False,0,Naive,Naive,Naive,186,Unknown,Unknown,2
33,112,H7Ztzt,False,False,False,0,Naive,Naive,Naive,11,47,False,2
34,24,H7Ztzt,False,False,False,0,Naive,Naive,Naive,381,Unknown,Unknown,2
35,75,H7Ztzt,False,False,False,0,Naive,Naive,Naive,252,Unknown,Unknown,2
36,63,H7Ztzt,False,False,False,0,Naive,Naive,Naive,311,Unknown,Unknown,2
37,19,H7Ztzt,False,False,False,1,Naive,Naive,Naive,480,Unknown,Unknown,1
38,12,H7Ztzt,False,False,False,0,Naive,Naive,Naive,369,Unknown,Unknown,1
39,83,H7Ztzt,False,False,False,0,Naive,Naive,Naive,507,Unknown,Unknown,2
40,46,H7Ztzt,False,False,False,0,Naive,Naive,Naive,56,Unknown,Unknown,2
41,56,H7Ztzt,False,False,False,0,Naive,Naive,Naive,137,Unknown,Unknown,2
42,40,H7Ztzt,False,False,False,0,Naive,Naive,Naive,425,Unknown,Unknown,2
43,108,H7Ztzt,False,False,False,0,Naive,Naive,Naive,15,15,False,1
44,39,H7Ztzt,False,False,False,0,Naive,Naive,Naive,258,Unknown,Unknown,2
45,99,H7Ztzt,False,False,False,0,Naive,Naive,Naive,513,Unknown,Unknown,1
46,104,H7Ztzt,False,False,False,0,Naive,Naive,Naive,22,2,False,1
47,57,H7Ztzt,False,False,False,0,Naive,Naive,Naive,525,Unknown,Unknown,2
48,69,H7Ztzt,False,False,False,0,Naive,Naive,Naive,443,Unknown,Unknown,1
49,96,H7Ztzt,False,False,False,0,Naive,Naive,Naive,406,Unknown,Unknown,1
50,10,H7Ztzt,False,False,False,0,Naive,Naive,Naive,494,Unknown,Unknown,1
51,66,H7Ztzt,False,False,False,0,Naive,Naive,Naive,349,Unknown,Unknown,1
52,125,H7Ztzt,False,False,False,0,Naive,Naive,Naive,19,58,False,1
53,74,H7Ztzt,False,False,False,0,Naive,Naive,Naive,382,Unknown,Unknown,2
54,59,H7Ztzt,False,False,False,0,Naive,Naive,Naive,403,Unknown,Unknown,2
55,87,H7Ztzt,False,False,False,0,Naive,Naive,Naive,409,Unknown,Unknown,2
56,32,H7Ztzt,False,False,False,0,Naive,Naive,Naive,137,Unknown,Unknown,2
57,134,H7Ztzt,False,False,False,0,Naive,Naive,Naive,19,48,False,2
58,94,H7Ztzt,False,False,False,0,Naive,Naive,Naive,444,Unknown,Unknown,1
59,20,H7Ztzt,False,False,False,0,Naive,Naive,Naive,290,Unknown,Unknown,1
60,89,H7Ztzt,False,False,False,0,Naive,Naive,Naive,461,Unknown,Unknown,1
61,5,H7Ztzt,False,False,False,0,Naive,Naive,Naive,309,Unknown,Unknown,2
62,7,H7Ztzt,False,False,False,0,Naive,Naive,Naive,392,Unknown,Unknown,2
63,81,H7Ztzt,False,False,False,0,Naive,Naive,Naive,430,Unknown,Unknown,2
64,144,H7Ztzt,False,False,False,0,Naive,Naive,Naive,24,92,False,2
65,16,H7Ztzt,False,False,False,2,Naive,Naive,Naive,474,Unknown,Unknown,1
66,44,H7Ztzt,False,False,False,0,Naive,Naive,Naive,391,Unknown,Unknown,2
67,122,H7Ztzt,False,False,False,0,Naive,Naive,Naive,42,22,False,2
68,25,H7Ztzt,False,False,False,0,Naive,Naive,Naive,168,Unknown,Unknown,2
69,17,H7Ztzt,False,False,False,0,Naive,Naive,Naive,396,Unknown,Unknown,1
70,35,H7Ztzt,False,False,False,0,Naive,Naive,Naive,245,Unknown,Unknown,2
71,4,H7Ztzt,False,False,False,0,Naive,Naive,Naive,127,Unknown,Unknown,2
72,71,H7Ztzt,False,False,False,0,Naive,Naive,Naive,356,Unknown,Unknown,1
73,60,H7Ztzt,False,False,False,0,Naive,Naive,Naive,96,Unknown,Unknown,1
74,142,H7Ztzt,False,False,False,0,Naive,Naive,Naive,41,102,False,1
75,18,H7Ztzt,False,False,False,0,Naive,Naive,Naive,80,Unknown,Unknown,2
76,34,H7Ztzt,False,False,False,1,Naive,Naive,Naive,263,Unknown,Unknown,2
77,37,H7Ztzt,False,False,False,0,Naive,Naive,Naive,209,Unknown,Unknown,1
78,95,H7Ztzt,False,False,False,0,Naive,Naive,Naive,159,Unknown,Unknown,1
79,77,H7Ztzt,False,False,False,1,Naive,Naive,Naive,311,Unknown,Unknown,1
80,67,H7Ztzt,False,False,False,2,Naive,Naive,Naive,85,Unknown,Unknown,1
81,41,H7Ztzt,False,False,False,0,Naive,Naive,Naive,257,Unknown,Unknown,2
82,171,H7Ztzt,False,False,False,0,Naive,Naive,Naive,15,170,False,2
83,8,H7Ztzt,False,False,False,1,Naive,Naive,Naive,158,Unknown,Unknown,1
84,68,H7Ztzt,False,False,False,1,Naive,Naive,Naive,133,Unknown,Unknown,2
85,80,H7Ztzt,False,False,False,0,Naive,Naive,Naive,501,Unknown,Unknown,1
86,29,H7Ztzt,False,False,False,0,Naive,Naive,Naive,175,Unknown,Unknown,1
87,49,H7Ztzt,False,False,False,2,Naive,Naive,Naive,498,Unknown,Unknown,1
88,156,H7Ztzt,False,False,False,1,Naive,Naive,Naive,42,150,False,2
89,73,H7Ztzt,False,False,False,1,Naive,Naive,Naive,108,Unknown,Unknown,1
90,130,H7Ztzt,False,False,False,0,Naive,Naive,Naive,61,77,False,2
91,1,H7Ztzt,False,False,False,4,Naive,Naive,Naive,421,Unknown,Unknown,1
92,100,H7Ztzt,False,True,True,1,Naive,Naive,Naive,79,Unknown,Unknown,2
