,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,9,I0Sf2F,False,False,False,0,Naive,Naive,Naive,191,Unknown,Unknown,2
1,90,I0Sf2F,False,False,False,0,Naive,Naive,Naive,395,Unknown,Unknown,1
2,64,I0Sf2F,False,False,False,0,Naive,Naive,Naive,192,Unknown,Unknown,2
3,44,I0Sf2F,False,False,False,0,Naive,Naive,Naive,382,Unknown,Unknown,1
4,92,I0Sf2F,False,False,False,0,Naive,Naive,Naive,453,Unknown,Unknown,2
5,38,I0Sf2F,False,False,False,0,Naive,Naive,Naive,224,Unknown,Unknown,1
6,39,I0Sf2F,False,False,False,0,Naive,Naive,Naive,463,Unknown,Unknown,2
7,31,I0Sf2F,False,False,False,0,Naive,Naive,Naive,492,Unknown,Unknown,2
8,84,I0Sf2F,False,False,False,0,Naive,Naive,Naive,362,Unknown,Unknown,1
9,75,I0Sf2F,False,False,False,0,Naive,Naive,Naive,419,Unknown,Unknown,1
10,73,I0Sf2F,False,False,False,0,Naive,Naive,Naive,412,Unknown,Unknown,1
11,46,I0Sf2F,False,False,False,0,Naive,Naive,Naive,315,Unknown,Unknown,1
12,77,I0Sf2F,False,False,False,0,Naive,Naive,Naive,377,Unknown,Unknown,1
13,13,I0Sf2F,False,False,False,0,Naive,Naive,Naive,498,Unknown,Unknown,1
14,8,I0Sf2F,False,False,False,0,Naive,Naive,Naive,488,Unknown,Unknown,2
15,48,I0Sf2F,False,False,False,0,Naive,Naive,Naive,492,Unknown,Unknown,1
16,69,I0Sf2F,False,False,False,0,Naive,Naive,Naive,412,Unknown,Unknown,1
17,86,I0Sf2F,False,False,False,0,Naive,Naive,Naive,338,Unknown,Unknown,1
18,55,I0Sf2F,False,False,False,0,Naive,Naive,Naive,182,Unknown,Unknown,2
19,42,I0Sf2F,False,False,False,0,Naive,Naive,Naive,365,Unknown,Unknown,2
20,3,I0Sf2F,False,False,False,0,Naive,Naive,Naive,464,Unknown,Unknown,2
21,81,I0Sf2F,False,False,False,0,Naive,Naive,Naive,226,Unknown,Unknown,2
22,58,I0Sf2F,False,False,False,0,Naive,Naive,Naive,454,Unknown,Unknown,2
23,37,I0Sf2F,False,False,False,0,Naive,Naive,Naive,422,Unknown,Unknown,2
24,21,I0Sf2F,False,False,False,0,Naive,Naive,Naive,424,Unknown,Unknown,2
25,67,I0Sf2F,False,False,False,0,Naive,Naive,Naive,292,Unknown,Unknown,2
26,15,I0Sf2F,False,False,False,0,Naive,Naive,Naive,442,Unknown,Unknown,1
27,98,I0Sf2F,False,False,False,0,Naive,Naive,Naive,232,Unknown,Unknown,1
28,93,I0Sf2F,False,False,False,0,Naive,Naive,Naive,241,Unknown,Unknown,2
29,82,I0Sf2F,False,False,False,0,Naive,Naive,Naive,164,Unknown,Unknown,1
30,74,I0Sf2F,False,False,False,0,Naive,Naive,Naive,475,Unknown,Unknown,1
31,47,I0Sf2F,False,False,False,0,Naive,Naive,Naive,435,Unknown,Unknown,1
32,80,I0Sf2F,False,False,False,0,Naive,Naive,Naive,445,Unknown,Unknown,2
33,62,I0Sf2F,False,False,False,0,Naive,Naive,Naive,511,Unknown,Unknown,2
34,71,I0Sf2F,False,False,False,0,Naive,Naive,Naive,457,Unknown,Unknown,1
35,68,I0Sf2F,False,False,False,0,Naive,Naive,Naive,423,Unknown,Unknown,2
36,51,I0Sf2F,False,False,False,0,Naive,Naive,Naive,327,Unknown,Unknown,1
37,57,I0Sf2F,False,False,False,0,Naive,Naive,Naive,476,Unknown,Unknown,1
38,28,I0Sf2F,False,False,False,0,Naive,Naive,Naive,294,Unknown,Unknown,2
39,79,I0Sf2F,False,False,False,0,Naive,Naive,Naive,240,Unknown,Unknown,1
40,59,I0Sf2F,False,False,False,0,Naive,Naive,Naive,468,Unknown,Unknown,2
41,53,I0Sf2F,False,False,False,0,Naive,Naive,Naive,325,Unknown,Unknown,2
42,50,I0Sf2F,False,False,False,0,Naive,Naive,Naive,430,Unknown,Unknown,1
43,5,I0Sf2F,False,False,False,0,Naive,Naive,Naive,507,Unknown,Unknown,1
44,35,I0Sf2F,False,False,False,0,Naive,Naive,Naive,303,Unknown,Unknown,2
45,14,I0Sf2F,False,False,False,0,Naive,Naive,Naive,460,Unknown,Unknown,2
46,22,I0Sf2F,False,False,False,0,Naive,Naive,Naive,405,Unknown,Unknown,1
47,27,I0Sf2F,False,False,False,0,Naive,Naive,Naive,487,Unknown,Unknown,1
