,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,66,IC7pJq,False,False,False,0,Naive,Naive,Naive,175,Unknown,Unknown,1
1,84,IC7pJq,False,False,False,0,Naive,Naive,Naive,378,Unknown,Unknown,1
2,2,IC7pJq,False,False,False,0,Naive,Naive,Naive,194,Unknown,Unknown,2
3,71,IC7pJq,False,False,False,0,Naive,Naive,Naive,406,Unknown,Unknown,1
4,5,IC7pJq,False,False,False,0,Naive,Naive,Naive,246,Unknown,Unknown,1
5,37,IC7pJq,False,False,False,0,Naive,Naive,Naive,440,Unknown,Unknown,1
6,44,IC7pJq,False,False,False,0,Naive,Naive,Naive,469,Unknown,Unknown,1
7,56,IC7pJq,False,False,False,0,Naive,Naive,Naive,103,Unknown,Unknown,2
8,89,IC7pJq,False,False,False,0,Naive,Naive,Naive,451,Unknown,Unknown,2
9,96,IC7pJq,False,False,False,0,Naive,Naive,Naive,498,Unknown,Unknown,2
10,55,IC7pJq,False,False,False,0,Naive,Naive,Naive,211,Unknown,Unknown,2
11,63,IC7pJq,False,False,False,0,Naive,Naive,Naive,389,Unknown,Unknown,1
12,74,IC7pJq,False,False,False,0,Naive,Naive,Naive,502,Unknown,Unknown,2
13,36,IC7pJq,False,False,False,0,Naive,Naive,Naive,254,Unknown,Unknown,1
14,28,IC7pJq,False,False,False,0,Naive,Naive,Naive,337,Unknown,Unknown,1
15,97,IC7pJq,False,False,False,0,Naive,Naive,Naive,405,Unknown,Unknown,1
16,47,IC7pJq,False,False,False,0,Naive,Naive,Naive,49,Unknown,Unknown,2
17,32,IC7pJq,False,False,False,0,Naive,Naive,Naive,195,Unknown,Unknown,2
18,24,IC7pJq,False,False,False,0,Naive,Naive,Naive,496,Unknown,Unknown,1
19,38,IC7pJq,False,False,False,0,Naive,Naive,Naive,62,Unknown,Unknown,2
20,18,IC7pJq,False,False,False,0,Naive,Naive,Naive,163,Unknown,Unknown,1
21,68,IC7pJq,False,False,False,0,Naive,Naive,Naive,79,Unknown,Unknown,2
22,65,IC7pJq,False,False,False,0,Naive,Naive,Naive,415,Unknown,Unknown,1
23,64,IC7pJq,False,False,False,0,Naive,Naive,Naive,412,Unknown,Unknown,1
24,21,IC7pJq,False,False,False,0,Naive,Naive,Naive,499,Unknown,Unknown,2
25,35,IC7pJq,False,False,False,0,Naive,Naive,Naive,482,Unknown,Unknown,1
26,73,IC7pJq,False,False,False,0,Naive,Naive,Naive,356,Unknown,Unknown,2
27,9,IC7pJq,False,False,False,0,Naive,Naive,Naive,70,Unknown,Unknown,1
28,62,IC7pJq,False,False,False,1,Naive,Naive,Naive,444,Unknown,Unknown,2
29,48,IC7pJq,False,False,False,0,Naive,Naive,Naive,340,Unknown,Unknown,2
30,78,IC7pJq,False,False,False,0,Naive,Naive,Naive,513,Unknown,Unknown,2
31,40,IC7pJq,False,False,False,0,Naive,Naive,Naive,291,Unknown,Unknown,1
32,7,IC7pJq,False,False,False,0,Naive,Naive,Naive,103,Unknown,Unknown,1
33,3,IC7pJq,False,False,False,0,Naive,Naive,Naive,374,Unknown,Unknown,1
34,77,IC7pJq,False,False,False,0,Naive,Naive,Naive,181,Unknown,Unknown,1
35,45,IC7pJq,False,False,False,0,Naive,Naive,Naive,233,Unknown,Unknown,1
36,34,IC7pJq,False,False,False,0,Naive,Naive,Naive,327,Unknown,Unknown,2
37,20,IC7pJq,False,False,False,0,Naive,Naive,Naive,408,Unknown,Unknown,1
38,90,IC7pJq,False,False,False,0,Naive,Naive,Naive,352,Unknown,Unknown,1
39,42,IC7pJq,False,False,False,0,Naive,Naive,Naive,244,Unknown,Unknown,1
40,15,IC7pJq,False,False,False,0,Naive,Naive,Naive,148,Unknown,Unknown,2
41,14,IC7pJq,False,False,False,0,Naive,Naive,Naive,135,Unknown,Unknown,2
42,31,IC7pJq,False,False,False,0,Naive,Naive,Naive,316,Unknown,Unknown,1
43,17,IC7pJq,False,False,False,0,Naive,Naive,Naive,181,Unknown,Unknown,1
44,99,IC7pJq,False,False,False,0,Naive,Naive,Naive,469,Unknown,Unknown,2
45,98,IC7pJq,False,False,False,0,Naive,Naive,Naive,359,Unknown,Unknown,2
46,13,IC7pJq,False,False,False,0,Naive,Naive,Naive,375,Unknown,Unknown,1
47,76,IC7pJq,False,False,False,0,Naive,Naive,Naive,198,Unknown,Unknown,2
48,10,IC7pJq,False,False,False,0,Naive,Naive,Naive,364,Unknown,Unknown,1
49,87,IC7pJq,False,False,False,0,Naive,Naive,Naive,373,Unknown,Unknown,2
50,92,IC7pJq,False,False,False,0,Naive,Naive,Naive,226,Unknown,Unknown,2
51,8,IC7pJq,False,False,False,0,Naive,Naive,Naive,254,Unknown,Unknown,2
52,88,IC7pJq,False,False,False,0,Naive,Naive,Naive,131,Unknown,Unknown,2
53,30,IC7pJq,False,False,False,1,Naive,Naive,Naive,80,Unknown,Unknown,2
54,33,IC7pJq,False,False,False,0,Naive,Naive,Naive,429,Unknown,Unknown,2
55,81,IC7pJq,False,False,False,0,Naive,Naive,Naive,168,Unknown,Unknown,2
56,111,IC7pJq,False,False,False,0,Naive,Naive,Naive,26,54,False,1
57,1,IC7pJq,False,False,False,0,Naive,Naive,Naive,264,Unknown,Unknown,2
58,91,IC7pJq,False,False,False,0,Naive,Naive,Naive,210,Unknown,Unknown,1
59,72,IC7pJq,False,False,False,0,Naive,Naive,Naive,234,Unknown,Unknown,2
60,142,IC7pJq,False,False,False,0,Naive,Naive,Naive,16,128,False,2
61,94,IC7pJq,False,False,False,0,Naive,Naive,Naive,306,Unknown,Unknown,2
62,57,IC7pJq,False,False,False,0,Naive,Naive,Naive,119,Unknown,Unknown,2
63,54,IC7pJq,False,False,False,0,Naive,Naive,Naive,286,Unknown,Unknown,1
64,80,IC7pJq,False,False,False,0,Naive,Naive,Naive,407,Unknown,Unknown,2
65,25,IC7pJq,False,False,False,0,Naive,Naive,Naive,282,Unknown,Unknown,1
66,69,IC7pJq,False,False,False,0,Naive,Naive,Naive,202,Unknown,Unknown,1
67,39,IC7pJq,False,False,False,1,Naive,Naive,Naive,70,Unknown,Unknown,2
68,82,IC7pJq,False,False,False,0,Naive,Naive,Naive,247,Unknown,Unknown,1
69,4,IC7pJq,False,False,False,0,Naive,Naive,Naive,507,Unknown,Unknown,1
70,6,IC7pJq,False,False,False,0,Naive,Naive,Naive,150,Unknown,Unknown,1
71,133,IC7pJq,False,False,False,0,Naive,Naive,Naive,40,128,False,1
72,22,IC7pJq,False,False,False,0,Naive,Naive,Naive,366,Unknown,Unknown,2
73,50,IC7pJq,False,False,False,0,Naive,Naive,Naive,299,Unknown,Unknown,1
74,79,IC7pJq,False,False,False,0,Naive,Naive,Naive,179,Unknown,Unknown,2
75,27,IC7pJq,False,False,False,0,Naive,Naive,Naive,419,Unknown,Unknown,2
76,137,IC7pJq,False,False,False,0,Naive,Naive,Naive,46,128,False,1
77,107,IC7pJq,False,False,False,1,Naive,Naive,Naive,58,67,False,1
78,43,IC7pJq,False,False,False,0,Naive,Naive,Naive,95,Unknown,Unknown,1
79,75,IC7pJq,False,False,False,0,Naive,Naive,Naive,348,Unknown,Unknown,2
80,51,IC7pJq,False,False,False,0,Naive,Naive,Naive,204,Unknown,Unknown,2
81,58,IC7pJq,False,False,False,0,Naive,Naive,Naive,263,Unknown,Unknown,1
82,41,IC7pJq,False,False,False,0,Naive,Naive,Naive,232,Unknown,Unknown,1
83,147,IC7pJq,False,False,False,0,Naive,Naive,Naive,47,59,False,2
84,29,IC7pJq,False,False,False,0,Naive,Naive,Naive,79,Unknown,Unknown,1
85,95,IC7pJq,False,False,False,0,Naive,Naive,Naive,111,Unknown,Unknown,1
86,46,IC7pJq,False,False,False,0,Naive,Naive,Naive,495,Unknown,Unknown,1
87,12,IC7pJq,False,False,False,0,Naive,Naive,Naive,204,Unknown,Unknown,1
88,11,IC7pJq,False,False,False,1,Naive,Naive,Naive,211,Unknown,Unknown,2
89,152,IC7pJq,False,False,False,0,Naive,Naive,Naive,53,116,False,2
90,174,IC7pJq,False,False,False,0,Naive,Naive,Naive,27,124,False,2
91,85,IC7pJq,False,False,False,0,Naive,Naive,Naive,208,Unknown,Unknown,1
92,52,IC7pJq,False,False,False,0,Naive,Naive,Naive,253,Unknown,Unknown,2
93,118,IC7pJq,False,True,True,2,81,90,social,82,6,False,1
94,166,IC7pJq,False,False,False,0,Naive,Naive,Naive,46,149,False,2
95,136,IC7pJq,False,False,False,0,Naive,Naive,Naive,79,123,False,2
96,146,IC7pJq,False,False,False,0,Naive,Naive,Naive,72,124,False,1
97,49,IC7pJq,False,False,False,1,Naive,Naive,Naive,242,Unknown,Unknown,2
98,116,IC7pJq,False,False,False,0,Naive,Naive,Naive,93,87,False,2
99,135,IC7pJq,False,False,False,0,Naive,Naive,Naive,86,131,False,2
100,109,IC7pJq,False,False,False,0,Naive,Naive,Naive,95,21,False,2
101,178,IC7pJq,False,False,False,0,Naive,Naive,Naive,41,155,False,2
102,100,IC7pJq,False,True,True,0,Naive,Naive,Naive,105,Unknown,Unknown,2
103,26,IC7pJq,False,False,False,0,Naive,Naive,Naive,137,Unknown,Unknown,2
104,113,IC7pJq,False,False,False,0,Naive,Naive,Naive,99,103,False,2
105,192,IC7pJq,False,False,False,0,Naive,Naive,Naive,20,115,False,2
106,121,IC7pJq,False,False,False,0,Naive,Naive,Naive,98,109,False,2
107,123,IC7pJq,False,True,True,1,89,99,social,99,106,False,2
108,190,IC7pJq,False,False,False,0,Naive,Naive,Naive,30,178,False,2
109,199,IC7pJq,False,False,False,0,Naive,Naive,Naive,11,61,False,2
110,128,IC7pJq,False,False,False,0,Naive,Naive,Naive,98,72,False,1
111,53,IC7pJq,False,False,False,0,Naive,Naive,Naive,553,Unknown,Unknown,1
112,162,IC7pJq,False,False,False,0,Naive,Naive,Naive,75,156,False,2
113,23,IC7pJq,False,False,False,0,Naive,Naive,Naive,444,Unknown,Unknown,2
114,138,IC7pJq,False,False,False,0,Naive,Naive,Naive,98,105,False,1
115,67,IC7pJq,False,False,False,0,Naive,Naive,Naive,283,Unknown,Unknown,2
116,155,IC7pJq,False,False,False,0,Naive,Naive,Naive,87,119,False,1
117,60,IC7pJq,False,False,False,0,Naive,Naive,Naive,184,Unknown,Unknown,2
118,112,IC7pJq,False,False,False,0,Naive,Naive,Naive,113,29,False,2
119,16,IC7pJq,False,False,False,2,Naive,Naive,Naive,292,Unknown,Unknown,2
120,167,IC7pJq,False,False,False,0,Naive,Naive,Naive,73,115,False,1
121,171,IC7pJq,False,False,False,0,Naive,Naive,Naive,70,29,False,1
122,102,IC7pJq,False,False,False,0,Naive,Naive,Naive,125,33,False,2
123,134,IC7pJq,False,False,False,0,Naive,Naive,Naive,111,127,False,2
124,126,IC7pJq,False,False,False,0,Naive,Naive,Naive,115,46,False,2
125,70,IC7pJq,False,False,False,0,Naive,Naive,Naive,244,Unknown,Unknown,2
126,105,IC7pJq,False,False,False,0,Naive,Naive,Naive,125,42,False,1
127,86,IC7pJq,False,False,False,0,Naive,Naive,Naive,323,Unknown,Unknown,1
128,186,IC7pJq,False,False,False,0,Naive,Naive,Naive,56,175,False,1
129,165,IC7pJq,False,False,False,3,Naive,Naive,Naive,84,106,False,2
130,59,IC7pJq,False,False,False,0,Naive,Naive,Naive,169,Unknown,Unknown,1
131,93,IC7pJq,False,False,False,0,Naive,Naive,Naive,145,Unknown,Unknown,2
132,132,IC7pJq,False,False,False,0,Naive,Naive,Naive,117,113,False,2
133,141,IC7pJq,False,False,False,0,Naive,Naive,Naive,113,130,False,1
134,114,IC7pJq,False,False,False,0,Naive,Naive,Naive,126,95,False,1
135,120,IC7pJq,False,False,False,3,Naive,Naive,Naive,123,87,False,2
136,119,IC7pJq,False,True,True,3,115,124,social,125,110,False,1
137,169,IC7pJq,False,False,False,0,Naive,Naive,Naive,82,157,False,2
138,194,IC7pJq,False,False,False,0,Naive,Naive,Naive,46,149,False,2
139,122,IC7pJq,False,False,False,0,Naive,Naive,Naive,130,113,False,2
140,164,IC7pJq,False,False,False,0,Naive,Naive,Naive,105,150,False,1
