,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,56,JzwyMe,False,False,False,0,Naive,Naive,Naive,484,Unknown,Unknown,2
1,31,JzwyMe,False,False,False,0,Naive,Naive,Naive,476,Unknown,Unknown,2
2,44,JzwyMe,False,False,False,0,Naive,Naive,Naive,475,Unknown,Unknown,2
3,6,JzwyMe,False,False,False,0,Naive,Naive,Naive,301,Unknown,Unknown,2
4,29,JzwyMe,False,False,False,0,Naive,Naive,Naive,291,Unknown,Unknown,2
5,20,JzwyMe,False,False,False,0,Naive,Naive,Naive,249,Unknown,Unknown,1
6,71,JzwyMe,False,False,False,0,Naive,Naive,Naive,390,Unknown,Unknown,1
7,80,JzwyMe,False,False,False,0,Naive,Naive,Naive,428,Unknown,Unknown,2
8,5,JzwyMe,False,False,False,0,Naive,Naive,Naive,131,Unknown,Unknown,2
9,21,JzwyMe,False,False,False,0,Naive,Naive,Naive,416,Unknown,Unknown,1
10,22,JzwyMe,False,False,False,0,Naive,Naive,Naive,476,Unknown,Unknown,1
11,23,JzwyMe,False,False,False,0,Naive,Naive,Naive,487,Unknown,Unknown,1
12,24,JzwyMe,False,False,False,0,Naive,Naive,Naive,417,Unknown,Unknown,2
13,48,JzwyMe,False,False,False,0,Naive,Naive,Naive,394,Unknown,Unknown,1
14,47,JzwyMe,False,False,False,0,Naive,Naive,Naive,326,Unknown,Unknown,1
15,4,JzwyMe,False,False,False,0,Naive,Naive,Naive,409,Unknown,Unknown,1
16,34,JzwyMe,False,False,False,0,Naive,Naive,Naive,296,Unknown,Unknown,1
17,49,JzwyMe,False,False,False,0,Naive,Naive,Naive,323,Unknown,Unknown,1
18,65,JzwyMe,False,False,False,0,Naive,Naive,Naive,79,Unknown,Unknown,2
19,99,JzwyMe,False,False,False,0,Naive,Naive,Naive,179,Unknown,Unknown,1
20,74,JzwyMe,False,False,False,0,Naive,Naive,Naive,491,Unknown,Unknown,2
21,96,JzwyMe,False,False,False,0,Naive,Naive,Naive,231,Unknown,Unknown,1
22,111,JzwyMe,False,False,False,0,Naive,Naive,Naive,9,23,False,2
23,9,JzwyMe,False,False,False,0,Naive,Naive,Naive,306,Unknown,Unknown,2
24,66,JzwyMe,False,False,False,0,Naive,Naive,Naive,311,Unknown,Unknown,1
25,77,JzwyMe,False,False,False,0,Naive,Naive,Naive,461,Unknown,Unknown,2
26,90,JzwyMe,False,False,False,0,Naive,Naive,Naive,64,Unknown,Unknown,1
27,61,JzwyMe,False,False,False,0,Naive,Naive,Naive,227,Unknown,Unknown,1
28,43,JzwyMe,False,False,False,0,Naive,Naive,Naive,210,Unknown,Unknown,1
29,84,JzwyMe,False,False,False,0,Naive,Naive,Naive,240,Unknown,Unknown,1
30,88,JzwyMe,False,False,False,0,Naive,Naive,Naive,409,Unknown,Unknown,1
31,30,JzwyMe,False,False,False,0,Naive,Naive,Naive,279,Unknown,Unknown,2
32,107,JzwyMe,False,False,False,0,Naive,Naive,Naive,20,68,False,1
33,25,JzwyMe,False,False,False,0,Naive,Naive,Naive,278,Unknown,Unknown,1
34,85,JzwyMe,False,False,False,0,Naive,Naive,Naive,351,Unknown,Unknown,1
35,17,JzwyMe,False,False,False,0,Naive,Naive,Naive,457,Unknown,Unknown,1
36,94,JzwyMe,False,False,False,2,Naive,Naive,Naive,205,Unknown,Unknown,2
37,15,JzwyMe,False,False,False,0,Naive,Naive,Naive,260,Unknown,Unknown,2
38,11,JzwyMe,False,False,False,0,Naive,Naive,Naive,495,Unknown,Unknown,1
39,7,JzwyMe,False,False,False,0,Naive,Naive,Naive,170,Unknown,Unknown,2
40,93,JzwyMe,False,False,False,0,Naive,Naive,Naive,425,Unknown,Unknown,2
41,52,JzwyMe,False,False,False,0,Naive,Naive,Naive,439,Unknown,Unknown,2
42,67,JzwyMe,False,False,False,0,Naive,Naive,Naive,365,Unknown,Unknown,1
43,28,JzwyMe,False,False,False,0,Naive,Naive,Naive,353,Unknown,Unknown,1
44,40,JzwyMe,False,False,False,0,Naive,Naive,Naive,193,Unknown,Unknown,2
45,45,JzwyMe,False,False,False,0,Naive,Naive,Naive,174,Unknown,Unknown,2
46,81,JzwyMe,False,False,False,0,Naive,Naive,Naive,530,Unknown,Unknown,1
47,59,JzwyMe,False,False,False,0,Naive,Naive,Naive,441,Unknown,Unknown,2
48,63,JzwyMe,False,False,False,0,Naive,Naive,Naive,466,Unknown,Unknown,1
49,78,JzwyMe,False,False,False,0,Naive,Naive,Naive,144,Unknown,Unknown,1
50,91,JzwyMe,False,False,False,0,Naive,Naive,Naive,167,Unknown,Unknown,2
51,16,JzwyMe,False,False,False,0,Naive,Naive,Naive,152,Unknown,Unknown,2
52,102,JzwyMe,False,False,False,0,Naive,Naive,Naive,33,66,False,1
53,37,JzwyMe,False,False,False,0,Naive,Naive,Naive,460,Unknown,Unknown,1
54,55,JzwyMe,False,False,False,0,Naive,Naive,Naive,160,Unknown,Unknown,2
55,8,JzwyMe,False,False,False,0,Naive,Naive,Naive,142,Unknown,Unknown,2
56,69,JzwyMe,False,False,False,1,Naive,Naive,Naive,522,Unknown,Unknown,2
57,137,JzwyMe,False,False,False,0,Naive,Naive,Naive,10,120,False,1
58,70,JzwyMe,False,False,False,0,Naive,Naive,Naive,361,Unknown,Unknown,2
59,131,JzwyMe,False,False,False,0,Naive,Naive,Naive,20,127,False,2
60,2,JzwyMe,False,False,False,0,Naive,Naive,Naive,151,Unknown,Unknown,2
61,42,JzwyMe,False,False,False,0,Naive,Naive,Naive,185,Unknown,Unknown,2
62,76,JzwyMe,False,False,False,0,Naive,Naive,Naive,363,Unknown,Unknown,2
63,14,JzwyMe,False,False,False,0,Naive,Naive,Naive,103,Unknown,Unknown,1
64,36,JzwyMe,False,False,False,0,Naive,Naive,Naive,129,Unknown,Unknown,1
65,73,JzwyMe,False,False,False,0,Naive,Naive,Naive,124,Unknown,Unknown,2
66,13,JzwyMe,False,False,False,0,Naive,Naive,Naive,263,Unknown,Unknown,2
67,19,JzwyMe,False,False,False,0,Naive,Naive,Naive,196,Unknown,Unknown,2
68,157,JzwyMe,False,False,False,0,Naive,Naive,Naive,8,133,False,1
69,87,JzwyMe,False,False,False,0,Naive,Naive,Naive,527,Unknown,Unknown,1
70,26,JzwyMe,False,False,False,0,Naive,Naive,Naive,365,Unknown,Unknown,2
71,18,JzwyMe,False,False,False,0,Naive,Naive,Naive,310,Unknown,Unknown,1
