,source,target
0,63.0,46.0
0,85.0,98.0
0,65.0,4.0
0,96.0,34.0
0,54.0,30.0
0,15.0,7.0
0,96.0,42.0
0,6.0,58.0
0,93.0,91.0
0,73.0,97.0
0,37.0,96.0
0,36.0,41.0
0,99.0,82.0
0,10.0,6.0
0,65.0,1.0
0,12.0,79.0
0,89.0,44.0
0,37.0,65.0
0,12.0,63.0
0,102.0,37.0
0,57.0,101.0
0,41.0,36.0
0,26.0,81.0
0,65.0,102.0
0,39.0,14.0
0,6.0,50.0
0,97.0,73.0
0,4.0,25.0
0,20.0,31.0
0,62.0,88.0
0,18.0,51.0
0,96.0,42.0
0,6.0,105.0
0,65.0,1.0
0,66.0,100.0
0,106.0,37.0
0,44.0,89.0
0,102.0,57.0
0,33.0,26.0
0,99.0,76.0
0,88.0,90.0
0,95.0,3.0
0,54.0,30.0
0,105.0,77.0
0,86.0,68.0
0,58.0,10.0
0,22.0,39.0
0,66.0,100.0
0,33.0,22.0
0,77.0,50.0
0,11.0,29.0
0,3.0,19.0
0,57.0,65.0
0,18.0,103.0
0,1.0,4.0
0,52.0,28.0
0,81.0,26.0
0,60.0,18.0
0,96.0,102.0
0,39.0,81.0
0,62.0,90.0
0,1.0,101.0
0,103.0,51.0
0,37.0,95.0
0,64.0,40.0
0,55.0,3.0
0,82.0,45.0
0,26.0,33.0
0,106.0,82.0
0,60.0,56.0
0,80.0,44.0
0,45.0,32.0
0,50.0,77.0
0,31.0,46.0
0,37.0,106.0
0,57.0,4.0
0,55.0,59.0
0,6.0,10.0
0,33.0,22.0
0,32.0,38.0
0,104.0,7.0
0,73.0,5.0
0,65.0,25.0
0,101.0,109.0
0,10.0,105.0
0,57.0,107.0
0,42.0,102.0
0,30.0,103.0
0,10.0,50.0
0,68.0,14.0
0,82.0,76.0
0,11.0,90.0
0,4.0,57.0
0,25.0,96.0
0,59.0,3.0
0,82.0,107.0
0,82.0,4.0
0,62.0,24.0
0,38.0,110.0
0,37.0,59.0
0,107.0,80.0
0,92.0,31.0
0,103.0,30.0
0,107.0,1.0
0,58.0,77.0
0,11.0,29.0
0,111.0,103.0
0,6.0,10.0
0,68.0,86.0
0,32.0,45.0
0,37.0,106.0
0,33.0,26.0
0,42.0,108.0
0,80.0,101.0
0,25.0,95.0
0,10.0,13.0
0,50.0,105.0
0,57.0,65.0
0,64.0,100.0
0,37.0,3.0
0,2.0,43.0
0,83.0,44.0
0,109.0,83.0
0,90.0,62.0
0,105.0,6.0
0,25.0,42.0
0,91.0,84.0
0,19.0,9.0
0,30.0,103.0
0,31.0,46.0
0,52.0,28.0
0,29.0,48.0
0,32.0,45.0
0,50.0,105.0
0,33.0,81.0
0,57.0,82.0
0,70.0,94.0
0,108.0,25.0
0,4.0,101.0
0,109.0,76.0
0,39.0,33.0
0,13.0,93.0
0,103.0,40.0
0,7.0,104.0
0,30.0,111.0
0,102.0,108.0
0,50.0,13.0
0,57.0,107.0
0,16.0,47.0
0,92.0,64.0
0,45.0,88.0
0,57.0,109.0
0,42.0,25.0
0,59.0,106.0
0,107.0,101.0
0,24.0,11.0
0,58.0,93.0
0,111.0,103.0
0,114.0,29.0
0,108.0,82.0
0,95.0,42.0
0,96.0,95.0
0,110.0,107.0
0,6.0,105.0
0,52.0,28.0
0,60.0,18.0
0,25.0,96.0
0,9.0,112.0
0,104.0,117.0
0,86.0,67.0
0,104.0,15.0
0,1.0,57.0
0,6.0,13.0
0,26.0,33.0
0,94.0,115.0
0,26.0,39.0
0,29.0,48.0
0,42.0,59.0
0,65.0,108.0
0,77.0,10.0
0,6.0,105.0
0,82.0,65.0
0,4.0,82.0
0,57.0,101.0
0,108.0,80.0
0,42.0,95.0
0,30.0,103.0
0,94.0,115.0
0,30.0,111.0
0,81.0,26.0
0,4.0,96.0
0,45.0,112.0
0,28.0,113.0
0,47.0,16.0
0,1.0,109.0
0,46.0,11.0
0,48.0,114.0
0,118.0,102.0
0,52.0,28.0
0,92.0,100.0
0,7.0,104.0
0,18.0,60.0
0,104.0,117.0
0,82.0,118.0
0,116.0,33.0
0,26.0,116.0
0,25.0,4.0
0,4.0,101.0
0,57.0,107.0
0,96.0,118.0
0,3.0,95.0
0,51.0,55.0
0,25.0,82.0
0,86.0,67.0
0,19.0,37.0
0,40.0,68.0
0,30.0,103.0
0,9.0,112.0
0,48.0,114.0
0,42.0,59.0
0,110.0,83.0
0,81.0,33.0
0,121.0,26.0
0,49.0,35.0
0,108.0,102.0
0,11.0,24.0
0,102.0,109.0
0,57.0,80.0
0,30.0,111.0
0,94.0,115.0
0,59.0,4.0
0,7.0,104.0
0,119.0,100.0
0,6.0,105.0
0,121.0,116.0
0,60.0,18.0
0,39.0,70.0
0,65.0,108.0
0,19.0,37.0
0,57.0,1.0
0,26.0,122.0
0,9.0,112.0
0,30.0,103.0
0,101.0,4.0
0,45.0,24.0
0,64.0,119.0
0,101.0,102.0
0,26.0,70.0
0,48.0,92.0
0,88.0,25.0
0,4.0,109.0
0,102.0,123.0
0,77.0,6.0
0,103.0,68.0
0,68.0,111.0
0,57.0,107.0
0,82.0,101.0
0,120.0,95.0
0,104.0,117.0
0,78.0,93.0
0,6.0,105.0
0,116.0,121.0
0,59.0,96.0
0,37.0,120.0
0,122.0,33.0
0,106.0,62.0
0,94.0,5.0
0,74.0,47.0
0,62.0,37.0
