,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,6,LCoZCr,False,False,False,0,Naive,Naive,Naive,329,Unknown,Unknown,2
1,4,LCoZCr,False,False,False,0,Naive,Naive,Naive,374,Unknown,Unknown,1
2,88,LCoZCr,False,False,False,0,Naive,Naive,Naive,231,Unknown,Unknown,2
3,73,LCoZCr,False,False,False,0,Naive,Naive,Naive,458,Unknown,Unknown,2
4,58,LCoZCr,False,False,False,0,Naive,Naive,Naive,472,Unknown,Unknown,2
5,93,LCoZCr,False,False,False,0,Naive,Naive,Naive,447,Unknown,Unknown,2
6,36,LCoZCr,False,False,False,0,Naive,Naive,Naive,485,Unknown,Unknown,2
7,46,LCoZCr,False,False,False,0,Naive,Naive,Naive,191,Unknown,Unknown,2
8,81,LCoZCr,False,False,False,0,Naive,Naive,Naive,249,Unknown,Unknown,2
9,95,LCoZCr,False,False,False,0,Naive,Naive,Naive,438,Unknown,Unknown,2
10,54,LCoZCr,False,False,False,0,Naive,Naive,Naive,272,Unknown,Unknown,2
11,51,LCoZCr,False,False,False,0,Naive,Naive,Naive,97,Unknown,Unknown,1
12,29,LCoZCr,False,False,False,0,Naive,Naive,Naive,491,Unknown,Unknown,1
13,92,LCoZCr,False,False,False,0,Naive,Naive,Naive,217,Unknown,Unknown,2
14,59,LCoZCr,False,False,False,0,Naive,Naive,Naive,379,Unknown,Unknown,1
15,85,LCoZCr,False,False,False,0,Naive,Naive,Naive,450,Unknown,Unknown,2
16,26,LCoZCr,False,False,False,0,Naive,Naive,Naive,477,Unknown,Unknown,1
17,60,LCoZCr,False,False,False,0,Naive,Naive,Naive,272,Unknown,Unknown,2
18,24,LCoZCr,False,False,False,0,Naive,Naive,Naive,418,Unknown,Unknown,2
19,53,LCoZCr,False,False,False,0,Naive,Naive,Naive,322,Unknown,Unknown,1
20,56,LCoZCr,False,False,False,0,Naive,Naive,Naive,141,Unknown,Unknown,2
21,39,LCoZCr,False,False,False,0,Naive,Naive,Naive,444,Unknown,Unknown,2
22,52,LCoZCr,False,False,False,0,Naive,Naive,Naive,459,Unknown,Unknown,2
23,37,LCoZCr,False,False,False,0,Naive,Naive,Naive,431,Unknown,Unknown,2
24,61,LCoZCr,False,False,False,0,Naive,Naive,Naive,484,Unknown,Unknown,2
25,94,LCoZCr,False,False,False,0,Naive,Naive,Naive,436,Unknown,Unknown,1
26,55,LCoZCr,False,False,False,0,Naive,Naive,Naive,383,Unknown,Unknown,2
27,99,LCoZCr,False,False,False,0,Naive,Naive,Naive,328,Unknown,Unknown,2
28,10,LCoZCr,False,False,False,1,Naive,Naive,Naive,183,Unknown,Unknown,1
29,23,LCoZCr,False,False,False,0,Naive,Naive,Naive,333,Unknown,Unknown,2
30,67,LCoZCr,False,False,False,0,Naive,Naive,Naive,499,Unknown,Unknown,1
31,84,LCoZCr,False,False,False,0,Naive,Naive,Naive,485,Unknown,Unknown,2
32,19,LCoZCr,False,False,False,0,Naive,Naive,Naive,230,Unknown,Unknown,1
33,63,LCoZCr,False,False,False,0,Naive,Naive,Naive,265,Unknown,Unknown,1
34,13,LCoZCr,False,False,False,0,Naive,Naive,Naive,446,Unknown,Unknown,1
35,28,LCoZCr,False,False,False,0,Naive,Naive,Naive,275,Unknown,Unknown,2
36,1,LCoZCr,False,False,False,0,Naive,Naive,Naive,314,Unknown,Unknown,2
37,80,LCoZCr,False,False,False,0,Naive,Naive,Naive,503,Unknown,Unknown,1
38,7,LCoZCr,False,False,False,0,Naive,Naive,Naive,221,Unknown,Unknown,2
39,5,LCoZCr,False,False,False,0,Naive,Naive,Naive,214,Unknown,Unknown,1
40,97,LCoZCr,False,False,False,0,Naive,Naive,Naive,375,Unknown,Unknown,2
41,86,LCoZCr,False,False,False,0,Naive,Naive,Naive,447,Unknown,Unknown,1
42,35,LCoZCr,False,False,False,0,Naive,Naive,Naive,117,Unknown,Unknown,2
43,16,LCoZCr,False,False,False,0,Naive,Naive,Naive,302,Unknown,Unknown,1
44,90,LCoZCr,False,False,False,0,Naive,Naive,Naive,361,Unknown,Unknown,1
45,40,LCoZCr,False,False,False,0,Naive,Naive,Naive,514,Unknown,Unknown,1
46,62,LCoZCr,False,False,False,0,Naive,Naive,Naive,300,Unknown,Unknown,2
47,96,LCoZCr,False,False,False,0,Naive,Naive,Naive,271,Unknown,Unknown,2
48,87,LCoZCr,False,False,False,0,Naive,Naive,Naive,424,Unknown,Unknown,1
49,98,LCoZCr,False,False,False,0,Naive,Naive,Naive,125,Unknown,Unknown,2
50,50,LCoZCr,False,False,False,0,Naive,Naive,Naive,167,Unknown,Unknown,2
51,74,LCoZCr,False,False,False,0,Naive,Naive,Naive,137,Unknown,Unknown,2
52,119,LCoZCr,False,False,False,0,Naive,Naive,Naive,22,45,False,1
53,41,LCoZCr,False,False,False,0,Naive,Naive,Naive,414,Unknown,Unknown,1
54,30,LCoZCr,False,False,False,0,Naive,Naive,Naive,455,Unknown,Unknown,1
55,9,LCoZCr,False,False,False,0,Naive,Naive,Naive,79,Unknown,Unknown,2
56,83,LCoZCr,False,False,False,0,Naive,Naive,Naive,324,Unknown,Unknown,1
57,49,LCoZCr,False,False,False,0,Naive,Naive,Naive,84,Unknown,Unknown,2
58,65,LCoZCr,False,False,False,0,Naive,Naive,Naive,205,Unknown,Unknown,2
59,71,LCoZCr,False,False,False,1,Naive,Naive,Naive,504,Unknown,Unknown,1
60,106,LCoZCr,False,False,False,0,Naive,Naive,Naive,45,20,False,1
61,79,LCoZCr,False,False,False,0,Naive,Naive,Naive,257,Unknown,Unknown,1
62,44,LCoZCr,False,False,False,0,Naive,Naive,Naive,135,Unknown,Unknown,2
63,77,LCoZCr,False,False,False,0,Naive,Naive,Naive,169,Unknown,Unknown,1
64,69,LCoZCr,False,False,False,0,Naive,Naive,Naive,485,Unknown,Unknown,2
65,48,LCoZCr,False,False,False,0,Naive,Naive,Naive,99,Unknown,Unknown,1
66,21,LCoZCr,False,False,False,0,Naive,Naive,Naive,271,Unknown,Unknown,2
67,89,LCoZCr,False,False,False,0,Naive,Naive,Naive,243,Unknown,Unknown,1
68,72,LCoZCr,False,False,False,0,Naive,Naive,Naive,542,Unknown,Unknown,2
69,105,LCoZCr,False,False,False,0,Naive,Naive,Naive,54,68,False,2
70,66,LCoZCr,False,False,False,0,Naive,Naive,Naive,534,Unknown,Unknown,1
71,2,LCoZCr,False,False,False,0,Naive,Naive,Naive,376,Unknown,Unknown,1
72,32,LCoZCr,False,False,False,0,Naive,Naive,Naive,202,Unknown,Unknown,2
73,91,LCoZCr,False,False,False,1,Naive,Naive,Naive,335,Unknown,Unknown,2
74,18,LCoZCr,False,False,False,0,Naive,Naive,Naive,153,Unknown,Unknown,2
75,142,LCoZCr,False,False,False,1,Naive,Naive,Naive,39,11,False,1
76,156,LCoZCr,False,True,True,0,25,61,inherited,29,71,False,2
77,130,LCoZCr,False,False,False,0,Naive,Naive,Naive,51,104,False,2
78,132,LCoZCr,False,False,False,2,Naive,Naive,Naive,52,7,False,1
79,68,LCoZCr,False,False,False,0,Naive,Naive,Naive,171,Unknown,Unknown,2
80,114,LCoZCr,False,False,False,0,Naive,Naive,Naive,59,84,False,2
81,149,LCoZCr,False,False,False,0,Naive,Naive,Naive,42,119,False,1
82,47,LCoZCr,False,False,False,0,Naive,Naive,Naive,162,Unknown,Unknown,2
83,42,LCoZCr,False,False,False,0,Naive,Naive,Naive,281,Unknown,Unknown,1
84,159,LCoZCr,False,False,False,0,Naive,Naive,Naive,24,109,False,1
85,27,LCoZCr,False,False,False,0,Naive,Naive,Naive,169,Unknown,Unknown,1
86,45,LCoZCr,False,False,False,0,Naive,Naive,Naive,339,Unknown,Unknown,1
87,64,LCoZCr,False,False,False,0,Naive,Naive,Naive,198,Unknown,Unknown,2
88,171,LCoZCr,False,False,False,0,Naive,Naive,Naive,17,122,False,2
89,3,LCoZCr,False,False,False,0,Naive,Naive,Naive,489,Unknown,Unknown,2
90,70,LCoZCr,False,False,False,0,Naive,Naive,Naive,190,Unknown,Unknown,2
91,20,LCoZCr,False,False,False,0,Naive,Naive,Naive,388,Unknown,Unknown,1
92,8,LCoZCr,False,False,False,0,Naive,Naive,Naive,456,Unknown,Unknown,1
93,17,LCoZCr,False,False,False,0,Naive,Naive,Naive,133,Unknown,Unknown,1
94,135,LCoZCr,False,False,False,0,Naive,Naive,Naive,67,75,False,2
95,111,LCoZCr,False,False,False,0,Naive,Naive,Naive,75,67,False,1
96,137,LCoZCr,False,False,False,0,Naive,Naive,Naive,65,133,False,2
97,129,LCoZCr,False,False,False,0,Naive,Naive,Naive,74,116,False,2
98,162,LCoZCr,False,False,False,0,Naive,Naive,Naive,38,124,False,1
99,186,LCoZCr,False,False,False,0,Naive,Naive,Naive,16,170,False,1
100,25,LCoZCr,False,False,False,1,Naive,Naive,Naive,186,Unknown,Unknown,1
101,78,LCoZCr,False,False,False,0,Naive,Naive,Naive,295,Unknown,Unknown,2
102,43,LCoZCr,False,False,False,0,Naive,Naive,Naive,99,Unknown,Unknown,2
103,184,LCoZCr,False,False,False,0,Naive,Naive,Naive,20,148,False,2
104,15,LCoZCr,False,False,False,0,Naive,Naive,Naive,423,Unknown,Unknown,2
105,150,LCoZCr,False,False,False,0,Naive,Naive,Naive,60,130,False,2
106,139,LCoZCr,False,False,False,0,Naive,Naive,Naive,71,130,False,2
107,100,LCoZCr,False,True,True,0,Naive,Naive,Naive,94,Unknown,Unknown,2
108,182,LCoZCr,False,False,False,0,Naive,Naive,Naive,26,128,False,1
109,112,LCoZCr,False,False,False,0,Naive,Naive,Naive,87,33,False,2
110,11,LCoZCr,True,False,False,3,Naive,Naive,Naive,215,Unknown,Unknown,1
111,12,LCoZCr,True,False,False,0,Naive,Naive,Naive,112,Unknown,Unknown,1
112,14,LCoZCr,True,False,False,0,Naive,Naive,Naive,120,Unknown,Unknown,1
113,22,LCoZCr,True,False,False,0,Naive,Naive,Naive,119,Unknown,Unknown,1
114,31,LCoZCr,True,False,False,0,Naive,Naive,Naive,211,Unknown,Unknown,2
115,33,LCoZCr,True,False,False,0,Naive,Naive,Naive,150,Unknown,Unknown,2
116,34,LCoZCr,True,False,False,0,Naive,Naive,Naive,117,Unknown,Unknown,2
117,38,LCoZCr,True,False,False,0,Naive,Naive,Naive,134,Unknown,Unknown,1
118,57,LCoZCr,True,False,False,0,Naive,Naive,Naive,156,Unknown,Unknown,2
119,75,LCoZCr,True,False,False,0,Naive,Naive,Naive,310,Unknown,Unknown,2
120,76,LCoZCr,True,False,False,0,Naive,Naive,Naive,100,Unknown,Unknown,2
121,82,LCoZCr,True,False,False,0,Naive,Naive,Naive,500,Unknown,Unknown,2
122,101,LCoZCr,True,False,False,0,Naive,Naive,Naive,94,11,False,2
123,102,LCoZCr,True,False,False,0,Naive,Naive,Naive,93,7,False,2
124,103,LCoZCr,True,False,False,0,Naive,Naive,Naive,93,73,False,2
125,104,LCoZCr,True,False,False,0,Naive,Naive,Naive,93,82,False,2
126,107,LCoZCr,True,False,False,0,Naive,Naive,Naive,92,81,False,1
127,108,LCoZCr,True,False,False,0,Naive,Naive,Naive,90,107,False,1
128,109,LCoZCr,True,False,False,0,Naive,Naive,Naive,88,19,False,1
129,110,LCoZCr,True,False,False,0,Naive,Naive,Naive,88,71,False,1
130,113,LCoZCr,True,False,False,0,Naive,Naive,Naive,86,109,False,1
131,115,LCoZCr,True,False,False,1,Naive,Naive,Naive,86,80,False,2
132,116,LCoZCr,True,False,False,0,Naive,Naive,Naive,86,34,False,2
133,117,LCoZCr,True,False,False,0,Naive,Naive,Naive,85,57,False,2
134,118,LCoZCr,True,False,False,0,Naive,Naive,Naive,85,110,False,1
135,120,LCoZCr,True,False,False,0,Naive,Naive,Naive,84,69,False,2
136,121,LCoZCr,True,False,False,0,Naive,Naive,Naive,84,33,False,2
137,122,LCoZCr,True,False,False,0,Naive,Naive,Naive,83,118,False,1
138,123,LCoZCr,True,False,False,0,Naive,Naive,Naive,83,119,False,1
139,124,LCoZCr,True,False,False,0,Naive,Naive,Naive,82,110,False,1
140,125,LCoZCr,True,False,False,0,Naive,Naive,Naive,82,77,False,2
141,126,LCoZCr,True,False,False,1,Naive,Naive,Naive,81,89,False,1
142,127,LCoZCr,True,False,False,0,Naive,Naive,Naive,81,113,False,1
143,128,LCoZCr,True,False,False,0,Naive,Naive,Naive,81,110,False,1
144,131,LCoZCr,True,False,False,0,Naive,Naive,Naive,81,12,False,1
145,133,LCoZCr,True,False,False,0,Naive,Naive,Naive,80,44,False,2
146,134,LCoZCr,True,False,False,0,Naive,Naive,Naive,80,111,False,1
147,136,LCoZCr,True,False,False,0,Naive,Naive,Naive,76,111,False,1
148,138,LCoZCr,True,False,False,0,Naive,Naive,Naive,76,124,False,1
149,140,LCoZCr,True,False,False,0,Naive,Naive,Naive,73,124,False,1
150,141,LCoZCr,True,False,False,0,Naive,Naive,Naive,73,27,False,1
151,143,LCoZCr,True,False,False,0,Naive,Naive,Naive,72,125,False,2
152,144,LCoZCr,True,False,False,0,Naive,Naive,Naive,72,22,False,1
153,145,LCoZCr,True,False,False,0,Naive,Naive,Naive,70,43,False,2
154,146,LCoZCr,True,False,False,1,Naive,Naive,Naive,70,142,False,1
155,147,LCoZCr,True,False,False,0,Naive,Naive,Naive,69,125,False,1
156,148,LCoZCr,True,False,False,0,Naive,Naive,Naive,68,136,False,1
157,151,LCoZCr,True,False,False,0,Naive,Naive,Naive,64,12,False,1
158,152,LCoZCr,True,False,False,0,Naive,Naive,Naive,63,128,False,1
159,153,LCoZCr,True,False,False,0,Naive,Naive,Naive,62,126,False,1
160,154,LCoZCr,True,False,False,1,Naive,Naive,Naive,61,122,False,1
161,155,LCoZCr,True,False,False,0,Naive,Naive,Naive,59,33,False,1
162,157,LCoZCr,True,False,False,0,Naive,Naive,Naive,58,118,False,1
163,158,LCoZCr,True,False,False,0,Naive,Naive,Naive,57,31,False,1
164,160,LCoZCr,True,False,False,0,Naive,Naive,Naive,47,8,False,1
165,161,LCoZCr,True,False,False,0,Naive,Naive,Naive,47,116,False,2
166,163,LCoZCr,True,False,False,0,Naive,Naive,Naive,45,131,False,2
167,164,LCoZCr,True,False,False,0,Naive,Naive,Naive,45,157,False,1
168,165,LCoZCr,True,False,False,0,Naive,Naive,Naive,45,140,False,2
169,166,LCoZCr,True,False,False,0,Naive,Naive,Naive,44,125,False,2
170,167,LCoZCr,True,False,False,0,Naive,Naive,Naive,43,31,False,1
171,168,LCoZCr,True,False,False,0,Naive,Naive,Naive,41,160,False,1
172,169,LCoZCr,True,False,False,0,Naive,Naive,Naive,41,91,False,2
173,170,LCoZCr,True,False,False,0,Naive,Naive,Naive,39,118,False,1
174,172,LCoZCr,True,False,False,2,Naive,Naive,Naive,38,146,False,1
175,173,LCoZCr,True,False,False,0,Naive,Naive,Naive,38,118,False,1
176,174,LCoZCr,True,False,False,0,Naive,Naive,Naive,36,171,False,2
177,175,LCoZCr,True,False,False,0,Naive,Naive,Naive,35,160,False,1
178,176,LCoZCr,True,False,False,0,Naive,Naive,Naive,33,172,False,1
179,177,LCoZCr,True,False,False,0,Naive,Naive,Naive,30,134,False,1
180,178,LCoZCr,True,False,False,0,Naive,Naive,Naive,29,134,False,1
181,179,LCoZCr,True,False,False,0,Naive,Naive,Naive,28,102,False,2
182,180,LCoZCr,True,False,False,0,Naive,Naive,Naive,27,163,False,2
183,181,LCoZCr,True,False,False,0,Naive,Naive,Naive,27,175,False,2
184,183,LCoZCr,True,False,False,0,Naive,Naive,Naive,26,57,False,1
185,185,LCoZCr,True,False,False,0,Naive,Naive,Naive,25,153,False,1
186,187,LCoZCr,True,False,False,0,Naive,Naive,Naive,22,173,False,1
187,188,LCoZCr,True,False,False,0,Naive,Naive,Naive,21,184,False,2
188,189,LCoZCr,True,False,False,0,Naive,Naive,Naive,21,187,False,1
189,190,LCoZCr,True,False,False,0,Naive,Naive,Naive,20,22,False,1
190,191,LCoZCr,True,False,False,0,Naive,Naive,Naive,18,186,False,1
191,192,LCoZCr,True,False,False,0,Naive,Naive,Naive,16,191,False,1
192,193,LCoZCr,True,False,False,0,Naive,Naive,Naive,15,134,False,1
193,194,LCoZCr,True,False,False,0,Naive,Naive,Naive,13,168,False,2
194,195,LCoZCr,True,False,False,0,Naive,Naive,Naive,12,194,False,2
195,196,LCoZCr,True,False,False,0,Naive,Naive,Naive,12,107,False,1
196,197,LCoZCr,True,False,False,0,Naive,Naive,Naive,11,168,False,2
197,198,LCoZCr,True,False,False,0,Naive,Naive,Naive,7,125,False,2
198,199,LCoZCr,True,False,False,0,Naive,Naive,Naive,7,187,False,1
199,200,LCoZCr,True,False,False,0,Naive,Naive,Naive,7,25,False,1
200,201,LCoZCr,True,False,False,0,Naive,Naive,Naive,7,12,False,1
201,202,LCoZCr,True,False,False,0,Naive,Naive,Naive,6,167,False,1
202,203,LCoZCr,True,False,False,0,Naive,Naive,Naive,5,154,False,1
203,204,LCoZCr,True,False,False,0,Naive,Naive,Naive,5,187,False,1
204,205,LCoZCr,True,False,False,0,Naive,Naive,Naive,4,178,False,2
205,206,LCoZCr,True,False,False,0,Naive,Naive,Naive,4,148,False,1
206,207,LCoZCr,True,False,False,0,Naive,Naive,Naive,4,204,False,1
207,208,LCoZCr,True,False,False,0,Naive,Naive,Naive,1,177,False,1
208,209,LCoZCr,True,False,False,0,Naive,Naive,Naive,0,208,False,1
209,210,LCoZCr,True,False,False,0,Naive,Naive,Naive,0,198,False,2
