,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,61,M7alkT,False,False,False,0,Naive,Naive,Naive,499,Unknown,Unknown,1
1,17,M7alkT,False,False,False,0,Naive,Naive,Naive,382,Unknown,Unknown,2
2,69,M7alkT,False,False,False,0,Naive,Naive,Naive,188,Unknown,Unknown,2
3,98,M7alkT,False,False,False,0,Naive,Naive,Naive,242,Unknown,Unknown,2
4,80,M7alkT,False,False,False,0,Naive,Naive,Naive,244,Unknown,Unknown,2
5,77,M7alkT,False,False,False,0,Naive,Naive,Naive,495,Unknown,Unknown,1
6,32,M7alkT,False,False,False,0,Naive,Naive,Naive,309,Unknown,Unknown,2
7,87,M7alkT,False,False,False,0,Naive,Naive,Naive,303,Unknown,Unknown,2
8,55,M7alkT,False,False,False,0,Naive,Naive,Naive,461,Unknown,Unknown,2
9,66,M7alkT,False,False,False,0,Naive,Naive,Naive,489,Unknown,Unknown,2
10,25,M7alkT,False,False,False,0,Naive,Naive,Naive,485,Unknown,Unknown,2
11,36,M7alkT,False,False,False,1,Naive,Naive,Naive,426,Unknown,Unknown,1
12,83,M7alkT,False,False,False,0,Naive,Naive,Naive,460,Unknown,Unknown,2
13,44,M7alkT,False,False,False,0,Naive,Naive,Naive,409,Unknown,Unknown,2
14,15,M7alkT,False,False,False,0,Naive,Naive,Naive,504,Unknown,Unknown,2
15,110,M7alkT,False,False,False,0,Naive,Naive,Naive,2,10,False,2
16,70,M7alkT,False,False,False,0,Naive,Naive,Naive,222,Unknown,Unknown,1
17,95,M7alkT,False,False,False,0,Naive,Naive,Naive,236,Unknown,Unknown,1
18,94,M7alkT,False,False,False,0,Naive,Naive,Naive,405,Unknown,Unknown,2
19,58,M7alkT,False,False,False,0,Naive,Naive,Naive,463,Unknown,Unknown,2
20,33,M7alkT,False,False,False,0,Naive,Naive,Naive,417,Unknown,Unknown,1
21,68,M7alkT,False,False,False,0,Naive,Naive,Naive,261,Unknown,Unknown,2
22,81,M7alkT,False,False,False,0,Naive,Naive,Naive,402,Unknown,Unknown,1
23,12,M7alkT,False,False,False,0,Naive,Naive,Naive,357,Unknown,Unknown,1
24,16,M7alkT,False,False,False,0,Naive,Naive,Naive,327,Unknown,Unknown,2
25,34,M7alkT,False,False,False,0,Naive,Naive,Naive,434,Unknown,Unknown,1
26,20,M7alkT,False,False,False,0,Naive,Naive,Naive,422,Unknown,Unknown,1
27,79,M7alkT,False,False,False,0,Naive,Naive,Naive,251,Unknown,Unknown,1
28,65,M7alkT,False,False,False,0,Naive,Naive,Naive,130,Unknown,Unknown,1
29,118,M7alkT,False,False,False,0,Naive,Naive,Naive,6,12,False,1
30,10,M7alkT,False,False,False,0,Naive,Naive,Naive,414,Unknown,Unknown,2
31,82,M7alkT,False,False,False,0,Naive,Naive,Naive,507,Unknown,Unknown,1
32,11,M7alkT,False,False,False,0,Naive,Naive,Naive,436,Unknown,Unknown,1
33,59,M7alkT,False,False,False,0,Naive,Naive,Naive,225,Unknown,Unknown,2
34,56,M7alkT,False,False,False,0,Naive,Naive,Naive,506,Unknown,Unknown,1
35,71,M7alkT,False,False,False,0,Naive,Naive,Naive,336,Unknown,Unknown,1
36,64,M7alkT,False,False,False,0,Naive,Naive,Naive,348,Unknown,Unknown,1
37,73,M7alkT,False,False,False,0,Naive,Naive,Naive,48,Unknown,Unknown,1
38,51,M7alkT,False,False,False,0,Naive,Naive,Naive,239,Unknown,Unknown,2
39,19,M7alkT,False,False,False,0,Naive,Naive,Naive,271,Unknown,Unknown,1
40,62,M7alkT,False,False,False,0,Naive,Naive,Naive,406,Unknown,Unknown,2
41,13,M7alkT,False,False,False,0,Naive,Naive,Naive,401,Unknown,Unknown,1
42,90,M7alkT,False,False,False,0,Naive,Naive,Naive,169,Unknown,Unknown,2
43,75,M7alkT,False,False,False,0,Naive,Naive,Naive,238,Unknown,Unknown,2
44,57,M7alkT,False,False,False,0,Naive,Naive,Naive,142,Unknown,Unknown,2
45,86,M7alkT,False,False,False,0,Naive,Naive,Naive,423,Unknown,Unknown,2
46,8,M7alkT,False,False,False,0,Naive,Naive,Naive,217,Unknown,Unknown,1
47,50,M7alkT,False,False,False,0,Naive,Naive,Naive,477,Unknown,Unknown,2
48,42,M7alkT,False,False,False,0,Naive,Naive,Naive,473,Unknown,Unknown,2
49,30,M7alkT,False,False,False,0,Naive,Naive,Naive,397,Unknown,Unknown,1
50,92,M7alkT,False,False,False,0,Naive,Naive,Naive,495,Unknown,Unknown,1
51,1,M7alkT,False,False,False,0,Naive,Naive,Naive,456,Unknown,Unknown,2
52,29,M7alkT,False,False,False,0,Naive,Naive,Naive,499,Unknown,Unknown,2
53,53,M7alkT,False,False,False,0,Naive,Naive,Naive,313,Unknown,Unknown,1
54,89,M7alkT,False,False,False,0,Naive,Naive,Naive,127,Unknown,Unknown,1
55,22,M7alkT,False,False,False,0,Naive,Naive,Naive,514,Unknown,Unknown,2
56,78,M7alkT,False,False,False,0,Naive,Naive,Naive,334,Unknown,Unknown,2
57,4,M7alkT,False,False,False,0,Naive,Naive,Naive,369,Unknown,Unknown,2
58,21,M7alkT,False,False,False,0,Naive,Naive,Naive,81,Unknown,Unknown,1
59,18,M7alkT,False,False,False,0,Naive,Naive,Naive,283,Unknown,Unknown,2
60,74,M7alkT,False,False,False,0,Naive,Naive,Naive,189,Unknown,Unknown,2
61,52,M7alkT,False,False,False,0,Naive,Naive,Naive,381,Unknown,Unknown,1
62,40,M7alkT,False,False,False,0,Naive,Naive,Naive,174,Unknown,Unknown,1
63,119,M7alkT,False,False,False,2,Naive,Naive,Naive,27,101,False,1
64,43,M7alkT,False,False,False,0,Naive,Naive,Naive,462,Unknown,Unknown,2
65,93,M7alkT,False,False,False,0,Naive,Naive,Naive,95,Unknown,Unknown,1
66,67,M7alkT,False,False,False,0,Naive,Naive,Naive,190,Unknown,Unknown,1
67,72,M7alkT,False,False,False,0,Naive,Naive,Naive,317,Unknown,Unknown,1
68,48,M7alkT,False,False,False,0,Naive,Naive,Naive,197,Unknown,Unknown,2
69,5,M7alkT,False,False,False,0,Naive,Naive,Naive,253,Unknown,Unknown,1
70,63,M7alkT,False,False,False,0,Naive,Naive,Naive,288,Unknown,Unknown,2
71,3,M7alkT,False,False,False,0,Naive,Naive,Naive,397,Unknown,Unknown,2
72,60,M7alkT,False,False,False,0,Naive,Naive,Naive,451,Unknown,Unknown,2
73,47,M7alkT,False,False,False,0,Naive,Naive,Naive,138,Unknown,Unknown,2
74,114,M7alkT,False,False,False,0,Naive,Naive,Naive,49,59,False,1
75,120,M7alkT,False,False,False,0,Naive,Naive,Naive,48,48,False,1
76,84,M7alkT,False,False,False,0,Naive,Naive,Naive,97,Unknown,Unknown,2
77,41,M7alkT,False,False,False,0,Naive,Naive,Naive,217,Unknown,Unknown,2
78,14,M7alkT,False,False,False,0,Naive,Naive,Naive,468,Unknown,Unknown,1
79,116,M7alkT,False,False,False,0,Naive,Naive,Naive,54,35,False,2
80,105,M7alkT,False,False,False,0,Naive,Naive,Naive,59,42,False,2
81,49,M7alkT,False,False,False,0,Naive,Naive,Naive,481,Unknown,Unknown,2
82,96,M7alkT,False,False,False,0,Naive,Naive,Naive,210,Unknown,Unknown,1
83,149,M7alkT,False,False,False,0,Naive,Naive,Naive,40,123,False,2
84,143,M7alkT,False,False,False,0,Naive,Naive,Naive,46,52,False,1
85,46,M7alkT,False,False,False,0,Naive,Naive,Naive,181,Unknown,Unknown,2
86,102,M7alkT,False,False,False,0,Naive,Naive,Naive,66,95,False,2
87,160,M7alkT,False,False,False,0,Naive,Naive,Naive,35,35,False,2
88,130,M7alkT,False,False,False,0,Naive,Naive,Naive,59,24,False,2
89,158,M7alkT,False,False,False,0,Naive,Naive,Naive,44,127,False,1
90,45,M7alkT,False,True,True,1,162,51,social,186,Unknown,Unknown,2
91,9,M7alkT,False,False,False,0,Naive,Naive,Naive,105,Unknown,Unknown,1
92,112,M7alkT,False,False,False,0,Naive,Naive,Naive,73,103,False,2
93,97,M7alkT,False,False,False,0,Naive,Naive,Naive,309,Unknown,Unknown,1
94,39,M7alkT,False,False,False,1,Naive,Naive,Naive,301,Unknown,Unknown,2
95,109,M7alkT,False,False,False,1,Naive,Naive,Naive,78,91,False,2
96,111,M7alkT,False,False,False,0,Naive,Naive,Naive,78,84,False,2
97,108,M7alkT,False,False,False,1,Naive,Naive,Naive,82,42,False,2
98,123,M7alkT,False,False,False,0,Naive,Naive,Naive,76,22,False,2
99,6,M7alkT,False,False,False,0,Naive,Naive,Naive,290,Unknown,Unknown,2
100,76,M7alkT,False,False,False,0,Naive,Naive,Naive,95,Unknown,Unknown,1
101,27,M7alkT,False,False,False,0,Naive,Naive,Naive,506,Unknown,Unknown,1
102,88,M7alkT,False,False,False,0,Naive,Naive,Naive,118,Unknown,Unknown,1
103,23,M7alkT,False,False,False,0,Naive,Naive,Naive,371,Unknown,Unknown,1
104,145,M7alkT,False,False,False,0,Naive,Naive,Naive,77,138,False,2
105,54,M7alkT,False,False,False,0,Naive,Naive,Naive,345,Unknown,Unknown,1
106,128,M7alkT,False,False,False,0,Naive,Naive,Naive,88,31,False,1
107,37,M7alkT,False,False,False,0,Naive,Naive,Naive,166,Unknown,Unknown,1
108,137,M7alkT,False,False,False,0,Naive,Naive,Naive,83,62,False,2
109,99,M7alkT,False,False,False,0,Naive,Naive,Naive,247,Unknown,Unknown,1
110,173,M7alkT,False,False,False,0,Naive,Naive,Naive,57,126,False,1
111,117,M7alkT,False,False,False,2,Naive,Naive,Naive,105,34,False,1
112,144,M7alkT,False,False,False,0,Naive,Naive,Naive,91,49,False,1
113,153,M7alkT,False,False,False,1,Naive,Naive,Naive,89,31,False,2
114,140,M7alkT,False,False,False,0,Naive,Naive,Naive,93,74,False,2
115,132,M7alkT,False,False,False,0,Naive,Naive,Naive,99,7,False,2
116,150,M7alkT,False,False,False,0,Naive,Naive,Naive,90,48,False,2
117,159,M7alkT,False,False,False,0,Naive,Naive,Naive,81,151,False,2
118,2,M7alkT,False,False,False,0,Naive,Naive,Naive,129,Unknown,Unknown,2
119,113,M7alkT,False,False,False,0,Naive,Naive,Naive,110,76,False,2
120,26,M7alkT,False,False,False,0,Naive,Naive,Naive,118,Unknown,Unknown,1
121,152,M7alkT,False,False,False,0,Naive,Naive,Naive,95,60,False,2
122,166,M7alkT,False,False,False,3,Naive,Naive,Naive,83,146,False,2
