,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,57,MmNsBC,False,False,False,0,Naive,Naive,Naive,306,Unknown,Unknown,1
1,90,MmNsBC,False,False,False,0,Naive,Naive,Naive,329,Unknown,Unknown,2
2,28,MmNsBC,False,False,False,0,Naive,Naive,Naive,476,Unknown,Unknown,2
3,99,MmNsBC,False,False,False,0,Naive,Naive,Naive,214,Unknown,Unknown,1
4,70,MmNsBC,False,False,False,0,Naive,Naive,Naive,343,Unknown,Unknown,1
5,87,MmNsBC,False,False,False,0,Naive,Naive,Naive,502,Unknown,Unknown,1
6,45,MmNsBC,False,False,False,0,Naive,Naive,Naive,251,Unknown,Unknown,2
7,27,MmNsBC,False,False,False,0,Naive,Naive,Naive,104,Unknown,Unknown,2
8,33,MmNsBC,False,False,False,0,Naive,Naive,Naive,469,Unknown,Unknown,1
9,2,MmNsBC,False,False,False,0,Naive,Naive,Naive,317,Unknown,Unknown,1
10,74,MmNsBC,False,False,False,0,Naive,Naive,Naive,405,Unknown,Unknown,1
11,93,MmNsBC,False,False,False,0,Naive,Naive,Naive,478,Unknown,Unknown,1
12,38,MmNsBC,False,False,False,0,Naive,Naive,Naive,162,Unknown,Unknown,1
13,9,MmNsBC,False,False,False,0,Naive,Naive,Naive,386,Unknown,Unknown,2
14,79,MmNsBC,False,False,False,0,Naive,Naive,Naive,40,Unknown,Unknown,2
15,8,MmNsBC,False,False,False,0,Naive,Naive,Naive,506,Unknown,Unknown,2
16,16,MmNsBC,False,False,False,0,Naive,Naive,Naive,291,Unknown,Unknown,1
17,97,MmNsBC,False,False,False,0,Naive,Naive,Naive,439,Unknown,Unknown,1
18,88,MmNsBC,False,False,False,1,Naive,Naive,Naive,282,Unknown,Unknown,2
19,58,MmNsBC,False,False,False,0,Naive,Naive,Naive,472,Unknown,Unknown,2
20,32,MmNsBC,False,False,False,0,Naive,Naive,Naive,448,Unknown,Unknown,2
21,56,MmNsBC,False,False,False,0,Naive,Naive,Naive,382,Unknown,Unknown,2
22,53,MmNsBC,False,False,False,0,Naive,Naive,Naive,487,Unknown,Unknown,2
23,35,MmNsBC,False,False,False,0,Naive,Naive,Naive,510,Unknown,Unknown,1
24,115,MmNsBC,False,False,False,0,Naive,Naive,Naive,5,35,False,1
25,37,MmNsBC,False,False,False,0,Naive,Naive,Naive,499,Unknown,Unknown,2
26,73,MmNsBC,False,False,False,0,Naive,Naive,Naive,407,Unknown,Unknown,2
27,6,MmNsBC,False,False,False,0,Naive,Naive,Naive,214,Unknown,Unknown,1
28,29,MmNsBC,False,False,False,0,Naive,Naive,Naive,140,Unknown,Unknown,2
29,1,MmNsBC,False,False,False,1,Naive,Naive,Naive,408,Unknown,Unknown,1
