,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,4,OA57Vm,False,False,False,0,Naive,Naive,Naive,392,Unknown,Unknown,1
1,36,OA57Vm,False,False,False,0,Naive,Naive,Naive,360,Unknown,Unknown,2
2,68,OA57Vm,False,False,False,0,Naive,Naive,Naive,337,Unknown,Unknown,1
3,27,OA57Vm,False,False,False,0,Naive,Naive,Naive,276,Unknown,Unknown,2
4,19,OA57Vm,False,False,False,0,Naive,Naive,Naive,163,Unknown,Unknown,1
5,15,OA57Vm,False,False,False,0,Naive,Naive,Naive,422,Unknown,Unknown,2
6,99,OA57Vm,False,False,False,0,Naive,Naive,Naive,228,Unknown,Unknown,2
7,16,OA57Vm,False,False,False,0,Naive,Naive,Naive,103,Unknown,Unknown,1
8,6,OA57Vm,False,False,False,0,Naive,Naive,Naive,273,Unknown,Unknown,2
9,60,OA57Vm,False,False,False,0,Naive,Naive,Naive,180,Unknown,Unknown,1
10,75,OA57Vm,False,False,False,0,Naive,Naive,Naive,318,Unknown,Unknown,2
11,89,OA57Vm,False,False,False,0,Naive,Naive,Naive,270,Unknown,Unknown,2
12,10,OA57Vm,False,False,False,0,Naive,Naive,Naive,399,Unknown,Unknown,1
13,79,OA57Vm,False,False,False,0,Naive,Naive,Naive,316,Unknown,Unknown,1
14,11,OA57Vm,False,False,False,0,Naive,Naive,Naive,260,Unknown,Unknown,2
15,28,OA57Vm,False,False,False,0,Naive,Naive,Naive,342,Unknown,Unknown,1
16,31,OA57Vm,False,False,False,0,Naive,Naive,Naive,172,Unknown,Unknown,1
17,73,OA57Vm,False,False,False,0,Naive,Naive,Naive,462,Unknown,Unknown,2
18,25,OA57Vm,False,False,False,0,Naive,Naive,Naive,378,Unknown,Unknown,1
19,53,OA57Vm,False,False,False,0,Naive,Naive,Naive,158,Unknown,Unknown,2
20,26,OA57Vm,False,False,False,0,Naive,Naive,Naive,157,Unknown,Unknown,1
21,97,OA57Vm,False,False,False,0,Naive,Naive,Naive,496,Unknown,Unknown,1
22,64,OA57Vm,False,False,False,0,Naive,Naive,Naive,467,Unknown,Unknown,2
23,87,OA57Vm,False,False,False,1,Naive,Naive,Naive,231,Unknown,Unknown,2
24,33,OA57Vm,False,False,False,0,Naive,Naive,Naive,507,Unknown,Unknown,1
25,14,OA57Vm,False,False,False,0,Naive,Naive,Naive,331,Unknown,Unknown,2
26,13,OA57Vm,False,False,False,0,Naive,Naive,Naive,507,Unknown,Unknown,1
27,50,OA57Vm,False,False,False,0,Naive,Naive,Naive,418,Unknown,Unknown,2
28,46,OA57Vm,False,False,False,0,Naive,Naive,Naive,166,Unknown,Unknown,1
29,43,OA57Vm,False,False,False,0,Naive,Naive,Naive,212,Unknown,Unknown,2
30,57,OA57Vm,False,False,False,0,Naive,Naive,Naive,485,Unknown,Unknown,2
31,66,OA57Vm,False,False,False,0,Naive,Naive,Naive,263,Unknown,Unknown,1
