,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,62,OGHGu8,False,False,False,0,Naive,Naive,Naive,440,Unknown,Unknown,2
1,7,OGHGu8,False,False,False,0,Naive,Naive,Naive,298,Unknown,Unknown,1
2,68,OGHGu8,False,False,False,0,Naive,Naive,Naive,333,Unknown,Unknown,2
3,80,OGHGu8,False,False,False,0,Naive,Naive,Naive,489,Unknown,Unknown,1
4,10,OGHGu8,False,False,False,0,Naive,Naive,Naive,424,Unknown,Unknown,1
5,93,OGHGu8,False,False,False,0,Naive,Naive,Naive,47,Unknown,Unknown,1
6,28,OGHGu8,False,False,False,0,Naive,Naive,Naive,238,Unknown,Unknown,1
7,29,OGHGu8,False,False,False,0,Naive,Naive,Naive,334,Unknown,Unknown,2
8,46,OGHGu8,False,False,False,0,Naive,Naive,Naive,408,Unknown,Unknown,2
9,88,OGHGu8,False,False,False,0,Naive,Naive,Naive,137,Unknown,Unknown,2
10,67,OGHGu8,False,False,False,0,Naive,Naive,Naive,246,Unknown,Unknown,1
11,6,OGHGu8,False,False,False,0,Naive,Naive,Naive,409,Unknown,Unknown,2
12,58,OGHGu8,False,False,False,0,Naive,Naive,Naive,494,Unknown,Unknown,2
13,64,OGHGu8,False,False,False,0,Naive,Naive,Naive,394,Unknown,Unknown,2
14,86,OGHGu8,False,False,False,0,Naive,Naive,Naive,450,Unknown,Unknown,1
15,45,OGHGu8,False,False,False,0,Naive,Naive,Naive,402,Unknown,Unknown,2
16,2,OGHGu8,False,False,False,0,Naive,Naive,Naive,460,Unknown,Unknown,1
17,12,OGHGu8,False,False,False,0,Naive,Naive,Naive,421,Unknown,Unknown,2
18,41,OGHGu8,False,False,False,0,Naive,Naive,Naive,190,Unknown,Unknown,2
19,85,OGHGu8,False,False,False,0,Naive,Naive,Naive,352,Unknown,Unknown,1
20,53,OGHGu8,False,False,False,0,Naive,Naive,Naive,446,Unknown,Unknown,2
21,11,OGHGu8,False,False,False,0,Naive,Naive,Naive,360,Unknown,Unknown,1
22,23,OGHGu8,False,False,False,0,Naive,Naive,Naive,315,Unknown,Unknown,2
23,33,OGHGu8,False,False,False,0,Naive,Naive,Naive,134,Unknown,Unknown,2
24,82,OGHGu8,False,False,False,0,Naive,Naive,Naive,396,Unknown,Unknown,2
