,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,59,Otm1WB,False,False,False,0,Naive,Naive,Naive,246,Unknown,Unknown,1
1,16,Otm1WB,False,False,False,0,Naive,Naive,Naive,349,Unknown,Unknown,1
2,55,Otm1WB,False,False,False,0,Naive,Naive,Naive,439,Unknown,Unknown,1
3,87,Otm1WB,False,False,False,0,Naive,Naive,Naive,219,Unknown,Unknown,2
4,12,Otm1WB,False,False,False,0,Naive,Naive,Naive,454,Unknown,Unknown,1
5,9,Otm1WB,False,False,False,0,Naive,Naive,Naive,435,Unknown,Unknown,1
6,93,Otm1WB,False,False,False,0,Naive,Naive,Naive,441,Unknown,Unknown,1
7,52,Otm1WB,False,False,False,0,Naive,Naive,Naive,239,Unknown,Unknown,2
8,68,Otm1WB,False,False,False,0,Naive,Naive,Naive,216,Unknown,Unknown,2
9,64,Otm1WB,False,False,False,0,Naive,Naive,Naive,324,Unknown,Unknown,2
10,4,Otm1WB,False,False,False,0,Naive,Naive,Naive,453,Unknown,Unknown,2
11,38,Otm1WB,False,False,False,0,Naive,Naive,Naive,498,Unknown,Unknown,1
12,33,Otm1WB,False,False,False,0,Naive,Naive,Naive,335,Unknown,Unknown,1
13,98,Otm1WB,False,False,False,0,Naive,Naive,Naive,324,Unknown,Unknown,1
14,32,Otm1WB,False,False,False,0,Naive,Naive,Naive,320,Unknown,Unknown,1
15,35,Otm1WB,False,False,False,0,Naive,Naive,Naive,184,Unknown,Unknown,1
16,70,Otm1WB,False,False,False,0,Naive,Naive,Naive,477,Unknown,Unknown,1
17,28,Otm1WB,False,False,False,0,Naive,Naive,Naive,449,Unknown,Unknown,2
18,82,Otm1WB,False,False,False,0,Naive,Naive,Naive,338,Unknown,Unknown,1
19,86,Otm1WB,False,False,False,0,Naive,Naive,Naive,174,Unknown,Unknown,1
20,46,Otm1WB,False,False,False,0,Naive,Naive,Naive,470,Unknown,Unknown,2
21,71,Otm1WB,False,False,False,0,Naive,Naive,Naive,479,Unknown,Unknown,2
22,84,Otm1WB,False,False,False,0,Naive,Naive,Naive,451,Unknown,Unknown,1
23,41,Otm1WB,False,False,False,0,Naive,Naive,Naive,145,Unknown,Unknown,2
24,92,Otm1WB,False,False,False,0,Naive,Naive,Naive,454,Unknown,Unknown,2
25,88,Otm1WB,False,False,False,0,Naive,Naive,Naive,217,Unknown,Unknown,2
26,69,Otm1WB,False,False,False,0,Naive,Naive,Naive,158,Unknown,Unknown,1
27,95,Otm1WB,False,False,False,0,Naive,Naive,Naive,414,Unknown,Unknown,1
28,24,Otm1WB,False,False,False,0,Naive,Naive,Naive,471,Unknown,Unknown,1
29,6,Otm1WB,False,False,False,0,Naive,Naive,Naive,153,Unknown,Unknown,1
30,81,Otm1WB,False,False,False,0,Naive,Naive,Naive,284,Unknown,Unknown,1
31,97,Otm1WB,False,False,False,0,Naive,Naive,Naive,514,Unknown,Unknown,1
32,77,Otm1WB,False,False,False,0,Naive,Naive,Naive,204,Unknown,Unknown,1
33,65,Otm1WB,False,False,False,0,Naive,Naive,Naive,336,Unknown,Unknown,2
34,8,Otm1WB,False,False,False,0,Naive,Naive,Naive,398,Unknown,Unknown,1
35,47,Otm1WB,False,False,False,0,Naive,Naive,Naive,188,Unknown,Unknown,2
36,14,Otm1WB,False,False,False,0,Naive,Naive,Naive,212,Unknown,Unknown,2
37,19,Otm1WB,False,False,False,0,Naive,Naive,Naive,274,Unknown,Unknown,2
38,62,Otm1WB,False,False,False,0,Naive,Naive,Naive,282,Unknown,Unknown,2
39,96,Otm1WB,False,False,False,0,Naive,Naive,Naive,317,Unknown,Unknown,2
40,10,Otm1WB,False,False,False,0,Naive,Naive,Naive,512,Unknown,Unknown,2
41,58,Otm1WB,False,False,False,0,Naive,Naive,Naive,303,Unknown,Unknown,2
42,21,Otm1WB,False,False,False,0,Naive,Naive,Naive,252,Unknown,Unknown,1
43,42,Otm1WB,False,False,False,0,Naive,Naive,Naive,129,Unknown,Unknown,2
44,66,Otm1WB,False,False,False,0,Naive,Naive,Naive,285,Unknown,Unknown,2
45,50,Otm1WB,False,False,False,0,Naive,Naive,Naive,179,Unknown,Unknown,1
46,63,Otm1WB,False,False,False,0,Naive,Naive,Naive,316,Unknown,Unknown,2
47,7,Otm1WB,False,False,False,0,Naive,Naive,Naive,159,Unknown,Unknown,2
48,34,Otm1WB,False,False,False,0,Naive,Naive,Naive,462,Unknown,Unknown,2
49,56,Otm1WB,False,False,False,0,Naive,Naive,Naive,72,Unknown,Unknown,2
50,106,Otm1WB,False,False,False,0,Naive,Naive,Naive,31,74,False,1
51,36,Otm1WB,False,False,False,0,Naive,Naive,Naive,257,Unknown,Unknown,1
52,79,Otm1WB,False,False,False,0,Naive,Naive,Naive,222,Unknown,Unknown,2
53,94,Otm1WB,False,False,False,0,Naive,Naive,Naive,405,Unknown,Unknown,1
54,83,Otm1WB,False,False,False,0,Naive,Naive,Naive,351,Unknown,Unknown,2
55,57,Otm1WB,False,False,False,0,Naive,Naive,Naive,510,Unknown,Unknown,1
