,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,52,PTWE5h,False,False,False,0,Naive,Naive,Naive,415,Unknown,Unknown,1
1,31,PTWE5h,False,False,False,0,Naive,Naive,Naive,464,Unknown,Unknown,1
2,76,PTWE5h,False,False,False,0,Naive,Naive,Naive,478,Unknown,Unknown,2
3,82,PTWE5h,False,False,False,0,Naive,Naive,Naive,493,Unknown,Unknown,2
4,4,PTWE5h,False,False,False,0,Naive,Naive,Naive,252,Unknown,Unknown,2
5,46,PTWE5h,False,False,False,0,Naive,Naive,Naive,400,Unknown,Unknown,2
6,30,PTWE5h,False,False,False,0,Naive,Naive,Naive,273,Unknown,Unknown,2
7,51,PTWE5h,False,False,False,0,Naive,Naive,Naive,483,Unknown,Unknown,1
8,74,PTWE5h,False,False,False,0,Naive,Naive,Naive,22,Unknown,Unknown,2
9,72,PTWE5h,False,False,False,0,Naive,Naive,Naive,437,Unknown,Unknown,2
10,95,PTWE5h,False,False,False,0,Naive,Naive,Naive,434,Unknown,Unknown,1
11,61,PTWE5h,False,False,False,0,Naive,Naive,Naive,496,Unknown,Unknown,2
12,36,PTWE5h,False,False,False,0,Naive,Naive,Naive,484,Unknown,Unknown,2
13,3,PTWE5h,False,False,False,0,Naive,Naive,Naive,222,Unknown,Unknown,2
14,37,PTWE5h,False,False,False,0,Naive,Naive,Naive,262,Unknown,Unknown,2
15,34,PTWE5h,False,False,False,0,Naive,Naive,Naive,422,Unknown,Unknown,1
16,43,PTWE5h,False,False,False,0,Naive,Naive,Naive,79,Unknown,Unknown,1
17,90,PTWE5h,False,False,False,0,Naive,Naive,Naive,411,Unknown,Unknown,2
18,21,PTWE5h,False,False,False,1,Naive,Naive,Naive,253,Unknown,Unknown,2
19,69,PTWE5h,False,False,False,0,Naive,Naive,Naive,97,Unknown,Unknown,1
20,33,PTWE5h,False,False,False,0,Naive,Naive,Naive,465,Unknown,Unknown,1
21,47,PTWE5h,False,False,False,0,Naive,Naive,Naive,42,Unknown,Unknown,2
22,48,PTWE5h,False,False,False,0,Naive,Naive,Naive,421,Unknown,Unknown,2
23,62,PTWE5h,False,False,False,0,Naive,Naive,Naive,332,Unknown,Unknown,1
24,11,PTWE5h,False,False,False,0,Naive,Naive,Naive,331,Unknown,Unknown,2
25,27,PTWE5h,False,False,False,0,Naive,Naive,Naive,278,Unknown,Unknown,1
26,77,PTWE5h,False,False,False,0,Naive,Naive,Naive,366,Unknown,Unknown,1
27,94,PTWE5h,False,False,False,0,Naive,Naive,Naive,280,Unknown,Unknown,2
28,70,PTWE5h,False,False,False,0,Naive,Naive,Naive,165,Unknown,Unknown,1
29,9,PTWE5h,False,False,False,0,Naive,Naive,Naive,430,Unknown,Unknown,2
30,81,PTWE5h,False,False,False,0,Naive,Naive,Naive,357,Unknown,Unknown,1
31,55,PTWE5h,False,False,False,0,Naive,Naive,Naive,215,Unknown,Unknown,1
32,79,PTWE5h,False,False,False,1,Naive,Naive,Naive,403,Unknown,Unknown,1
33,73,PTWE5h,False,False,False,0,Naive,Naive,Naive,457,Unknown,Unknown,1
34,29,PTWE5h,False,False,False,0,Naive,Naive,Naive,339,Unknown,Unknown,2
35,6,PTWE5h,False,False,False,1,Naive,Naive,Naive,220,Unknown,Unknown,1
36,19,PTWE5h,False,False,False,0,Naive,Naive,Naive,391,Unknown,Unknown,1
37,99,PTWE5h,False,False,False,0,Naive,Naive,Naive,265,Unknown,Unknown,1
38,12,PTWE5h,False,False,False,0,Naive,Naive,Naive,235,Unknown,Unknown,2
39,5,PTWE5h,False,False,False,0,Naive,Naive,Naive,513,Unknown,Unknown,1
40,24,PTWE5h,False,False,False,0,Naive,Naive,Naive,181,Unknown,Unknown,2
41,86,PTWE5h,False,False,False,1,Naive,Naive,Naive,463,Unknown,Unknown,1
42,53,PTWE5h,False,False,False,0,Naive,Naive,Naive,131,Unknown,Unknown,1
43,119,PTWE5h,False,False,False,0,Naive,Naive,Naive,17,83,False,1
44,65,PTWE5h,False,False,False,0,Naive,Naive,Naive,306,Unknown,Unknown,2
45,18,PTWE5h,False,False,False,0,Naive,Naive,Naive,132,Unknown,Unknown,1
46,133,PTWE5h,False,False,False,0,Naive,Naive,Naive,10,118,False,1
47,2,PTWE5h,False,False,False,0,Naive,Naive,Naive,244,Unknown,Unknown,2
48,97,PTWE5h,False,False,False,0,Naive,Naive,Naive,488,Unknown,Unknown,2
49,16,PTWE5h,False,False,False,0,Naive,Naive,Naive,167,Unknown,Unknown,1
50,85,PTWE5h,False,False,False,0,Naive,Naive,Naive,251,Unknown,Unknown,2
51,71,PTWE5h,False,False,False,0,Naive,Naive,Naive,382,Unknown,Unknown,1
52,17,PTWE5h,False,False,False,0,Naive,Naive,Naive,369,Unknown,Unknown,1
53,35,PTWE5h,False,False,False,0,Naive,Naive,Naive,303,Unknown,Unknown,2
54,84,PTWE5h,False,False,False,0,Naive,Naive,Naive,333,Unknown,Unknown,1
55,118,PTWE5h,False,False,False,0,Naive,Naive,Naive,29,40,False,1
56,50,PTWE5h,False,False,False,1,Naive,Naive,Naive,455,Unknown,Unknown,1
57,63,PTWE5h,False,False,False,0,Naive,Naive,Naive,542,Unknown,Unknown,2
58,25,PTWE5h,False,False,False,0,Naive,Naive,Naive,433,Unknown,Unknown,1
59,14,PTWE5h,False,False,False,0,Naive,Naive,Naive,530,Unknown,Unknown,1
60,66,PTWE5h,False,False,False,0,Naive,Naive,Naive,205,Unknown,Unknown,2
61,87,PTWE5h,False,False,False,2,Naive,Naive,Naive,537,Unknown,Unknown,1
62,13,PTWE5h,False,False,False,0,Naive,Naive,Naive,461,Unknown,Unknown,2
63,103,PTWE5h,False,False,False,0,Naive,Naive,Naive,47,75,False,1
64,60,PTWE5h,False,False,False,0,Naive,Naive,Naive,61,Unknown,Unknown,2
65,26,PTWE5h,False,False,False,1,Naive,Naive,Naive,543,Unknown,Unknown,1
66,80,PTWE5h,False,False,False,0,Naive,Naive,Naive,176,Unknown,Unknown,2
67,67,PTWE5h,False,False,False,2,Naive,Naive,Naive,379,Unknown,Unknown,2
68,1,PTWE5h,False,False,False,0,Naive,Naive,Naive,126,Unknown,Unknown,1
69,89,PTWE5h,False,False,False,0,Naive,Naive,Naive,86,Unknown,Unknown,1
70,41,PTWE5h,False,False,False,0,Naive,Naive,Naive,364,Unknown,Unknown,2
71,93,PTWE5h,False,False,False,0,Naive,Naive,Naive,504,Unknown,Unknown,2
72,111,PTWE5h,False,False,False,0,Naive,Naive,Naive,51,11,False,2
73,32,PTWE5h,False,False,False,0,Naive,Naive,Naive,469,Unknown,Unknown,1
74,110,PTWE5h,False,False,False,2,Naive,Naive,Naive,56,94,False,1
75,157,PTWE5h,False,False,False,0,Naive,Naive,Naive,21,101,False,2
76,57,PTWE5h,False,False,False,0,Naive,Naive,Naive,116,Unknown,Unknown,1
77,64,PTWE5h,False,False,False,2,Naive,Naive,Naive,92,Unknown,Unknown,1
78,39,PTWE5h,False,False,False,3,Naive,Naive,Naive,322,Unknown,Unknown,2
79,148,PTWE5h,False,False,False,0,Naive,Naive,Naive,34,143,False,1
80,56,PTWE5h,False,False,False,0,Naive,Naive,Naive,204,Unknown,Unknown,1
81,159,PTWE5h,False,False,False,0,Naive,Naive,Naive,23,13,False,1
82,38,PTWE5h,False,False,False,0,Naive,Naive,Naive,379,Unknown,Unknown,2
83,20,PTWE5h,False,False,False,0,Naive,Naive,Naive,171,Unknown,Unknown,2
84,92,PTWE5h,False,False,False,0,Naive,Naive,Naive,310,Unknown,Unknown,1
85,8,PTWE5h,False,False,False,0,Naive,Naive,Naive,232,Unknown,Unknown,2
86,42,PTWE5h,False,False,False,0,Naive,Naive,Naive,197,Unknown,Unknown,1
87,134,PTWE5h,False,False,False,0,Naive,Naive,Naive,51,130,False,1
88,140,PTWE5h,False,False,False,1,Naive,Naive,Naive,49,75,False,2
89,125,PTWE5h,False,False,False,0,Naive,Naive,Naive,59,103,False,1
90,44,PTWE5h,False,False,False,0,Naive,Naive,Naive,163,Unknown,Unknown,2
91,7,PTWE5h,False,False,False,0,Naive,Naive,Naive,353,Unknown,Unknown,2
92,15,PTWE5h,False,False,False,0,Naive,Naive,Naive,255,Unknown,Unknown,2
93,49,PTWE5h,False,False,False,1,Naive,Naive,Naive,259,Unknown,Unknown,1
94,141,PTWE5h,False,False,False,0,Naive,Naive,Naive,54,135,False,1
95,144,PTWE5h,False,False,False,0,Naive,Naive,Naive,52,116,False,2
96,101,PTWE5h,False,False,False,9,Naive,Naive,Naive,81,100,True,1
97,54,PTWE5h,False,False,False,0,Naive,Naive,Naive,300,Unknown,Unknown,2
98,96,PTWE5h,False,False,False,0,Naive,Naive,Naive,394,Unknown,Unknown,2
99,58,PTWE5h,False,False,False,0,Naive,Naive,Naive,91,Unknown,Unknown,1
100,128,PTWE5h,False,False,False,0,Naive,Naive,Naive,67,80,False,2
101,75,PTWE5h,False,False,False,1,Naive,Naive,Naive,106,Unknown,Unknown,2
102,162,PTWE5h,False,False,False,0,Naive,Naive,Naive,40,64,False,1
103,182,PTWE5h,False,False,False,0,Naive,Naive,Naive,21,178,False,1
104,153,PTWE5h,False,False,False,0,Naive,Naive,Naive,51,111,False,2
105,83,PTWE5h,False,False,False,0,Naive,Naive,Naive,297,Unknown,Unknown,1
106,40,PTWE5h,False,False,False,0,Naive,Naive,Naive,296,Unknown,Unknown,1
107,156,PTWE5h,False,False,False,0,Naive,Naive,Naive,52,142,False,2
108,22,PTWE5h,False,False,False,0,Naive,Naive,Naive,392,Unknown,Unknown,2
109,142,PTWE5h,False,False,False,0,Naive,Naive,Naive,67,60,False,2
110,88,PTWE5h,False,False,False,1,Naive,Naive,Naive,367,Unknown,Unknown,2
111,175,PTWE5h,False,False,False,0,Naive,Naive,Naive,35,8,False,2
112,78,PTWE5h,False,False,False,0,Naive,Naive,Naive,444,Unknown,Unknown,1
113,190,PTWE5h,False,False,False,0,Naive,Naive,Naive,25,149,False,1
114,152,PTWE5h,False,False,False,1,Naive,Naive,Naive,63,141,False,1
115,10,PTWE5h,False,False,False,0,Naive,Naive,Naive,299,Unknown,Unknown,2
116,98,PTWE5h,False,False,False,0,Naive,Naive,Naive,579,Unknown,Unknown,1
117,161,PTWE5h,False,False,False,0,Naive,Naive,Naive,57,149,False,1
118,23,PTWE5h,False,False,False,0,Naive,Naive,Naive,362,Unknown,Unknown,1
119,149,PTWE5h,False,False,False,0,Naive,Naive,Naive,70,141,False,1
120,181,PTWE5h,False,False,False,0,Naive,Naive,Naive,37,156,False,2
