,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,39,PghWhK,False,False,False,0,Naive,Naive,Naive,249,Unknown,Unknown,1
1,13,PghWhK,False,False,False,0,Naive,Naive,Naive,435,Unknown,Unknown,2
2,89,PghWhK,False,False,False,0,Naive,Naive,Naive,180,Unknown,Unknown,2
3,10,PghWhK,False,False,False,0,Naive,Naive,Naive,308,Unknown,Unknown,2
4,20,PghWhK,False,False,False,0,Naive,Naive,Naive,414,Unknown,Unknown,2
5,48,PghWhK,False,False,False,0,Naive,Naive,Naive,331,Unknown,Unknown,1
6,52,PghWhK,False,False,False,0,Naive,Naive,Naive,205,Unknown,Unknown,1
7,12,PghWhK,False,False,False,0,Naive,Naive,Naive,410,Unknown,Unknown,2
8,94,PghWhK,False,False,False,0,Naive,Naive,Naive,318,Unknown,Unknown,1
9,92,PghWhK,False,False,False,0,Naive,Naive,Naive,446,Unknown,Unknown,2
10,76,PghWhK,False,False,False,0,Naive,Naive,Naive,110,Unknown,Unknown,1
11,9,PghWhK,False,False,False,0,Naive,Naive,Naive,474,Unknown,Unknown,2
12,67,PghWhK,False,False,False,0,Naive,Naive,Naive,412,Unknown,Unknown,1
13,68,PghWhK,False,False,False,0,Naive,Naive,Naive,480,Unknown,Unknown,1
14,35,PghWhK,False,False,False,0,Naive,Naive,Naive,110,Unknown,Unknown,2
15,97,PghWhK,False,False,False,0,Naive,Naive,Naive,50,Unknown,Unknown,2
16,88,PghWhK,False,False,False,0,Naive,Naive,Naive,428,Unknown,Unknown,1
17,38,PghWhK,False,False,False,0,Naive,Naive,Naive,478,Unknown,Unknown,1
18,2,PghWhK,False,False,False,0,Naive,Naive,Naive,133,Unknown,Unknown,2
19,75,PghWhK,False,False,False,0,Naive,Naive,Naive,481,Unknown,Unknown,1
20,56,PghWhK,False,False,False,0,Naive,Naive,Naive,188,Unknown,Unknown,2
21,71,PghWhK,False,False,False,1,Naive,Naive,Naive,490,Unknown,Unknown,1
22,24,PghWhK,False,False,False,0,Naive,Naive,Naive,461,Unknown,Unknown,1
23,85,PghWhK,False,False,False,0,Naive,Naive,Naive,356,Unknown,Unknown,1
24,1,PghWhK,False,False,False,0,Naive,Naive,Naive,357,Unknown,Unknown,2
25,25,PghWhK,False,False,False,0,Naive,Naive,Naive,93,Unknown,Unknown,2
26,44,PghWhK,False,False,False,0,Naive,Naive,Naive,176,Unknown,Unknown,1
27,96,PghWhK,False,False,False,0,Naive,Naive,Naive,179,Unknown,Unknown,1
28,69,PghWhK,False,False,False,0,Naive,Naive,Naive,135,Unknown,Unknown,1
29,77,PghWhK,False,False,False,0,Naive,Naive,Naive,380,Unknown,Unknown,1
30,26,PghWhK,False,False,False,0,Naive,Naive,Naive,451,Unknown,Unknown,2
31,17,PghWhK,False,False,False,0,Naive,Naive,Naive,106,Unknown,Unknown,2
32,31,PghWhK,False,False,False,0,Naive,Naive,Naive,428,Unknown,Unknown,2
33,91,PghWhK,False,False,False,0,Naive,Naive,Naive,102,Unknown,Unknown,1
34,4,PghWhK,False,False,False,0,Naive,Naive,Naive,383,Unknown,Unknown,2
35,53,PghWhK,False,False,False,0,Naive,Naive,Naive,322,Unknown,Unknown,1
36,81,PghWhK,False,False,False,0,Naive,Naive,Naive,457,Unknown,Unknown,2
37,34,PghWhK,False,False,False,0,Naive,Naive,Naive,395,Unknown,Unknown,1
38,11,PghWhK,False,False,False,0,Naive,Naive,Naive,279,Unknown,Unknown,1
39,47,PghWhK,False,False,False,0,Naive,Naive,Naive,320,Unknown,Unknown,2
40,93,PghWhK,False,False,False,2,Naive,Naive,Naive,374,Unknown,Unknown,1
41,83,PghWhK,False,False,False,0,Naive,Naive,Naive,514,Unknown,Unknown,1
42,8,PghWhK,False,False,False,0,Naive,Naive,Naive,328,Unknown,Unknown,1
43,125,PghWhK,False,False,False,0,Naive,Naive,Naive,9,44,False,2
44,37,PghWhK,False,False,False,0,Naive,Naive,Naive,153,Unknown,Unknown,1
45,80,PghWhK,False,False,False,0,Naive,Naive,Naive,240,Unknown,Unknown,1
46,45,PghWhK,False,False,False,0,Naive,Naive,Naive,197,Unknown,Unknown,1
47,57,PghWhK,False,False,False,0,Naive,Naive,Naive,106,Unknown,Unknown,2
48,59,PghWhK,False,False,False,0,Naive,Naive,Naive,450,Unknown,Unknown,1
49,51,PghWhK,False,False,False,0,Naive,Naive,Naive,41,Unknown,Unknown,2
50,58,PghWhK,False,False,False,0,Naive,Naive,Naive,338,Unknown,Unknown,2
51,16,PghWhK,False,False,False,0,Naive,Naive,Naive,376,Unknown,Unknown,2
52,63,PghWhK,False,False,False,0,Naive,Naive,Naive,379,Unknown,Unknown,1
53,40,PghWhK,False,False,False,0,Naive,Naive,Naive,320,Unknown,Unknown,1
54,55,PghWhK,False,False,False,0,Naive,Naive,Naive,116,Unknown,Unknown,2
55,84,PghWhK,False,False,False,0,Naive,Naive,Naive,113,Unknown,Unknown,2
56,82,PghWhK,False,False,False,0,Naive,Naive,Naive,274,Unknown,Unknown,2
57,14,PghWhK,False,False,False,0,Naive,Naive,Naive,324,Unknown,Unknown,1
58,7,PghWhK,False,False,False,0,Naive,Naive,Naive,281,Unknown,Unknown,1
59,73,PghWhK,False,False,False,0,Naive,Naive,Naive,192,Unknown,Unknown,1
60,49,PghWhK,False,False,False,0,Naive,Naive,Naive,525,Unknown,Unknown,1
61,41,PghWhK,False,False,False,0,Naive,Naive,Naive,269,Unknown,Unknown,1
62,32,PghWhK,False,False,False,0,Naive,Naive,Naive,520,Unknown,Unknown,2
63,27,PghWhK,False,False,False,0,Naive,Naive,Naive,133,Unknown,Unknown,1
64,15,PghWhK,False,False,False,0,Naive,Naive,Naive,291,Unknown,Unknown,1
65,118,PghWhK,False,False,False,1,Naive,Naive,Naive,33,116,False,2
66,98,PghWhK,False,False,False,0,Naive,Naive,Naive,371,Unknown,Unknown,1
67,112,PghWhK,False,False,False,0,Naive,Naive,Naive,39,69,False,2
68,87,PghWhK,False,False,False,0,Naive,Naive,Naive,221,Unknown,Unknown,2
69,78,PghWhK,False,False,False,0,Naive,Naive,Naive,525,Unknown,Unknown,1
70,116,PghWhK,False,False,False,1,Naive,Naive,Naive,42,4,False,2
71,60,PghWhK,False,False,False,1,Naive,Naive,Naive,433,Unknown,Unknown,2
72,23,PghWhK,False,False,False,0,Naive,Naive,Naive,461,Unknown,Unknown,1
73,113,PghWhK,False,False,False,0,Naive,Naive,Naive,43,62,False,1
74,90,PghWhK,False,False,False,0,Naive,Naive,Naive,149,Unknown,Unknown,2
75,19,PghWhK,False,False,False,0,Naive,Naive,Naive,366,Unknown,Unknown,1
76,72,PghWhK,False,False,False,1,Naive,Naive,Naive,145,Unknown,Unknown,1
77,6,PghWhK,False,False,False,0,Naive,Naive,Naive,352,Unknown,Unknown,1
78,18,PghWhK,False,False,False,2,Naive,Naive,Naive,73,Unknown,Unknown,1
79,70,PghWhK,False,False,False,0,Naive,Naive,Naive,73,Unknown,Unknown,1
80,46,PghWhK,False,False,False,0,Naive,Naive,Naive,138,Unknown,Unknown,1
81,28,PghWhK,False,False,False,2,Naive,Naive,Naive,394,Unknown,Unknown,2
82,154,PghWhK,False,False,False,0,Naive,Naive,Naive,42,117,False,1
83,99,PghWhK,False,False,False,0,Naive,Naive,Naive,150,Unknown,Unknown,1
84,64,PghWhK,False,False,False,0,Naive,Naive,Naive,316,Unknown,Unknown,2
85,22,PghWhK,False,False,False,0,Naive,Naive,Naive,98,Unknown,Unknown,1
86,33,PghWhK,False,False,False,0,Naive,Naive,Naive,493,Unknown,Unknown,2
87,173,PghWhK,False,False,False,0,Naive,Naive,Naive,27,147,False,1
88,102,PghWhK,False,False,False,0,Naive,Naive,Naive,74,1,False,1
89,127,PghWhK,False,False,False,0,Naive,Naive,Naive,65,112,False,2
90,143,PghWhK,False,False,False,0,Naive,Naive,Naive,57,110,False,1
91,103,PghWhK,False,False,False,0,Naive,Naive,Naive,76,48,False,1
92,50,PghWhK,False,False,False,0,Naive,Naive,Naive,179,Unknown,Unknown,1
93,5,PghWhK,False,False,False,0,Naive,Naive,Naive,489,Unknown,Unknown,1
94,114,PghWhK,False,False,False,0,Naive,Naive,Naive,74,29,False,2
95,43,PghWhK,False,False,False,0,Naive,Naive,Naive,143,Unknown,Unknown,1
96,170,PghWhK,False,False,False,0,Naive,Naive,Naive,34,145,False,2
97,62,PghWhK,False,False,False,0,Naive,Naive,Naive,115,Unknown,Unknown,1
98,124,PghWhK,False,False,False,0,Naive,Naive,Naive,74,101,False,2
99,152,PghWhK,False,False,False,0,Naive,Naive,Naive,57,7,False,2
100,145,PghWhK,False,False,False,0,Naive,Naive,Naive,72,120,False,1
101,109,PghWhK,False,False,False,0,Naive,Naive,Naive,89,55,False,2
102,122,PghWhK,False,False,False,0,Naive,Naive,Naive,86,115,False,1
103,126,PghWhK,False,False,False,0,Naive,Naive,Naive,84,44,False,2
104,95,PghWhK,False,False,False,0,Naive,Naive,Naive,326,Unknown,Unknown,1
105,42,PghWhK,False,False,False,0,Naive,Naive,Naive,207,Unknown,Unknown,2
106,166,PghWhK,False,False,False,0,Naive,Naive,Naive,63,111,False,2
107,61,PghWhK,False,False,False,0,Naive,Naive,Naive,169,Unknown,Unknown,2
108,184,PghWhK,False,False,False,0,Naive,Naive,Naive,32,36,False,1
109,121,PghWhK,False,False,False,0,Naive,Naive,Naive,97,42,False,2
110,189,PghWhK,False,False,False,0,Naive,Naive,Naive,29,156,False,2
111,135,PghWhK,False,False,False,0,Naive,Naive,Naive,90,46,False,1
112,151,PghWhK,False,False,False,0,Naive,Naive,Naive,80,127,False,2
113,149,PghWhK,False,False,False,0,Naive,Naive,Naive,88,134,False,1
114,193,PghWhK,False,False,False,0,Naive,Naive,Naive,34,184,False,1
115,164,PghWhK,False,False,False,0,Naive,Naive,Naive,75,133,False,1
116,129,PghWhK,False,False,False,0,Naive,Naive,Naive,104,99,False,1
117,128,PghWhK,False,False,False,0,Naive,Naive,Naive,104,122,False,1
118,107,PghWhK,False,False,False,1,Naive,Naive,Naive,112,99,False,1
119,179,PghWhK,False,False,False,0,Naive,Naive,Naive,60,70,False,1
120,79,PghWhK,False,False,False,2,Naive,Naive,Naive,392,Unknown,Unknown,1
121,138,PghWhK,False,False,False,1,Naive,Naive,Naive,103,136,False,2
122,163,PghWhK,False,False,False,0,Naive,Naive,Naive,84,158,False,1
123,183,PghWhK,False,False,False,5,Naive,Naive,Naive,53,22,False,1
124,106,PghWhK,False,False,False,0,Naive,Naive,Naive,123,19,False,1
125,142,PghWhK,False,False,False,0,Naive,Naive,Naive,106,134,False,1
126,158,PghWhK,False,False,False,0,Naive,Naive,Naive,96,36,False,1
127,132,PghWhK,False,True,True,6,61,75,social,116,118,False,2
128,54,PghWhK,False,True,True,5,167,97,social,201,Unknown,Unknown,2
129,101,PghWhK,False,False,False,1,Naive,Naive,Naive,131,54,False,1
130,86,PghWhK,False,False,False,0,Naive,Naive,Naive,352,Unknown,Unknown,2
131,196,PghWhK,False,False,False,0,Naive,Naive,Naive,55,192,False,1
132,159,PghWhK,False,False,False,0,Naive,Naive,Naive,100,146,False,1
133,3,PghWhK,False,False,False,0,Naive,Naive,Naive,135,Unknown,Unknown,1
134,156,PghWhK,False,False,False,0,Naive,Naive,Naive,104,135,False,1
135,181,PghWhK,False,False,False,0,Naive,Naive,Naive,69,142,False,1
136,131,PghWhK,False,True,True,8,56,70,social,123,54,False,2
137,157,PghWhK,False,False,False,0,Naive,Naive,Naive,107,129,False,1
138,123,PghWhK,False,True,True,6,70,79,social,130,120,False,2
139,192,PghWhK,False,False,False,0,Naive,Naive,Naive,63,187,False,1
140,30,PghWhK,False,True,True,5,249,128,social,262,Unknown,Unknown,2
141,65,PghWhK,False,False,False,0,Naive,Naive,Naive,151,Unknown,Unknown,1
