,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,67,Pvl0ui,False,False,False,0,Naive,Naive,Naive,273,Unknown,Unknown,1
1,14,Pvl0ui,False,False,False,0,Naive,Naive,Naive,62,Unknown,Unknown,2
2,21,Pvl0ui,False,False,False,0,Naive,Naive,Naive,477,Unknown,Unknown,1
3,84,Pvl0ui,False,False,False,0,Naive,Naive,Naive,496,Unknown,Unknown,1
4,46,Pvl0ui,False,False,False,0,Naive,Naive,Naive,292,Unknown,Unknown,2
5,96,Pvl0ui,False,False,False,0,Naive,Naive,Naive,299,Unknown,Unknown,2
6,93,Pvl0ui,False,False,False,0,Naive,Naive,Naive,475,Unknown,Unknown,2
7,71,Pvl0ui,False,False,False,0,Naive,Naive,Naive,485,Unknown,Unknown,1
8,48,Pvl0ui,False,False,False,0,Naive,Naive,Naive,105,Unknown,Unknown,2
9,23,Pvl0ui,False,False,False,0,Naive,Naive,Naive,309,Unknown,Unknown,2
10,4,Pvl0ui,False,False,False,0,Naive,Naive,Naive,157,Unknown,Unknown,1
11,55,Pvl0ui,False,False,False,0,Naive,Naive,Naive,153,Unknown,Unknown,2
12,65,Pvl0ui,False,False,False,0,Naive,Naive,Naive,348,Unknown,Unknown,1
13,99,Pvl0ui,False,False,False,0,Naive,Naive,Naive,454,Unknown,Unknown,2
14,8,Pvl0ui,False,False,False,0,Naive,Naive,Naive,121,Unknown,Unknown,2
15,12,Pvl0ui,False,False,False,0,Naive,Naive,Naive,345,Unknown,Unknown,2
16,59,Pvl0ui,False,False,False,0,Naive,Naive,Naive,191,Unknown,Unknown,2
17,10,Pvl0ui,False,False,False,0,Naive,Naive,Naive,504,Unknown,Unknown,1
18,87,Pvl0ui,False,False,False,0,Naive,Naive,Naive,498,Unknown,Unknown,2
19,13,Pvl0ui,False,False,False,0,Naive,Naive,Naive,505,Unknown,Unknown,1
20,15,Pvl0ui,False,False,False,0,Naive,Naive,Naive,471,Unknown,Unknown,2
21,97,Pvl0ui,False,False,False,0,Naive,Naive,Naive,493,Unknown,Unknown,2
22,89,Pvl0ui,False,False,False,0,Naive,Naive,Naive,331,Unknown,Unknown,1
23,56,Pvl0ui,False,False,False,0,Naive,Naive,Naive,466,Unknown,Unknown,2
24,57,Pvl0ui,False,False,False,0,Naive,Naive,Naive,160,Unknown,Unknown,1
25,39,Pvl0ui,False,False,False,0,Naive,Naive,Naive,138,Unknown,Unknown,2
26,91,Pvl0ui,False,False,False,0,Naive,Naive,Naive,68,Unknown,Unknown,1
27,111,Pvl0ui,False,False,False,0,Naive,Naive,Naive,7,102,False,1
28,3,Pvl0ui,False,False,False,0,Naive,Naive,Naive,448,Unknown,Unknown,2
29,26,Pvl0ui,False,False,False,0,Naive,Naive,Naive,380,Unknown,Unknown,2
30,41,Pvl0ui,False,False,False,0,Naive,Naive,Naive,494,Unknown,Unknown,1
31,27,Pvl0ui,False,False,False,0,Naive,Naive,Naive,463,Unknown,Unknown,2
32,42,Pvl0ui,False,False,False,0,Naive,Naive,Naive,80,Unknown,Unknown,2
33,66,Pvl0ui,False,False,False,0,Naive,Naive,Naive,88,Unknown,Unknown,2
34,36,Pvl0ui,False,False,False,0,Naive,Naive,Naive,338,Unknown,Unknown,1
