,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,5,QTmb2D,False,False,False,0,Naive,Naive,Naive,371,Unknown,Unknown,2
1,42,QTmb2D,False,False,False,0,Naive,Naive,Naive,490,Unknown,Unknown,2
2,72,QTmb2D,False,False,False,0,Naive,Naive,Naive,247,Unknown,Unknown,2
3,17,QTmb2D,False,False,False,0,Naive,Naive,Naive,351,Unknown,Unknown,1
4,97,QTmb2D,False,False,False,0,Naive,Naive,Naive,423,Unknown,Unknown,1
5,76,QTmb2D,False,False,False,0,Naive,Naive,Naive,423,Unknown,Unknown,2
6,99,QTmb2D,False,False,False,0,Naive,Naive,Naive,458,Unknown,Unknown,2
7,62,QTmb2D,False,False,False,0,Naive,Naive,Naive,414,Unknown,Unknown,1
8,84,QTmb2D,False,False,False,0,Naive,Naive,Naive,143,Unknown,Unknown,1
9,55,QTmb2D,False,False,False,0,Naive,Naive,Naive,422,Unknown,Unknown,2
10,24,QTmb2D,False,False,False,0,Naive,Naive,Naive,118,Unknown,Unknown,2
11,49,QTmb2D,False,False,False,0,Naive,Naive,Naive,371,Unknown,Unknown,2
12,14,QTmb2D,False,False,False,0,Naive,Naive,Naive,156,Unknown,Unknown,2
13,57,QTmb2D,False,False,False,0,Naive,Naive,Naive,408,Unknown,Unknown,1
14,64,QTmb2D,False,False,False,0,Naive,Naive,Naive,74,Unknown,Unknown,2
15,45,QTmb2D,False,False,False,0,Naive,Naive,Naive,209,Unknown,Unknown,1
16,22,QTmb2D,False,False,False,0,Naive,Naive,Naive,487,Unknown,Unknown,2
17,31,QTmb2D,False,False,False,0,Naive,Naive,Naive,246,Unknown,Unknown,2
18,1,QTmb2D,False,False,False,0,Naive,Naive,Naive,378,Unknown,Unknown,2
19,32,QTmb2D,False,False,False,0,Naive,Naive,Naive,380,Unknown,Unknown,2
20,95,QTmb2D,False,False,False,0,Naive,Naive,Naive,427,Unknown,Unknown,2
21,8,QTmb2D,False,False,False,0,Naive,Naive,Naive,438,Unknown,Unknown,2
22,77,QTmb2D,False,False,False,0,Naive,Naive,Naive,452,Unknown,Unknown,1
23,82,QTmb2D,False,False,False,0,Naive,Naive,Naive,321,Unknown,Unknown,2
24,70,QTmb2D,False,False,False,0,Naive,Naive,Naive,260,Unknown,Unknown,1
25,75,QTmb2D,False,False,False,0,Naive,Naive,Naive,502,Unknown,Unknown,2
26,123,QTmb2D,False,False,False,0,Naive,Naive,Naive,4,56,False,1
27,65,QTmb2D,False,False,False,0,Naive,Naive,Naive,488,Unknown,Unknown,1
28,105,QTmb2D,False,False,False,0,Naive,Naive,Naive,20,80,False,2
29,86,QTmb2D,False,False,False,0,Naive,Naive,Naive,149,Unknown,Unknown,1
30,6,QTmb2D,False,False,False,0,Naive,Naive,Naive,403,Unknown,Unknown,1
31,43,QTmb2D,False,False,False,0,Naive,Naive,Naive,325,Unknown,Unknown,2
32,52,QTmb2D,False,False,False,0,Naive,Naive,Naive,399,Unknown,Unknown,2
33,67,QTmb2D,False,False,False,0,Naive,Naive,Naive,465,Unknown,Unknown,1
34,56,QTmb2D,False,False,False,0,Naive,Naive,Naive,204,Unknown,Unknown,1
35,18,QTmb2D,False,False,False,0,Naive,Naive,Naive,194,Unknown,Unknown,1
36,13,QTmb2D,False,False,False,0,Naive,Naive,Naive,117,Unknown,Unknown,1
37,7,QTmb2D,False,False,False,0,Naive,Naive,Naive,127,Unknown,Unknown,2
38,111,QTmb2D,False,False,False,0,Naive,Naive,Naive,23,58,False,1
39,88,QTmb2D,False,False,False,0,Naive,Naive,Naive,436,Unknown,Unknown,1
40,91,QTmb2D,False,False,False,0,Naive,Naive,Naive,427,Unknown,Unknown,1
41,40,QTmb2D,False,False,False,0,Naive,Naive,Naive,291,Unknown,Unknown,2
42,16,QTmb2D,False,False,False,0,Naive,Naive,Naive,150,Unknown,Unknown,2
43,26,QTmb2D,False,False,False,0,Naive,Naive,Naive,414,Unknown,Unknown,2
44,92,QTmb2D,False,False,False,0,Naive,Naive,Naive,466,Unknown,Unknown,2
45,23,QTmb2D,False,False,False,0,Naive,Naive,Naive,263,Unknown,Unknown,1
46,29,QTmb2D,False,False,False,0,Naive,Naive,Naive,220,Unknown,Unknown,2
47,59,QTmb2D,False,False,False,0,Naive,Naive,Naive,194,Unknown,Unknown,1
48,44,QTmb2D,False,False,False,1,Naive,Naive,Naive,369,Unknown,Unknown,1
49,51,QTmb2D,False,False,False,0,Naive,Naive,Naive,397,Unknown,Unknown,1
50,81,QTmb2D,False,False,False,0,Naive,Naive,Naive,353,Unknown,Unknown,1
51,89,QTmb2D,False,False,False,0,Naive,Naive,Naive,83,Unknown,Unknown,2
52,20,QTmb2D,False,False,False,0,Naive,Naive,Naive,380,Unknown,Unknown,1
53,3,QTmb2D,False,False,False,0,Naive,Naive,Naive,265,Unknown,Unknown,2
54,4,QTmb2D,False,False,False,0,Naive,Naive,Naive,186,Unknown,Unknown,1
55,15,QTmb2D,False,False,False,0,Naive,Naive,Naive,80,Unknown,Unknown,1
56,127,QTmb2D,False,False,False,0,Naive,Naive,Naive,25,118,False,2
57,46,QTmb2D,False,False,False,0,Naive,Naive,Naive,462,Unknown,Unknown,1
58,63,QTmb2D,False,False,False,0,Naive,Naive,Naive,387,Unknown,Unknown,1
