,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,82,Qa9JKm,False,False,False,0,Naive,Naive,Naive,470,Unknown,Unknown,2
1,83,Qa9JKm,False,False,False,0,Naive,Naive,Naive,324,Unknown,Unknown,2
2,74,Qa9JKm,False,False,False,0,Naive,Naive,Naive,164,Unknown,Unknown,1
3,23,Qa9JKm,False,False,False,0,Naive,Naive,Naive,432,Unknown,Unknown,1
4,88,Qa9JKm,False,False,False,0,Naive,Naive,Naive,458,Unknown,Unknown,2
5,42,Qa9JKm,False,False,False,0,Naive,Naive,Naive,141,Unknown,Unknown,1
6,25,Qa9JKm,False,False,False,0,Naive,Naive,Naive,282,Unknown,Unknown,2
7,57,Qa9JKm,False,False,False,0,Naive,Naive,Naive,432,Unknown,Unknown,2
8,45,Qa9JKm,False,False,False,0,Naive,Naive,Naive,435,Unknown,Unknown,2
9,66,Qa9JKm,False,False,False,0,Naive,Naive,Naive,255,Unknown,Unknown,1
10,55,Qa9JKm,False,False,False,0,Naive,Naive,Naive,294,Unknown,Unknown,2
11,97,Qa9JKm,False,False,False,0,Naive,Naive,Naive,303,Unknown,Unknown,1
12,64,Qa9JKm,False,False,False,0,Naive,Naive,Naive,501,Unknown,Unknown,1
13,59,Qa9JKm,False,False,False,0,Naive,Naive,Naive,502,Unknown,Unknown,1
14,26,Qa9JKm,False,False,False,0,Naive,Naive,Naive,404,Unknown,Unknown,1
15,46,Qa9JKm,False,False,False,0,Naive,Naive,Naive,385,Unknown,Unknown,1
16,22,Qa9JKm,False,False,False,0,Naive,Naive,Naive,72,Unknown,Unknown,1
17,79,Qa9JKm,False,False,False,0,Naive,Naive,Naive,474,Unknown,Unknown,2
18,96,Qa9JKm,False,False,False,0,Naive,Naive,Naive,398,Unknown,Unknown,1
19,44,Qa9JKm,False,False,False,0,Naive,Naive,Naive,369,Unknown,Unknown,2
20,91,Qa9JKm,False,False,False,0,Naive,Naive,Naive,400,Unknown,Unknown,1
21,76,Qa9JKm,False,False,False,0,Naive,Naive,Naive,453,Unknown,Unknown,1
22,3,Qa9JKm,False,False,False,0,Naive,Naive,Naive,380,Unknown,Unknown,1
23,33,Qa9JKm,False,False,False,0,Naive,Naive,Naive,482,Unknown,Unknown,2
24,21,Qa9JKm,False,False,False,0,Naive,Naive,Naive,98,Unknown,Unknown,1
25,41,Qa9JKm,False,False,False,0,Naive,Naive,Naive,136,Unknown,Unknown,2
26,4,Qa9JKm,False,False,False,0,Naive,Naive,Naive,284,Unknown,Unknown,1
27,50,Qa9JKm,False,False,False,0,Naive,Naive,Naive,418,Unknown,Unknown,1
28,68,Qa9JKm,False,False,False,0,Naive,Naive,Naive,269,Unknown,Unknown,2
29,87,Qa9JKm,False,False,False,0,Naive,Naive,Naive,435,Unknown,Unknown,1
30,1,Qa9JKm,False,False,False,0,Naive,Naive,Naive,283,Unknown,Unknown,1
31,13,Qa9JKm,False,False,False,1,Naive,Naive,Naive,155,Unknown,Unknown,1
32,43,Qa9JKm,False,False,False,0,Naive,Naive,Naive,18,Unknown,Unknown,2
33,11,Qa9JKm,False,False,False,0,Naive,Naive,Naive,515,Unknown,Unknown,1
34,75,Qa9JKm,False,False,False,0,Naive,Naive,Naive,479,Unknown,Unknown,1
35,63,Qa9JKm,False,False,False,0,Naive,Naive,Naive,412,Unknown,Unknown,1
36,14,Qa9JKm,False,False,False,0,Naive,Naive,Naive,493,Unknown,Unknown,1
37,5,Qa9JKm,False,False,False,0,Naive,Naive,Naive,331,Unknown,Unknown,1
38,8,Qa9JKm,False,False,False,0,Naive,Naive,Naive,170,Unknown,Unknown,1
39,48,Qa9JKm,False,False,False,0,Naive,Naive,Naive,321,Unknown,Unknown,1
40,71,Qa9JKm,False,False,False,0,Naive,Naive,Naive,495,Unknown,Unknown,1
41,65,Qa9JKm,False,False,False,0,Naive,Naive,Naive,242,Unknown,Unknown,2
42,92,Qa9JKm,False,False,False,0,Naive,Naive,Naive,488,Unknown,Unknown,2
43,61,Qa9JKm,False,False,False,0,Naive,Naive,Naive,129,Unknown,Unknown,2
44,37,Qa9JKm,False,False,False,0,Naive,Naive,Naive,455,Unknown,Unknown,2
45,78,Qa9JKm,False,False,False,0,Naive,Naive,Naive,165,Unknown,Unknown,1
46,24,Qa9JKm,False,False,False,0,Naive,Naive,Naive,447,Unknown,Unknown,2
47,54,Qa9JKm,False,False,False,0,Naive,Naive,Naive,425,Unknown,Unknown,1
48,17,Qa9JKm,False,False,False,1,Naive,Naive,Naive,166,Unknown,Unknown,2
49,27,Qa9JKm,False,False,False,0,Naive,Naive,Naive,114,Unknown,Unknown,2
50,89,Qa9JKm,False,False,False,0,Naive,Naive,Naive,407,Unknown,Unknown,1
51,38,Qa9JKm,False,False,False,0,Naive,Naive,Naive,476,Unknown,Unknown,1
52,94,Qa9JKm,False,False,False,0,Naive,Naive,Naive,348,Unknown,Unknown,2
53,56,Qa9JKm,False,False,False,0,Naive,Naive,Naive,251,Unknown,Unknown,1
54,39,Qa9JKm,False,False,False,0,Naive,Naive,Naive,193,Unknown,Unknown,1
55,47,Qa9JKm,False,False,False,0,Naive,Naive,Naive,475,Unknown,Unknown,1
56,101,Qa9JKm,False,False,False,0,Naive,Naive,Naive,38,7,False,1
57,67,Qa9JKm,False,False,False,0,Naive,Naive,Naive,497,Unknown,Unknown,2
58,98,Qa9JKm,False,False,False,0,Naive,Naive,Naive,90,Unknown,Unknown,2
59,72,Qa9JKm,False,False,False,1,Naive,Naive,Naive,478,Unknown,Unknown,1
