,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,22,R1d0L1,False,False,False,0,Naive,Naive,Naive,393,Unknown,Unknown,2
1,82,R1d0L1,False,False,False,0,Naive,Naive,Naive,357,Unknown,Unknown,2
2,86,R1d0L1,False,False,False,0,Naive,Naive,Naive,390,Unknown,Unknown,2
3,75,R1d0L1,False,False,False,0,Naive,Naive,Naive,431,Unknown,Unknown,2
4,33,R1d0L1,False,False,False,0,Naive,Naive,Naive,361,Unknown,Unknown,2
5,10,R1d0L1,False,False,False,0,Naive,Naive,Naive,133,Unknown,Unknown,1
6,64,R1d0L1,False,False,False,0,Naive,Naive,Naive,207,Unknown,Unknown,2
7,61,R1d0L1,False,False,False,0,Naive,Naive,Naive,360,Unknown,Unknown,1
8,17,R1d0L1,False,False,False,0,Naive,Naive,Naive,461,Unknown,Unknown,1
9,63,R1d0L1,False,False,False,0,Naive,Naive,Naive,325,Unknown,Unknown,1
10,77,R1d0L1,False,False,False,0,Naive,Naive,Naive,289,Unknown,Unknown,2
11,68,R1d0L1,False,False,False,0,Naive,Naive,Naive,502,Unknown,Unknown,1
12,27,R1d0L1,False,False,False,0,Naive,Naive,Naive,282,Unknown,Unknown,1
13,4,R1d0L1,False,False,False,0,Naive,Naive,Naive,188,Unknown,Unknown,1
14,32,R1d0L1,False,False,False,0,Naive,Naive,Naive,395,Unknown,Unknown,2
15,6,R1d0L1,False,False,False,0,Naive,Naive,Naive,118,Unknown,Unknown,1
16,46,R1d0L1,False,False,False,0,Naive,Naive,Naive,255,Unknown,Unknown,1
17,39,R1d0L1,False,False,False,0,Naive,Naive,Naive,424,Unknown,Unknown,1
18,24,R1d0L1,False,False,False,0,Naive,Naive,Naive,339,Unknown,Unknown,1
19,35,R1d0L1,False,False,False,0,Naive,Naive,Naive,319,Unknown,Unknown,2
20,23,R1d0L1,False,False,False,0,Naive,Naive,Naive,503,Unknown,Unknown,1
21,84,R1d0L1,False,False,False,0,Naive,Naive,Naive,231,Unknown,Unknown,2
22,30,R1d0L1,False,False,False,0,Naive,Naive,Naive,233,Unknown,Unknown,1
23,34,R1d0L1,False,False,False,0,Naive,Naive,Naive,454,Unknown,Unknown,1
24,5,R1d0L1,False,False,False,0,Naive,Naive,Naive,105,Unknown,Unknown,1
25,36,R1d0L1,False,False,False,0,Naive,Naive,Naive,468,Unknown,Unknown,2
26,8,R1d0L1,False,False,False,0,Naive,Naive,Naive,420,Unknown,Unknown,1
27,93,R1d0L1,False,False,False,0,Naive,Naive,Naive,337,Unknown,Unknown,1
28,41,R1d0L1,False,False,False,0,Naive,Naive,Naive,89,Unknown,Unknown,2
29,95,R1d0L1,False,False,False,0,Naive,Naive,Naive,260,Unknown,Unknown,2
30,7,R1d0L1,False,False,False,0,Naive,Naive,Naive,276,Unknown,Unknown,1
31,69,R1d0L1,False,False,False,0,Naive,Naive,Naive,98,Unknown,Unknown,1
32,29,R1d0L1,False,False,False,0,Naive,Naive,Naive,374,Unknown,Unknown,2
33,74,R1d0L1,False,False,False,0,Naive,Naive,Naive,247,Unknown,Unknown,2
34,47,R1d0L1,False,False,False,0,Naive,Naive,Naive,384,Unknown,Unknown,2
35,90,R1d0L1,False,False,False,0,Naive,Naive,Naive,128,Unknown,Unknown,2
36,71,R1d0L1,False,False,False,0,Naive,Naive,Naive,235,Unknown,Unknown,1
37,19,R1d0L1,False,False,False,0,Naive,Naive,Naive,366,Unknown,Unknown,2
38,54,R1d0L1,False,False,False,0,Naive,Naive,Naive,344,Unknown,Unknown,1
39,98,R1d0L1,False,False,False,0,Naive,Naive,Naive,193,Unknown,Unknown,2
40,79,R1d0L1,False,False,False,0,Naive,Naive,Naive,186,Unknown,Unknown,1
41,78,R1d0L1,False,False,False,0,Naive,Naive,Naive,41,Unknown,Unknown,2
42,49,R1d0L1,False,False,False,0,Naive,Naive,Naive,217,Unknown,Unknown,2
43,92,R1d0L1,False,False,False,0,Naive,Naive,Naive,201,Unknown,Unknown,1
44,57,R1d0L1,False,False,False,0,Naive,Naive,Naive,277,Unknown,Unknown,1
45,85,R1d0L1,False,False,False,0,Naive,Naive,Naive,129,Unknown,Unknown,1
46,76,R1d0L1,False,False,False,0,Naive,Naive,Naive,354,Unknown,Unknown,1
47,13,R1d0L1,False,False,False,0,Naive,Naive,Naive,199,Unknown,Unknown,1
48,42,R1d0L1,False,False,False,1,Naive,Naive,Naive,126,Unknown,Unknown,1
49,37,R1d0L1,False,False,False,0,Naive,Naive,Naive,369,Unknown,Unknown,1
50,70,R1d0L1,False,False,False,0,Naive,Naive,Naive,394,Unknown,Unknown,2
51,31,R1d0L1,False,False,False,0,Naive,Naive,Naive,283,Unknown,Unknown,1
52,38,R1d0L1,False,False,False,0,Naive,Naive,Naive,456,Unknown,Unknown,1
53,3,R1d0L1,False,False,False,0,Naive,Naive,Naive,439,Unknown,Unknown,2
54,51,R1d0L1,False,False,False,0,Naive,Naive,Naive,288,Unknown,Unknown,1
55,105,R1d0L1,False,False,False,0,Naive,Naive,Naive,32,76,False,1
56,89,R1d0L1,False,False,False,0,Naive,Naive,Naive,277,Unknown,Unknown,2
57,94,R1d0L1,False,False,False,0,Naive,Naive,Naive,222,Unknown,Unknown,1
58,11,R1d0L1,False,False,False,0,Naive,Naive,Naive,98,Unknown,Unknown,2
59,43,R1d0L1,False,False,False,0,Naive,Naive,Naive,214,Unknown,Unknown,2
60,53,R1d0L1,False,False,False,0,Naive,Naive,Naive,517,Unknown,Unknown,1
61,131,R1d0L1,False,False,False,0,Naive,Naive,Naive,27,121,False,1
62,99,R1d0L1,False,False,False,0,Naive,Naive,Naive,122,Unknown,Unknown,1
63,25,R1d0L1,False,False,False,0,Naive,Naive,Naive,232,Unknown,Unknown,2
64,2,R1d0L1,False,False,False,0,Naive,Naive,Naive,311,Unknown,Unknown,1
