,source,target
0,38.0,17.0
0,3.0,71.0
0,29.0,80.0
0,9.0,4.0
0,55.0,14.0
0,91.0,12.0
0,62.0,40.0
0,81.0,51.0
0,6.0,5.0
0,33.0,87.0
0,90.0,1.0
0,1.0,43.0
0,92.0,57.0
0,5.0,22.0
0,55.0,39.0
0,9.0,81.0
0,71.0,90.0
0,91.0,97.0
0,89.0,7.0
0,53.0,69.0
0,65.0,27.0
0,77.0,78.0
0,86.0,14.0
0,55.0,67.0
0,69.0,94.0
0,88.0,6.0
0,85.0,42.0
0,10.0,44.0
0,31.0,72.0
0,93.0,32.0
0,45.0,58.0
0,87.0,37.0
0,27.0,82.0
0,98.0,85.0
0,61.0,90.0
0,15.0,70.0
0,61.0,102.0
0,51.0,81.0
0,73.0,9.0
0,78.0,28.0
0,12.0,91.0
0,6.0,5.0
0,39.0,15.0
0,1.0,71.0
0,81.0,4.0
0,1.0,43.0
0,25.0,52.0
0,39.0,55.0
0,3.0,61.0
0,86.0,19.0
0,13.0,7.0
0,62.0,25.0
0,10.0,44.0
0,30.0,45.0
0,62.0,40.0
0,18.0,11.0
0,84.0,80.0
0,1.0,71.0
0,60.0,59.0
0,103.0,88.0
0,3.0,61.0
0,67.0,15.0
0,10.0,64.0
0,95.0,93.0
0,77.0,78.0
0,8.0,17.0
0,90.0,26.0
0,86.0,9.0
0,104.0,75.0
0,43.0,102.0
0,27.0,76.0
0,79.0,49.0
0,47.0,18.0
0,20.0,66.0
0,102.0,71.0
0,18.0,31.0
0,80.0,24.0
0,40.0,101.0
0,10.0,105.0
0,94.0,50.0
0,78.0,34.0
0,30.0,45.0
0,3.0,90.0
0,103.0,65.0
0,81.0,80.0
0,41.0,99.0
0,78.0,77.0
0,73.0,81.0
0,80.0,84.0
0,58.0,104.0
0,64.0,20.0
0,72.0,9.0
0,55.0,4.0
0,62.0,40.0
0,3.0,26.0
0,31.0,86.0
0,55.0,72.0
0,43.0,102.0
0,11.0,107.0
0,65.0,103.0
0,9.0,55.0
0,88.0,48.0
0,14.0,57.0
0,105.0,44.0
0,88.0,27.0
0,96.0,11.0
0,106.0,7.0
0,45.0,106.0
0,62.0,101.0
0,9.0,4.0
0,55.0,73.0
0,90.0,36.0
0,24.0,80.0
0,18.0,86.0
0,11.0,107.0
0,92.0,96.0
0,62.0,40.0
0,51.0,24.0
0,102.0,43.0
0,21.0,105.0
0,22.0,103.0
0,28.0,83.0
0,75.0,30.0
0,81.0,9.0
0,15.0,72.0
0,70.0,39.0
0,77.0,28.0
0,52.0,59.0
0,102.0,61.0
0,49.0,79.0
0,44.0,105.0
0,65.0,88.0
0,2.0,80.0
0,32.0,50.0
0,66.0,60.0
0,67.0,19.0
0,108.0,17.0
0,52.0,40.0
0,51.0,81.0
0,102.0,26.0
0,4.0,86.0
0,11.0,92.0
0,70.0,108.0
0,19.0,4.0
0,59.0,91.0
0,45.0,106.0
0,104.0,58.0
0,64.0,20.0
0,11.0,47.0
0,9.0,2.0
0,70.0,38.0
0,52.0,101.0
0,22.0,88.0
0,86.0,19.0
0,92.0,11.0
0,91.0,101.0
0,90.0,71.0
0,67.0,86.0
0,8.0,41.0
0,59.0,52.0
0,43.0,26.0
0,84.0,2.0
0,98.0,56.0
0,44.0,105.0
0,39.0,38.0
0,11.0,107.0
0,88.0,82.0
0,83.0,16.0
0,82.0,103.0
0,18.0,84.0
0,82.0,109.0
0,2.0,18.0
0,20.0,64.0
0,61.0,43.0
0,17.0,108.0
0,4.0,72.0
0,81.0,80.0
0,31.0,15.0
0,43.0,102.0
0,26.0,90.0
0,60.0,66.0
0,47.0,92.0
0,47.0,107.0
0,3.0,36.0
0,22.0,103.0
0,39.0,72.0
0,15.0,31.0
0,44.0,105.0
0,8.0,41.0
0,66.0,44.0
0,83.0,34.0
0,98.0,49.0
0,19.0,55.0
0,108.0,8.0
0,22.0,109.0
0,32.0,69.0
0,43.0,26.0
0,112.0,1.0
0,81.0,19.0
0,36.0,90.0
0,80.0,111.0
0,80.0,9.0
0,95.0,71.0
0,22.0,88.0
0,19.0,84.0
0,105.0,60.0
0,70.0,108.0
0,57.0,96.0
0,68.0,62.0
0,21.0,60.0
0,110.0,41.0
0,67.0,14.0
0,94.0,69.0
0,33.0,93.0
0,50.0,32.0
0,47.0,58.0
0,43.0,36.0
0,61.0,1.0
0,22.0,103.0
0,100.0,78.0
0,40.0,101.0
0,102.0,112.0
0,60.0,113.0
0,48.0,88.0
0,99.0,46.0
0,17.0,108.0
0,49.0,56.0
0,59.0,74.0
0,80.0,24.0
0,1.0,26.0
0,43.0,102.0
0,76.0,82.0
0,39.0,38.0
0,72.0,55.0
0,114.0,104.0
0,65.0,8.0
0,31.0,57.0
0,45.0,106.0
0,109.0,22.0
0,11.0,107.0
0,81.0,51.0
0,31.0,15.0
0,95.0,71.0
0,46.0,83.0
0,11.0,96.0
0,1.0,61.0
0,84.0,19.0
0,99.0,46.0
0,91.0,101.0
0,103.0,109.0
0,51.0,38.0
0,22.0,103.0
0,90.0,33.0
0,112.0,102.0
0,4.0,84.0
0,36.0,90.0
0,87.0,79.0
0,19.0,80.0
0,58.0,104.0
0,50.0,69.0
0,104.0,114.0
0,55.0,4.0
0,112.0,36.0
0,41.0,110.0
0,34.0,16.0
0,108.0,17.0
0,83.0,78.0
