,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,83,UAuDgD,False,False,False,0,Naive,Naive,Naive,350,Unknown,Unknown,1
1,42,UAuDgD,False,False,False,0,Naive,Naive,Naive,196,Unknown,Unknown,2
2,23,UAuDgD,False,False,False,0,Naive,Naive,Naive,440,Unknown,Unknown,2
3,49,UAuDgD,False,False,False,0,Naive,Naive,Naive,297,Unknown,Unknown,2
4,82,UAuDgD,False,False,False,0,Naive,Naive,Naive,374,Unknown,Unknown,1
5,60,UAuDgD,False,False,False,0,Naive,Naive,Naive,372,Unknown,Unknown,1
6,34,UAuDgD,False,False,False,0,Naive,Naive,Naive,284,Unknown,Unknown,2
7,24,UAuDgD,False,False,False,0,Naive,Naive,Naive,442,Unknown,Unknown,1
8,61,UAuDgD,False,False,False,0,Naive,Naive,Naive,310,Unknown,Unknown,1
9,31,UAuDgD,False,False,False,0,Naive,Naive,Naive,121,Unknown,Unknown,1
10,33,UAuDgD,False,False,False,0,Naive,Naive,Naive,297,Unknown,Unknown,1
11,10,UAuDgD,False,False,False,0,Naive,Naive,Naive,318,Unknown,Unknown,1
12,84,UAuDgD,False,False,False,0,Naive,Naive,Naive,155,Unknown,Unknown,2
13,58,UAuDgD,False,False,False,0,Naive,Naive,Naive,209,Unknown,Unknown,1
14,78,UAuDgD,False,False,False,0,Naive,Naive,Naive,296,Unknown,Unknown,1
15,26,UAuDgD,False,False,False,0,Naive,Naive,Naive,385,Unknown,Unknown,2
16,5,UAuDgD,False,False,False,0,Naive,Naive,Naive,119,Unknown,Unknown,2
17,81,UAuDgD,False,False,False,0,Naive,Naive,Naive,131,Unknown,Unknown,1
18,72,UAuDgD,False,False,False,0,Naive,Naive,Naive,502,Unknown,Unknown,2
19,1,UAuDgD,False,False,False,0,Naive,Naive,Naive,148,Unknown,Unknown,2
20,90,UAuDgD,False,False,False,0,Naive,Naive,Naive,234,Unknown,Unknown,2
21,91,UAuDgD,False,False,False,0,Naive,Naive,Naive,249,Unknown,Unknown,1
22,53,UAuDgD,False,False,False,0,Naive,Naive,Naive,371,Unknown,Unknown,1
23,64,UAuDgD,False,False,False,0,Naive,Naive,Naive,440,Unknown,Unknown,2
24,44,UAuDgD,False,False,False,0,Naive,Naive,Naive,45,Unknown,Unknown,1
25,11,UAuDgD,False,False,False,0,Naive,Naive,Naive,403,Unknown,Unknown,2
26,74,UAuDgD,False,False,False,0,Naive,Naive,Naive,336,Unknown,Unknown,2
27,20,UAuDgD,False,False,False,0,Naive,Naive,Naive,329,Unknown,Unknown,2
28,63,UAuDgD,False,False,False,0,Naive,Naive,Naive,264,Unknown,Unknown,2
29,3,UAuDgD,False,False,False,0,Naive,Naive,Naive,401,Unknown,Unknown,1
30,93,UAuDgD,False,False,False,0,Naive,Naive,Naive,204,Unknown,Unknown,2
31,71,UAuDgD,False,False,False,0,Naive,Naive,Naive,285,Unknown,Unknown,2
32,32,UAuDgD,False,False,False,0,Naive,Naive,Naive,219,Unknown,Unknown,2
33,2,UAuDgD,False,False,False,0,Naive,Naive,Naive,358,Unknown,Unknown,2
34,80,UAuDgD,False,False,False,0,Naive,Naive,Naive,448,Unknown,Unknown,1
35,79,UAuDgD,False,False,False,0,Naive,Naive,Naive,354,Unknown,Unknown,2
36,88,UAuDgD,False,False,False,0,Naive,Naive,Naive,332,Unknown,Unknown,1
37,85,UAuDgD,False,False,False,0,Naive,Naive,Naive,182,Unknown,Unknown,1
38,14,UAuDgD,False,False,False,0,Naive,Naive,Naive,174,Unknown,Unknown,1
39,16,UAuDgD,False,False,False,0,Naive,Naive,Naive,132,Unknown,Unknown,2
40,92,UAuDgD,False,False,False,1,Naive,Naive,Naive,352,Unknown,Unknown,2
41,46,UAuDgD,False,False,False,0,Naive,Naive,Naive,349,Unknown,Unknown,1
42,25,UAuDgD,False,False,False,0,Naive,Naive,Naive,465,Unknown,Unknown,1
43,28,UAuDgD,False,False,False,0,Naive,Naive,Naive,218,Unknown,Unknown,1
44,75,UAuDgD,False,False,False,0,Naive,Naive,Naive,150,Unknown,Unknown,1
45,73,UAuDgD,False,False,False,1,Naive,Naive,Naive,52,Unknown,Unknown,1
46,7,UAuDgD,False,False,False,1,Naive,Naive,Naive,176,Unknown,Unknown,2
47,99,UAuDgD,False,False,False,0,Naive,Naive,Naive,451,Unknown,Unknown,1
48,30,UAuDgD,False,False,False,0,Naive,Naive,Naive,498,Unknown,Unknown,1
49,68,UAuDgD,False,False,False,0,Naive,Naive,Naive,291,Unknown,Unknown,1
50,98,UAuDgD,False,False,False,1,Naive,Naive,Naive,451,Unknown,Unknown,1
51,36,UAuDgD,False,False,False,0,Naive,Naive,Naive,110,Unknown,Unknown,2
52,65,UAuDgD,False,False,False,0,Naive,Naive,Naive,226,Unknown,Unknown,2
53,59,UAuDgD,False,False,False,0,Naive,Naive,Naive,433,Unknown,Unknown,2
54,56,UAuDgD,False,False,False,1,Naive,Naive,Naive,53,Unknown,Unknown,1
55,100,UAuDgD,False,True,True,0,Naive,Naive,Naive,40,Unknown,Unknown,2
56,4,UAuDgD,True,False,False,0,Naive,Naive,Naive,140,Unknown,Unknown,2
57,6,UAuDgD,True,False,False,1,Naive,Naive,Naive,127,Unknown,Unknown,1
58,8,UAuDgD,True,False,False,0,Naive,Naive,Naive,293,Unknown,Unknown,2
59,9,UAuDgD,True,False,False,1,Naive,Naive,Naive,215,Unknown,Unknown,2
60,12,UAuDgD,True,False,False,0,Naive,Naive,Naive,226,Unknown,Unknown,2
61,13,UAuDgD,True,False,False,0,Naive,Naive,Naive,359,Unknown,Unknown,2
62,15,UAuDgD,True,False,False,0,Naive,Naive,Naive,319,Unknown,Unknown,1
63,17,UAuDgD,True,False,False,0,Naive,Naive,Naive,174,Unknown,Unknown,1
64,18,UAuDgD,True,False,False,1,Naive,Naive,Naive,71,Unknown,Unknown,1
65,19,UAuDgD,True,False,False,0,Naive,Naive,Naive,72,Unknown,Unknown,1
66,21,UAuDgD,True,False,False,0,Naive,Naive,Naive,59,Unknown,Unknown,2
67,22,UAuDgD,True,False,False,1,Naive,Naive,Naive,159,Unknown,Unknown,1
68,27,UAuDgD,True,False,False,0,Naive,Naive,Naive,279,Unknown,Unknown,2
69,29,UAuDgD,True,False,False,0,Naive,Naive,Naive,417,Unknown,Unknown,1
70,35,UAuDgD,True,False,False,1,Naive,Naive,Naive,273,Unknown,Unknown,2
71,37,UAuDgD,True,False,False,0,Naive,Naive,Naive,210,Unknown,Unknown,2
72,38,UAuDgD,True,False,False,0,Naive,Naive,Naive,194,Unknown,Unknown,2
73,39,UAuDgD,True,False,False,1,Naive,Naive,Naive,43,Unknown,Unknown,2
74,40,UAuDgD,True,False,False,0,Naive,Naive,Naive,384,Unknown,Unknown,1
75,41,UAuDgD,True,False,False,0,Naive,Naive,Naive,178,Unknown,Unknown,1
76,43,UAuDgD,True,False,False,2,Naive,Naive,Naive,189,Unknown,Unknown,2
77,45,UAuDgD,True,False,False,0,Naive,Naive,Naive,76,Unknown,Unknown,2
78,47,UAuDgD,True,False,False,0,Naive,Naive,Naive,205,Unknown,Unknown,2
79,48,UAuDgD,True,False,False,1,Naive,Naive,Naive,517,Unknown,Unknown,1
80,50,UAuDgD,True,False,False,0,Naive,Naive,Naive,42,Unknown,Unknown,1
81,51,UAuDgD,True,False,False,0,Naive,Naive,Naive,154,Unknown,Unknown,1
82,52,UAuDgD,True,False,False,0,Naive,Naive,Naive,58,Unknown,Unknown,1
83,54,UAuDgD,True,False,False,0,Naive,Naive,Naive,389,Unknown,Unknown,2
84,55,UAuDgD,True,False,False,0,Naive,Naive,Naive,332,Unknown,Unknown,1
85,57,UAuDgD,True,False,False,0,Naive,Naive,Naive,391,Unknown,Unknown,1
86,62,UAuDgD,True,False,False,0,Naive,Naive,Naive,274,Unknown,Unknown,1
87,66,UAuDgD,True,False,False,0,Naive,Naive,Naive,44,Unknown,Unknown,2
88,67,UAuDgD,True,False,False,0,Naive,Naive,Naive,285,Unknown,Unknown,1
89,69,UAuDgD,True,False,False,0,Naive,Naive,Naive,447,Unknown,Unknown,2
90,70,UAuDgD,True,False,False,1,Naive,Naive,Naive,43,Unknown,Unknown,1
91,76,UAuDgD,True,False,False,0,Naive,Naive,Naive,58,Unknown,Unknown,2
92,77,UAuDgD,True,False,False,1,Naive,Naive,Naive,286,Unknown,Unknown,2
93,86,UAuDgD,True,False,False,0,Naive,Naive,Naive,139,Unknown,Unknown,2
94,87,UAuDgD,True,False,False,0,Naive,Naive,Naive,127,Unknown,Unknown,1
95,89,UAuDgD,True,False,False,0,Naive,Naive,Naive,232,Unknown,Unknown,1
96,94,UAuDgD,True,False,False,1,Naive,Naive,Naive,179,Unknown,Unknown,1
97,95,UAuDgD,True,False,False,0,Naive,Naive,Naive,401,Unknown,Unknown,1
98,96,UAuDgD,True,False,False,0,Naive,Naive,Naive,197,Unknown,Unknown,1
99,97,UAuDgD,True,False,False,0,Naive,Naive,Naive,203,Unknown,Unknown,2
100,101,UAuDgD,True,False,False,0,Naive,Naive,Naive,40,7,False,2
101,102,UAuDgD,True,False,False,0,Naive,Naive,Naive,39,24,False,1
102,103,UAuDgD,True,False,False,1,Naive,Naive,Naive,38,32,False,2
103,104,UAuDgD,True,False,False,0,Naive,Naive,Naive,37,81,False,2
104,105,UAuDgD,True,False,False,0,Naive,Naive,Naive,37,8,False,1
105,106,UAuDgD,True,False,False,0,Naive,Naive,Naive,36,105,False,1
106,107,UAuDgD,True,False,False,0,Naive,Naive,Naive,36,55,False,2
107,108,UAuDgD,True,False,False,0,Naive,Naive,Naive,36,12,False,2
108,109,UAuDgD,True,False,False,2,Naive,Naive,Naive,35,43,False,2
109,110,UAuDgD,True,False,False,0,Naive,Naive,Naive,35,104,False,1
110,111,UAuDgD,True,False,False,0,Naive,Naive,Naive,34,67,False,1
111,112,UAuDgD,True,False,False,0,Naive,Naive,Naive,34,94,False,1
112,113,UAuDgD,True,False,False,2,Naive,Naive,Naive,34,103,False,1
113,114,UAuDgD,True,False,False,0,Naive,Naive,Naive,33,48,False,2
114,115,UAuDgD,True,False,False,0,Naive,Naive,Naive,33,99,False,2
115,116,UAuDgD,True,False,False,0,Naive,Naive,Naive,31,38,False,2
116,117,UAuDgD,True,False,False,0,Naive,Naive,Naive,30,102,False,1
117,118,UAuDgD,True,False,False,0,Naive,Naive,Naive,29,72,False,2
118,119,UAuDgD,True,False,False,0,Naive,Naive,Naive,29,3,False,1
119,120,UAuDgD,True,False,False,0,Naive,Naive,Naive,29,99,False,2
120,121,UAuDgD,True,False,False,0,Naive,Naive,Naive,24,36,False,2
121,122,UAuDgD,True,False,False,0,Naive,Naive,Naive,23,108,False,2
122,123,UAuDgD,True,False,False,0,Naive,Naive,Naive,23,120,False,2
123,124,UAuDgD,True,False,False,0,Naive,Naive,Naive,23,68,False,2
124,125,UAuDgD,True,False,False,0,Naive,Naive,Naive,23,20,False,2
125,126,UAuDgD,True,False,False,0,Naive,Naive,Naive,23,66,False,2
126,127,UAuDgD,True,False,False,0,Naive,Naive,Naive,22,115,False,1
127,128,UAuDgD,True,False,False,0,Naive,Naive,Naive,22,48,False,1
128,129,UAuDgD,True,False,False,0,Naive,Naive,Naive,21,17,False,1
129,130,UAuDgD,True,False,False,0,Naive,Naive,Naive,21,48,False,1
130,131,UAuDgD,True,False,False,0,Naive,Naive,Naive,21,14,False,1
131,132,UAuDgD,True,False,False,0,Naive,Naive,Naive,19,69,False,2
132,133,UAuDgD,True,False,False,0,Naive,Naive,Naive,19,122,False,2
133,134,UAuDgD,True,False,False,0,Naive,Naive,Naive,18,41,False,1
134,135,UAuDgD,True,False,False,0,Naive,Naive,Naive,18,59,False,2
135,136,UAuDgD,True,False,False,0,Naive,Naive,Naive,18,14,False,1
136,137,UAuDgD,True,False,False,0,Naive,Naive,Naive,18,29,False,1
137,138,UAuDgD,True,False,False,0,Naive,Naive,Naive,17,101,False,2
138,139,UAuDgD,True,False,False,0,Naive,Naive,Naive,16,107,False,1
139,140,UAuDgD,True,False,False,0,Naive,Naive,Naive,16,131,False,1
140,141,UAuDgD,True,False,False,0,Naive,Naive,Naive,16,48,False,1
