,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,97,URU0Zo,False,False,False,0,Naive,Naive,Naive,448,Unknown,Unknown,1
1,33,URU0Zo,False,False,False,0,Naive,Naive,Naive,408,Unknown,Unknown,1
2,27,URU0Zo,False,False,False,0,Naive,Naive,Naive,446,Unknown,Unknown,2
3,68,URU0Zo,False,False,False,0,Naive,Naive,Naive,419,Unknown,Unknown,1
4,89,URU0Zo,False,False,False,0,Naive,Naive,Naive,301,Unknown,Unknown,1
5,41,URU0Zo,False,False,False,0,Naive,Naive,Naive,133,Unknown,Unknown,2
6,6,URU0Zo,False,False,False,0,Naive,Naive,Naive,226,Unknown,Unknown,2
7,8,URU0Zo,False,False,False,0,Naive,Naive,Naive,216,Unknown,Unknown,2
8,46,URU0Zo,False,False,False,0,Naive,Naive,Naive,438,Unknown,Unknown,2
9,64,URU0Zo,False,False,False,0,Naive,Naive,Naive,29,Unknown,Unknown,1
10,53,URU0Zo,False,False,False,0,Naive,Naive,Naive,421,Unknown,Unknown,1
11,15,URU0Zo,False,False,False,0,Naive,Naive,Naive,406,Unknown,Unknown,1
12,81,URU0Zo,False,False,False,0,Naive,Naive,Naive,412,Unknown,Unknown,2
13,72,URU0Zo,False,False,False,0,Naive,Naive,Naive,141,Unknown,Unknown,2
14,67,URU0Zo,False,False,False,0,Naive,Naive,Naive,333,Unknown,Unknown,1
15,44,URU0Zo,False,False,False,0,Naive,Naive,Naive,242,Unknown,Unknown,1
16,18,URU0Zo,False,False,False,0,Naive,Naive,Naive,432,Unknown,Unknown,2
17,25,URU0Zo,False,False,False,0,Naive,Naive,Naive,221,Unknown,Unknown,2
18,23,URU0Zo,False,False,False,0,Naive,Naive,Naive,363,Unknown,Unknown,1
19,12,URU0Zo,False,False,False,0,Naive,Naive,Naive,489,Unknown,Unknown,1
20,78,URU0Zo,False,False,False,0,Naive,Naive,Naive,79,Unknown,Unknown,2
21,74,URU0Zo,False,False,False,0,Naive,Naive,Naive,285,Unknown,Unknown,1
22,73,URU0Zo,False,False,False,0,Naive,Naive,Naive,440,Unknown,Unknown,1
23,3,URU0Zo,False,False,False,0,Naive,Naive,Naive,190,Unknown,Unknown,2
24,39,URU0Zo,False,False,False,0,Naive,Naive,Naive,280,Unknown,Unknown,2
25,22,URU0Zo,False,False,False,0,Naive,Naive,Naive,411,Unknown,Unknown,2
26,59,URU0Zo,False,False,False,0,Naive,Naive,Naive,335,Unknown,Unknown,1
27,9,URU0Zo,False,False,False,0,Naive,Naive,Naive,436,Unknown,Unknown,1
28,5,URU0Zo,False,False,False,0,Naive,Naive,Naive,363,Unknown,Unknown,2
29,90,URU0Zo,False,False,False,0,Naive,Naive,Naive,368,Unknown,Unknown,1
30,17,URU0Zo,False,False,False,0,Naive,Naive,Naive,321,Unknown,Unknown,1
31,21,URU0Zo,False,False,False,0,Naive,Naive,Naive,42,Unknown,Unknown,1
32,99,URU0Zo,False,False,False,0,Naive,Naive,Naive,329,Unknown,Unknown,2
33,4,URU0Zo,False,False,False,0,Naive,Naive,Naive,502,Unknown,Unknown,2
34,42,URU0Zo,False,False,False,0,Naive,Naive,Naive,441,Unknown,Unknown,1
35,58,URU0Zo,False,False,False,0,Naive,Naive,Naive,297,Unknown,Unknown,2
36,7,URU0Zo,False,False,False,0,Naive,Naive,Naive,298,Unknown,Unknown,1
37,49,URU0Zo,False,False,False,0,Naive,Naive,Naive,462,Unknown,Unknown,1
38,2,URU0Zo,False,False,False,0,Naive,Naive,Naive,412,Unknown,Unknown,1
39,92,URU0Zo,False,False,False,0,Naive,Naive,Naive,170,Unknown,Unknown,2
40,13,URU0Zo,False,False,False,0,Naive,Naive,Naive,298,Unknown,Unknown,2
41,82,URU0Zo,False,False,False,0,Naive,Naive,Naive,421,Unknown,Unknown,1
42,70,URU0Zo,False,False,False,0,Naive,Naive,Naive,465,Unknown,Unknown,2
43,45,URU0Zo,False,False,False,0,Naive,Naive,Naive,413,Unknown,Unknown,2
44,60,URU0Zo,False,False,False,0,Naive,Naive,Naive,467,Unknown,Unknown,1
45,30,URU0Zo,False,False,False,0,Naive,Naive,Naive,501,Unknown,Unknown,1
46,31,URU0Zo,False,False,False,1,Naive,Naive,Naive,238,Unknown,Unknown,2
47,79,URU0Zo,False,False,False,0,Naive,Naive,Naive,517,Unknown,Unknown,1
48,91,URU0Zo,False,False,False,0,Naive,Naive,Naive,272,Unknown,Unknown,1
49,55,URU0Zo,False,False,False,0,Naive,Naive,Naive,285,Unknown,Unknown,1
50,69,URU0Zo,False,False,False,0,Naive,Naive,Naive,407,Unknown,Unknown,2
51,29,URU0Zo,False,False,False,0,Naive,Naive,Naive,416,Unknown,Unknown,2
52,54,URU0Zo,False,False,False,0,Naive,Naive,Naive,470,Unknown,Unknown,2
53,20,URU0Zo,False,False,False,0,Naive,Naive,Naive,118,Unknown,Unknown,1
54,80,URU0Zo,False,False,False,1,Naive,Naive,Naive,118,Unknown,Unknown,1
55,71,URU0Zo,False,False,False,0,Naive,Naive,Naive,53,Unknown,Unknown,2
56,86,URU0Zo,False,False,False,0,Naive,Naive,Naive,170,Unknown,Unknown,1
57,36,URU0Zo,False,False,False,0,Naive,Naive,Naive,327,Unknown,Unknown,1
58,96,URU0Zo,False,False,False,0,Naive,Naive,Naive,468,Unknown,Unknown,2
59,75,URU0Zo,False,False,False,0,Naive,Naive,Naive,365,Unknown,Unknown,2
60,37,URU0Zo,False,False,False,0,Naive,Naive,Naive,221,Unknown,Unknown,1
61,87,URU0Zo,False,False,False,1,Naive,Naive,Naive,339,Unknown,Unknown,2
62,95,URU0Zo,False,False,False,0,Naive,Naive,Naive,385,Unknown,Unknown,1
63,153,URU0Zo,False,False,False,0,Naive,Naive,Naive,13,126,False,2
64,83,URU0Zo,False,False,False,0,Naive,Naive,Naive,482,Unknown,Unknown,1
65,84,URU0Zo,False,False,False,0,Naive,Naive,Naive,529,Unknown,Unknown,1
66,24,URU0Zo,False,False,False,1,Naive,Naive,Naive,317,Unknown,Unknown,2
67,26,URU0Zo,False,False,False,4,Naive,Naive,Naive,332,Unknown,Unknown,2
68,32,URU0Zo,False,False,False,0,Naive,Naive,Naive,482,Unknown,Unknown,1
69,76,URU0Zo,False,False,False,0,Naive,Naive,Naive,534,Unknown,Unknown,1
70,61,URU0Zo,False,False,False,0,Naive,Naive,Naive,288,Unknown,Unknown,2
71,93,URU0Zo,False,False,False,0,Naive,Naive,Naive,292,Unknown,Unknown,2
72,94,URU0Zo,False,False,False,0,Naive,Naive,Naive,383,Unknown,Unknown,2
73,62,URU0Zo,False,False,False,0,Naive,Naive,Naive,94,Unknown,Unknown,1
74,85,URU0Zo,False,False,False,0,Naive,Naive,Naive,247,Unknown,Unknown,2
75,35,URU0Zo,False,False,False,0,Naive,Naive,Naive,347,Unknown,Unknown,1
76,14,URU0Zo,False,False,False,0,Naive,Naive,Naive,317,Unknown,Unknown,1
77,103,URU0Zo,False,False,False,0,Naive,Naive,Naive,53,47,False,1
78,19,URU0Zo,False,False,False,1,Naive,Naive,Naive,91,Unknown,Unknown,2
79,88,URU0Zo,False,False,False,0,Naive,Naive,Naive,225,Unknown,Unknown,1
80,112,URU0Zo,False,False,False,0,Naive,Naive,Naive,53,90,False,1
81,16,URU0Zo,False,False,False,0,Naive,Naive,Naive,289,Unknown,Unknown,1
82,102,URU0Zo,False,False,False,0,Naive,Naive,Naive,56,98,False,1
83,111,URU0Zo,False,False,False,1,Naive,Naive,Naive,54,13,False,2
84,184,URU0Zo,False,False,False,0,Naive,Naive,Naive,1,171,False,1
85,57,URU0Zo,False,False,False,0,Naive,Naive,Naive,228,Unknown,Unknown,1
86,106,URU0Zo,False,False,False,0,Naive,Naive,Naive,62,92,False,2
87,1,URU0Zo,False,False,False,0,Naive,Naive,Naive,177,Unknown,Unknown,2
88,48,URU0Zo,False,False,False,0,Naive,Naive,Naive,249,Unknown,Unknown,1
89,155,URU0Zo,False,False,False,0,Naive,Naive,Naive,45,113,False,2
