,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,88,V665lz,False,False,False,0,Naive,Naive,Naive,407,Unknown,Unknown,2
1,6,V665lz,False,False,False,0,Naive,Naive,Naive,444,Unknown,Unknown,1
2,50,V665lz,False,False,False,0,Naive,Naive,Naive,138,Unknown,Unknown,1
3,69,V665lz,False,False,False,0,Naive,Naive,Naive,273,Unknown,Unknown,2
4,92,V665lz,False,False,False,0,Naive,Naive,Naive,446,Unknown,Unknown,2
5,42,V665lz,False,False,False,0,Naive,Naive,Naive,483,Unknown,Unknown,2
6,93,V665lz,False,False,False,0,Naive,Naive,Naive,25,Unknown,Unknown,1
7,86,V665lz,False,False,False,0,Naive,Naive,Naive,276,Unknown,Unknown,2
8,79,V665lz,False,False,False,0,Naive,Naive,Naive,454,Unknown,Unknown,1
9,36,V665lz,False,False,False,0,Naive,Naive,Naive,323,Unknown,Unknown,2
10,37,V665lz,False,False,False,0,Naive,Naive,Naive,168,Unknown,Unknown,2
11,21,V665lz,False,False,False,0,Naive,Naive,Naive,231,Unknown,Unknown,2
12,19,V665lz,False,False,False,0,Naive,Naive,Naive,204,Unknown,Unknown,1
13,74,V665lz,False,False,False,0,Naive,Naive,Naive,420,Unknown,Unknown,2
14,95,V665lz,False,False,False,0,Naive,Naive,Naive,422,Unknown,Unknown,1
15,25,V665lz,False,False,False,0,Naive,Naive,Naive,250,Unknown,Unknown,2
16,72,V665lz,False,False,False,0,Naive,Naive,Naive,484,Unknown,Unknown,1
17,22,V665lz,False,False,False,0,Naive,Naive,Naive,414,Unknown,Unknown,1
18,33,V665lz,False,False,False,0,Naive,Naive,Naive,123,Unknown,Unknown,1
19,59,V665lz,False,False,False,0,Naive,Naive,Naive,378,Unknown,Unknown,2
20,80,V665lz,False,False,False,0,Naive,Naive,Naive,167,Unknown,Unknown,2
21,85,V665lz,False,False,False,0,Naive,Naive,Naive,424,Unknown,Unknown,1
22,63,V665lz,False,False,False,0,Naive,Naive,Naive,149,Unknown,Unknown,2
23,76,V665lz,False,False,False,0,Naive,Naive,Naive,306,Unknown,Unknown,1
24,45,V665lz,False,False,False,0,Naive,Naive,Naive,87,Unknown,Unknown,1
25,89,V665lz,False,False,False,0,Naive,Naive,Naive,464,Unknown,Unknown,1
26,28,V665lz,False,False,False,0,Naive,Naive,Naive,478,Unknown,Unknown,2
27,65,V665lz,False,False,False,0,Naive,Naive,Naive,327,Unknown,Unknown,1
28,3,V665lz,False,False,False,0,Naive,Naive,Naive,295,Unknown,Unknown,2
29,49,V665lz,False,False,False,0,Naive,Naive,Naive,171,Unknown,Unknown,2
30,35,V665lz,False,False,False,0,Naive,Naive,Naive,272,Unknown,Unknown,1
31,77,V665lz,False,False,False,0,Naive,Naive,Naive,249,Unknown,Unknown,1
32,67,V665lz,False,False,False,0,Naive,Naive,Naive,178,Unknown,Unknown,2
33,20,V665lz,False,False,False,0,Naive,Naive,Naive,170,Unknown,Unknown,2
34,10,V665lz,False,False,False,0,Naive,Naive,Naive,243,Unknown,Unknown,2
35,84,V665lz,False,False,False,0,Naive,Naive,Naive,468,Unknown,Unknown,1
36,30,V665lz,False,False,False,0,Naive,Naive,Naive,498,Unknown,Unknown,2
37,27,V665lz,False,False,False,0,Naive,Naive,Naive,126,Unknown,Unknown,2
38,1,V665lz,False,False,False,0,Naive,Naive,Naive,516,Unknown,Unknown,1
39,13,V665lz,False,False,False,0,Naive,Naive,Naive,383,Unknown,Unknown,2
40,17,V665lz,False,False,False,0,Naive,Naive,Naive,370,Unknown,Unknown,2
41,47,V665lz,False,False,False,0,Naive,Naive,Naive,431,Unknown,Unknown,2
42,12,V665lz,False,False,False,0,Naive,Naive,Naive,434,Unknown,Unknown,2
43,66,V665lz,False,False,False,0,Naive,Naive,Naive,36,Unknown,Unknown,1
44,96,V665lz,False,False,False,0,Naive,Naive,Naive,100,Unknown,Unknown,1
45,75,V665lz,False,False,False,0,Naive,Naive,Naive,116,Unknown,Unknown,2
46,51,V665lz,False,False,False,0,Naive,Naive,Naive,489,Unknown,Unknown,1
47,64,V665lz,False,False,False,0,Naive,Naive,Naive,162,Unknown,Unknown,2
48,98,V665lz,False,False,False,0,Naive,Naive,Naive,507,Unknown,Unknown,2
49,15,V665lz,False,False,False,0,Naive,Naive,Naive,189,Unknown,Unknown,1
50,97,V665lz,False,False,False,0,Naive,Naive,Naive,145,Unknown,Unknown,2
51,82,V665lz,False,False,False,0,Naive,Naive,Naive,351,Unknown,Unknown,1
52,90,V665lz,False,False,False,0,Naive,Naive,Naive,447,Unknown,Unknown,2
53,94,V665lz,False,False,False,0,Naive,Naive,Naive,379,Unknown,Unknown,2
54,78,V665lz,False,False,False,0,Naive,Naive,Naive,406,Unknown,Unknown,2
55,34,V665lz,False,False,False,0,Naive,Naive,Naive,260,Unknown,Unknown,2
56,8,V665lz,False,False,False,0,Naive,Naive,Naive,123,Unknown,Unknown,1
57,38,V665lz,False,False,False,0,Naive,Naive,Naive,220,Unknown,Unknown,1
58,31,V665lz,False,False,False,0,Naive,Naive,Naive,100,Unknown,Unknown,1
59,44,V665lz,False,False,False,0,Naive,Naive,Naive,145,Unknown,Unknown,1
60,54,V665lz,False,False,False,0,Naive,Naive,Naive,429,Unknown,Unknown,2
61,133,V665lz,False,False,False,0,Naive,Naive,Naive,18,117,False,2
62,16,V665lz,False,False,False,0,Naive,Naive,Naive,246,Unknown,Unknown,1
63,46,V665lz,False,False,False,1,Naive,Naive,Naive,317,Unknown,Unknown,1
64,62,V665lz,False,False,False,0,Naive,Naive,Naive,94,Unknown,Unknown,1
65,81,V665lz,False,False,False,0,Naive,Naive,Naive,278,Unknown,Unknown,2
66,60,V665lz,False,False,False,0,Naive,Naive,Naive,253,Unknown,Unknown,2
67,23,V665lz,False,False,False,0,Naive,Naive,Naive,197,Unknown,Unknown,1
68,58,V665lz,False,False,False,0,Naive,Naive,Naive,426,Unknown,Unknown,2
69,152,V665lz,False,False,False,0,Naive,Naive,Naive,19,90,False,2
70,9,V665lz,False,False,False,0,Naive,Naive,Naive,543,Unknown,Unknown,2
71,32,V665lz,False,False,False,0,Naive,Naive,Naive,229,Unknown,Unknown,2
72,83,V665lz,False,False,False,0,Naive,Naive,Naive,383,Unknown,Unknown,1
73,40,V665lz,False,False,False,0,Naive,Naive,Naive,277,Unknown,Unknown,2
74,56,V665lz,False,False,False,0,Naive,Naive,Naive,314,Unknown,Unknown,1
75,14,V665lz,False,False,False,0,Naive,Naive,Naive,217,Unknown,Unknown,2
76,136,V665lz,False,False,False,0,Naive,Naive,Naive,30,114,False,1
77,24,V665lz,False,False,False,0,Naive,Naive,Naive,266,Unknown,Unknown,2
78,99,V665lz,False,False,False,0,Naive,Naive,Naive,226,Unknown,Unknown,2
79,52,V665lz,False,False,False,0,Naive,Naive,Naive,523,Unknown,Unknown,2
80,29,V665lz,False,False,False,0,Naive,Naive,Naive,80,Unknown,Unknown,1
81,5,V665lz,False,False,False,0,Naive,Naive,Naive,220,Unknown,Unknown,2
82,105,V665lz,False,False,False,0,Naive,Naive,Naive,51,84,False,1
83,57,V665lz,False,False,False,0,Naive,Naive,Naive,231,Unknown,Unknown,1
84,148,V665lz,False,False,False,0,Naive,Naive,Naive,34,134,False,1
85,39,V665lz,False,False,False,0,Naive,Naive,Naive,134,Unknown,Unknown,1
86,91,V665lz,False,False,False,1,Naive,Naive,Naive,177,Unknown,Unknown,2
87,2,V665lz,False,False,False,0,Naive,Naive,Naive,482,Unknown,Unknown,1
88,41,V665lz,False,False,False,0,Naive,Naive,Naive,523,Unknown,Unknown,1
89,71,V665lz,False,False,False,0,Naive,Naive,Naive,220,Unknown,Unknown,2
90,43,V665lz,False,False,False,0,Naive,Naive,Naive,516,Unknown,Unknown,1
91,187,V665lz,False,False,False,0,Naive,Naive,Naive,13,177,False,2
92,61,V665lz,False,False,False,0,Naive,Naive,Naive,99,Unknown,Unknown,2
93,106,V665lz,False,False,False,0,Naive,Naive,Naive,73,3,False,2
94,68,V665lz,False,False,False,1,Naive,Naive,Naive,91,Unknown,Unknown,1
95,109,V665lz,False,False,False,0,Naive,Naive,Naive,76,62,False,1
96,137,V665lz,False,False,False,2,Naive,Naive,Naive,65,111,False,1
97,172,V665lz,False,False,False,0,Naive,Naive,Naive,42,161,False,1
98,149,V665lz,False,False,False,0,Naive,Naive,Naive,65,91,False,2
99,18,V665lz,False,False,False,0,Naive,Naive,Naive,181,Unknown,Unknown,1
100,130,V665lz,False,False,False,0,Naive,Naive,Naive,77,16,False,1
101,163,V665lz,False,False,False,1,Naive,Naive,Naive,59,137,False,1
102,87,V665lz,False,False,False,0,Naive,Naive,Naive,212,Unknown,Unknown,2
103,7,V665lz,False,False,False,2,Naive,Naive,Naive,219,Unknown,Unknown,1
104,147,V665lz,False,False,False,0,Naive,Naive,Naive,83,130,False,1
105,26,V665lz,False,False,False,0,Naive,Naive,Naive,156,Unknown,Unknown,1
106,55,V665lz,False,False,False,0,Naive,Naive,Naive,142,Unknown,Unknown,1
107,120,V665lz,False,False,False,0,Naive,Naive,Naive,99,39,False,1
108,197,V665lz,False,False,False,0,Naive,Naive,Naive,26,141,False,1
109,166,V665lz,False,False,False,0,Naive,Naive,Naive,70,18,False,2
110,135,V665lz,False,False,False,0,Naive,Naive,Naive,93,84,False,1
111,179,V665lz,False,False,False,0,Naive,Naive,Naive,61,119,False,2
112,125,V665lz,False,False,False,0,Naive,Naive,Naive,100,98,False,1
113,151,V665lz,False,False,False,0,Naive,Naive,Naive,86,102,False,2
114,138,V665lz,False,False,False,0,Naive,Naive,Naive,94,121,False,2
115,73,V665lz,False,False,False,0,Naive,Naive,Naive,336,Unknown,Unknown,1
116,112,V665lz,False,False,False,0,Naive,Naive,Naive,108,32,False,2
117,53,V665lz,False,False,False,0,Naive,Naive,Naive,198,Unknown,Unknown,1
118,139,V665lz,False,False,False,0,Naive,Naive,Naive,98,16,False,1
119,131,V665lz,False,False,False,0,Naive,Naive,Naive,106,29,False,1
120,140,V665lz,False,False,False,0,Naive,Naive,Naive,100,26,False,1
121,167,V665lz,False,False,False,0,Naive,Naive,Naive,78,139,False,2
122,127,V665lz,False,False,False,0,Naive,Naive,Naive,115,104,False,1
123,157,V665lz,False,False,False,0,Naive,Naive,Naive,97,146,False,1
124,128,V665lz,False,False,False,0,Naive,Naive,Naive,116,116,False,2
125,100,V665lz,False,True,True,0,Naive,Naive,Naive,130,Unknown,Unknown,2
126,158,V665lz,False,False,False,0,Naive,Naive,Naive,102,105,False,1
127,107,V665lz,False,False,False,0,Naive,Naive,Naive,127,105,False,1
128,119,V665lz,False,False,False,0,Naive,Naive,Naive,123,109,False,1
129,156,V665lz,False,False,False,0,Naive,Naive,Naive,104,111,False,1
130,4,V665lz,True,False,False,0,Naive,Naive,Naive,270,Unknown,Unknown,2
131,11,V665lz,True,False,False,0,Naive,Naive,Naive,134,Unknown,Unknown,1
132,48,V665lz,True,False,False,1,Naive,Naive,Naive,158,Unknown,Unknown,1
133,70,V665lz,True,False,False,0,Naive,Naive,Naive,188,Unknown,Unknown,2
134,101,V665lz,True,False,False,0,Naive,Naive,Naive,130,84,False,1
135,102,V665lz,True,False,False,0,Naive,Naive,Naive,130,32,False,2
136,103,V665lz,True,False,False,0,Naive,Naive,Naive,129,68,False,1
137,104,V665lz,True,False,False,0,Naive,Naive,Naive,129,16,False,1
138,108,V665lz,True,False,False,0,Naive,Naive,Naive,128,41,False,1
139,110,V665lz,True,False,False,0,Naive,Naive,Naive,127,107,False,1
140,111,V665lz,True,False,False,2,Naive,Naive,Naive,127,101,False,1
141,113,V665lz,True,False,False,0,Naive,Naive,Naive,126,55,False,2
142,114,V665lz,True,False,False,0,Naive,Naive,Naive,125,62,False,1
143,115,V665lz,True,False,False,0,Naive,Naive,Naive,125,8,False,1
144,116,V665lz,True,False,False,0,Naive,Naive,Naive,125,90,False,2
145,117,V665lz,True,False,False,0,Naive,Naive,Naive,125,103,False,1
146,118,V665lz,True,False,False,0,Naive,Naive,Naive,124,55,False,2
147,121,V665lz,True,False,False,0,Naive,Naive,Naive,122,102,False,2
148,122,V665lz,True,False,False,2,Naive,Naive,Naive,122,107,False,1
149,123,V665lz,True,False,False,0,Naive,Naive,Naive,122,65,False,2
150,124,V665lz,True,False,False,0,Naive,Naive,Naive,121,51,False,1
151,126,V665lz,True,False,False,0,Naive,Naive,Naive,121,103,False,1
152,129,V665lz,True,False,False,3,Naive,Naive,Naive,119,67,False,1
153,132,V665lz,True,False,False,1,Naive,Naive,Naive,119,120,False,1
154,134,V665lz,True,False,False,4,Naive,Naive,Naive,116,61,False,1
155,141,V665lz,True,False,False,0,Naive,Naive,Naive,112,31,False,2
156,142,V665lz,True,False,False,2,Naive,Naive,Naive,112,60,False,2
157,143,V665lz,True,False,False,0,Naive,Naive,Naive,112,109,False,1
158,144,V665lz,True,False,False,0,Naive,Naive,Naive,111,54,False,1
159,145,V665lz,True,False,False,0,Naive,Naive,Naive,111,108,False,1
160,146,V665lz,True,False,False,0,Naive,Naive,Naive,111,136,False,1
161,150,V665lz,True,False,False,1,Naive,Naive,Naive,108,102,False,2
162,153,V665lz,True,False,False,0,Naive,Naive,Naive,106,143,False,2
163,154,V665lz,True,False,False,1,Naive,Naive,Naive,105,73,False,1
164,155,V665lz,True,False,False,0,Naive,Naive,Naive,105,4,False,2
165,159,V665lz,True,False,False,0,Naive,Naive,Naive,102,144,False,1
166,160,V665lz,True,False,False,0,Naive,Naive,Naive,101,43,False,1
167,161,V665lz,True,False,False,0,Naive,Naive,Naive,101,159,False,1
168,162,V665lz,True,False,False,0,Naive,Naive,Naive,99,105,False,1
169,164,V665lz,True,False,False,0,Naive,Naive,Naive,94,123,False,2
170,165,V665lz,True,False,False,0,Naive,Naive,Naive,91,108,False,1
171,168,V665lz,True,False,False,0,Naive,Naive,Naive,90,147,False,1
172,169,V665lz,True,False,False,1,Naive,Naive,Naive,89,26,False,2
173,170,V665lz,True,False,False,0,Naive,Naive,Naive,88,145,False,1
174,171,V665lz,True,False,False,0,Naive,Naive,Naive,88,147,False,2
175,173,V665lz,True,False,False,0,Naive,Naive,Naive,86,117,False,1
