,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,29,WL8c3l,False,False,False,0,Naive,Naive,Naive,192,Unknown,Unknown,1
1,39,WL8c3l,False,False,False,0,Naive,Naive,Naive,462,Unknown,Unknown,2
2,94,WL8c3l,False,False,False,0,Naive,Naive,Naive,184,Unknown,Unknown,2
3,30,WL8c3l,False,False,False,0,Naive,Naive,Naive,241,Unknown,Unknown,2
4,50,WL8c3l,False,False,False,0,Naive,Naive,Naive,468,Unknown,Unknown,2
5,15,WL8c3l,False,False,False,0,Naive,Naive,Naive,324,Unknown,Unknown,2
6,67,WL8c3l,False,False,False,0,Naive,Naive,Naive,199,Unknown,Unknown,2
7,90,WL8c3l,False,False,False,0,Naive,Naive,Naive,282,Unknown,Unknown,2
8,85,WL8c3l,False,False,False,0,Naive,Naive,Naive,429,Unknown,Unknown,1
9,47,WL8c3l,False,False,False,0,Naive,Naive,Naive,407,Unknown,Unknown,1
10,61,WL8c3l,False,False,False,0,Naive,Naive,Naive,287,Unknown,Unknown,2
11,12,WL8c3l,False,False,False,0,Naive,Naive,Naive,115,Unknown,Unknown,2
12,35,WL8c3l,False,False,False,0,Naive,Naive,Naive,191,Unknown,Unknown,2
13,77,WL8c3l,False,False,False,0,Naive,Naive,Naive,350,Unknown,Unknown,1
14,60,WL8c3l,False,False,False,0,Naive,Naive,Naive,214,Unknown,Unknown,2
15,5,WL8c3l,False,False,False,0,Naive,Naive,Naive,284,Unknown,Unknown,2
16,32,WL8c3l,False,False,False,0,Naive,Naive,Naive,286,Unknown,Unknown,1
17,52,WL8c3l,False,False,False,0,Naive,Naive,Naive,307,Unknown,Unknown,2
18,43,WL8c3l,False,False,False,0,Naive,Naive,Naive,244,Unknown,Unknown,1
19,6,WL8c3l,False,False,False,0,Naive,Naive,Naive,334,Unknown,Unknown,2
20,27,WL8c3l,False,False,False,0,Naive,Naive,Naive,325,Unknown,Unknown,1
21,66,WL8c3l,False,False,False,0,Naive,Naive,Naive,412,Unknown,Unknown,2
22,40,WL8c3l,False,False,False,0,Naive,Naive,Naive,282,Unknown,Unknown,2
23,33,WL8c3l,False,False,False,0,Naive,Naive,Naive,467,Unknown,Unknown,1
24,34,WL8c3l,False,False,False,0,Naive,Naive,Naive,143,Unknown,Unknown,1
25,7,WL8c3l,False,False,False,0,Naive,Naive,Naive,140,Unknown,Unknown,2
26,72,WL8c3l,False,False,False,0,Naive,Naive,Naive,115,Unknown,Unknown,2
27,96,WL8c3l,False,False,False,0,Naive,Naive,Naive,502,Unknown,Unknown,1
28,1,WL8c3l,False,False,False,0,Naive,Naive,Naive,349,Unknown,Unknown,1
29,89,WL8c3l,False,False,False,0,Naive,Naive,Naive,410,Unknown,Unknown,1
30,22,WL8c3l,False,False,False,0,Naive,Naive,Naive,260,Unknown,Unknown,2
31,23,WL8c3l,False,False,False,0,Naive,Naive,Naive,451,Unknown,Unknown,2
32,14,WL8c3l,False,False,False,0,Naive,Naive,Naive,512,Unknown,Unknown,2
33,26,WL8c3l,False,False,False,0,Naive,Naive,Naive,283,Unknown,Unknown,2
34,57,WL8c3l,False,False,False,0,Naive,Naive,Naive,403,Unknown,Unknown,1
