,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,23,YA3xrx,False,False,False,0,Naive,Naive,Naive,161,Unknown,Unknown,2
1,8,YA3xrx,False,False,False,0,Naive,Naive,Naive,476,Unknown,Unknown,2
2,11,YA3xrx,False,False,False,0,Naive,Naive,Naive,172,Unknown,Unknown,2
3,13,YA3xrx,False,False,False,0,Naive,Naive,Naive,458,Unknown,Unknown,2
4,73,YA3xrx,False,False,False,0,Naive,Naive,Naive,336,Unknown,Unknown,2
5,93,YA3xrx,False,False,False,0,Naive,Naive,Naive,279,Unknown,Unknown,2
6,24,YA3xrx,False,False,False,0,Naive,Naive,Naive,504,Unknown,Unknown,2
7,15,YA3xrx,False,False,False,0,Naive,Naive,Naive,453,Unknown,Unknown,2
8,38,YA3xrx,False,False,False,0,Naive,Naive,Naive,346,Unknown,Unknown,1
9,2,YA3xrx,False,False,False,0,Naive,Naive,Naive,438,Unknown,Unknown,2
10,50,YA3xrx,False,False,False,0,Naive,Naive,Naive,269,Unknown,Unknown,1
11,43,YA3xrx,False,False,False,0,Naive,Naive,Naive,201,Unknown,Unknown,1
12,61,YA3xrx,False,False,False,0,Naive,Naive,Naive,466,Unknown,Unknown,1
13,84,YA3xrx,False,False,False,0,Naive,Naive,Naive,421,Unknown,Unknown,2
14,14,YA3xrx,False,False,False,0,Naive,Naive,Naive,450,Unknown,Unknown,1
15,51,YA3xrx,False,False,False,0,Naive,Naive,Naive,427,Unknown,Unknown,1
16,79,YA3xrx,False,False,False,0,Naive,Naive,Naive,446,Unknown,Unknown,2
17,71,YA3xrx,False,False,False,0,Naive,Naive,Naive,410,Unknown,Unknown,2
18,29,YA3xrx,False,False,False,0,Naive,Naive,Naive,476,Unknown,Unknown,1
19,65,YA3xrx,False,False,False,0,Naive,Naive,Naive,317,Unknown,Unknown,2
20,32,YA3xrx,False,False,False,0,Naive,Naive,Naive,303,Unknown,Unknown,1
21,91,YA3xrx,False,False,False,0,Naive,Naive,Naive,427,Unknown,Unknown,2
22,30,YA3xrx,False,False,False,0,Naive,Naive,Naive,263,Unknown,Unknown,2
23,10,YA3xrx,False,False,False,0,Naive,Naive,Naive,433,Unknown,Unknown,1
24,33,YA3xrx,False,False,False,0,Naive,Naive,Naive,261,Unknown,Unknown,1
25,53,YA3xrx,False,False,False,0,Naive,Naive,Naive,424,Unknown,Unknown,2
26,74,YA3xrx,False,False,False,0,Naive,Naive,Naive,218,Unknown,Unknown,2
27,75,YA3xrx,False,False,False,0,Naive,Naive,Naive,427,Unknown,Unknown,1
28,27,YA3xrx,False,False,False,0,Naive,Naive,Naive,467,Unknown,Unknown,1
29,5,YA3xrx,False,False,False,0,Naive,Naive,Naive,455,Unknown,Unknown,1
30,89,YA3xrx,False,False,False,0,Naive,Naive,Naive,148,Unknown,Unknown,2
31,47,YA3xrx,False,False,False,0,Naive,Naive,Naive,388,Unknown,Unknown,2
32,57,YA3xrx,False,False,False,0,Naive,Naive,Naive,439,Unknown,Unknown,2
33,67,YA3xrx,False,False,False,0,Naive,Naive,Naive,328,Unknown,Unknown,1
34,92,YA3xrx,False,False,False,0,Naive,Naive,Naive,98,Unknown,Unknown,2
35,18,YA3xrx,False,False,False,0,Naive,Naive,Naive,77,Unknown,Unknown,2
36,81,YA3xrx,False,False,False,0,Naive,Naive,Naive,418,Unknown,Unknown,2
37,69,YA3xrx,False,False,False,0,Naive,Naive,Naive,308,Unknown,Unknown,1
38,9,YA3xrx,False,False,False,0,Naive,Naive,Naive,184,Unknown,Unknown,1
39,49,YA3xrx,False,False,False,0,Naive,Naive,Naive,459,Unknown,Unknown,2
40,76,YA3xrx,False,False,False,0,Naive,Naive,Naive,445,Unknown,Unknown,1
41,88,YA3xrx,False,False,False,0,Naive,Naive,Naive,200,Unknown,Unknown,1
42,68,YA3xrx,False,False,False,0,Naive,Naive,Naive,296,Unknown,Unknown,2
43,83,YA3xrx,False,False,False,0,Naive,Naive,Naive,461,Unknown,Unknown,1
44,48,YA3xrx,False,False,False,0,Naive,Naive,Naive,516,Unknown,Unknown,2
45,64,YA3xrx,False,False,False,0,Naive,Naive,Naive,218,Unknown,Unknown,1
46,96,YA3xrx,False,False,False,0,Naive,Naive,Naive,423,Unknown,Unknown,1
47,70,YA3xrx,False,False,False,0,Naive,Naive,Naive,166,Unknown,Unknown,1
48,44,YA3xrx,False,False,False,0,Naive,Naive,Naive,499,Unknown,Unknown,2
49,4,YA3xrx,False,False,False,0,Naive,Naive,Naive,359,Unknown,Unknown,2
50,82,YA3xrx,False,False,False,0,Naive,Naive,Naive,71,Unknown,Unknown,1
51,40,YA3xrx,False,False,False,0,Naive,Naive,Naive,156,Unknown,Unknown,1
52,78,YA3xrx,False,False,False,0,Naive,Naive,Naive,465,Unknown,Unknown,1
53,59,YA3xrx,False,False,False,0,Naive,Naive,Naive,512,Unknown,Unknown,2
54,100,YA3xrx,False,True,True,0,Naive,Naive,Naive,30,Unknown,Unknown,2
55,20,YA3xrx,False,False,False,0,Naive,Naive,Naive,517,Unknown,Unknown,1
56,80,YA3xrx,False,False,False,0,Naive,Naive,Naive,424,Unknown,Unknown,2
57,22,YA3xrx,False,False,False,0,Naive,Naive,Naive,448,Unknown,Unknown,2
58,120,YA3xrx,False,False,False,0,Naive,Naive,Naive,20,77,False,1
59,1,YA3xrx,True,False,False,1,Naive,Naive,Naive,39,Unknown,Unknown,1
60,3,YA3xrx,True,False,False,0,Naive,Naive,Naive,216,Unknown,Unknown,2
61,6,YA3xrx,True,False,False,0,Naive,Naive,Naive,71,Unknown,Unknown,1
62,7,YA3xrx,True,False,False,0,Naive,Naive,Naive,186,Unknown,Unknown,1
63,12,YA3xrx,True,False,False,0,Naive,Naive,Naive,114,Unknown,Unknown,1
64,16,YA3xrx,True,False,False,0,Naive,Naive,Naive,190,Unknown,Unknown,1
65,17,YA3xrx,True,False,False,0,Naive,Naive,Naive,415,Unknown,Unknown,2
66,19,YA3xrx,True,False,False,0,Naive,Naive,Naive,442,Unknown,Unknown,2
67,21,YA3xrx,True,False,False,0,Naive,Naive,Naive,355,Unknown,Unknown,2
68,25,YA3xrx,True,False,False,0,Naive,Naive,Naive,216,Unknown,Unknown,1
69,26,YA3xrx,True,False,False,0,Naive,Naive,Naive,77,Unknown,Unknown,1
70,28,YA3xrx,True,False,False,0,Naive,Naive,Naive,94,Unknown,Unknown,1
71,31,YA3xrx,True,False,False,0,Naive,Naive,Naive,204,Unknown,Unknown,1
72,34,YA3xrx,True,False,False,0,Naive,Naive,Naive,136,Unknown,Unknown,2
73,35,YA3xrx,True,False,False,0,Naive,Naive,Naive,135,Unknown,Unknown,1
74,36,YA3xrx,True,False,False,0,Naive,Naive,Naive,457,Unknown,Unknown,2
75,37,YA3xrx,True,False,False,0,Naive,Naive,Naive,61,Unknown,Unknown,1
76,39,YA3xrx,True,False,False,0,Naive,Naive,Naive,396,Unknown,Unknown,2
77,41,YA3xrx,True,False,False,0,Naive,Naive,Naive,145,Unknown,Unknown,2
78,42,YA3xrx,True,False,False,1,Naive,Naive,Naive,355,Unknown,Unknown,1
79,45,YA3xrx,True,False,False,0,Naive,Naive,Naive,251,Unknown,Unknown,2
