,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,69,btjPeW,False,False,False,0,Naive,Naive,Naive,436,Unknown,Unknown,2
1,66,btjPeW,False,False,False,0,Naive,Naive,Naive,465,Unknown,Unknown,1
2,4,btjPeW,False,False,False,0,Naive,Naive,Naive,221,Unknown,Unknown,1
3,56,btjPeW,False,False,False,0,Naive,Naive,Naive,388,Unknown,Unknown,2
4,1,btjPeW,False,False,False,0,Naive,Naive,Naive,286,Unknown,Unknown,2
5,8,btjPeW,False,False,False,0,Naive,Naive,Naive,400,Unknown,Unknown,2
6,53,btjPeW,False,False,False,0,Naive,Naive,Naive,353,Unknown,Unknown,2
7,36,btjPeW,False,False,False,0,Naive,Naive,Naive,445,Unknown,Unknown,2
8,24,btjPeW,False,False,False,0,Naive,Naive,Naive,321,Unknown,Unknown,2
9,43,btjPeW,False,False,False,0,Naive,Naive,Naive,264,Unknown,Unknown,1
10,79,btjPeW,False,False,False,0,Naive,Naive,Naive,164,Unknown,Unknown,1
11,26,btjPeW,False,False,False,0,Naive,Naive,Naive,496,Unknown,Unknown,1
12,5,btjPeW,False,False,False,0,Naive,Naive,Naive,181,Unknown,Unknown,1
13,10,btjPeW,False,False,False,0,Naive,Naive,Naive,269,Unknown,Unknown,1
14,41,btjPeW,False,False,False,0,Naive,Naive,Naive,398,Unknown,Unknown,2
15,98,btjPeW,False,False,False,0,Naive,Naive,Naive,151,Unknown,Unknown,2
16,37,btjPeW,False,False,False,0,Naive,Naive,Naive,350,Unknown,Unknown,1
17,92,btjPeW,False,False,False,0,Naive,Naive,Naive,374,Unknown,Unknown,2
18,40,btjPeW,False,False,False,0,Naive,Naive,Naive,415,Unknown,Unknown,2
19,62,btjPeW,False,False,False,0,Naive,Naive,Naive,272,Unknown,Unknown,1
20,90,btjPeW,False,False,False,0,Naive,Naive,Naive,154,Unknown,Unknown,2
21,11,btjPeW,False,False,False,0,Naive,Naive,Naive,386,Unknown,Unknown,1
22,22,btjPeW,False,False,False,0,Naive,Naive,Naive,344,Unknown,Unknown,1
23,16,btjPeW,False,False,False,0,Naive,Naive,Naive,348,Unknown,Unknown,1
24,39,btjPeW,False,False,False,0,Naive,Naive,Naive,448,Unknown,Unknown,2
25,76,btjPeW,False,False,False,0,Naive,Naive,Naive,150,Unknown,Unknown,1
26,89,btjPeW,False,False,False,0,Naive,Naive,Naive,505,Unknown,Unknown,1
27,30,btjPeW,False,False,False,0,Naive,Naive,Naive,275,Unknown,Unknown,2
28,3,btjPeW,False,False,False,1,Naive,Naive,Naive,395,Unknown,Unknown,2
