,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,22,es5Wht,False,False,False,0,Naive,Naive,Naive,289,Unknown,Unknown,1
1,29,es5Wht,False,False,False,0,Naive,Naive,Naive,489,Unknown,Unknown,1
2,69,es5Wht,False,False,False,0,Naive,Naive,Naive,290,Unknown,Unknown,2
3,47,es5Wht,False,False,False,0,Naive,Naive,Naive,459,Unknown,Unknown,2
4,5,es5Wht,False,False,False,0,Naive,Naive,Naive,424,Unknown,Unknown,1
5,30,es5Wht,False,False,False,0,Naive,Naive,Naive,368,Unknown,Unknown,1
6,90,es5Wht,False,False,False,0,Naive,Naive,Naive,41,Unknown,Unknown,2
7,98,es5Wht,False,False,False,0,Naive,Naive,Naive,91,Unknown,Unknown,1
8,74,es5Wht,False,False,False,0,Naive,Naive,Naive,233,Unknown,Unknown,1
9,16,es5Wht,False,False,False,0,Naive,Naive,Naive,459,Unknown,Unknown,1
10,45,es5Wht,False,False,False,0,Naive,Naive,Naive,408,Unknown,Unknown,1
11,40,es5Wht,False,False,False,0,Naive,Naive,Naive,414,Unknown,Unknown,1
12,23,es5Wht,False,False,False,0,Naive,Naive,Naive,405,Unknown,Unknown,1
13,78,es5Wht,False,False,False,0,Naive,Naive,Naive,476,Unknown,Unknown,2
14,70,es5Wht,False,False,False,0,Naive,Naive,Naive,415,Unknown,Unknown,1
15,81,es5Wht,False,False,False,0,Naive,Naive,Naive,368,Unknown,Unknown,1
16,87,es5Wht,False,False,False,0,Naive,Naive,Naive,165,Unknown,Unknown,1
17,86,es5Wht,False,False,False,0,Naive,Naive,Naive,369,Unknown,Unknown,2
18,92,es5Wht,False,False,False,0,Naive,Naive,Naive,246,Unknown,Unknown,1
19,44,es5Wht,False,False,False,0,Naive,Naive,Naive,433,Unknown,Unknown,2
20,49,es5Wht,False,False,False,0,Naive,Naive,Naive,315,Unknown,Unknown,2
21,52,es5Wht,False,False,False,0,Naive,Naive,Naive,447,Unknown,Unknown,1
22,35,es5Wht,False,False,False,0,Naive,Naive,Naive,287,Unknown,Unknown,1
23,13,es5Wht,False,False,False,1,Naive,Naive,Naive,287,Unknown,Unknown,1
24,91,es5Wht,False,False,False,0,Naive,Naive,Naive,329,Unknown,Unknown,1
25,25,es5Wht,False,False,False,0,Naive,Naive,Naive,53,Unknown,Unknown,2
26,41,es5Wht,False,False,False,0,Naive,Naive,Naive,221,Unknown,Unknown,2
27,51,es5Wht,False,False,False,0,Naive,Naive,Naive,503,Unknown,Unknown,2
28,10,es5Wht,False,False,False,0,Naive,Naive,Naive,352,Unknown,Unknown,1
29,37,es5Wht,False,False,False,0,Naive,Naive,Naive,473,Unknown,Unknown,1
30,73,es5Wht,False,False,False,0,Naive,Naive,Naive,256,Unknown,Unknown,2
31,9,es5Wht,False,False,False,0,Naive,Naive,Naive,273,Unknown,Unknown,1
32,42,es5Wht,False,False,False,0,Naive,Naive,Naive,501,Unknown,Unknown,1
33,82,es5Wht,False,False,False,0,Naive,Naive,Naive,273,Unknown,Unknown,1
