,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,48,fY1hc2,False,False,False,0,Naive,Naive,Naive,349,Unknown,Unknown,1
1,59,fY1hc2,False,False,False,0,Naive,Naive,Naive,455,Unknown,Unknown,1
2,70,fY1hc2,False,False,False,0,Naive,Naive,Naive,287,Unknown,Unknown,2
3,97,fY1hc2,False,False,False,0,Naive,Naive,Naive,343,Unknown,Unknown,2
4,47,fY1hc2,False,False,False,0,Naive,Naive,Naive,429,Unknown,Unknown,2
5,55,fY1hc2,False,False,False,0,Naive,Naive,Naive,418,Unknown,Unknown,2
6,14,fY1hc2,False,False,False,0,Naive,Naive,Naive,145,Unknown,Unknown,2
7,7,fY1hc2,False,False,False,0,Naive,Naive,Naive,265,Unknown,Unknown,1
8,1,fY1hc2,False,False,False,0,Naive,Naive,Naive,210,Unknown,Unknown,1
9,91,fY1hc2,False,False,False,0,Naive,Naive,Naive,186,Unknown,Unknown,2
10,82,fY1hc2,False,False,False,0,Naive,Naive,Naive,162,Unknown,Unknown,2
11,68,fY1hc2,False,False,False,0,Naive,Naive,Naive,417,Unknown,Unknown,2
12,39,fY1hc2,False,False,False,0,Naive,Naive,Naive,171,Unknown,Unknown,2
13,16,fY1hc2,False,False,False,0,Naive,Naive,Naive,327,Unknown,Unknown,2
14,34,fY1hc2,False,False,False,0,Naive,Naive,Naive,494,Unknown,Unknown,2
15,95,fY1hc2,False,False,False,0,Naive,Naive,Naive,417,Unknown,Unknown,1
16,61,fY1hc2,False,False,False,0,Naive,Naive,Naive,427,Unknown,Unknown,1
17,84,fY1hc2,False,False,False,0,Naive,Naive,Naive,294,Unknown,Unknown,2
18,76,fY1hc2,False,False,False,0,Naive,Naive,Naive,395,Unknown,Unknown,2
19,93,fY1hc2,False,False,False,0,Naive,Naive,Naive,431,Unknown,Unknown,1
20,12,fY1hc2,False,False,False,0,Naive,Naive,Naive,481,Unknown,Unknown,2
21,46,fY1hc2,False,False,False,0,Naive,Naive,Naive,493,Unknown,Unknown,2
22,58,fY1hc2,False,False,False,0,Naive,Naive,Naive,192,Unknown,Unknown,1
23,33,fY1hc2,False,False,False,0,Naive,Naive,Naive,357,Unknown,Unknown,1
24,67,fY1hc2,False,False,False,0,Naive,Naive,Naive,371,Unknown,Unknown,1
25,8,fY1hc2,False,False,False,0,Naive,Naive,Naive,477,Unknown,Unknown,2
26,52,fY1hc2,False,False,False,0,Naive,Naive,Naive,504,Unknown,Unknown,1
27,42,fY1hc2,False,False,False,0,Naive,Naive,Naive,333,Unknown,Unknown,1
28,10,fY1hc2,False,False,False,0,Naive,Naive,Naive,414,Unknown,Unknown,1
29,36,fY1hc2,False,False,False,0,Naive,Naive,Naive,377,Unknown,Unknown,1
30,18,fY1hc2,False,False,False,0,Naive,Naive,Naive,224,Unknown,Unknown,2
31,81,fY1hc2,False,False,False,1,Naive,Naive,Naive,361,Unknown,Unknown,2
