,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,76,grHt4J,False,False,False,0,Naive,Naive,Naive,441,Unknown,Unknown,2
1,86,grHt4J,False,False,False,0,Naive,Naive,Naive,388,Unknown,Unknown,2
2,58,grHt4J,False,False,False,0,Naive,Naive,Naive,415,Unknown,Unknown,1
3,95,grHt4J,False,False,False,0,Naive,Naive,Naive,122,Unknown,Unknown,2
4,36,grHt4J,False,False,False,0,Naive,Naive,Naive,387,Unknown,Unknown,1
5,61,grHt4J,False,False,False,0,Naive,Naive,Naive,434,Unknown,Unknown,2
6,54,grHt4J,False,False,False,0,Naive,Naive,Naive,473,Unknown,Unknown,2
7,81,grHt4J,False,False,False,0,Naive,Naive,Naive,68,Unknown,Unknown,2
8,22,grHt4J,False,False,False,0,Naive,Naive,Naive,264,Unknown,Unknown,2
9,24,grHt4J,False,False,False,0,Naive,Naive,Naive,232,Unknown,Unknown,2
10,65,grHt4J,False,False,False,0,Naive,Naive,Naive,250,Unknown,Unknown,2
11,64,grHt4J,False,False,False,0,Naive,Naive,Naive,391,Unknown,Unknown,1
12,21,grHt4J,False,False,False,0,Naive,Naive,Naive,461,Unknown,Unknown,1
13,96,grHt4J,False,False,False,0,Naive,Naive,Naive,337,Unknown,Unknown,2
14,40,grHt4J,False,False,False,0,Naive,Naive,Naive,459,Unknown,Unknown,1
15,48,grHt4J,False,False,False,0,Naive,Naive,Naive,382,Unknown,Unknown,2
16,45,grHt4J,False,False,False,0,Naive,Naive,Naive,239,Unknown,Unknown,2
17,37,grHt4J,False,False,False,0,Naive,Naive,Naive,399,Unknown,Unknown,1
18,32,grHt4J,False,False,False,0,Naive,Naive,Naive,265,Unknown,Unknown,1
19,8,grHt4J,False,False,False,0,Naive,Naive,Naive,493,Unknown,Unknown,2
20,71,grHt4J,False,False,False,0,Naive,Naive,Naive,154,Unknown,Unknown,1
21,66,grHt4J,False,False,False,0,Naive,Naive,Naive,328,Unknown,Unknown,2
22,101,grHt4J,False,False,False,0,Naive,Naive,Naive,10,50,False,1
23,35,grHt4J,False,False,False,0,Naive,Naive,Naive,253,Unknown,Unknown,2
24,19,grHt4J,False,False,False,0,Naive,Naive,Naive,431,Unknown,Unknown,1
25,56,grHt4J,False,False,False,0,Naive,Naive,Naive,505,Unknown,Unknown,1
26,51,grHt4J,False,False,False,0,Naive,Naive,Naive,375,Unknown,Unknown,1
27,34,grHt4J,False,False,False,0,Naive,Naive,Naive,510,Unknown,Unknown,1
28,28,grHt4J,False,False,False,0,Naive,Naive,Naive,251,Unknown,Unknown,2
29,47,grHt4J,False,False,False,0,Naive,Naive,Naive,201,Unknown,Unknown,2
30,78,grHt4J,False,False,False,0,Naive,Naive,Naive,374,Unknown,Unknown,2
31,70,grHt4J,False,False,False,0,Naive,Naive,Naive,500,Unknown,Unknown,1
32,17,grHt4J,False,False,False,0,Naive,Naive,Naive,200,Unknown,Unknown,2
33,99,grHt4J,False,False,False,0,Naive,Naive,Naive,135,Unknown,Unknown,2
34,38,grHt4J,False,False,False,0,Naive,Naive,Naive,414,Unknown,Unknown,2
35,97,grHt4J,False,False,False,0,Naive,Naive,Naive,480,Unknown,Unknown,1
