,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,96,hbcqfw,False,False,False,0,Naive,Naive,Naive,320,Unknown,Unknown,1
1,93,hbcqfw,False,False,False,0,Naive,Naive,Naive,45,Unknown,Unknown,2
2,46,hbcqfw,False,False,False,0,Naive,Naive,Naive,402,Unknown,Unknown,2
3,87,hbcqfw,False,False,False,0,Naive,Naive,Naive,245,Unknown,Unknown,2
4,11,hbcqfw,False,False,False,0,Naive,Naive,Naive,500,Unknown,Unknown,2
5,2,hbcqfw,False,False,False,0,Naive,Naive,Naive,484,Unknown,Unknown,1
6,94,hbcqfw,False,False,False,0,Naive,Naive,Naive,497,Unknown,Unknown,1
7,69,hbcqfw,False,False,False,0,Naive,Naive,Naive,322,Unknown,Unknown,2
8,26,hbcqfw,False,False,False,0,Naive,Naive,Naive,186,Unknown,Unknown,2
9,27,hbcqfw,False,False,False,0,Naive,Naive,Naive,325,Unknown,Unknown,2
10,76,hbcqfw,False,False,False,0,Naive,Naive,Naive,481,Unknown,Unknown,1
11,32,hbcqfw,False,False,False,1,Naive,Naive,Naive,497,Unknown,Unknown,2
12,91,hbcqfw,False,False,False,0,Naive,Naive,Naive,228,Unknown,Unknown,2
13,9,hbcqfw,False,False,False,0,Naive,Naive,Naive,119,Unknown,Unknown,2
14,18,hbcqfw,False,False,False,0,Naive,Naive,Naive,99,Unknown,Unknown,2
15,15,hbcqfw,False,False,False,0,Naive,Naive,Naive,405,Unknown,Unknown,1
16,68,hbcqfw,False,False,False,0,Naive,Naive,Naive,420,Unknown,Unknown,1
17,43,hbcqfw,False,False,False,0,Naive,Naive,Naive,201,Unknown,Unknown,1
18,10,hbcqfw,False,False,False,0,Naive,Naive,Naive,310,Unknown,Unknown,1
19,42,hbcqfw,False,False,False,0,Naive,Naive,Naive,446,Unknown,Unknown,2
20,58,hbcqfw,False,False,False,0,Naive,Naive,Naive,448,Unknown,Unknown,2
21,70,hbcqfw,False,False,False,0,Naive,Naive,Naive,169,Unknown,Unknown,2
22,12,hbcqfw,False,False,False,0,Naive,Naive,Naive,366,Unknown,Unknown,2
23,33,hbcqfw,False,False,False,0,Naive,Naive,Naive,335,Unknown,Unknown,2
24,45,hbcqfw,False,False,False,0,Naive,Naive,Naive,483,Unknown,Unknown,2
