,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,95,iiYB9p,False,False,False,0,Naive,Naive,Naive,381,Unknown,Unknown,1
1,59,iiYB9p,False,False,False,0,Naive,Naive,Naive,387,Unknown,Unknown,2
2,57,iiYB9p,False,False,False,0,Naive,Naive,Naive,364,Unknown,Unknown,2
3,47,iiYB9p,False,False,False,0,Naive,Naive,Naive,393,Unknown,Unknown,1
4,23,iiYB9p,False,False,False,0,Naive,Naive,Naive,238,Unknown,Unknown,2
5,73,iiYB9p,False,False,False,0,Naive,Naive,Naive,444,Unknown,Unknown,1
6,37,iiYB9p,False,False,False,0,Naive,Naive,Naive,221,Unknown,Unknown,1
7,40,iiYB9p,False,False,False,0,Naive,Naive,Naive,497,Unknown,Unknown,2
8,92,iiYB9p,False,False,False,0,Naive,Naive,Naive,473,Unknown,Unknown,1
9,42,iiYB9p,False,False,False,0,Naive,Naive,Naive,371,Unknown,Unknown,2
10,63,iiYB9p,False,False,False,0,Naive,Naive,Naive,484,Unknown,Unknown,2
11,50,iiYB9p,False,False,False,0,Naive,Naive,Naive,372,Unknown,Unknown,1
12,61,iiYB9p,False,False,False,0,Naive,Naive,Naive,378,Unknown,Unknown,1
13,45,iiYB9p,False,False,False,0,Naive,Naive,Naive,371,Unknown,Unknown,1
14,97,iiYB9p,False,False,False,0,Naive,Naive,Naive,381,Unknown,Unknown,1
15,85,iiYB9p,False,False,False,0,Naive,Naive,Naive,318,Unknown,Unknown,1
16,64,iiYB9p,False,False,False,0,Naive,Naive,Naive,323,Unknown,Unknown,1
17,99,iiYB9p,False,False,False,0,Naive,Naive,Naive,492,Unknown,Unknown,1
18,80,iiYB9p,False,False,False,0,Naive,Naive,Naive,416,Unknown,Unknown,2
19,72,iiYB9p,False,False,False,0,Naive,Naive,Naive,416,Unknown,Unknown,2
20,3,iiYB9p,False,False,False,0,Naive,Naive,Naive,441,Unknown,Unknown,2
21,16,iiYB9p,False,False,False,0,Naive,Naive,Naive,236,Unknown,Unknown,2
22,51,iiYB9p,False,False,False,1,Naive,Naive,Naive,283,Unknown,Unknown,1
23,41,iiYB9p,False,False,False,0,Naive,Naive,Naive,489,Unknown,Unknown,1
24,66,iiYB9p,False,False,False,0,Naive,Naive,Naive,349,Unknown,Unknown,1
25,86,iiYB9p,False,False,False,0,Naive,Naive,Naive,317,Unknown,Unknown,2
26,5,iiYB9p,False,False,False,0,Naive,Naive,Naive,153,Unknown,Unknown,1
27,20,iiYB9p,False,False,False,0,Naive,Naive,Naive,448,Unknown,Unknown,1
28,7,iiYB9p,False,False,False,0,Naive,Naive,Naive,510,Unknown,Unknown,1
29,91,iiYB9p,False,False,False,0,Naive,Naive,Naive,409,Unknown,Unknown,2
30,6,iiYB9p,False,False,False,0,Naive,Naive,Naive,460,Unknown,Unknown,2
31,78,iiYB9p,False,False,False,0,Naive,Naive,Naive,439,Unknown,Unknown,2
32,82,iiYB9p,False,False,False,0,Naive,Naive,Naive,498,Unknown,Unknown,1
33,90,iiYB9p,False,False,False,0,Naive,Naive,Naive,377,Unknown,Unknown,2
34,38,iiYB9p,False,False,False,0,Naive,Naive,Naive,242,Unknown,Unknown,2
35,27,iiYB9p,False,False,False,0,Naive,Naive,Naive,303,Unknown,Unknown,1
36,49,iiYB9p,False,False,False,0,Naive,Naive,Naive,207,Unknown,Unknown,1
37,44,iiYB9p,False,False,False,0,Naive,Naive,Naive,490,Unknown,Unknown,2
38,11,iiYB9p,False,False,False,0,Naive,Naive,Naive,438,Unknown,Unknown,2
39,14,iiYB9p,False,False,False,0,Naive,Naive,Naive,217,Unknown,Unknown,1
40,30,iiYB9p,False,False,False,1,Naive,Naive,Naive,352,Unknown,Unknown,1
41,96,iiYB9p,False,False,False,0,Naive,Naive,Naive,229,Unknown,Unknown,2
42,24,iiYB9p,False,False,False,0,Naive,Naive,Naive,377,Unknown,Unknown,2
43,75,iiYB9p,False,False,False,0,Naive,Naive,Naive,495,Unknown,Unknown,2
44,93,iiYB9p,False,False,False,0,Naive,Naive,Naive,93,Unknown,Unknown,2
45,1,iiYB9p,False,False,False,0,Naive,Naive,Naive,204,Unknown,Unknown,2
46,137,iiYB9p,False,False,False,0,Naive,Naive,Naive,8,121,False,1
47,22,iiYB9p,False,False,False,0,Naive,Naive,Naive,529,Unknown,Unknown,1
48,56,iiYB9p,False,False,False,0,Naive,Naive,Naive,522,Unknown,Unknown,2
49,8,iiYB9p,False,False,False,0,Naive,Naive,Naive,121,Unknown,Unknown,2
50,21,iiYB9p,False,False,False,0,Naive,Naive,Naive,175,Unknown,Unknown,1
51,77,iiYB9p,False,False,False,0,Naive,Naive,Naive,515,Unknown,Unknown,1
52,62,iiYB9p,False,False,False,0,Naive,Naive,Naive,263,Unknown,Unknown,2
53,31,iiYB9p,False,False,False,0,Naive,Naive,Naive,457,Unknown,Unknown,2
54,104,iiYB9p,False,False,False,0,Naive,Naive,Naive,33,58,False,2
55,76,iiYB9p,False,True,True,1,120,13,social,143,Unknown,Unknown,1
56,81,iiYB9p,False,False,False,0,Naive,Naive,Naive,287,Unknown,Unknown,1
57,13,iiYB9p,False,False,False,0,Naive,Naive,Naive,344,Unknown,Unknown,2
58,65,iiYB9p,False,False,False,0,Naive,Naive,Naive,215,Unknown,Unknown,1
59,39,iiYB9p,False,False,False,0,Naive,Naive,Naive,453,Unknown,Unknown,2
60,70,iiYB9p,False,False,False,0,Naive,Naive,Naive,170,Unknown,Unknown,1
61,18,iiYB9p,False,False,False,0,Naive,Naive,Naive,408,Unknown,Unknown,2
62,54,iiYB9p,False,False,False,0,Naive,Naive,Naive,377,Unknown,Unknown,1
63,89,iiYB9p,False,False,False,0,Naive,Naive,Naive,144,Unknown,Unknown,2
64,74,iiYB9p,False,False,False,0,Naive,Naive,Naive,215,Unknown,Unknown,1
65,35,iiYB9p,False,False,False,0,Naive,Naive,Naive,477,Unknown,Unknown,2
66,10,iiYB9p,False,False,False,0,Naive,Naive,Naive,185,Unknown,Unknown,2
67,152,iiYB9p,False,False,False,0,Naive,Naive,Naive,10,151,False,2
68,26,iiYB9p,False,False,False,0,Naive,Naive,Naive,287,Unknown,Unknown,2
69,29,iiYB9p,False,False,False,0,Naive,Naive,Naive,328,Unknown,Unknown,1
70,4,iiYB9p,False,False,False,0,Naive,Naive,Naive,380,Unknown,Unknown,2
71,121,iiYB9p,False,False,False,9,Naive,Naive,Naive,33,76,False,1
72,69,iiYB9p,False,False,False,0,Naive,Naive,Naive,62,Unknown,Unknown,1
73,36,iiYB9p,False,False,False,0,Naive,Naive,Naive,184,Unknown,Unknown,2
74,67,iiYB9p,False,False,False,0,Naive,Naive,Naive,254,Unknown,Unknown,2
75,9,iiYB9p,False,False,False,0,Naive,Naive,Naive,128,Unknown,Unknown,1
76,17,iiYB9p,False,False,False,0,Naive,Naive,Naive,197,Unknown,Unknown,1
77,83,iiYB9p,False,False,False,0,Naive,Naive,Naive,456,Unknown,Unknown,1
78,132,iiYB9p,False,False,False,0,Naive,Naive,Naive,36,29,False,2
79,12,iiYB9p,False,False,False,0,Naive,Naive,Naive,100,Unknown,Unknown,2
80,46,iiYB9p,False,False,False,0,Naive,Naive,Naive,114,Unknown,Unknown,2
81,79,iiYB9p,False,False,False,1,Naive,Naive,Naive,368,Unknown,Unknown,1
82,148,iiYB9p,False,False,False,0,Naive,Naive,Naive,29,60,False,1
83,48,iiYB9p,False,False,False,0,Naive,Naive,Naive,108,Unknown,Unknown,1
84,68,iiYB9p,False,False,False,0,Naive,Naive,Naive,553,Unknown,Unknown,1
85,110,iiYB9p,False,False,False,0,Naive,Naive,Naive,57,35,False,2
86,100,iiYB9p,False,True,True,0,Naive,Naive,Naive,62,Unknown,Unknown,2
87,2,iiYB9p,True,False,False,0,Naive,Naive,Naive,424,Unknown,Unknown,1
88,15,iiYB9p,True,False,False,0,Naive,Naive,Naive,225,Unknown,Unknown,2
89,19,iiYB9p,True,False,False,0,Naive,Naive,Naive,63,Unknown,Unknown,2
90,25,iiYB9p,True,False,False,1,Naive,Naive,Naive,136,Unknown,Unknown,1
91,28,iiYB9p,True,False,False,0,Naive,Naive,Naive,159,Unknown,Unknown,2
92,32,iiYB9p,True,False,False,0,Naive,Naive,Naive,77,Unknown,Unknown,2
93,33,iiYB9p,True,False,False,0,Naive,Naive,Naive,363,Unknown,Unknown,2
94,34,iiYB9p,True,False,False,0,Naive,Naive,Naive,191,Unknown,Unknown,1
95,43,iiYB9p,True,False,False,0,Naive,Naive,Naive,294,Unknown,Unknown,1
96,52,iiYB9p,True,False,False,0,Naive,Naive,Naive,89,Unknown,Unknown,2
97,53,iiYB9p,True,False,False,2,Naive,Naive,Naive,427,Unknown,Unknown,1
98,55,iiYB9p,True,False,False,0,Naive,Naive,Naive,453,Unknown,Unknown,1
99,58,iiYB9p,True,False,False,0,Naive,Naive,Naive,205,Unknown,Unknown,1
100,60,iiYB9p,True,False,False,0,Naive,Naive,Naive,89,Unknown,Unknown,2
101,71,iiYB9p,True,False,False,1,Naive,Naive,Naive,190,Unknown,Unknown,2
102,84,iiYB9p,True,False,False,0,Naive,Naive,Naive,178,Unknown,Unknown,2
103,87,iiYB9p,True,False,False,0,Naive,Naive,Naive,237,Unknown,Unknown,1
104,88,iiYB9p,True,False,False,1,Naive,Naive,Naive,351,Unknown,Unknown,2
105,94,iiYB9p,True,False,False,0,Naive,Naive,Naive,207,Unknown,Unknown,1
106,98,iiYB9p,True,False,False,0,Naive,Naive,Naive,449,Unknown,Unknown,1
107,101,iiYB9p,True,False,False,0,Naive,Naive,Naive,61,22,False,1
108,102,iiYB9p,True,False,False,0,Naive,Naive,Naive,61,72,False,2
109,103,iiYB9p,True,False,False,0,Naive,Naive,Naive,61,78,False,2
110,105,iiYB9p,True,False,False,0,Naive,Naive,Naive,60,33,False,1
111,106,iiYB9p,True,False,False,0,Naive,Naive,Naive,60,55,False,1
112,107,iiYB9p,True,False,False,0,Naive,Naive,Naive,59,58,False,1
113,108,iiYB9p,True,False,False,0,Naive,Naive,Naive,59,4,False,1
114,109,iiYB9p,True,False,False,0,Naive,Naive,Naive,59,33,False,2
115,111,iiYB9p,True,False,False,0,Naive,Naive,Naive,58,30,False,1
116,112,iiYB9p,True,False,False,0,Naive,Naive,Naive,57,111,False,1
117,113,iiYB9p,True,False,False,0,Naive,Naive,Naive,56,104,False,1
118,114,iiYB9p,True,False,False,0,Naive,Naive,Naive,56,69,False,1
119,115,iiYB9p,True,False,False,0,Naive,Naive,Naive,56,84,False,2
120,116,iiYB9p,True,False,False,0,Naive,Naive,Naive,55,103,False,2
121,117,iiYB9p,True,False,False,0,Naive,Naive,Naive,54,39,False,2
122,118,iiYB9p,True,False,False,0,Naive,Naive,Naive,53,104,False,2
123,119,iiYB9p,True,False,False,0,Naive,Naive,Naive,52,46,False,2
124,120,iiYB9p,True,False,False,0,Naive,Naive,Naive,51,109,False,2
