,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,9,jcNDGY,False,False,False,0,Naive,Naive,Naive,366,Unknown,Unknown,2
1,68,jcNDGY,False,False,False,0,Naive,Naive,Naive,45,Unknown,Unknown,1
2,61,jcNDGY,False,False,False,0,Naive,Naive,Naive,349,Unknown,Unknown,2
3,17,jcNDGY,False,False,False,0,Naive,Naive,Naive,330,Unknown,Unknown,2
4,46,jcNDGY,False,False,False,0,Naive,Naive,Naive,432,Unknown,Unknown,2
5,2,jcNDGY,False,False,False,0,Naive,Naive,Naive,498,Unknown,Unknown,1
6,60,jcNDGY,False,False,False,0,Naive,Naive,Naive,296,Unknown,Unknown,2
7,79,jcNDGY,False,False,False,0,Naive,Naive,Naive,340,Unknown,Unknown,1
8,73,jcNDGY,False,False,False,0,Naive,Naive,Naive,218,Unknown,Unknown,1
9,57,jcNDGY,False,False,False,0,Naive,Naive,Naive,460,Unknown,Unknown,2
10,18,jcNDGY,False,False,False,0,Naive,Naive,Naive,172,Unknown,Unknown,2
11,52,jcNDGY,False,False,False,0,Naive,Naive,Naive,403,Unknown,Unknown,1
12,45,jcNDGY,False,False,False,0,Naive,Naive,Naive,170,Unknown,Unknown,1
13,83,jcNDGY,False,False,False,0,Naive,Naive,Naive,332,Unknown,Unknown,2
14,1,jcNDGY,False,False,False,0,Naive,Naive,Naive,390,Unknown,Unknown,1
15,84,jcNDGY,False,False,False,0,Naive,Naive,Naive,206,Unknown,Unknown,2
16,44,jcNDGY,False,False,False,0,Naive,Naive,Naive,249,Unknown,Unknown,1
17,23,jcNDGY,False,False,False,0,Naive,Naive,Naive,354,Unknown,Unknown,1
18,81,jcNDGY,False,False,False,0,Naive,Naive,Naive,507,Unknown,Unknown,2
19,98,jcNDGY,False,False,False,0,Naive,Naive,Naive,293,Unknown,Unknown,1
20,82,jcNDGY,False,False,False,0,Naive,Naive,Naive,411,Unknown,Unknown,1
21,33,jcNDGY,False,False,False,1,Naive,Naive,Naive,407,Unknown,Unknown,2
22,72,jcNDGY,False,False,False,0,Naive,Naive,Naive,268,Unknown,Unknown,2
23,29,jcNDGY,False,False,False,0,Naive,Naive,Naive,189,Unknown,Unknown,1
24,63,jcNDGY,False,False,False,0,Naive,Naive,Naive,296,Unknown,Unknown,2
25,43,jcNDGY,False,False,False,0,Naive,Naive,Naive,124,Unknown,Unknown,1
26,86,jcNDGY,False,False,False,0,Naive,Naive,Naive,418,Unknown,Unknown,1
27,19,jcNDGY,False,False,False,0,Naive,Naive,Naive,402,Unknown,Unknown,1
28,10,jcNDGY,False,False,False,0,Naive,Naive,Naive,411,Unknown,Unknown,2
29,15,jcNDGY,False,False,False,0,Naive,Naive,Naive,363,Unknown,Unknown,2
30,77,jcNDGY,False,False,False,0,Naive,Naive,Naive,491,Unknown,Unknown,1
31,94,jcNDGY,False,False,False,0,Naive,Naive,Naive,488,Unknown,Unknown,1
32,41,jcNDGY,False,False,False,0,Naive,Naive,Naive,443,Unknown,Unknown,2
33,49,jcNDGY,False,False,False,0,Naive,Naive,Naive,261,Unknown,Unknown,1
34,50,jcNDGY,False,False,False,0,Naive,Naive,Naive,248,Unknown,Unknown,1
35,62,jcNDGY,False,False,False,0,Naive,Naive,Naive,477,Unknown,Unknown,2
36,92,jcNDGY,False,False,False,0,Naive,Naive,Naive,344,Unknown,Unknown,2
37,51,jcNDGY,False,False,False,0,Naive,Naive,Naive,384,Unknown,Unknown,1
38,22,jcNDGY,False,False,False,0,Naive,Naive,Naive,429,Unknown,Unknown,1
39,70,jcNDGY,False,False,False,0,Naive,Naive,Naive,445,Unknown,Unknown,2
40,14,jcNDGY,False,False,False,0,Naive,Naive,Naive,61,Unknown,Unknown,1
41,12,jcNDGY,False,False,False,0,Naive,Naive,Naive,374,Unknown,Unknown,2
42,27,jcNDGY,False,False,False,0,Naive,Naive,Naive,337,Unknown,Unknown,2
43,32,jcNDGY,False,False,False,0,Naive,Naive,Naive,436,Unknown,Unknown,2
44,7,jcNDGY,False,False,False,0,Naive,Naive,Naive,314,Unknown,Unknown,1
45,39,jcNDGY,False,False,False,0,Naive,Naive,Naive,302,Unknown,Unknown,1
46,90,jcNDGY,False,False,False,0,Naive,Naive,Naive,103,Unknown,Unknown,2
47,53,jcNDGY,False,False,False,0,Naive,Naive,Naive,372,Unknown,Unknown,1
48,58,jcNDGY,False,False,False,0,Naive,Naive,Naive,449,Unknown,Unknown,2
49,28,jcNDGY,False,False,False,0,Naive,Naive,Naive,368,Unknown,Unknown,1
50,130,jcNDGY,False,False,False,0,Naive,Naive,Naive,19,109,False,2
51,71,jcNDGY,False,False,False,0,Naive,Naive,Naive,258,Unknown,Unknown,1
52,65,jcNDGY,False,False,False,0,Naive,Naive,Naive,364,Unknown,Unknown,2
53,48,jcNDGY,False,False,False,0,Naive,Naive,Naive,157,Unknown,Unknown,1
54,99,jcNDGY,False,False,False,1,Naive,Naive,Naive,169,Unknown,Unknown,2
55,95,jcNDGY,False,False,False,0,Naive,Naive,Naive,186,Unknown,Unknown,1
56,47,jcNDGY,False,False,False,0,Naive,Naive,Naive,341,Unknown,Unknown,1
57,20,jcNDGY,False,False,False,1,Naive,Naive,Naive,378,Unknown,Unknown,2
58,25,jcNDGY,False,False,False,0,Naive,Naive,Naive,243,Unknown,Unknown,1
59,88,jcNDGY,False,False,False,0,Naive,Naive,Naive,372,Unknown,Unknown,1
60,97,jcNDGY,False,False,False,1,Naive,Naive,Naive,455,Unknown,Unknown,1
61,134,jcNDGY,False,False,False,0,Naive,Naive,Naive,29,4,False,2
62,74,jcNDGY,False,False,False,0,Naive,Naive,Naive,217,Unknown,Unknown,2
63,5,jcNDGY,False,False,False,0,Naive,Naive,Naive,499,Unknown,Unknown,1
64,4,jcNDGY,False,False,False,0,Naive,Naive,Naive,59,Unknown,Unknown,1
65,67,jcNDGY,False,False,False,0,Naive,Naive,Naive,210,Unknown,Unknown,2
66,69,jcNDGY,False,False,False,0,Naive,Naive,Naive,261,Unknown,Unknown,2
67,119,jcNDGY,False,False,False,0,Naive,Naive,Naive,41,99,False,2
68,89,jcNDGY,False,False,False,0,Naive,Naive,Naive,192,Unknown,Unknown,1
69,40,jcNDGY,False,False,False,0,Naive,Naive,Naive,337,Unknown,Unknown,2
70,109,jcNDGY,False,False,False,0,Naive,Naive,Naive,50,57,False,2
71,37,jcNDGY,False,False,False,1,Naive,Naive,Naive,117,Unknown,Unknown,2
72,38,jcNDGY,False,False,False,0,Naive,Naive,Naive,288,Unknown,Unknown,2
73,3,jcNDGY,False,False,False,0,Naive,Naive,Naive,357,Unknown,Unknown,2
74,149,jcNDGY,False,False,False,0,Naive,Naive,Naive,35,3,False,2
75,16,jcNDGY,False,False,False,0,Naive,Naive,Naive,489,Unknown,Unknown,2
76,6,jcNDGY,False,True,True,1,250,63,social,251,Unknown,Unknown,1
77,91,jcNDGY,False,False,False,0,Naive,Naive,Naive,432,Unknown,Unknown,1
78,42,jcNDGY,False,False,False,0,Naive,Naive,Naive,354,Unknown,Unknown,1
79,66,jcNDGY,False,False,False,0,Naive,Naive,Naive,152,Unknown,Unknown,2
80,11,jcNDGY,False,False,False,0,Naive,Naive,Naive,517,Unknown,Unknown,1
81,24,jcNDGY,False,False,False,0,Naive,Naive,Naive,399,Unknown,Unknown,1
82,26,jcNDGY,False,False,False,0,Naive,Naive,Naive,220,Unknown,Unknown,1
83,36,jcNDGY,False,False,False,0,Naive,Naive,Naive,291,Unknown,Unknown,2
84,128,jcNDGY,False,False,False,0,Naive,Naive,Naive,57,92,False,1
85,152,jcNDGY,False,False,False,0,Naive,Naive,Naive,42,120,False,2
86,169,jcNDGY,False,False,False,0,Naive,Naive,Naive,25,164,False,2
87,101,jcNDGY,False,False,False,2,Naive,Naive,Naive,74,11,False,1
88,78,jcNDGY,False,False,False,0,Naive,Naive,Naive,210,Unknown,Unknown,1
89,64,jcNDGY,False,False,False,0,Naive,Naive,Naive,84,Unknown,Unknown,2
90,8,jcNDGY,False,False,False,0,Naive,Naive,Naive,207,Unknown,Unknown,2
91,167,jcNDGY,False,False,False,0,Naive,Naive,Naive,30,40,False,1
92,137,jcNDGY,False,False,False,0,Naive,Naive,Naive,61,125,False,1
93,59,jcNDGY,False,False,False,0,Naive,Naive,Naive,116,Unknown,Unknown,2
94,139,jcNDGY,False,False,False,0,Naive,Naive,Naive,60,26,False,1
95,54,jcNDGY,False,True,True,4,70,38,social,111,Unknown,Unknown,1
