,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,22,jf6hwC,False,False,False,0,Naive,Naive,Naive,417,Unknown,Unknown,1
1,3,jf6hwC,False,False,False,0,Naive,Naive,Naive,296,Unknown,Unknown,1
2,42,jf6hwC,False,False,False,0,Naive,Naive,Naive,282,Unknown,Unknown,1
3,19,jf6hwC,False,False,False,0,Naive,Naive,Naive,311,Unknown,Unknown,1
4,46,jf6hwC,False,False,False,0,Naive,Naive,Naive,310,Unknown,Unknown,1
5,69,jf6hwC,False,False,False,0,Naive,Naive,Naive,421,Unknown,Unknown,1
6,8,jf6hwC,False,False,False,0,Naive,Naive,Naive,377,Unknown,Unknown,2
7,26,jf6hwC,False,False,False,0,Naive,Naive,Naive,212,Unknown,Unknown,1
8,74,jf6hwC,False,False,False,0,Naive,Naive,Naive,468,Unknown,Unknown,1
9,52,jf6hwC,False,False,False,0,Naive,Naive,Naive,174,Unknown,Unknown,2
10,57,jf6hwC,False,False,False,0,Naive,Naive,Naive,287,Unknown,Unknown,1
11,71,jf6hwC,False,False,False,0,Naive,Naive,Naive,427,Unknown,Unknown,1
12,50,jf6hwC,False,False,False,0,Naive,Naive,Naive,404,Unknown,Unknown,2
13,32,jf6hwC,False,False,False,0,Naive,Naive,Naive,56,Unknown,Unknown,1
14,67,jf6hwC,False,False,False,0,Naive,Naive,Naive,355,Unknown,Unknown,2
15,78,jf6hwC,False,False,False,0,Naive,Naive,Naive,93,Unknown,Unknown,2
16,44,jf6hwC,False,False,False,0,Naive,Naive,Naive,193,Unknown,Unknown,2
17,73,jf6hwC,False,False,False,0,Naive,Naive,Naive,195,Unknown,Unknown,2
18,91,jf6hwC,False,False,False,0,Naive,Naive,Naive,356,Unknown,Unknown,1
19,96,jf6hwC,False,False,False,0,Naive,Naive,Naive,402,Unknown,Unknown,1
20,33,jf6hwC,False,False,False,0,Naive,Naive,Naive,416,Unknown,Unknown,1
21,6,jf6hwC,False,False,False,0,Naive,Naive,Naive,281,Unknown,Unknown,2
22,48,jf6hwC,False,False,False,0,Naive,Naive,Naive,432,Unknown,Unknown,2
23,23,jf6hwC,False,False,False,0,Naive,Naive,Naive,398,Unknown,Unknown,2
