,source,target
0,47.0,48.0
0,80.0,78.0
0,97.0,95.0
0,22.0,64.0
0,37.0,5.0
0,9.0,76.0
0,49.0,42.0
0,23.0,25.0
0,96.0,73.0
0,78.0,41.0
0,90.0,50.0
0,97.0,59.0
0,34.0,60.0
0,29.0,87.0
0,50.0,79.0
0,67.0,56.0
0,100.0,18.0
0,71.0,93.0
0,53.0,95.0
0,34.0,76.0
0,14.0,68.0
0,5.0,37.0
0,35.0,33.0
0,78.0,80.0
0,26.0,77.0
0,40.0,49.0
0,102.0,93.0
0,12.0,78.0
0,11.0,89.0
0,92.0,11.0
0,3.0,74.0
0,94.0,53.0
0,81.0,31.0
0,59.0,103.0
0,78.0,41.0
0,39.0,91.0
0,12.0,79.0
0,73.0,96.0
0,95.0,94.0
0,97.0,85.0
0,76.0,102.0
0,26.0,18.0
0,87.0,40.0
0,105.0,2.0
0,65.0,23.0
0,99.0,59.0
0,29.0,24.0
0,76.0,102.0
0,94.0,97.0
0,99.0,103.0
0,79.0,105.0
0,77.0,106.0
0,91.0,3.0
0,100.0,6.0
0,104.0,87.0
0,41.0,78.0
0,85.0,53.0
0,40.0,92.0
0,104.0,49.0
0,89.0,19.0
0,90.0,12.0
0,105.0,50.0
0,34.0,60.0
0,92.0,29.0
0,93.0,107.0
0,33.0,35.0
0,99.0,108.0
0,24.0,29.0
0,95.0,53.0
0,65.0,25.0
0,107.0,9.0
0,51.0,43.0
0,80.0,111.0
0,3.0,91.0
0,56.0,32.0
0,111.0,41.0
0,59.0,103.0
0,18.0,109.0
0,5.0,101.0
0,39.0,7.0
0,109.0,6.0
0,79.0,105.0
0,104.0,40.0
0,85.0,95.0
0,66.0,96.0
0,7.0,89.0
0,93.0,107.0
0,77.0,106.0
0,84.0,14.0
0,64.0,75.0
0,49.0,104.0
0,50.0,79.0
0,19.0,92.0
0,53.0,85.0
0,24.0,99.0
0,95.0,53.0
0,104.0,114.0
0,60.0,93.0
0,93.0,107.0
0,18.0,109.0
0,73.0,66.0
0,59.0,24.0
0,76.0,102.0
0,111.0,80.0
0,79.0,105.0
0,25.0,65.0
0,29.0,40.0
0,116.0,97.0
0,41.0,78.0
0,56.0,67.0
0,41.0,71.0
0,103.0,108.0
0,78.0,111.0
0,95.0,113.0
0,50.0,105.0
0,92.0,19.0
0,40.0,49.0
0,12.0,2.0
0,95.0,97.0
0,107.0,60.0
0,8.0,39.0
0,26.0,100.0
0,115.0,42.0
0,80.0,30.0
0,29.0,114.0
0,25.0,64.0
0,116.0,95.0
0,73.0,96.0
