,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,27,kv1fjo,False,False,False,0,Naive,Naive,Naive,435,Unknown,Unknown,2
1,97,kv1fjo,False,False,False,0,Naive,Naive,Naive,327,Unknown,Unknown,1
2,51,kv1fjo,False,False,False,0,Naive,Naive,Naive,476,Unknown,Unknown,1
3,50,kv1fjo,False,False,False,0,Naive,Naive,Naive,155,Unknown,Unknown,2
4,64,kv1fjo,False,False,False,0,Naive,Naive,Naive,492,Unknown,Unknown,2
5,56,kv1fjo,False,False,False,0,Naive,Naive,Naive,336,Unknown,Unknown,2
6,41,kv1fjo,False,False,False,0,Naive,Naive,Naive,394,Unknown,Unknown,1
7,29,kv1fjo,False,False,False,0,Naive,Naive,Naive,241,Unknown,Unknown,1
8,72,kv1fjo,False,False,False,0,Naive,Naive,Naive,369,Unknown,Unknown,1
9,5,kv1fjo,False,False,False,0,Naive,Naive,Naive,127,Unknown,Unknown,2
10,104,kv1fjo,False,False,False,0,Naive,Naive,Naive,4,39,False,2
11,88,kv1fjo,False,False,False,0,Naive,Naive,Naive,202,Unknown,Unknown,2
12,57,kv1fjo,False,False,False,0,Naive,Naive,Naive,286,Unknown,Unknown,2
13,65,kv1fjo,False,False,False,0,Naive,Naive,Naive,503,Unknown,Unknown,1
14,23,kv1fjo,False,False,False,0,Naive,Naive,Naive,292,Unknown,Unknown,2
15,79,kv1fjo,False,False,False,0,Naive,Naive,Naive,244,Unknown,Unknown,2
16,21,kv1fjo,False,False,False,0,Naive,Naive,Naive,167,Unknown,Unknown,1
17,26,kv1fjo,False,False,False,0,Naive,Naive,Naive,389,Unknown,Unknown,2
18,53,kv1fjo,False,False,False,0,Naive,Naive,Naive,314,Unknown,Unknown,1
19,12,kv1fjo,False,False,False,0,Naive,Naive,Naive,422,Unknown,Unknown,2
20,22,kv1fjo,False,False,False,0,Naive,Naive,Naive,430,Unknown,Unknown,1
21,39,kv1fjo,False,False,False,0,Naive,Naive,Naive,354,Unknown,Unknown,2
22,52,kv1fjo,False,False,False,0,Naive,Naive,Naive,444,Unknown,Unknown,2
23,55,kv1fjo,False,False,False,1,Naive,Naive,Naive,148,Unknown,Unknown,2
24,8,kv1fjo,False,False,False,0,Naive,Naive,Naive,238,Unknown,Unknown,1
25,90,kv1fjo,False,False,False,0,Naive,Naive,Naive,369,Unknown,Unknown,2
26,47,kv1fjo,False,False,False,0,Naive,Naive,Naive,181,Unknown,Unknown,1
27,92,kv1fjo,False,False,False,0,Naive,Naive,Naive,512,Unknown,Unknown,1
28,68,kv1fjo,False,False,False,0,Naive,Naive,Naive,247,Unknown,Unknown,1
29,40,kv1fjo,False,False,False,0,Naive,Naive,Naive,389,Unknown,Unknown,2
30,20,kv1fjo,False,False,False,0,Naive,Naive,Naive,269,Unknown,Unknown,2
31,77,kv1fjo,False,False,False,0,Naive,Naive,Naive,447,Unknown,Unknown,1
32,83,kv1fjo,False,False,False,0,Naive,Naive,Naive,201,Unknown,Unknown,1
33,4,kv1fjo,False,False,False,0,Naive,Naive,Naive,357,Unknown,Unknown,1
34,45,kv1fjo,False,False,False,0,Naive,Naive,Naive,494,Unknown,Unknown,1
35,35,kv1fjo,False,False,False,0,Naive,Naive,Naive,211,Unknown,Unknown,1
36,76,kv1fjo,False,False,False,0,Naive,Naive,Naive,358,Unknown,Unknown,2
37,49,kv1fjo,False,False,False,0,Naive,Naive,Naive,292,Unknown,Unknown,1
38,81,kv1fjo,False,False,False,0,Naive,Naive,Naive,375,Unknown,Unknown,2
39,78,kv1fjo,False,False,False,0,Naive,Naive,Naive,437,Unknown,Unknown,1
40,33,kv1fjo,False,False,False,0,Naive,Naive,Naive,279,Unknown,Unknown,2
41,67,kv1fjo,False,False,False,1,Naive,Naive,Naive,172,Unknown,Unknown,1
42,62,kv1fjo,False,False,False,0,Naive,Naive,Naive,471,Unknown,Unknown,1
43,84,kv1fjo,False,False,False,0,Naive,Naive,Naive,348,Unknown,Unknown,1
44,1,kv1fjo,False,False,False,0,Naive,Naive,Naive,503,Unknown,Unknown,2
45,9,kv1fjo,False,False,False,0,Naive,Naive,Naive,464,Unknown,Unknown,2
46,61,kv1fjo,False,False,False,0,Naive,Naive,Naive,156,Unknown,Unknown,2
47,93,kv1fjo,False,False,False,0,Naive,Naive,Naive,359,Unknown,Unknown,1
48,38,kv1fjo,False,False,False,0,Naive,Naive,Naive,501,Unknown,Unknown,1
49,43,kv1fjo,False,False,False,0,Naive,Naive,Naive,331,Unknown,Unknown,1
50,17,kv1fjo,False,False,False,0,Naive,Naive,Naive,232,Unknown,Unknown,1
51,91,kv1fjo,False,False,False,0,Naive,Naive,Naive,367,Unknown,Unknown,1
52,28,kv1fjo,False,False,False,0,Naive,Naive,Naive,72,Unknown,Unknown,2
53,3,kv1fjo,False,False,False,0,Naive,Naive,Naive,114,Unknown,Unknown,2
54,14,kv1fjo,False,False,False,0,Naive,Naive,Naive,264,Unknown,Unknown,1
55,96,kv1fjo,False,False,False,0,Naive,Naive,Naive,210,Unknown,Unknown,1
56,2,kv1fjo,False,False,False,0,Naive,Naive,Naive,400,Unknown,Unknown,1
57,94,kv1fjo,False,False,False,0,Naive,Naive,Naive,477,Unknown,Unknown,1
58,71,kv1fjo,False,False,False,0,Naive,Naive,Naive,505,Unknown,Unknown,2
59,54,kv1fjo,False,False,False,0,Naive,Naive,Naive,124,Unknown,Unknown,1
60,32,kv1fjo,False,False,False,0,Naive,Naive,Naive,187,Unknown,Unknown,2
61,13,kv1fjo,False,False,False,0,Naive,Naive,Naive,305,Unknown,Unknown,2
62,19,kv1fjo,False,False,False,0,Naive,Naive,Naive,416,Unknown,Unknown,1
63,153,kv1fjo,False,False,False,0,Naive,Naive,Naive,16,103,False,2
64,15,kv1fjo,False,False,False,0,Naive,Naive,Naive,210,Unknown,Unknown,2
65,98,kv1fjo,False,False,False,0,Naive,Naive,Naive,234,Unknown,Unknown,1
66,73,kv1fjo,False,False,False,0,Naive,Naive,Naive,77,Unknown,Unknown,1
67,18,kv1fjo,False,False,False,0,Naive,Naive,Naive,315,Unknown,Unknown,2
68,59,kv1fjo,False,False,False,0,Naive,Naive,Naive,202,Unknown,Unknown,2
69,87,kv1fjo,False,False,False,0,Naive,Naive,Naive,359,Unknown,Unknown,1
70,16,kv1fjo,False,False,False,0,Naive,Naive,Naive,537,Unknown,Unknown,2
71,48,kv1fjo,False,False,False,0,Naive,Naive,Naive,386,Unknown,Unknown,2
72,60,kv1fjo,False,False,False,0,Naive,Naive,Naive,425,Unknown,Unknown,2
73,123,kv1fjo,False,False,False,0,Naive,Naive,Naive,42,74,False,2
74,118,kv1fjo,False,False,False,0,Naive,Naive,Naive,46,113,False,2
75,95,kv1fjo,False,False,False,0,Naive,Naive,Naive,467,Unknown,Unknown,2
76,63,kv1fjo,False,False,False,0,Naive,Naive,Naive,296,Unknown,Unknown,2
77,82,kv1fjo,False,False,False,0,Naive,Naive,Naive,444,Unknown,Unknown,1
78,80,kv1fjo,False,False,False,0,Naive,Naive,Naive,256,Unknown,Unknown,2
79,101,kv1fjo,False,False,False,2,Naive,Naive,Naive,61,58,False,1
80,75,kv1fjo,False,False,False,0,Naive,Naive,Naive,111,Unknown,Unknown,2
81,148,kv1fjo,False,False,False,0,Naive,Naive,Naive,41,131,False,2
82,175,kv1fjo,False,False,False,0,Naive,Naive,Naive,14,37,False,2
83,134,kv1fjo,False,False,False,0,Naive,Naive,Naive,55,109,False,1
84,106,kv1fjo,False,False,False,0,Naive,Naive,Naive,68,33,False,2
85,86,kv1fjo,False,False,False,0,Naive,Naive,Naive,309,Unknown,Unknown,1
86,168,kv1fjo,False,False,False,3,Naive,Naive,Naive,26,122,False,1
87,135,kv1fjo,False,False,False,0,Naive,Naive,Naive,58,106,False,2
88,161,kv1fjo,False,False,False,0,Naive,Naive,Naive,42,115,False,2
89,120,kv1fjo,False,False,False,0,Naive,Naive,Naive,67,63,False,1
90,115,kv1fjo,False,False,False,0,Naive,Naive,Naive,68,18,False,2
91,125,kv1fjo,False,False,False,0,Naive,Naive,Naive,69,112,False,1
92,66,kv1fjo,False,False,False,0,Naive,Naive,Naive,261,Unknown,Unknown,2
93,99,kv1fjo,False,False,False,3,Naive,Naive,Naive,92,Unknown,Unknown,1
94,44,kv1fjo,False,False,False,0,Naive,Naive,Naive,291,Unknown,Unknown,2
95,162,kv1fjo,False,False,False,0,Naive,Naive,Naive,47,82,False,1
96,128,kv1fjo,False,False,False,2,Naive,Naive,Naive,70,24,False,1
97,177,kv1fjo,False,False,False,0,Naive,Naive,Naive,26,159,False,2
98,36,kv1fjo,False,False,False,0,Naive,Naive,Naive,295,Unknown,Unknown,2
99,37,kv1fjo,False,False,False,0,Naive,Naive,Naive,335,Unknown,Unknown,1
100,46,kv1fjo,False,False,False,0,Naive,Naive,Naive,221,Unknown,Unknown,2
101,31,kv1fjo,False,False,False,0,Naive,Naive,Naive,118,Unknown,Unknown,1
102,25,kv1fjo,False,False,False,0,Naive,Naive,Naive,345,Unknown,Unknown,2
103,42,kv1fjo,False,False,False,1,Naive,Naive,Naive,257,Unknown,Unknown,2
104,150,kv1fjo,False,False,False,1,Naive,Naive,Naive,69,125,False,1
105,74,kv1fjo,False,False,False,0,Naive,Naive,Naive,96,Unknown,Unknown,2
106,143,kv1fjo,False,False,False,4,Naive,Naive,Naive,79,107,False,2
107,133,kv1fjo,False,False,False,0,Naive,Naive,Naive,85,75,False,1
108,30,kv1fjo,False,False,False,0,Naive,Naive,Naive,241,Unknown,Unknown,2
109,7,kv1fjo,False,False,False,0,Naive,Naive,Naive,119,Unknown,Unknown,1
110,170,kv1fjo,False,False,False,1,Naive,Naive,Naive,55,162,False,1
111,85,kv1fjo,False,False,False,1,Naive,Naive,Naive,123,Unknown,Unknown,2
112,158,kv1fjo,False,False,False,2,Naive,Naive,Naive,71,148,False,2
113,160,kv1fjo,False,False,False,1,Naive,Naive,Naive,74,107,False,2
114,137,kv1fjo,False,False,False,0,Naive,Naive,Naive,90,46,False,2
115,197,kv1fjo,False,False,False,0,Naive,Naive,Naive,23,184,False,1
116,34,kv1fjo,False,False,False,0,Naive,Naive,Naive,376,Unknown,Unknown,1
117,110,kv1fjo,False,False,False,0,Naive,Naive,Naive,105,20,False,2
118,149,kv1fjo,False,False,False,0,Naive,Naive,Naive,86,120,False,1
119,185,kv1fjo,False,False,False,1,Naive,Naive,Naive,40,105,False,2
120,165,kv1fjo,False,False,False,0,Naive,Naive,Naive,66,113,False,2
121,171,kv1fjo,False,False,False,0,Naive,Naive,Naive,61,164,False,2
122,194,kv1fjo,False,False,False,0,Naive,Naive,Naive,30,114,False,2
123,138,kv1fjo,False,False,False,0,Naive,Naive,Naive,96,124,False,2
124,176,kv1fjo,False,False,False,0,Naive,Naive,Naive,57,161,False,2
125,132,kv1fjo,False,True,True,3,94,108,social,98,116,False,1
126,124,kv1fjo,False,False,False,0,Naive,Naive,Naive,103,44,False,2
127,103,kv1fjo,False,False,False,2,Naive,Naive,Naive,113,59,False,2
128,100,kv1fjo,False,True,True,7,Naive,Naive,Naive,116,Unknown,Unknown,2
129,206,kv1fjo,False,False,False,4,Naive,Naive,Naive,22,195,False,2
130,24,kv1fjo,False,True,True,5,118,68,social,167,Unknown,Unknown,1
131,145,kv1fjo,False,False,False,0,Naive,Naive,Naive,97,144,False,2
132,223,kv1fjo,False,False,False,0,Naive,Naive,Naive,7,212,False,2
133,157,kv1fjo,False,False,False,0,Naive,Naive,Naive,93,155,False,1
134,173,kv1fjo,False,False,False,0,Naive,Naive,Naive,76,158,False,2
135,214,kv1fjo,False,False,False,5,Naive,Naive,Naive,21,190,True,2
136,167,kv1fjo,False,False,False,2,Naive,Naive,Naive,84,160,False,2
137,131,kv1fjo,False,True,True,4,83,97,social,115,123,False,2
138,58,kv1fjo,False,True,True,7,273,52,social,351,Unknown,Unknown,1
139,182,kv1fjo,False,False,False,0,Naive,Naive,Naive,68,126,False,1
140,235,kv1fjo,False,False,False,0,Naive,Naive,Naive,8,70,False,2
141,119,kv1fjo,False,False,False,0,Naive,Naive,Naive,127,12,False,2
142,107,kv1fjo,False,False,False,0,Naive,Naive,Naive,134,79,False,2
143,136,kv1fjo,False,True,True,8,50,65,social,122,24,False,1
144,166,kv1fjo,False,False,False,1,Naive,Naive,Naive,94,162,False,1
145,188,kv1fjo,False,False,False,0,Naive,Naive,Naive,68,180,False,2
146,186,kv1fjo,False,False,False,0,Naive,Naive,Naive,70,156,False,1
147,163,kv1fjo,False,False,False,0,Naive,Naive,Naive,106,138,False,2
148,147,kv1fjo,False,True,True,19,33,54,social,122,100,True,1
149,159,kv1fjo,False,False,False,0,Naive,Naive,Naive,114,113,False,2
150,113,kv1fjo,False,False,False,1,Naive,Naive,Naive,141,106,False,2
151,139,kv1fjo,False,False,False,0,Naive,Naive,Naive,132,103,False,2
152,6,kv1fjo,False,False,False,0,Naive,Naive,Naive,247,Unknown,Unknown,1
153,10,kv1fjo,False,False,False,0,Naive,Naive,Naive,174,Unknown,Unknown,2
154,193,kv1fjo,False,True,True,5,50,131,social,71,179,False,1
155,109,kv1fjo,False,False,False,0,Naive,Naive,Naive,151,49,False,1
156,236,kv1fjo,False,False,False,0,Naive,Naive,Naive,31,163,False,2
157,228,kv1fjo,False,True,True,12,35,149,social,44,190,True,2
158,208,kv1fjo,False,True,True,3,50,149,social,59,69,False,1
159,221,kv1fjo,False,False,False,1,Naive,Naive,Naive,50,218,False,2
160,183,kv1fjo,False,False,False,0,Naive,Naive,Naive,97,106,False,2
161,218,kv1fjo,False,True,True,6,26,135,social,55,210,False,2
162,251,kv1fjo,False,False,False,0,Naive,Naive,Naive,19,213,False,1
163,190,kv1fjo,False,True,True,22,27,101,social,95,100,True,2
164,140,kv1fjo,False,False,False,2,Naive,Naive,Naive,151,1,False,1
165,219,kv1fjo,False,True,True,5,40,149,social,60,195,False,2
166,216,kv1fjo,False,False,False,2,Naive,Naive,Naive,63,194,False,2
167,102,kv1fjo,False,True,True,7,164,165,social,170,67,False,1
168,180,kv1fjo,False,False,False,0,Naive,Naive,Naive,110,111,False,2
169,146,kv1fjo,False,True,True,6,139,160,social,152,105,False,2
170,116,kv1fjo,False,False,False,0,Naive,Naive,Naive,168,61,False,1
171,250,kv1fjo,False,False,False,3,Naive,Naive,Naive,30,227,False,2
172,70,kv1fjo,False,False,False,0,Naive,Naive,Naive,366,Unknown,Unknown,2
173,121,kv1fjo,False,False,False,1,Naive,Naive,Naive,170,18,False,2
174,234,kv1fjo,False,True,True,10,42,166,social,56,166,False,1
175,130,kv1fjo,False,False,False,1,Naive,Naive,Naive,167,118,False,2
176,122,kv1fjo,False,True,True,10,104,112,social,174,24,False,1
177,249,kv1fjo,False,False,False,2,Naive,Naive,Naive,40,241,False,2
178,114,kv1fjo,False,False,False,2,Naive,Naive,Naive,177,105,False,2
179,69,kv1fjo,False,False,False,0,Naive,Naive,Naive,341,Unknown,Unknown,1
180,230,kv1fjo,False,False,False,2,Naive,Naive,Naive,71,198,False,1
181,141,kv1fjo,False,False,False,1,Naive,Naive,Naive,170,126,False,1
182,187,kv1fjo,False,False,False,0,Naive,Naive,Naive,119,144,False,2
183,142,kv1fjo,False,False,False,5,Naive,Naive,Naive,172,1,False,2
184,144,kv1fjo,False,False,False,2,Naive,Naive,Naive,173,46,False,2
185,156,kv1fjo,False,False,False,1,Naive,Naive,Naive,163,149,False,1
186,112,kv1fjo,False,True,True,12,131,136,social,190,54,False,1
187,105,kv1fjo,False,False,False,2,Naive,Naive,Naive,196,71,False,1
188,241,kv1fjo,False,False,False,2,Naive,Naive,Naive,67,229,False,2
189,152,kv1fjo,False,True,True,7,104,130,social,177,148,False,2
190,191,kv1fjo,False,False,False,4,Naive,Naive,Naive,130,31,False,2
191,195,kv1fjo,False,True,True,4,54,136,social,124,107,False,2
192,111,kv1fjo,False,False,False,3,Naive,Naive,Naive,201,35,False,2
193,189,kv1fjo,False,True,True,8,71,145,social,133,99,False,2
194,155,kv1fjo,False,True,True,11,76,105,social,178,114,False,1
195,178,kv1fjo,False,False,False,5,Naive,Naive,Naive,148,42,False,2
196,232,kv1fjo,False,False,False,2,Naive,Naive,Naive,94,205,False,1
197,129,kv1fjo,False,False,False,2,Naive,Naive,Naive,202,125,False,1
198,212,kv1fjo,False,True,True,9,102,203,social,114,206,False,1
199,192,kv1fjo,False,True,True,7,57,136,social,136,179,False,1
200,260,kv1fjo,False,True,True,13,40,200,social,56,112,True,1
201,172,kv1fjo,False,True,True,12,61,110,social,168,122,False,1
202,200,kv1fjo,False,False,False,6,Naive,Naive,Naive,132,179,False,1
203,213,kv1fjo,False,True,True,2,114,216,social,117,202,False,2
204,151,kv1fjo,False,True,True,11,53,77,social,195,107,False,1
205,203,kv1fjo,False,False,False,1,Naive,Naive,Naive,131,159,False,1
206,270,kv1fjo,False,True,True,12,44,217,social,47,155,True,1
207,196,kv1fjo,False,False,False,3,Naive,Naive,Naive,139,173,False,2
208,126,kv1fjo,False,True,True,16,149,159,social,214,116,False,2
209,217,kv1fjo,False,True,True,5,80,189,social,115,127,False,2
210,281,kv1fjo,False,False,False,0,Naive,Naive,Naive,39,213,False,1
211,11,kv1fjo,False,True,True,1,285,165,social,347,Unknown,Unknown,1
212,224,kv1fjo,False,True,True,6,100,212,social,118,70,False,2
213,257,kv1fjo,False,False,False,3,Naive,Naive,Naive,74,249,False,2
214,201,kv1fjo,False,True,True,6,145,231,social,146,157,False,1
215,280,kv1fjo,False,True,True,13,25,211,social,49,268,False,2
216,292,kv1fjo,False,False,False,7,Naive,Naive,Naive,29,151,True,1
217,199,kv1fjo,False,False,False,2,Naive,Naive,Naive,151,176,False,1
218,174,kv1fjo,False,True,True,18,39,90,social,187,154,False,2
219,108,kv1fjo,False,True,True,7,170,173,social,235,22,False,2
220,296,kv1fjo,False,False,False,9,Naive,Naive,Naive,29,217,True,1
221,295,kv1fjo,False,False,False,2,Naive,Naive,Naive,33,288,False,2
222,210,kv1fjo,False,False,False,2,Naive,Naive,Naive,140,195,False,2
223,202,kv1fjo,False,True,True,5,125,212,social,154,30,False,2
224,179,kv1fjo,False,True,True,11,172,233,social,181,170,False,1
225,247,kv1fjo,False,True,True,4,71,211,social,104,114,False,2
226,169,kv1fjo,False,True,True,8,147,193,social,201,161,False,2
227,275,kv1fjo,False,True,True,7,63,243,social,68,253,False,2
228,245,kv1fjo,False,False,False,4,Naive,Naive,Naive,113,241,False,2
229,225,kv1fjo,False,True,True,10,39,151,social,140,196,False,1
230,89,kv1fjo,True,True,True,8,243,220,social,275,Unknown,Unknown,1
231,117,kv1fjo,True,True,True,8,209,216,social,245,75,False,1
232,127,kv1fjo,True,True,True,3,202,213,social,241,121,False,2
233,154,kv1fjo,True,True,True,9,87,114,social,225,99,False,2
234,164,kv1fjo,True,True,True,14,89,132,social,209,42,False,2
235,181,kv1fjo,True,True,True,7,46,109,social,189,107,False,2
236,184,kv1fjo,True,True,True,21,70,139,social,183,179,False,1
237,198,kv1fjo,True,True,True,15,114,197,social,169,179,False,1
238,204,kv1fjo,True,True,True,7,151,241,social,162,89,False,1
239,205,kv1fjo,True,False,False,6,Naive,Naive,Naive,160,159,False,2
240,207,kv1fjo,True,True,True,5,130,229,social,153,203,False,1
241,209,kv1fjo,True,True,True,3,109,209,social,152,208,False,1
242,211,kv1fjo,True,True,True,11,114,215,social,151,85,False,2
243,215,kv1fjo,True,True,True,12,106,212,social,146,197,False,1
244,220,kv1fjo,True,False,False,4,Naive,Naive,Naive,143,198,False,1
245,222,kv1fjo,True,True,True,15,48,158,social,142,214,False,2
246,226,kv1fjo,True,True,True,6,56,168,social,140,195,False,2
247,227,kv1fjo,True,True,True,10,85,198,social,139,191,False,2
248,229,kv1fjo,True,True,True,7,118,234,social,136,227,False,2
249,231,kv1fjo,True,True,True,12,33,150,social,135,112,False,1
250,233,kv1fjo,True,True,True,7,117,235,social,134,227,False,2
251,237,kv1fjo,True,True,True,19,26,154,social,124,218,False,2
252,238,kv1fjo,True,True,True,10,58,187,social,123,136,True,1
253,239,kv1fjo,True,False,False,6,Naive,Naive,Naive,121,215,False,1
254,240,kv1fjo,True,True,True,6,31,162,social,121,208,False,1
255,242,kv1fjo,True,True,True,10,92,226,social,118,240,False,1
256,243,kv1fjo,True,True,True,11,110,247,social,115,178,False,2
257,244,kv1fjo,True,True,True,8,76,213,social,115,209,False,1
258,246,kv1fjo,True,True,True,6,102,242,social,112,130,False,2
259,248,kv1fjo,True,True,True,14,103,244,social,111,237,False,2
260,252,kv1fjo,True,True,True,21,25,174,social,103,152,True,2
261,253,kv1fjo,True,False,False,7,Naive,Naive,Naive,103,213,False,2
262,254,kv1fjo,True,False,False,5,Naive,Naive,Naive,102,245,False,2
263,255,kv1fjo,True,True,True,15,34,186,social,100,172,True,1
264,256,kv1fjo,True,True,True,8,36,190,social,98,227,False,2
265,258,kv1fjo,True,True,True,17,46,204,social,94,112,True,1
266,259,kv1fjo,True,True,True,14,76,234,social,94,231,True,1
267,261,kv1fjo,True,True,True,8,72,236,social,88,179,False,2
268,262,kv1fjo,True,False,False,7,Naive,Naive,Naive,88,121,False,1
269,263,kv1fjo,True,False,False,5,Naive,Naive,Naive,86,262,False,1
270,264,kv1fjo,True,True,True,16,25,194,social,83,252,False,2
271,265,kv1fjo,True,True,True,11,71,240,social,83,226,False,1
272,266,kv1fjo,True,True,True,6,51,220,social,83,248,False,2
273,267,kv1fjo,True,False,False,9,Naive,Naive,Naive,83,210,False,2
274,268,kv1fjo,True,True,True,19,35,206,social,81,252,False,2
275,269,kv1fjo,True,True,True,15,31,203,social,80,260,False,1
276,271,kv1fjo,True,False,False,4,Naive,Naive,Naive,77,169,False,2
277,272,kv1fjo,True,False,False,2,Naive,Naive,Naive,77,267,False,2
278,273,kv1fjo,True,False,False,7,Naive,Naive,Naive,75,169,False,2
279,274,kv1fjo,True,True,True,6,73,251,social,74,254,False,2
280,276,kv1fjo,True,True,True,19,38,218,social,72,252,True,2
281,277,kv1fjo,True,True,True,5,26,208,social,70,114,False,2
282,278,kv1fjo,True,True,True,17,35,218,social,69,155,True,1
283,279,kv1fjo,True,True,True,15,26,210,social,68,260,False,1
284,282,kv1fjo,True,False,False,2,Naive,Naive,Naive,64,191,False,1
285,283,kv1fjo,True,True,True,9,28,218,social,62,280,False,2
286,284,kv1fjo,True,True,True,9,49,240,social,61,89,False,1
287,285,kv1fjo,True,False,False,7,Naive,Naive,Naive,59,192,True,1
288,286,kv1fjo,True,True,True,10,58,251,social,59,280,False,2
289,287,kv1fjo,True,False,False,4,Naive,Naive,Naive,57,281,False,1
290,288,kv1fjo,True,False,False,5,Naive,Naive,Naive,55,273,False,2
291,289,kv1fjo,True,False,False,12,Naive,Naive,Naive,51,279,False,2
292,290,kv1fjo,True,False,False,5,Naive,Naive,Naive,49,233,False,2
293,291,kv1fjo,True,True,True,8,43,248,social,47,155,True,1
294,293,kv1fjo,True,False,False,9,Naive,Naive,Naive,46,217,True,2
295,294,kv1fjo,True,False,False,2,Naive,Naive,Naive,45,129,False,1
296,297,kv1fjo,True,False,False,3,Naive,Naive,Naive,40,270,False,1
297,298,kv1fjo,True,False,False,5,Naive,Naive,Naive,37,296,False,2
298,299,kv1fjo,True,False,False,5,Naive,Naive,Naive,37,286,False,2
299,300,kv1fjo,True,True,True,16,26,241,social,37,255,True,1
300,301,kv1fjo,True,False,False,5,Naive,Naive,Naive,36,288,False,2
301,302,kv1fjo,True,True,True,13,25,242,social,35,154,True,2
302,303,kv1fjo,True,False,False,9,Naive,Naive,Naive,35,181,True,2
303,304,kv1fjo,True,False,False,3,Naive,Naive,Naive,33,284,False,1
304,305,kv1fjo,True,False,False,4,Naive,Naive,Naive,33,302,False,2
305,306,kv1fjo,True,True,True,8,30,250,social,32,179,False,1
306,307,kv1fjo,True,False,False,1,Naive,Naive,Naive,32,253,False,2
307,308,kv1fjo,True,True,True,5,27,248,social,31,275,False,2
308,309,kv1fjo,True,False,False,0,Naive,Naive,Naive,28,285,False,2
309,310,kv1fjo,True,False,False,4,Naive,Naive,Naive,28,108,True,1
310,311,kv1fjo,True,False,False,10,Naive,Naive,Naive,26,277,True,2
311,312,kv1fjo,True,False,False,3,Naive,Naive,Naive,25,310,False,2
312,313,kv1fjo,True,False,False,7,Naive,Naive,Naive,22,295,False,2
313,314,kv1fjo,True,False,False,4,Naive,Naive,Naive,20,287,False,2
314,315,kv1fjo,True,False,False,9,Naive,Naive,Naive,20,264,True,2
315,316,kv1fjo,True,False,False,12,Naive,Naive,Naive,17,215,True,2
316,317,kv1fjo,True,False,False,4,Naive,Naive,Naive,17,315,False,2
317,318,kv1fjo,True,False,False,6,Naive,Naive,Naive,16,169,True,2
318,319,kv1fjo,True,False,False,9,Naive,Naive,Naive,14,198,True,1
