,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,54,lPSpHk,False,False,False,0,Naive,Naive,Naive,51,Unknown,Unknown,2
1,55,lPSpHk,False,False,False,0,Naive,Naive,Naive,392,Unknown,Unknown,2
2,50,lPSpHk,False,False,False,0,Naive,Naive,Naive,365,Unknown,Unknown,1
3,3,lPSpHk,False,False,False,0,Naive,Naive,Naive,214,Unknown,Unknown,2
4,36,lPSpHk,False,False,False,0,Naive,Naive,Naive,290,Unknown,Unknown,1
5,51,lPSpHk,False,False,False,0,Naive,Naive,Naive,291,Unknown,Unknown,1
6,24,lPSpHk,False,False,False,0,Naive,Naive,Naive,357,Unknown,Unknown,1
7,87,lPSpHk,False,False,False,0,Naive,Naive,Naive,417,Unknown,Unknown,1
8,52,lPSpHk,False,False,False,0,Naive,Naive,Naive,193,Unknown,Unknown,2
9,34,lPSpHk,False,False,False,0,Naive,Naive,Naive,419,Unknown,Unknown,1
10,46,lPSpHk,False,False,False,0,Naive,Naive,Naive,476,Unknown,Unknown,2
11,90,lPSpHk,False,False,False,0,Naive,Naive,Naive,481,Unknown,Unknown,2
12,5,lPSpHk,False,False,False,0,Naive,Naive,Naive,353,Unknown,Unknown,2
13,9,lPSpHk,False,False,False,0,Naive,Naive,Naive,354,Unknown,Unknown,2
14,82,lPSpHk,False,False,False,0,Naive,Naive,Naive,146,Unknown,Unknown,1
15,86,lPSpHk,False,False,False,0,Naive,Naive,Naive,498,Unknown,Unknown,1
16,94,lPSpHk,False,False,False,0,Naive,Naive,Naive,394,Unknown,Unknown,2
17,69,lPSpHk,False,False,False,0,Naive,Naive,Naive,239,Unknown,Unknown,2
18,92,lPSpHk,False,False,False,0,Naive,Naive,Naive,284,Unknown,Unknown,1
19,16,lPSpHk,False,False,False,0,Naive,Naive,Naive,338,Unknown,Unknown,2
20,59,lPSpHk,False,False,False,0,Naive,Naive,Naive,463,Unknown,Unknown,2
21,83,lPSpHk,False,False,False,0,Naive,Naive,Naive,166,Unknown,Unknown,2
22,23,lPSpHk,False,False,False,0,Naive,Naive,Naive,331,Unknown,Unknown,2
23,29,lPSpHk,False,False,False,0,Naive,Naive,Naive,466,Unknown,Unknown,1
24,13,lPSpHk,False,False,False,0,Naive,Naive,Naive,107,Unknown,Unknown,2
25,65,lPSpHk,False,False,False,0,Naive,Naive,Naive,497,Unknown,Unknown,1
26,18,lPSpHk,False,False,False,0,Naive,Naive,Naive,276,Unknown,Unknown,1
27,7,lPSpHk,False,False,False,0,Naive,Naive,Naive,265,Unknown,Unknown,1
28,68,lPSpHk,False,False,False,0,Naive,Naive,Naive,185,Unknown,Unknown,2
29,78,lPSpHk,False,False,False,0,Naive,Naive,Naive,102,Unknown,Unknown,1
30,10,lPSpHk,False,False,False,0,Naive,Naive,Naive,451,Unknown,Unknown,2
31,98,lPSpHk,False,False,False,0,Naive,Naive,Naive,492,Unknown,Unknown,1
32,41,lPSpHk,False,False,False,0,Naive,Naive,Naive,33,Unknown,Unknown,2
33,35,lPSpHk,False,False,False,0,Naive,Naive,Naive,151,Unknown,Unknown,2
34,43,lPSpHk,False,False,False,0,Naive,Naive,Naive,467,Unknown,Unknown,2
35,11,lPSpHk,False,False,False,0,Naive,Naive,Naive,228,Unknown,Unknown,2
36,67,lPSpHk,False,False,False,0,Naive,Naive,Naive,366,Unknown,Unknown,1
37,47,lPSpHk,False,False,False,0,Naive,Naive,Naive,353,Unknown,Unknown,2
38,12,lPSpHk,False,False,False,1,Naive,Naive,Naive,432,Unknown,Unknown,1
39,88,lPSpHk,False,False,False,0,Naive,Naive,Naive,392,Unknown,Unknown,1
40,75,lPSpHk,False,False,False,0,Naive,Naive,Naive,509,Unknown,Unknown,2
41,64,lPSpHk,False,False,False,0,Naive,Naive,Naive,207,Unknown,Unknown,1
42,56,lPSpHk,False,False,False,0,Naive,Naive,Naive,152,Unknown,Unknown,2
43,72,lPSpHk,False,False,False,0,Naive,Naive,Naive,335,Unknown,Unknown,1
44,66,lPSpHk,False,False,False,0,Naive,Naive,Naive,425,Unknown,Unknown,2
45,96,lPSpHk,False,False,False,0,Naive,Naive,Naive,86,Unknown,Unknown,2
46,49,lPSpHk,False,False,False,0,Naive,Naive,Naive,179,Unknown,Unknown,1
47,38,lPSpHk,False,False,False,0,Naive,Naive,Naive,306,Unknown,Unknown,2
48,15,lPSpHk,False,False,False,0,Naive,Naive,Naive,182,Unknown,Unknown,2
49,45,lPSpHk,False,False,False,0,Naive,Naive,Naive,450,Unknown,Unknown,1
50,79,lPSpHk,False,False,False,0,Naive,Naive,Naive,519,Unknown,Unknown,2
51,53,lPSpHk,False,False,False,0,Naive,Naive,Naive,89,Unknown,Unknown,2
52,111,lPSpHk,False,False,False,1,Naive,Naive,Naive,31,105,False,2
53,40,lPSpHk,False,False,False,0,Naive,Naive,Naive,500,Unknown,Unknown,1
54,28,lPSpHk,False,False,False,0,Naive,Naive,Naive,132,Unknown,Unknown,2
55,30,lPSpHk,False,False,False,0,Naive,Naive,Naive,293,Unknown,Unknown,1
56,73,lPSpHk,False,False,False,1,Naive,Naive,Naive,219,Unknown,Unknown,2
57,14,lPSpHk,False,False,False,0,Naive,Naive,Naive,117,Unknown,Unknown,2
58,44,lPSpHk,False,False,False,0,Naive,Naive,Naive,252,Unknown,Unknown,2
59,37,lPSpHk,False,False,False,0,Naive,Naive,Naive,321,Unknown,Unknown,2
60,95,lPSpHk,False,False,False,1,Naive,Naive,Naive,454,Unknown,Unknown,1
61,93,lPSpHk,False,False,False,0,Naive,Naive,Naive,407,Unknown,Unknown,1
62,110,lPSpHk,False,False,False,0,Naive,Naive,Naive,37,95,False,2
63,85,lPSpHk,False,False,False,0,Naive,Naive,Naive,159,Unknown,Unknown,2
64,31,lPSpHk,False,False,False,1,Naive,Naive,Naive,88,Unknown,Unknown,2
65,128,lPSpHk,False,False,False,0,Naive,Naive,Naive,31,114,False,1
66,63,lPSpHk,False,False,False,0,Naive,Naive,Naive,375,Unknown,Unknown,1
67,91,lPSpHk,False,False,False,0,Naive,Naive,Naive,377,Unknown,Unknown,2
68,32,lPSpHk,False,False,False,0,Naive,Naive,Naive,200,Unknown,Unknown,2
69,17,lPSpHk,False,False,False,1,Naive,Naive,Naive,469,Unknown,Unknown,2
70,80,lPSpHk,False,False,False,2,Naive,Naive,Naive,226,Unknown,Unknown,2
71,33,lPSpHk,False,False,False,0,Naive,Naive,Naive,244,Unknown,Unknown,1
72,100,lPSpHk,False,True,True,0,Naive,Naive,Naive,48,Unknown,Unknown,2
73,57,lPSpHk,False,False,False,0,Naive,Naive,Naive,209,Unknown,Unknown,1
74,1,lPSpHk,True,False,False,0,Naive,Naive,Naive,373,Unknown,Unknown,2
75,2,lPSpHk,True,False,False,0,Naive,Naive,Naive,314,Unknown,Unknown,2
76,4,lPSpHk,True,False,False,0,Naive,Naive,Naive,264,Unknown,Unknown,2
77,6,lPSpHk,True,False,False,0,Naive,Naive,Naive,257,Unknown,Unknown,2
78,8,lPSpHk,True,False,False,0,Naive,Naive,Naive,305,Unknown,Unknown,2
79,19,lPSpHk,True,False,False,0,Naive,Naive,Naive,68,Unknown,Unknown,1
80,20,lPSpHk,True,False,False,0,Naive,Naive,Naive,418,Unknown,Unknown,1
81,21,lPSpHk,True,False,False,0,Naive,Naive,Naive,455,Unknown,Unknown,1
82,22,lPSpHk,True,False,False,0,Naive,Naive,Naive,318,Unknown,Unknown,1
83,25,lPSpHk,True,False,False,0,Naive,Naive,Naive,326,Unknown,Unknown,1
84,26,lPSpHk,True,False,False,0,Naive,Naive,Naive,83,Unknown,Unknown,1
85,27,lPSpHk,True,False,False,0,Naive,Naive,Naive,379,Unknown,Unknown,2
86,39,lPSpHk,True,False,False,0,Naive,Naive,Naive,258,Unknown,Unknown,2
87,42,lPSpHk,True,False,False,0,Naive,Naive,Naive,541,Unknown,Unknown,1
88,48,lPSpHk,True,False,False,0,Naive,Naive,Naive,103,Unknown,Unknown,2
89,58,lPSpHk,True,False,False,0,Naive,Naive,Naive,124,Unknown,Unknown,1
90,60,lPSpHk,True,False,False,1,Naive,Naive,Naive,136,Unknown,Unknown,2
91,61,lPSpHk,True,False,False,0,Naive,Naive,Naive,219,Unknown,Unknown,1
92,62,lPSpHk,True,False,False,0,Naive,Naive,Naive,149,Unknown,Unknown,1
93,70,lPSpHk,True,False,False,0,Naive,Naive,Naive,163,Unknown,Unknown,2
94,71,lPSpHk,True,False,False,0,Naive,Naive,Naive,214,Unknown,Unknown,1
95,74,lPSpHk,True,False,False,0,Naive,Naive,Naive,296,Unknown,Unknown,1
96,76,lPSpHk,True,False,False,0,Naive,Naive,Naive,178,Unknown,Unknown,1
97,77,lPSpHk,True,False,False,0,Naive,Naive,Naive,333,Unknown,Unknown,2
98,81,lPSpHk,True,False,False,0,Naive,Naive,Naive,56,Unknown,Unknown,1
99,84,lPSpHk,True,False,False,0,Naive,Naive,Naive,53,Unknown,Unknown,1
100,89,lPSpHk,True,False,False,0,Naive,Naive,Naive,84,Unknown,Unknown,2
101,97,lPSpHk,True,False,False,0,Naive,Naive,Naive,309,Unknown,Unknown,2
102,99,lPSpHk,True,False,False,1,Naive,Naive,Naive,116,Unknown,Unknown,1
103,101,lPSpHk,True,False,False,2,Naive,Naive,Naive,48,99,False,2
104,102,lPSpHk,True,False,False,0,Naive,Naive,Naive,48,70,False,2
105,103,lPSpHk,True,False,False,0,Naive,Naive,Naive,47,89,False,2
106,104,lPSpHk,True,False,False,0,Naive,Naive,Naive,47,36,False,1
107,105,lPSpHk,True,False,False,0,Naive,Naive,Naive,46,13,False,2
108,106,lPSpHk,True,False,False,0,Naive,Naive,Naive,46,39,False,1
109,107,lPSpHk,True,False,False,0,Naive,Naive,Naive,46,35,False,2
110,108,lPSpHk,True,False,False,0,Naive,Naive,Naive,45,49,False,1
111,109,lPSpHk,True,False,False,0,Naive,Naive,Naive,45,81,False,1
112,112,lPSpHk,True,False,False,0,Naive,Naive,Naive,44,33,False,2
113,113,lPSpHk,True,False,False,0,Naive,Naive,Naive,44,105,False,2
114,114,lPSpHk,True,False,False,0,Naive,Naive,Naive,43,57,False,1
115,115,lPSpHk,True,False,False,1,Naive,Naive,Naive,43,79,False,1
116,116,lPSpHk,True,False,False,0,Naive,Naive,Naive,43,18,False,1
117,117,lPSpHk,True,False,False,0,Naive,Naive,Naive,43,107,False,2
118,118,lPSpHk,True,False,False,0,Naive,Naive,Naive,43,103,False,2
119,119,lPSpHk,True,False,False,0,Naive,Naive,Naive,43,109,False,1
120,120,lPSpHk,True,False,False,0,Naive,Naive,Naive,42,79,False,1
121,121,lPSpHk,True,False,False,0,Naive,Naive,Naive,42,113,False,2
122,122,lPSpHk,True,False,False,0,Naive,Naive,Naive,41,108,False,1
123,123,lPSpHk,True,False,False,0,Naive,Naive,Naive,41,110,False,1
124,124,lPSpHk,True,False,False,0,Naive,Naive,Naive,41,106,False,2
125,125,lPSpHk,True,False,False,0,Naive,Naive,Naive,39,18,False,2
126,126,lPSpHk,True,False,False,0,Naive,Naive,Naive,39,113,False,2
127,127,lPSpHk,True,False,False,0,Naive,Naive,Naive,37,124,False,2
128,129,lPSpHk,True,False,False,0,Naive,Naive,Naive,35,108,False,1
129,130,lPSpHk,True,False,False,0,Naive,Naive,Naive,35,2,False,2
130,131,lPSpHk,True,False,False,0,Naive,Naive,Naive,35,102,False,2
131,132,lPSpHk,True,False,False,0,Naive,Naive,Naive,35,115,False,1
132,133,lPSpHk,True,False,False,0,Naive,Naive,Naive,35,22,False,1
133,134,lPSpHk,True,False,False,0,Naive,Naive,Naive,35,107,False,2
134,135,lPSpHk,True,False,False,0,Naive,Naive,Naive,31,128,False,1
135,136,lPSpHk,True,False,False,0,Naive,Naive,Naive,31,117,False,2
136,137,lPSpHk,True,False,False,0,Naive,Naive,Naive,30,28,False,2
137,138,lPSpHk,True,False,False,0,Naive,Naive,Naive,28,56,False,1
