,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,13,mQPESv,False,False,False,0,Naive,Naive,Naive,263,Unknown,Unknown,1
1,79,mQPESv,False,False,False,0,Naive,Naive,Naive,364,Unknown,Unknown,2
2,58,mQPESv,False,False,False,0,Naive,Naive,Naive,458,Unknown,Unknown,2
3,87,mQPESv,False,False,False,0,Naive,Naive,Naive,471,Unknown,Unknown,1
4,32,mQPESv,False,False,False,0,Naive,Naive,Naive,398,Unknown,Unknown,2
5,34,mQPESv,False,False,False,0,Naive,Naive,Naive,285,Unknown,Unknown,2
6,46,mQPESv,False,False,False,0,Naive,Naive,Naive,256,Unknown,Unknown,2
7,84,mQPESv,False,False,False,0,Naive,Naive,Naive,482,Unknown,Unknown,2
8,35,mQPESv,False,False,False,0,Naive,Naive,Naive,335,Unknown,Unknown,2
9,88,mQPESv,False,False,False,0,Naive,Naive,Naive,302,Unknown,Unknown,1
10,60,mQPESv,False,False,False,0,Naive,Naive,Naive,228,Unknown,Unknown,2
11,5,mQPESv,False,False,False,0,Naive,Naive,Naive,417,Unknown,Unknown,2
12,74,mQPESv,False,False,False,0,Naive,Naive,Naive,187,Unknown,Unknown,1
13,27,mQPESv,False,False,False,0,Naive,Naive,Naive,108,Unknown,Unknown,2
14,42,mQPESv,False,False,False,0,Naive,Naive,Naive,232,Unknown,Unknown,2
15,89,mQPESv,False,False,False,0,Naive,Naive,Naive,171,Unknown,Unknown,2
16,9,mQPESv,False,False,False,0,Naive,Naive,Naive,495,Unknown,Unknown,1
17,26,mQPESv,False,False,False,0,Naive,Naive,Naive,488,Unknown,Unknown,1
18,38,mQPESv,False,False,False,0,Naive,Naive,Naive,344,Unknown,Unknown,2
19,31,mQPESv,False,False,False,0,Naive,Naive,Naive,456,Unknown,Unknown,1
20,15,mQPESv,False,False,False,0,Naive,Naive,Naive,51,Unknown,Unknown,2
21,86,mQPESv,False,False,False,0,Naive,Naive,Naive,498,Unknown,Unknown,1
22,10,mQPESv,False,False,False,0,Naive,Naive,Naive,151,Unknown,Unknown,2
23,56,mQPESv,False,False,False,0,Naive,Naive,Naive,333,Unknown,Unknown,1
24,20,mQPESv,False,False,False,0,Naive,Naive,Naive,386,Unknown,Unknown,1
25,36,mQPESv,False,False,False,0,Naive,Naive,Naive,303,Unknown,Unknown,1
26,28,mQPESv,False,False,False,0,Naive,Naive,Naive,446,Unknown,Unknown,1
27,43,mQPESv,False,False,False,0,Naive,Naive,Naive,356,Unknown,Unknown,2
28,57,mQPESv,False,False,False,0,Naive,Naive,Naive,412,Unknown,Unknown,1
29,82,mQPESv,False,False,False,0,Naive,Naive,Naive,147,Unknown,Unknown,1
30,65,mQPESv,False,False,False,0,Naive,Naive,Naive,419,Unknown,Unknown,2
31,21,mQPESv,False,False,False,0,Naive,Naive,Naive,327,Unknown,Unknown,1
32,71,mQPESv,False,False,False,0,Naive,Naive,Naive,443,Unknown,Unknown,2
33,62,mQPESv,False,False,False,0,Naive,Naive,Naive,242,Unknown,Unknown,2
34,77,mQPESv,False,False,False,0,Naive,Naive,Naive,478,Unknown,Unknown,2
35,41,mQPESv,False,False,False,0,Naive,Naive,Naive,240,Unknown,Unknown,2
36,67,mQPESv,False,False,False,0,Naive,Naive,Naive,311,Unknown,Unknown,1
37,72,mQPESv,False,False,False,0,Naive,Naive,Naive,229,Unknown,Unknown,1
38,18,mQPESv,False,False,False,0,Naive,Naive,Naive,497,Unknown,Unknown,2
39,61,mQPESv,False,False,False,0,Naive,Naive,Naive,258,Unknown,Unknown,2
40,50,mQPESv,False,False,False,0,Naive,Naive,Naive,389,Unknown,Unknown,2
41,68,mQPESv,False,False,False,0,Naive,Naive,Naive,372,Unknown,Unknown,2
42,69,mQPESv,False,False,False,0,Naive,Naive,Naive,163,Unknown,Unknown,1
43,98,mQPESv,False,False,False,0,Naive,Naive,Naive,122,Unknown,Unknown,1
44,48,mQPESv,False,False,False,0,Naive,Naive,Naive,80,Unknown,Unknown,1
45,11,mQPESv,False,False,False,0,Naive,Naive,Naive,460,Unknown,Unknown,1
46,103,mQPESv,False,False,False,0,Naive,Naive,Naive,24,87,False,2
47,19,mQPESv,False,False,False,0,Naive,Naive,Naive,83,Unknown,Unknown,1
48,76,mQPESv,False,False,False,0,Naive,Naive,Naive,121,Unknown,Unknown,1
49,97,mQPESv,False,False,False,0,Naive,Naive,Naive,416,Unknown,Unknown,1
50,92,mQPESv,False,False,False,0,Naive,Naive,Naive,89,Unknown,Unknown,2
51,8,mQPESv,False,False,False,0,Naive,Naive,Naive,374,Unknown,Unknown,1
52,80,mQPESv,False,False,False,0,Naive,Naive,Naive,423,Unknown,Unknown,1
53,81,mQPESv,False,False,False,0,Naive,Naive,Naive,360,Unknown,Unknown,1
54,16,mQPESv,False,False,False,0,Naive,Naive,Naive,144,Unknown,Unknown,1
55,25,mQPESv,False,False,False,0,Naive,Naive,Naive,400,Unknown,Unknown,1
56,23,mQPESv,False,False,False,1,Naive,Naive,Naive,292,Unknown,Unknown,2
57,102,mQPESv,False,False,False,0,Naive,Naive,Naive,40,95,False,1
58,120,mQPESv,False,False,False,0,Naive,Naive,Naive,34,106,False,1
59,90,mQPESv,False,False,False,0,Naive,Naive,Naive,261,Unknown,Unknown,1
60,83,mQPESv,False,False,False,0,Naive,Naive,Naive,234,Unknown,Unknown,1
61,107,mQPESv,False,False,False,0,Naive,Naive,Naive,42,98,False,1
62,33,mQPESv,False,False,False,0,Naive,Naive,Naive,390,Unknown,Unknown,2
63,37,mQPESv,False,False,False,0,Naive,Naive,Naive,435,Unknown,Unknown,2
64,94,mQPESv,False,False,False,0,Naive,Naive,Naive,215,Unknown,Unknown,1
65,39,mQPESv,False,False,False,0,Naive,Naive,Naive,67,Unknown,Unknown,2
66,6,mQPESv,False,False,False,0,Naive,Naive,Naive,543,Unknown,Unknown,2
67,93,mQPESv,False,False,False,0,Naive,Naive,Naive,283,Unknown,Unknown,1
68,1,mQPESv,False,False,False,0,Naive,Naive,Naive,440,Unknown,Unknown,2
69,45,mQPESv,False,False,False,0,Naive,Naive,Naive,394,Unknown,Unknown,1
70,14,mQPESv,False,False,False,2,Naive,Naive,Naive,500,Unknown,Unknown,1
71,131,mQPESv,False,False,False,0,Naive,Naive,Naive,39,11,False,1
72,113,mQPESv,False,False,False,0,Naive,Naive,Naive,50,26,False,1
73,66,mQPESv,False,False,False,0,Naive,Naive,Naive,87,Unknown,Unknown,1
74,12,mQPESv,False,False,False,0,Naive,Naive,Naive,88,Unknown,Unknown,2
75,116,mQPESv,False,False,False,0,Naive,Naive,Naive,52,97,False,1
