,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,24,ndifZP,False,False,False,0,Naive,Naive,Naive,466,Unknown,Unknown,2
1,29,ndifZP,False,False,False,0,Naive,Naive,Naive,241,Unknown,Unknown,1
2,85,ndifZP,False,False,False,0,Naive,Naive,Naive,410,Unknown,Unknown,1
3,49,ndifZP,False,False,False,0,Naive,Naive,Naive,312,Unknown,Unknown,2
4,15,ndifZP,False,False,False,0,Naive,Naive,Naive,500,Unknown,Unknown,2
5,94,ndifZP,False,False,False,0,Naive,Naive,Naive,382,Unknown,Unknown,1
6,22,ndifZP,False,False,False,0,Naive,Naive,Naive,243,Unknown,Unknown,1
7,56,ndifZP,False,False,False,0,Naive,Naive,Naive,462,Unknown,Unknown,1
8,95,ndifZP,False,False,False,0,Naive,Naive,Naive,157,Unknown,Unknown,2
9,89,ndifZP,False,False,False,0,Naive,Naive,Naive,445,Unknown,Unknown,2
10,30,ndifZP,False,False,False,0,Naive,Naive,Naive,280,Unknown,Unknown,2
11,72,ndifZP,False,False,False,0,Naive,Naive,Naive,287,Unknown,Unknown,2
12,58,ndifZP,False,False,False,0,Naive,Naive,Naive,131,Unknown,Unknown,1
13,92,ndifZP,False,False,False,0,Naive,Naive,Naive,430,Unknown,Unknown,2
14,54,ndifZP,False,False,False,0,Naive,Naive,Naive,409,Unknown,Unknown,2
15,71,ndifZP,False,False,False,0,Naive,Naive,Naive,258,Unknown,Unknown,1
16,57,ndifZP,False,False,False,0,Naive,Naive,Naive,400,Unknown,Unknown,2
17,43,ndifZP,False,False,False,0,Naive,Naive,Naive,292,Unknown,Unknown,2
18,60,ndifZP,False,False,False,0,Naive,Naive,Naive,274,Unknown,Unknown,2
19,82,ndifZP,False,False,False,0,Naive,Naive,Naive,360,Unknown,Unknown,2
20,84,ndifZP,False,False,False,0,Naive,Naive,Naive,297,Unknown,Unknown,2
21,1,ndifZP,False,False,False,0,Naive,Naive,Naive,445,Unknown,Unknown,2
22,50,ndifZP,False,False,False,0,Naive,Naive,Naive,403,Unknown,Unknown,1
23,78,ndifZP,False,False,False,0,Naive,Naive,Naive,327,Unknown,Unknown,2
24,53,ndifZP,False,False,False,0,Naive,Naive,Naive,413,Unknown,Unknown,1
25,2,ndifZP,False,False,False,0,Naive,Naive,Naive,254,Unknown,Unknown,2
26,52,ndifZP,False,False,False,0,Naive,Naive,Naive,213,Unknown,Unknown,2
27,3,ndifZP,False,False,False,0,Naive,Naive,Naive,368,Unknown,Unknown,2
28,59,ndifZP,False,False,False,0,Naive,Naive,Naive,342,Unknown,Unknown,1
29,47,ndifZP,False,False,False,0,Naive,Naive,Naive,376,Unknown,Unknown,1
30,11,ndifZP,False,False,False,0,Naive,Naive,Naive,448,Unknown,Unknown,1
31,9,ndifZP,False,False,False,0,Naive,Naive,Naive,173,Unknown,Unknown,1
32,75,ndifZP,False,False,False,1,Naive,Naive,Naive,387,Unknown,Unknown,2
33,32,ndifZP,False,False,False,0,Naive,Naive,Naive,448,Unknown,Unknown,1
34,51,ndifZP,False,False,False,0,Naive,Naive,Naive,254,Unknown,Unknown,2
35,37,ndifZP,False,False,False,0,Naive,Naive,Naive,489,Unknown,Unknown,1
36,64,ndifZP,False,False,False,0,Naive,Naive,Naive,354,Unknown,Unknown,1
37,14,ndifZP,False,False,False,0,Naive,Naive,Naive,326,Unknown,Unknown,2
38,62,ndifZP,False,False,False,0,Naive,Naive,Naive,116,Unknown,Unknown,2
39,61,ndifZP,False,False,False,0,Naive,Naive,Naive,470,Unknown,Unknown,1
40,91,ndifZP,False,False,False,0,Naive,Naive,Naive,421,Unknown,Unknown,1
41,96,ndifZP,False,False,False,0,Naive,Naive,Naive,173,Unknown,Unknown,1
42,19,ndifZP,False,False,False,0,Naive,Naive,Naive,428,Unknown,Unknown,1
43,45,ndifZP,False,False,False,0,Naive,Naive,Naive,395,Unknown,Unknown,2
44,44,ndifZP,False,False,False,0,Naive,Naive,Naive,297,Unknown,Unknown,1
45,40,ndifZP,False,False,False,0,Naive,Naive,Naive,157,Unknown,Unknown,2
46,33,ndifZP,False,False,False,0,Naive,Naive,Naive,282,Unknown,Unknown,2
47,6,ndifZP,False,False,False,0,Naive,Naive,Naive,415,Unknown,Unknown,1
48,63,ndifZP,False,False,False,0,Naive,Naive,Naive,453,Unknown,Unknown,2
49,27,ndifZP,False,False,False,0,Naive,Naive,Naive,463,Unknown,Unknown,2
50,17,ndifZP,False,False,False,0,Naive,Naive,Naive,394,Unknown,Unknown,2
51,18,ndifZP,False,False,False,0,Naive,Naive,Naive,313,Unknown,Unknown,1
52,83,ndifZP,False,False,False,1,Naive,Naive,Naive,497,Unknown,Unknown,1
53,28,ndifZP,False,False,False,1,Naive,Naive,Naive,168,Unknown,Unknown,2
54,119,ndifZP,False,False,False,0,Naive,Naive,Naive,20,107,False,2
55,97,ndifZP,False,False,False,0,Naive,Naive,Naive,278,Unknown,Unknown,2
56,117,ndifZP,False,False,False,0,Naive,Naive,Naive,22,110,False,2
57,16,ndifZP,False,False,False,0,Naive,Naive,Naive,309,Unknown,Unknown,2
58,55,ndifZP,False,False,False,0,Naive,Naive,Naive,427,Unknown,Unknown,2
59,146,ndifZP,False,False,False,0,Naive,Naive,Naive,15,139,False,2
60,80,ndifZP,False,False,False,0,Naive,Naive,Naive,153,Unknown,Unknown,1
61,86,ndifZP,False,False,False,0,Naive,Naive,Naive,376,Unknown,Unknown,1
62,143,ndifZP,False,False,False,0,Naive,Naive,Naive,21,119,False,2
63,35,ndifZP,False,False,False,0,Naive,Naive,Naive,479,Unknown,Unknown,2
64,25,ndifZP,False,False,False,0,Naive,Naive,Naive,452,Unknown,Unknown,2
65,129,ndifZP,False,False,False,0,Naive,Naive,Naive,31,118,False,1
66,87,ndifZP,False,False,False,0,Naive,Naive,Naive,158,Unknown,Unknown,1
67,12,ndifZP,False,False,False,0,Naive,Naive,Naive,166,Unknown,Unknown,2
68,69,ndifZP,False,False,False,0,Naive,Naive,Naive,392,Unknown,Unknown,2
69,10,ndifZP,False,False,False,0,Naive,Naive,Naive,415,Unknown,Unknown,2
70,20,ndifZP,False,False,False,0,Naive,Naive,Naive,107,Unknown,Unknown,2
71,21,ndifZP,False,False,False,0,Naive,Naive,Naive,157,Unknown,Unknown,2
72,76,ndifZP,False,False,False,0,Naive,Naive,Naive,205,Unknown,Unknown,1
73,38,ndifZP,False,False,False,0,Naive,Naive,Naive,94,Unknown,Unknown,2
74,105,ndifZP,False,False,False,4,Naive,Naive,Naive,49,61,False,2
75,90,ndifZP,False,False,False,0,Naive,Naive,Naive,103,Unknown,Unknown,2
76,161,ndifZP,False,False,False,0,Naive,Naive,Naive,15,127,False,2
77,77,ndifZP,False,False,False,0,Naive,Naive,Naive,369,Unknown,Unknown,2
78,13,ndifZP,False,False,False,0,Naive,Naive,Naive,163,Unknown,Unknown,1
79,36,ndifZP,False,False,False,0,Naive,Naive,Naive,525,Unknown,Unknown,2
80,42,ndifZP,False,False,False,0,Naive,Naive,Naive,133,Unknown,Unknown,2
81,67,ndifZP,False,False,False,0,Naive,Naive,Naive,308,Unknown,Unknown,2
82,99,ndifZP,False,False,False,0,Naive,Naive,Naive,504,Unknown,Unknown,1
83,111,ndifZP,False,False,False,0,Naive,Naive,Naive,55,2,False,2
84,93,ndifZP,False,False,False,1,Naive,Naive,Naive,300,Unknown,Unknown,2
85,149,ndifZP,False,False,False,0,Naive,Naive,Naive,36,143,False,2
86,73,ndifZP,False,False,False,0,Naive,Naive,Naive,145,Unknown,Unknown,2
87,4,ndifZP,False,False,False,4,Naive,Naive,Naive,374,Unknown,Unknown,2
88,153,ndifZP,False,False,False,0,Naive,Naive,Naive,42,7,False,2
