,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,59,pxm1rI,False,False,False,0,Naive,Naive,Naive,185,Unknown,Unknown,1
1,38,pxm1rI,False,False,False,0,Naive,Naive,Naive,412,Unknown,Unknown,2
2,10,pxm1rI,False,False,False,0,Naive,Naive,Naive,402,Unknown,Unknown,2
3,39,pxm1rI,False,False,False,0,Naive,Naive,Naive,336,Unknown,Unknown,2
4,1,pxm1rI,False,False,False,0,Naive,Naive,Naive,64,Unknown,Unknown,1
5,27,pxm1rI,False,False,False,0,Naive,Naive,Naive,486,Unknown,Unknown,2
6,80,pxm1rI,False,False,False,0,Naive,Naive,Naive,329,Unknown,Unknown,1
7,97,pxm1rI,False,False,False,0,Naive,Naive,Naive,69,Unknown,Unknown,2
8,93,pxm1rI,False,False,False,0,Naive,Naive,Naive,482,Unknown,Unknown,1
9,71,pxm1rI,False,False,False,0,Naive,Naive,Naive,342,Unknown,Unknown,1
10,91,pxm1rI,False,False,False,0,Naive,Naive,Naive,441,Unknown,Unknown,1
11,86,pxm1rI,False,False,False,0,Naive,Naive,Naive,313,Unknown,Unknown,1
12,51,pxm1rI,False,False,False,0,Naive,Naive,Naive,368,Unknown,Unknown,2
13,29,pxm1rI,False,False,False,0,Naive,Naive,Naive,254,Unknown,Unknown,1
14,5,pxm1rI,False,False,False,0,Naive,Naive,Naive,380,Unknown,Unknown,2
15,47,pxm1rI,False,False,False,0,Naive,Naive,Naive,466,Unknown,Unknown,1
16,6,pxm1rI,False,False,False,0,Naive,Naive,Naive,468,Unknown,Unknown,1
17,49,pxm1rI,False,False,False,0,Naive,Naive,Naive,407,Unknown,Unknown,2
18,9,pxm1rI,False,False,False,0,Naive,Naive,Naive,233,Unknown,Unknown,1
19,7,pxm1rI,False,False,False,0,Naive,Naive,Naive,158,Unknown,Unknown,2
20,90,pxm1rI,False,False,False,0,Naive,Naive,Naive,420,Unknown,Unknown,2
21,62,pxm1rI,False,False,False,0,Naive,Naive,Naive,372,Unknown,Unknown,1
22,44,pxm1rI,False,False,False,0,Naive,Naive,Naive,303,Unknown,Unknown,1
23,88,pxm1rI,False,False,False,0,Naive,Naive,Naive,453,Unknown,Unknown,2
24,3,pxm1rI,False,False,False,0,Naive,Naive,Naive,155,Unknown,Unknown,2
25,30,pxm1rI,False,False,False,0,Naive,Naive,Naive,380,Unknown,Unknown,2
26,28,pxm1rI,False,False,False,0,Naive,Naive,Naive,125,Unknown,Unknown,2
