,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,2,rdKZtU,False,False,False,0,Naive,Naive,Naive,350,Unknown,Unknown,2
1,16,rdKZtU,False,False,False,0,Naive,Naive,Naive,368,Unknown,Unknown,1
2,18,rdKZtU,False,False,False,0,Naive,Naive,Naive,431,Unknown,Unknown,2
3,21,rdKZtU,False,False,False,0,Naive,Naive,Naive,196,Unknown,Unknown,2
4,50,rdKZtU,False,False,False,0,Naive,Naive,Naive,219,Unknown,Unknown,1
5,49,rdKZtU,False,False,False,0,Naive,Naive,Naive,309,Unknown,Unknown,2
6,88,rdKZtU,False,False,False,0,Naive,Naive,Naive,269,Unknown,Unknown,2
7,38,rdKZtU,False,False,False,0,Naive,Naive,Naive,129,Unknown,Unknown,2
8,97,rdKZtU,False,False,False,0,Naive,Naive,Naive,450,Unknown,Unknown,2
9,24,rdKZtU,False,False,False,0,Naive,Naive,Naive,235,Unknown,Unknown,2
10,67,rdKZtU,False,False,False,0,Naive,Naive,Naive,367,Unknown,Unknown,2
11,83,rdKZtU,False,False,False,0,Naive,Naive,Naive,253,Unknown,Unknown,2
12,6,rdKZtU,False,False,False,0,Naive,Naive,Naive,325,Unknown,Unknown,1
13,28,rdKZtU,False,False,False,0,Naive,Naive,Naive,118,Unknown,Unknown,1
14,62,rdKZtU,False,False,False,0,Naive,Naive,Naive,447,Unknown,Unknown,1
15,12,rdKZtU,False,False,False,0,Naive,Naive,Naive,391,Unknown,Unknown,1
16,25,rdKZtU,False,False,False,0,Naive,Naive,Naive,377,Unknown,Unknown,1
17,39,rdKZtU,False,False,False,0,Naive,Naive,Naive,241,Unknown,Unknown,2
18,80,rdKZtU,False,False,False,0,Naive,Naive,Naive,485,Unknown,Unknown,1
19,43,rdKZtU,False,False,False,0,Naive,Naive,Naive,486,Unknown,Unknown,1
20,90,rdKZtU,False,False,False,0,Naive,Naive,Naive,232,Unknown,Unknown,2
21,27,rdKZtU,False,False,False,0,Naive,Naive,Naive,381,Unknown,Unknown,1
22,54,rdKZtU,False,False,False,0,Naive,Naive,Naive,468,Unknown,Unknown,2
23,26,rdKZtU,False,False,False,0,Naive,Naive,Naive,218,Unknown,Unknown,2
24,11,rdKZtU,False,False,False,0,Naive,Naive,Naive,370,Unknown,Unknown,2
25,29,rdKZtU,False,False,False,0,Naive,Naive,Naive,394,Unknown,Unknown,2
26,37,rdKZtU,False,False,False,0,Naive,Naive,Naive,308,Unknown,Unknown,1
27,99,rdKZtU,False,False,False,0,Naive,Naive,Naive,187,Unknown,Unknown,2
