,source,target
0,4.0,8.0
0,98.0,57.0
0,3.0,83.0
0,49.0,67.0
0,15.0,27.0
0,80.0,43.0
0,70.0,64.0
0,38.0,6.0
0,34.0,53.0
0,1.0,42.0
0,9.0,55.0
0,98.0,58.0
0,30.0,5.0
0,5.0,32.0
0,66.0,74.0
0,84.0,35.0
0,41.0,61.0
0,27.0,77.0
0,26.0,89.0
0,59.0,85.0
0,45.0,24.0
0,94.0,3.0
0,11.0,19.0
0,95.0,76.0
0,58.0,57.0
0,72.0,7.0
0,47.0,90.0
0,99.0,75.0
0,17.0,79.0
0,79.0,80.0
0,25.0,35.0
0,26.0,46.0
0,91.0,93.0
0,32.0,5.0
0,74.0,66.0
0,55.0,101.0
0,19.0,8.0
0,45.0,100.0
0,63.0,61.0
0,17.0,58.0
0,37.0,2.0
0,23.0,34.0
0,89.0,102.0
0,23.0,64.0
0,22.0,35.0
0,56.0,65.0
0,7.0,72.0
0,83.0,99.0
0,53.0,36.0
0,82.0,66.0
0,6.0,38.0
0,30.0,14.0
0,6.0,28.0
0,40.0,45.0
0,67.0,39.0
0,90.0,103.0
0,75.0,18.0
0,98.0,17.0
0,104.0,74.0
0,15.0,30.0
0,70.0,3.0
0,90.0,40.0
0,55.0,101.0
0,79.0,53.0
0,102.0,89.0
0,80.0,23.0
0,8.0,4.0
0,61.0,63.0
0,65.0,56.0
0,32.0,5.0
0,72.0,7.0
0,74.0,104.0
0,5.0,14.0
0,82.0,2.0
0,77.0,27.0
0,39.0,106.0
0,103.0,45.0
0,12.0,86.0
0,35.0,22.0
0,22.0,29.0
0,70.0,76.0
0,10.0,94.0
0,57.0,58.0
0,105.0,103.0
0,95.0,24.0
0,23.0,36.0
0,104.0,66.0
0,45.0,105.0
0,90.0,47.0
0,55.0,101.0
0,48.0,96.0
0,17.0,79.0
0,23.0,53.0
0,77.0,43.0
0,4.0,107.0
0,43.0,56.0
0,102.0,89.0
0,5.0,108.0
0,38.0,90.0
0,24.0,100.0
0,10.0,73.0
0,39.0,106.0
0,82.0,102.0
0,51.0,41.0
0,76.0,3.0
0,23.0,80.0
0,26.0,23.0
0,47.0,45.0
0,85.0,59.0
0,63.0,55.0
0,52.0,60.0
0,19.0,84.0
0,30.0,27.0
0,44.0,15.0
0,87.0,49.0
0,22.0,29.0
0,45.0,105.0
0,83.0,18.0
0,9.0,69.0
0,65.0,56.0
0,47.0,31.0
0,76.0,10.0
0,14.0,5.0
