,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,16,vBh0yo,False,False,False,0,Naive,Naive,Naive,165,Unknown,Unknown,1
1,53,vBh0yo,False,False,False,0,Naive,Naive,Naive,313,Unknown,Unknown,2
2,99,vBh0yo,False,False,False,0,Naive,Naive,Naive,233,Unknown,Unknown,1
3,13,vBh0yo,False,False,False,0,Naive,Naive,Naive,366,Unknown,Unknown,2
4,69,vBh0yo,False,False,False,0,Naive,Naive,Naive,155,Unknown,Unknown,2
5,87,vBh0yo,False,False,False,0,Naive,Naive,Naive,283,Unknown,Unknown,2
6,72,vBh0yo,False,False,False,0,Naive,Naive,Naive,472,Unknown,Unknown,2
7,31,vBh0yo,False,False,False,0,Naive,Naive,Naive,68,Unknown,Unknown,1
8,47,vBh0yo,False,False,False,0,Naive,Naive,Naive,175,Unknown,Unknown,1
9,14,vBh0yo,False,False,False,0,Naive,Naive,Naive,306,Unknown,Unknown,2
10,7,vBh0yo,False,False,False,0,Naive,Naive,Naive,300,Unknown,Unknown,1
11,57,vBh0yo,False,False,False,0,Naive,Naive,Naive,297,Unknown,Unknown,2
12,38,vBh0yo,False,False,False,0,Naive,Naive,Naive,427,Unknown,Unknown,1
13,52,vBh0yo,False,False,False,0,Naive,Naive,Naive,258,Unknown,Unknown,2
14,94,vBh0yo,False,False,False,0,Naive,Naive,Naive,430,Unknown,Unknown,1
15,55,vBh0yo,False,False,False,0,Naive,Naive,Naive,74,Unknown,Unknown,1
16,17,vBh0yo,False,False,False,0,Naive,Naive,Naive,474,Unknown,Unknown,2
17,32,vBh0yo,False,False,False,0,Naive,Naive,Naive,386,Unknown,Unknown,2
18,29,vBh0yo,False,False,False,0,Naive,Naive,Naive,303,Unknown,Unknown,1
19,9,vBh0yo,False,False,False,0,Naive,Naive,Naive,350,Unknown,Unknown,2
20,58,vBh0yo,False,False,False,0,Naive,Naive,Naive,172,Unknown,Unknown,2
21,74,vBh0yo,False,False,False,0,Naive,Naive,Naive,504,Unknown,Unknown,2
22,4,vBh0yo,False,False,False,0,Naive,Naive,Naive,421,Unknown,Unknown,2
23,91,vBh0yo,False,False,False,0,Naive,Naive,Naive,302,Unknown,Unknown,2
24,6,vBh0yo,False,False,False,0,Naive,Naive,Naive,116,Unknown,Unknown,2
25,68,vBh0yo,False,False,False,0,Naive,Naive,Naive,497,Unknown,Unknown,1
26,37,vBh0yo,False,False,False,0,Naive,Naive,Naive,209,Unknown,Unknown,1
27,1,vBh0yo,False,False,False,0,Naive,Naive,Naive,418,Unknown,Unknown,2
28,73,vBh0yo,False,False,False,0,Naive,Naive,Naive,379,Unknown,Unknown,1
29,92,vBh0yo,False,False,False,0,Naive,Naive,Naive,443,Unknown,Unknown,1
30,44,vBh0yo,False,False,False,0,Naive,Naive,Naive,475,Unknown,Unknown,2
31,36,vBh0yo,False,False,False,0,Naive,Naive,Naive,362,Unknown,Unknown,1
32,48,vBh0yo,False,False,False,0,Naive,Naive,Naive,486,Unknown,Unknown,2
33,33,vBh0yo,False,False,False,0,Naive,Naive,Naive,417,Unknown,Unknown,1
34,50,vBh0yo,False,False,False,0,Naive,Naive,Naive,361,Unknown,Unknown,2
35,11,vBh0yo,False,False,False,0,Naive,Naive,Naive,445,Unknown,Unknown,2
36,24,vBh0yo,False,False,False,0,Naive,Naive,Naive,458,Unknown,Unknown,2
37,80,vBh0yo,False,False,False,0,Naive,Naive,Naive,345,Unknown,Unknown,2
38,95,vBh0yo,False,False,False,0,Naive,Naive,Naive,451,Unknown,Unknown,1
39,88,vBh0yo,False,False,False,0,Naive,Naive,Naive,479,Unknown,Unknown,1
40,59,vBh0yo,False,False,False,0,Naive,Naive,Naive,272,Unknown,Unknown,1
41,42,vBh0yo,False,False,False,0,Naive,Naive,Naive,501,Unknown,Unknown,2
42,62,vBh0yo,False,False,False,0,Naive,Naive,Naive,421,Unknown,Unknown,1
43,65,vBh0yo,False,False,False,0,Naive,Naive,Naive,498,Unknown,Unknown,2
44,79,vBh0yo,False,False,False,0,Naive,Naive,Naive,392,Unknown,Unknown,1
45,121,vBh0yo,False,False,False,0,Naive,Naive,Naive,15,81,False,1
46,67,vBh0yo,False,False,False,0,Naive,Naive,Naive,459,Unknown,Unknown,2
47,98,vBh0yo,False,False,False,0,Naive,Naive,Naive,284,Unknown,Unknown,2
48,93,vBh0yo,False,False,False,1,Naive,Naive,Naive,489,Unknown,Unknown,1
49,63,vBh0yo,False,False,False,0,Naive,Naive,Naive,169,Unknown,Unknown,2
