,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,78,vJdZXj,False,False,False,0,Naive,Naive,Naive,467,Unknown,Unknown,1
1,77,vJdZXj,False,False,False,0,Naive,Naive,Naive,342,Unknown,Unknown,1
2,28,vJdZXj,False,False,False,0,Naive,Naive,Naive,255,Unknown,Unknown,2
3,79,vJdZXj,False,False,False,0,Naive,Naive,Naive,478,Unknown,Unknown,1
4,63,vJdZXj,False,False,False,0,Naive,Naive,Naive,439,Unknown,Unknown,1
5,89,vJdZXj,False,False,False,0,Naive,Naive,Naive,278,Unknown,Unknown,1
6,39,vJdZXj,False,False,False,0,Naive,Naive,Naive,430,Unknown,Unknown,2
7,49,vJdZXj,False,False,False,0,Naive,Naive,Naive,237,Unknown,Unknown,1
8,10,vJdZXj,False,False,False,0,Naive,Naive,Naive,503,Unknown,Unknown,1
9,61,vJdZXj,False,False,False,0,Naive,Naive,Naive,277,Unknown,Unknown,2
10,23,vJdZXj,False,False,False,0,Naive,Naive,Naive,460,Unknown,Unknown,2
11,69,vJdZXj,False,False,False,0,Naive,Naive,Naive,438,Unknown,Unknown,2
12,90,vJdZXj,False,False,False,0,Naive,Naive,Naive,502,Unknown,Unknown,1
13,22,vJdZXj,False,False,False,0,Naive,Naive,Naive,268,Unknown,Unknown,1
14,11,vJdZXj,False,False,False,0,Naive,Naive,Naive,141,Unknown,Unknown,2
15,46,vJdZXj,False,False,False,0,Naive,Naive,Naive,448,Unknown,Unknown,1
16,44,vJdZXj,False,False,False,0,Naive,Naive,Naive,201,Unknown,Unknown,1
17,65,vJdZXj,False,False,False,0,Naive,Naive,Naive,153,Unknown,Unknown,1
18,57,vJdZXj,False,False,False,0,Naive,Naive,Naive,298,Unknown,Unknown,2
19,25,vJdZXj,False,False,False,0,Naive,Naive,Naive,363,Unknown,Unknown,1
20,7,vJdZXj,False,False,False,0,Naive,Naive,Naive,233,Unknown,Unknown,2
21,3,vJdZXj,False,False,False,0,Naive,Naive,Naive,413,Unknown,Unknown,1
22,83,vJdZXj,False,False,False,0,Naive,Naive,Naive,504,Unknown,Unknown,1
23,9,vJdZXj,False,False,False,0,Naive,Naive,Naive,209,Unknown,Unknown,1
24,81,vJdZXj,False,False,False,0,Naive,Naive,Naive,291,Unknown,Unknown,2
25,51,vJdZXj,False,False,False,0,Naive,Naive,Naive,228,Unknown,Unknown,1
26,15,vJdZXj,False,False,False,0,Naive,Naive,Naive,121,Unknown,Unknown,2
27,12,vJdZXj,False,False,False,0,Naive,Naive,Naive,159,Unknown,Unknown,1
28,98,vJdZXj,False,False,False,0,Naive,Naive,Naive,288,Unknown,Unknown,1
29,59,vJdZXj,False,False,False,0,Naive,Naive,Naive,274,Unknown,Unknown,1
30,67,vJdZXj,False,False,False,0,Naive,Naive,Naive,258,Unknown,Unknown,2
31,96,vJdZXj,False,False,False,0,Naive,Naive,Naive,315,Unknown,Unknown,1
32,4,vJdZXj,False,False,False,0,Naive,Naive,Naive,465,Unknown,Unknown,2
33,2,vJdZXj,False,False,False,0,Naive,Naive,Naive,511,Unknown,Unknown,2
34,16,vJdZXj,False,False,False,0,Naive,Naive,Naive,179,Unknown,Unknown,1
35,68,vJdZXj,False,False,False,0,Naive,Naive,Naive,373,Unknown,Unknown,2
36,31,vJdZXj,False,False,False,1,Naive,Naive,Naive,123,Unknown,Unknown,1
37,29,vJdZXj,False,False,False,0,Naive,Naive,Naive,205,Unknown,Unknown,1
38,133,vJdZXj,False,False,False,0,Naive,Naive,Naive,3,33,False,2
