,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,32,xdI5RR,False,False,False,0,Naive,Naive,Naive,422,Unknown,Unknown,1
1,66,xdI5RR,False,False,False,0,Naive,Naive,Naive,463,Unknown,Unknown,2
2,76,xdI5RR,False,False,False,0,Naive,Naive,Naive,398,Unknown,Unknown,2
3,10,xdI5RR,False,False,False,0,Naive,Naive,Naive,242,Unknown,Unknown,1
4,80,xdI5RR,False,False,False,0,Naive,Naive,Naive,176,Unknown,Unknown,2
5,43,xdI5RR,False,False,False,0,Naive,Naive,Naive,316,Unknown,Unknown,2
6,89,xdI5RR,False,False,False,0,Naive,Naive,Naive,201,Unknown,Unknown,2
7,22,xdI5RR,False,False,False,0,Naive,Naive,Naive,391,Unknown,Unknown,1
8,46,xdI5RR,False,False,False,0,Naive,Naive,Naive,114,Unknown,Unknown,1
9,45,xdI5RR,False,False,False,0,Naive,Naive,Naive,303,Unknown,Unknown,2
10,48,xdI5RR,False,False,False,0,Naive,Naive,Naive,464,Unknown,Unknown,1
11,24,xdI5RR,False,False,False,0,Naive,Naive,Naive,23,Unknown,Unknown,2
12,47,xdI5RR,False,False,False,0,Naive,Naive,Naive,419,Unknown,Unknown,2
13,23,xdI5RR,False,False,False,0,Naive,Naive,Naive,412,Unknown,Unknown,2
14,33,xdI5RR,False,False,False,0,Naive,Naive,Naive,322,Unknown,Unknown,1
15,9,xdI5RR,False,False,False,0,Naive,Naive,Naive,441,Unknown,Unknown,2
16,11,xdI5RR,False,False,False,0,Naive,Naive,Naive,497,Unknown,Unknown,1
17,74,xdI5RR,False,False,False,0,Naive,Naive,Naive,389,Unknown,Unknown,2
18,41,xdI5RR,False,False,False,0,Naive,Naive,Naive,255,Unknown,Unknown,2
19,49,xdI5RR,False,False,False,0,Naive,Naive,Naive,243,Unknown,Unknown,2
20,56,xdI5RR,False,False,False,0,Naive,Naive,Naive,189,Unknown,Unknown,1
21,57,xdI5RR,False,False,False,0,Naive,Naive,Naive,333,Unknown,Unknown,1
22,37,xdI5RR,False,False,False,0,Naive,Naive,Naive,200,Unknown,Unknown,1
23,42,xdI5RR,False,False,False,0,Naive,Naive,Naive,467,Unknown,Unknown,2
24,1,xdI5RR,False,False,False,0,Naive,Naive,Naive,181,Unknown,Unknown,2
25,13,xdI5RR,False,False,False,0,Naive,Naive,Naive,386,Unknown,Unknown,1
26,65,xdI5RR,False,False,False,0,Naive,Naive,Naive,429,Unknown,Unknown,2
27,18,xdI5RR,False,False,False,0,Naive,Naive,Naive,482,Unknown,Unknown,2
28,5,xdI5RR,False,False,False,0,Naive,Naive,Naive,260,Unknown,Unknown,1
29,50,xdI5RR,False,False,False,0,Naive,Naive,Naive,327,Unknown,Unknown,1
30,36,xdI5RR,False,False,False,0,Naive,Naive,Naive,299,Unknown,Unknown,1
31,71,xdI5RR,False,False,False,0,Naive,Naive,Naive,480,Unknown,Unknown,2
32,52,xdI5RR,False,False,False,0,Naive,Naive,Naive,393,Unknown,Unknown,1
33,88,xdI5RR,False,False,False,0,Naive,Naive,Naive,111,Unknown,Unknown,2
34,98,xdI5RR,False,False,False,0,Naive,Naive,Naive,102,Unknown,Unknown,1
35,96,xdI5RR,False,False,False,0,Naive,Naive,Naive,291,Unknown,Unknown,1
36,93,xdI5RR,False,False,False,0,Naive,Naive,Naive,428,Unknown,Unknown,1
37,113,xdI5RR,False,False,False,0,Naive,Naive,Naive,11,26,False,2
38,92,xdI5RR,False,False,False,0,Naive,Naive,Naive,88,Unknown,Unknown,1
39,19,xdI5RR,False,False,False,0,Naive,Naive,Naive,223,Unknown,Unknown,1
40,81,xdI5RR,False,False,False,0,Naive,Naive,Naive,204,Unknown,Unknown,1
41,38,xdI5RR,False,False,False,0,Naive,Naive,Naive,325,Unknown,Unknown,2
42,72,xdI5RR,False,False,False,0,Naive,Naive,Naive,302,Unknown,Unknown,2
43,27,xdI5RR,False,False,False,0,Naive,Naive,Naive,241,Unknown,Unknown,2
44,35,xdI5RR,False,False,False,0,Naive,Naive,Naive,268,Unknown,Unknown,1
45,99,xdI5RR,False,False,False,0,Naive,Naive,Naive,365,Unknown,Unknown,2
46,2,xdI5RR,False,False,False,0,Naive,Naive,Naive,383,Unknown,Unknown,2
47,25,xdI5RR,False,False,False,0,Naive,Naive,Naive,331,Unknown,Unknown,1
48,4,xdI5RR,False,False,False,0,Naive,Naive,Naive,307,Unknown,Unknown,1
49,82,xdI5RR,False,False,False,0,Naive,Naive,Naive,496,Unknown,Unknown,2
50,63,xdI5RR,False,False,False,1,Naive,Naive,Naive,469,Unknown,Unknown,2
51,28,xdI5RR,False,True,True,2,353,3,social,373,Unknown,Unknown,1
52,58,xdI5RR,False,False,False,0,Naive,Naive,Naive,381,Unknown,Unknown,1
53,53,xdI5RR,False,False,False,0,Naive,Naive,Naive,90,Unknown,Unknown,2
54,142,xdI5RR,False,False,False,0,Naive,Naive,Naive,6,2,False,2
55,21,xdI5RR,False,False,False,0,Naive,Naive,Naive,137,Unknown,Unknown,1
56,112,xdI5RR,False,False,False,0,Naive,Naive,Naive,21,29,False,1
57,61,xdI5RR,False,False,False,0,Naive,Naive,Naive,421,Unknown,Unknown,1
58,68,xdI5RR,False,False,False,0,Naive,Naive,Naive,183,Unknown,Unknown,2
59,59,xdI5RR,False,False,False,0,Naive,Naive,Naive,499,Unknown,Unknown,2
60,69,xdI5RR,False,False,False,0,Naive,Naive,Naive,195,Unknown,Unknown,1
61,16,xdI5RR,False,False,False,0,Naive,Naive,Naive,304,Unknown,Unknown,2
62,117,xdI5RR,False,False,False,0,Naive,Naive,Naive,24,74,False,1
63,12,xdI5RR,False,False,False,0,Naive,Naive,Naive,477,Unknown,Unknown,1
64,97,xdI5RR,False,False,False,0,Naive,Naive,Naive,512,Unknown,Unknown,1
65,51,xdI5RR,False,False,False,0,Naive,Naive,Naive,343,Unknown,Unknown,2
66,15,xdI5RR,False,False,False,0,Naive,Naive,Naive,387,Unknown,Unknown,2
67,26,xdI5RR,False,False,False,0,Naive,Naive,Naive,292,Unknown,Unknown,1
68,124,xdI5RR,False,False,False,1,Naive,Naive,Naive,25,108,False,1
69,7,xdI5RR,False,False,False,0,Naive,Naive,Naive,348,Unknown,Unknown,2
70,30,xdI5RR,False,False,False,0,Naive,Naive,Naive,114,Unknown,Unknown,1
71,40,xdI5RR,False,False,False,0,Naive,Naive,Naive,247,Unknown,Unknown,2
72,85,xdI5RR,False,False,False,1,Naive,Naive,Naive,254,Unknown,Unknown,2
73,60,xdI5RR,False,False,False,0,Naive,Naive,Naive,211,Unknown,Unknown,1
74,154,xdI5RR,False,False,False,0,Naive,Naive,Naive,15,147,False,2
75,95,xdI5RR,False,False,False,0,Naive,Naive,Naive,333,Unknown,Unknown,1
76,83,xdI5RR,False,False,False,0,Naive,Naive,Naive,138,Unknown,Unknown,2
77,87,xdI5RR,False,False,False,0,Naive,Naive,Naive,477,Unknown,Unknown,1
78,90,xdI5RR,False,False,False,0,Naive,Naive,Naive,99,Unknown,Unknown,1
79,29,xdI5RR,False,False,False,1,Naive,Naive,Naive,274,Unknown,Unknown,1
