,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,58,xrfCML,False,False,False,0,Naive,Naive,Naive,455,Unknown,Unknown,1
1,77,xrfCML,False,False,False,0,Naive,Naive,Naive,299,Unknown,Unknown,2
2,54,xrfCML,False,False,False,0,Naive,Naive,Naive,428,Unknown,Unknown,2
3,9,xrfCML,False,False,False,0,Naive,Naive,Naive,432,Unknown,Unknown,1
4,50,xrfCML,False,False,False,0,Naive,Naive,Naive,166,Unknown,Unknown,2
5,31,xrfCML,False,False,False,0,Naive,Naive,Naive,72,Unknown,Unknown,1
6,88,xrfCML,False,False,False,0,Naive,Naive,Naive,299,Unknown,Unknown,1
7,74,xrfCML,False,False,False,0,Naive,Naive,Naive,349,Unknown,Unknown,2
8,89,xrfCML,False,False,False,0,Naive,Naive,Naive,295,Unknown,Unknown,2
9,32,xrfCML,False,False,False,0,Naive,Naive,Naive,76,Unknown,Unknown,2
10,10,xrfCML,False,False,False,0,Naive,Naive,Naive,476,Unknown,Unknown,2
11,94,xrfCML,False,False,False,0,Naive,Naive,Naive,386,Unknown,Unknown,2
12,78,xrfCML,False,False,False,0,Naive,Naive,Naive,444,Unknown,Unknown,2
13,83,xrfCML,False,False,False,0,Naive,Naive,Naive,252,Unknown,Unknown,2
14,37,xrfCML,False,False,False,0,Naive,Naive,Naive,28,Unknown,Unknown,1
15,69,xrfCML,False,False,False,0,Naive,Naive,Naive,339,Unknown,Unknown,1
16,19,xrfCML,False,False,False,0,Naive,Naive,Naive,408,Unknown,Unknown,2
17,38,xrfCML,False,False,False,0,Naive,Naive,Naive,276,Unknown,Unknown,2
18,68,xrfCML,False,False,False,0,Naive,Naive,Naive,246,Unknown,Unknown,1
19,57,xrfCML,False,False,False,0,Naive,Naive,Naive,276,Unknown,Unknown,1
20,27,xrfCML,False,False,False,0,Naive,Naive,Naive,440,Unknown,Unknown,2
21,79,xrfCML,False,False,False,0,Naive,Naive,Naive,298,Unknown,Unknown,1
22,44,xrfCML,False,False,False,0,Naive,Naive,Naive,340,Unknown,Unknown,1
23,33,xrfCML,False,False,False,0,Naive,Naive,Naive,365,Unknown,Unknown,2
24,20,xrfCML,False,False,False,0,Naive,Naive,Naive,205,Unknown,Unknown,1
25,55,xrfCML,False,False,False,0,Naive,Naive,Naive,365,Unknown,Unknown,1
26,40,xrfCML,False,False,False,0,Naive,Naive,Naive,296,Unknown,Unknown,2
27,71,xrfCML,False,False,False,0,Naive,Naive,Naive,355,Unknown,Unknown,1
28,66,xrfCML,False,False,False,0,Naive,Naive,Naive,209,Unknown,Unknown,1
29,17,xrfCML,False,False,False,0,Naive,Naive,Naive,321,Unknown,Unknown,2
30,63,xrfCML,False,False,False,0,Naive,Naive,Naive,262,Unknown,Unknown,1
31,87,xrfCML,False,False,False,0,Naive,Naive,Naive,445,Unknown,Unknown,2
32,16,xrfCML,False,False,False,0,Naive,Naive,Naive,263,Unknown,Unknown,2
33,81,xrfCML,False,False,False,0,Naive,Naive,Naive,214,Unknown,Unknown,1
34,29,xrfCML,False,False,False,0,Naive,Naive,Naive,445,Unknown,Unknown,2
35,75,xrfCML,False,False,False,0,Naive,Naive,Naive,250,Unknown,Unknown,2
36,3,xrfCML,False,False,False,0,Naive,Naive,Naive,401,Unknown,Unknown,2
37,8,xrfCML,False,False,False,0,Naive,Naive,Naive,352,Unknown,Unknown,2
38,12,xrfCML,False,False,False,0,Naive,Naive,Naive,466,Unknown,Unknown,2
39,122,xrfCML,False,False,False,0,Naive,Naive,Naive,9,75,False,2
40,1,xrfCML,False,False,False,0,Naive,Naive,Naive,311,Unknown,Unknown,2
41,61,xrfCML,False,False,False,0,Naive,Naive,Naive,293,Unknown,Unknown,2
42,2,xrfCML,False,False,False,0,Naive,Naive,Naive,286,Unknown,Unknown,1
43,112,xrfCML,False,False,False,0,Naive,Naive,Naive,17,107,False,2
44,59,xrfCML,False,False,False,1,Naive,Naive,Naive,255,Unknown,Unknown,1
45,22,xrfCML,False,False,False,0,Naive,Naive,Naive,284,Unknown,Unknown,2
46,82,xrfCML,False,False,False,0,Naive,Naive,Naive,301,Unknown,Unknown,2
47,95,xrfCML,False,False,False,0,Naive,Naive,Naive,198,Unknown,Unknown,1
48,24,xrfCML,False,False,False,0,Naive,Naive,Naive,470,Unknown,Unknown,1
49,52,xrfCML,False,False,False,0,Naive,Naive,Naive,494,Unknown,Unknown,1
50,34,xrfCML,False,False,False,0,Naive,Naive,Naive,178,Unknown,Unknown,2
51,64,xrfCML,False,False,False,0,Naive,Naive,Naive,324,Unknown,Unknown,2
52,84,xrfCML,False,False,False,0,Naive,Naive,Naive,323,Unknown,Unknown,2
53,28,xrfCML,False,False,False,0,Naive,Naive,Naive,163,Unknown,Unknown,2
54,92,xrfCML,False,False,False,0,Naive,Naive,Naive,360,Unknown,Unknown,2
55,123,xrfCML,False,False,False,0,Naive,Naive,Naive,15,106,False,2
56,97,xrfCML,False,False,False,0,Naive,Naive,Naive,233,Unknown,Unknown,1
57,91,xrfCML,False,False,False,0,Naive,Naive,Naive,525,Unknown,Unknown,2
58,11,xrfCML,False,False,False,0,Naive,Naive,Naive,425,Unknown,Unknown,1
59,114,xrfCML,False,False,False,0,Naive,Naive,Naive,25,34,False,2
60,53,xrfCML,False,False,False,0,Naive,Naive,Naive,256,Unknown,Unknown,2
61,98,xrfCML,False,False,False,0,Naive,Naive,Naive,237,Unknown,Unknown,2
62,36,xrfCML,False,False,False,0,Naive,Naive,Naive,414,Unknown,Unknown,2
63,47,xrfCML,False,False,False,0,Naive,Naive,Naive,378,Unknown,Unknown,2
64,99,xrfCML,False,False,False,0,Naive,Naive,Naive,465,Unknown,Unknown,2
65,80,xrfCML,False,False,False,0,Naive,Naive,Naive,526,Unknown,Unknown,1
66,65,xrfCML,False,False,False,0,Naive,Naive,Naive,251,Unknown,Unknown,2
67,90,xrfCML,False,False,False,0,Naive,Naive,Naive,446,Unknown,Unknown,1
68,48,xrfCML,False,False,False,0,Naive,Naive,Naive,191,Unknown,Unknown,1
69,107,xrfCML,False,False,False,2,Naive,Naive,Naive,37,33,False,2
70,56,xrfCML,False,False,False,0,Naive,Naive,Naive,436,Unknown,Unknown,1
71,18,xrfCML,False,False,False,0,Naive,Naive,Naive,195,Unknown,Unknown,2
72,85,xrfCML,False,False,False,0,Naive,Naive,Naive,94,Unknown,Unknown,1
73,15,xrfCML,False,False,False,0,Naive,Naive,Naive,172,Unknown,Unknown,1
74,21,xrfCML,False,False,False,0,Naive,Naive,Naive,106,Unknown,Unknown,2
75,62,xrfCML,False,False,False,0,Naive,Naive,Naive,176,Unknown,Unknown,2
76,105,xrfCML,False,False,False,0,Naive,Naive,Naive,46,52,False,2
77,161,xrfCML,False,False,False,0,Naive,Naive,Naive,19,15,False,1
78,7,xrfCML,False,False,False,0,Naive,Naive,Naive,344,Unknown,Unknown,1
79,70,xrfCML,False,False,False,0,Naive,Naive,Naive,243,Unknown,Unknown,1
80,86,xrfCML,False,False,False,0,Naive,Naive,Naive,153,Unknown,Unknown,2
81,73,xrfCML,False,False,False,0,Naive,Naive,Naive,85,Unknown,Unknown,1
82,26,xrfCML,False,False,False,0,Naive,Naive,Naive,108,Unknown,Unknown,1
83,39,xrfCML,False,False,False,0,Naive,Naive,Naive,251,Unknown,Unknown,1
84,72,xrfCML,False,False,False,0,Naive,Naive,Naive,380,Unknown,Unknown,1
85,46,xrfCML,False,False,False,0,Naive,Naive,Naive,62,Unknown,Unknown,2
86,133,xrfCML,False,False,False,1,Naive,Naive,Naive,42,93,False,1
87,43,xrfCML,False,False,False,0,Naive,Naive,Naive,453,Unknown,Unknown,2
88,6,xrfCML,False,False,False,0,Naive,Naive,Naive,468,Unknown,Unknown,1
89,41,xrfCML,False,False,False,0,Naive,Naive,Naive,109,Unknown,Unknown,1
90,165,xrfCML,False,False,False,1,Naive,Naive,Naive,37,133,False,1
91,145,xrfCML,False,False,False,0,Naive,Naive,Naive,49,95,False,1
92,45,xrfCML,False,False,False,0,Naive,Naive,Naive,96,Unknown,Unknown,2
93,149,xrfCML,False,False,False,0,Naive,Naive,Naive,51,136,False,2
94,170,xrfCML,False,False,False,0,Naive,Naive,Naive,36,73,False,1
95,60,xrfCML,False,False,False,0,Naive,Naive,Naive,114,Unknown,Unknown,2
96,96,xrfCML,False,False,False,0,Naive,Naive,Naive,112,Unknown,Unknown,1
97,106,xrfCML,False,False,False,0,Naive,Naive,Naive,75,35,False,2
98,67,xrfCML,False,False,False,0,Naive,Naive,Naive,185,Unknown,Unknown,1
99,127,xrfCML,False,False,False,0,Naive,Naive,Naive,68,61,False,2
100,13,xrfCML,False,False,False,0,Naive,Naive,Naive,231,Unknown,Unknown,2
101,102,xrfCML,False,False,False,0,Naive,Naive,Naive,83,15,False,1
102,168,xrfCML,False,False,False,0,Naive,Naive,Naive,47,166,False,2
103,115,xrfCML,False,False,False,0,Naive,Naive,Naive,78,69,False,1
104,120,xrfCML,False,False,False,3,Naive,Naive,Naive,74,112,False,2
105,109,xrfCML,False,False,False,0,Naive,Naive,Naive,83,6,False,1
106,42,xrfCML,False,False,False,0,Naive,Naive,Naive,131,Unknown,Unknown,1
107,141,xrfCML,False,False,False,0,Naive,Naive,Naive,68,43,False,2
108,14,xrfCML,False,False,False,0,Naive,Naive,Naive,300,Unknown,Unknown,1
109,93,xrfCML,False,False,False,1,Naive,Naive,Naive,238,Unknown,Unknown,1
110,49,xrfCML,False,False,False,0,Naive,Naive,Naive,208,Unknown,Unknown,2
111,4,xrfCML,False,False,False,0,Naive,Naive,Naive,369,Unknown,Unknown,2
112,180,xrfCML,False,False,False,0,Naive,Naive,Naive,41,151,False,1
113,51,xrfCML,False,False,False,0,Naive,Naive,Naive,111,Unknown,Unknown,2
114,142,xrfCML,False,False,False,0,Naive,Naive,Naive,77,114,False,2
115,151,xrfCML,False,False,False,0,Naive,Naive,Naive,74,146,False,1
116,35,xrfCML,False,False,False,0,Naive,Naive,Naive,235,Unknown,Unknown,2
117,176,xrfCML,False,False,False,0,Naive,Naive,Naive,53,141,False,2
118,187,xrfCML,False,False,False,0,Naive,Naive,Naive,43,102,False,1
119,121,xrfCML,False,False,False,0,Naive,Naive,Naive,93,79,False,1
120,5,xrfCML,False,False,False,0,Naive,Naive,Naive,419,Unknown,Unknown,2
121,144,xrfCML,False,False,False,0,Naive,Naive,Naive,88,129,False,2
122,129,xrfCML,False,False,False,0,Naive,Naive,Naive,97,123,False,2
123,188,xrfCML,False,False,False,0,Naive,Naive,Naive,50,169,False,2
124,185,xrfCML,False,False,False,0,Naive,Naive,Naive,59,178,False,2
125,110,xrfCML,False,False,False,0,Naive,Naive,Naive,110,52,False,1
126,137,xrfCML,False,False,False,0,Naive,Naive,Naive,96,111,False,1
127,164,xrfCML,False,False,False,0,Naive,Naive,Naive,84,121,False,2
128,30,xrfCML,False,False,False,0,Naive,Naive,Naive,280,Unknown,Unknown,1
129,184,xrfCML,False,False,False,0,Naive,Naive,Naive,62,152,False,1
130,204,xrfCML,False,False,False,0,Naive,Naive,Naive,34,175,False,2
131,111,xrfCML,False,False,False,0,Naive,Naive,Naive,116,60,False,1
