,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,70,zcl6vl,False,False,False,0,Naive,Naive,Naive,285,Unknown,Unknown,1
1,43,zcl6vl,False,False,False,0,Naive,Naive,Naive,277,Unknown,Unknown,2
2,26,zcl6vl,False,False,False,0,Naive,Naive,Naive,452,Unknown,Unknown,2
3,50,zcl6vl,False,False,False,0,Naive,Naive,Naive,385,Unknown,Unknown,2
4,89,zcl6vl,False,False,False,0,Naive,Naive,Naive,189,Unknown,Unknown,1
5,39,zcl6vl,False,False,False,0,Naive,Naive,Naive,247,Unknown,Unknown,2
6,99,zcl6vl,False,False,False,0,Naive,Naive,Naive,380,Unknown,Unknown,2
7,5,zcl6vl,False,False,False,0,Naive,Naive,Naive,474,Unknown,Unknown,2
8,49,zcl6vl,False,False,False,0,Naive,Naive,Naive,15,Unknown,Unknown,1
9,81,zcl6vl,False,False,False,0,Naive,Naive,Naive,414,Unknown,Unknown,1
10,38,zcl6vl,False,False,False,0,Naive,Naive,Naive,262,Unknown,Unknown,2
11,48,zcl6vl,False,False,False,0,Naive,Naive,Naive,408,Unknown,Unknown,1
12,56,zcl6vl,False,False,False,0,Naive,Naive,Naive,439,Unknown,Unknown,2
13,35,zcl6vl,False,False,False,0,Naive,Naive,Naive,445,Unknown,Unknown,1
14,59,zcl6vl,False,False,False,0,Naive,Naive,Naive,426,Unknown,Unknown,1
15,78,zcl6vl,False,False,False,0,Naive,Naive,Naive,379,Unknown,Unknown,2
16,84,zcl6vl,False,False,False,0,Naive,Naive,Naive,441,Unknown,Unknown,2
17,62,zcl6vl,False,False,False,0,Naive,Naive,Naive,366,Unknown,Unknown,2
18,40,zcl6vl,False,False,False,0,Naive,Naive,Naive,301,Unknown,Unknown,2
19,33,zcl6vl,False,False,False,0,Naive,Naive,Naive,316,Unknown,Unknown,1
20,71,zcl6vl,False,False,False,0,Naive,Naive,Naive,473,Unknown,Unknown,1
21,63,zcl6vl,False,False,False,0,Naive,Naive,Naive,458,Unknown,Unknown,1
22,52,zcl6vl,False,False,False,0,Naive,Naive,Naive,151,Unknown,Unknown,1
23,69,zcl6vl,False,False,False,0,Naive,Naive,Naive,198,Unknown,Unknown,2
24,36,zcl6vl,False,False,False,0,Naive,Naive,Naive,415,Unknown,Unknown,1
25,92,zcl6vl,False,False,False,0,Naive,Naive,Naive,364,Unknown,Unknown,2
26,83,zcl6vl,False,False,False,0,Naive,Naive,Naive,434,Unknown,Unknown,1
27,98,zcl6vl,False,False,False,0,Naive,Naive,Naive,298,Unknown,Unknown,2
28,13,zcl6vl,False,False,False,0,Naive,Naive,Naive,484,Unknown,Unknown,2
29,32,zcl6vl,False,False,False,0,Naive,Naive,Naive,197,Unknown,Unknown,2
30,95,zcl6vl,False,False,False,0,Naive,Naive,Naive,130,Unknown,Unknown,1
31,73,zcl6vl,False,False,False,0,Naive,Naive,Naive,301,Unknown,Unknown,2
32,11,zcl6vl,False,False,False,0,Naive,Naive,Naive,487,Unknown,Unknown,2
33,96,zcl6vl,False,False,False,0,Naive,Naive,Naive,362,Unknown,Unknown,1
34,87,zcl6vl,False,False,False,0,Naive,Naive,Naive,507,Unknown,Unknown,1
35,57,zcl6vl,False,False,False,0,Naive,Naive,Naive,296,Unknown,Unknown,1
36,22,zcl6vl,False,False,False,0,Naive,Naive,Naive,316,Unknown,Unknown,2
37,17,zcl6vl,False,False,False,0,Naive,Naive,Naive,494,Unknown,Unknown,2
38,67,zcl6vl,False,False,False,0,Naive,Naive,Naive,284,Unknown,Unknown,1
39,77,zcl6vl,False,False,False,0,Naive,Naive,Naive,438,Unknown,Unknown,2
40,79,zcl6vl,False,False,False,0,Naive,Naive,Naive,336,Unknown,Unknown,1
41,20,zcl6vl,False,False,False,0,Naive,Naive,Naive,388,Unknown,Unknown,2
42,60,zcl6vl,False,False,False,0,Naive,Naive,Naive,403,Unknown,Unknown,2
