,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,17,09gnGz,False,False,False,0,Naive,Naive,Naive,429,Unknown,Unknown,2
1,56,09gnGz,False,False,False,0,Naive,Naive,Naive,251,Unknown,Unknown,1
2,11,09gnGz,False,False,False,0,Naive,Naive,Naive,295,Unknown,Unknown,2
3,34,09gnGz,False,False,False,0,Naive,Naive,Naive,332,Unknown,Unknown,1
4,61,09gnGz,False,False,False,0,Naive,Naive,Naive,220,Unknown,Unknown,2
5,70,09gnGz,False,False,False,0,Naive,Naive,Naive,455,Unknown,Unknown,1
6,37,09gnGz,False,False,False,0,Naive,Naive,Naive,84,Unknown,Unknown,1
7,82,09gnGz,False,False,False,0,Naive,Naive,Naive,220,Unknown,Unknown,2
8,72,09gnGz,False,False,False,0,Naive,Naive,Naive,410,Unknown,Unknown,2
9,58,09gnGz,False,False,False,0,Naive,Naive,Naive,289,Unknown,Unknown,1
10,29,09gnGz,False,False,False,0,Naive,Naive,Naive,429,Unknown,Unknown,2
11,45,09gnGz,False,False,False,0,Naive,Naive,Naive,176,Unknown,Unknown,2
12,14,09gnGz,False,False,False,0,Naive,Naive,Naive,407,Unknown,Unknown,1
13,19,09gnGz,False,False,False,0,Naive,Naive,Naive,372,Unknown,Unknown,1
14,4,09gnGz,False,False,False,0,Naive,Naive,Naive,443,Unknown,Unknown,2
15,16,09gnGz,False,False,False,0,Naive,Naive,Naive,488,Unknown,Unknown,2
16,74,09gnGz,False,False,False,0,Naive,Naive,Naive,406,Unknown,Unknown,1
17,38,09gnGz,False,False,False,0,Naive,Naive,Naive,335,Unknown,Unknown,2
18,77,09gnGz,False,False,False,0,Naive,Naive,Naive,287,Unknown,Unknown,1
19,31,09gnGz,False,False,False,0,Naive,Naive,Naive,243,Unknown,Unknown,1
20,50,09gnGz,False,False,False,0,Naive,Naive,Naive,135,Unknown,Unknown,2
21,28,09gnGz,False,False,False,0,Naive,Naive,Naive,494,Unknown,Unknown,1
22,83,09gnGz,False,False,False,0,Naive,Naive,Naive,170,Unknown,Unknown,1
23,22,09gnGz,False,False,False,0,Naive,Naive,Naive,486,Unknown,Unknown,1
24,2,09gnGz,False,False,False,0,Naive,Naive,Naive,441,Unknown,Unknown,2
25,76,09gnGz,False,False,False,0,Naive,Naive,Naive,362,Unknown,Unknown,2
26,86,09gnGz,False,False,False,0,Naive,Naive,Naive,95,Unknown,Unknown,2
27,79,09gnGz,False,False,False,0,Naive,Naive,Naive,206,Unknown,Unknown,1
28,6,09gnGz,False,False,False,1,Naive,Naive,Naive,391,Unknown,Unknown,2
29,43,09gnGz,False,False,False,0,Naive,Naive,Naive,161,Unknown,Unknown,1
30,64,09gnGz,False,False,False,0,Naive,Naive,Naive,515,Unknown,Unknown,2
31,13,09gnGz,False,False,False,0,Naive,Naive,Naive,245,Unknown,Unknown,2
32,5,09gnGz,False,False,False,0,Naive,Naive,Naive,435,Unknown,Unknown,2
33,15,09gnGz,False,False,False,0,Naive,Naive,Naive,168,Unknown,Unknown,1
34,71,09gnGz,False,False,False,0,Naive,Naive,Naive,496,Unknown,Unknown,2
35,52,09gnGz,False,False,False,0,Naive,Naive,Naive,154,Unknown,Unknown,2
36,46,09gnGz,False,False,False,0,Naive,Naive,Naive,383,Unknown,Unknown,1
37,66,09gnGz,False,False,False,0,Naive,Naive,Naive,115,Unknown,Unknown,2
38,96,09gnGz,False,False,False,0,Naive,Naive,Naive,243,Unknown,Unknown,1
39,80,09gnGz,False,False,False,0,Naive,Naive,Naive,329,Unknown,Unknown,2
40,93,09gnGz,False,False,False,0,Naive,Naive,Naive,182,Unknown,Unknown,1
41,57,09gnGz,False,False,False,0,Naive,Naive,Naive,408,Unknown,Unknown,2
42,7,09gnGz,False,False,False,0,Naive,Naive,Naive,320,Unknown,Unknown,1
43,36,09gnGz,False,False,False,0,Naive,Naive,Naive,154,Unknown,Unknown,2
44,99,09gnGz,False,False,False,0,Naive,Naive,Naive,317,Unknown,Unknown,2
45,24,09gnGz,False,False,False,0,Naive,Naive,Naive,377,Unknown,Unknown,2
46,47,09gnGz,False,False,False,0,Naive,Naive,Naive,330,Unknown,Unknown,2
47,9,09gnGz,False,False,False,0,Naive,Naive,Naive,462,Unknown,Unknown,1
48,63,09gnGz,False,False,False,0,Naive,Naive,Naive,417,Unknown,Unknown,2
49,81,09gnGz,False,False,False,0,Naive,Naive,Naive,137,Unknown,Unknown,2
50,62,09gnGz,False,False,False,0,Naive,Naive,Naive,362,Unknown,Unknown,2
51,51,09gnGz,False,False,False,0,Naive,Naive,Naive,236,Unknown,Unknown,1
52,84,09gnGz,False,False,False,0,Naive,Naive,Naive,524,Unknown,Unknown,1
53,25,09gnGz,False,False,False,0,Naive,Naive,Naive,71,Unknown,Unknown,2
54,44,09gnGz,False,False,False,0,Naive,Naive,Naive,389,Unknown,Unknown,1
55,69,09gnGz,False,False,False,0,Naive,Naive,Naive,469,Unknown,Unknown,2
56,92,09gnGz,False,False,False,0,Naive,Naive,Naive,395,Unknown,Unknown,1
57,59,09gnGz,False,False,False,0,Naive,Naive,Naive,416,Unknown,Unknown,1
58,101,09gnGz,False,False,False,0,Naive,Naive,Naive,38,11,False,2
59,48,09gnGz,False,False,False,0,Naive,Naive,Naive,379,Unknown,Unknown,1
60,90,09gnGz,False,False,False,0,Naive,Naive,Naive,224,Unknown,Unknown,2
61,120,09gnGz,False,False,False,0,Naive,Naive,Naive,34,86,False,2
62,10,09gnGz,False,False,False,0,Naive,Naive,Naive,78,Unknown,Unknown,2
63,27,09gnGz,False,False,False,0,Naive,Naive,Naive,167,Unknown,Unknown,1
64,94,09gnGz,False,False,False,0,Naive,Naive,Naive,388,Unknown,Unknown,2
65,114,09gnGz,False,False,False,0,Naive,Naive,Naive,45,28,False,1
66,12,09gnGz,False,False,False,2,Naive,Naive,Naive,430,Unknown,Unknown,2
67,42,09gnGz,False,False,False,0,Naive,Naive,Naive,350,Unknown,Unknown,1
68,67,09gnGz,False,False,False,0,Naive,Naive,Naive,408,Unknown,Unknown,1
69,20,09gnGz,False,False,False,0,Naive,Naive,Naive,157,Unknown,Unknown,2
70,75,09gnGz,False,False,False,0,Naive,Naive,Naive,203,Unknown,Unknown,2
71,108,09gnGz,False,False,False,0,Naive,Naive,Naive,50,69,False,1
72,98,09gnGz,False,False,False,0,Naive,Naive,Naive,333,Unknown,Unknown,2
73,141,09gnGz,False,False,False,0,Naive,Naive,Naive,30,98,False,1
74,18,09gnGz,False,False,False,0,Naive,Naive,Naive,212,Unknown,Unknown,1
75,32,09gnGz,False,False,False,0,Naive,Naive,Naive,127,Unknown,Unknown,1
76,152,09gnGz,False,False,False,0,Naive,Naive,Naive,23,143,False,1
