,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,6,0FTw3E,False,False,False,0,Naive,Naive,Naive,356,Unknown,Unknown,2
1,65,0FTw3E,False,False,False,0,Naive,Naive,Naive,113,Unknown,Unknown,1
2,99,0FTw3E,False,False,False,0,Naive,Naive,Naive,121,Unknown,Unknown,1
3,90,0FTw3E,False,False,False,0,Naive,Naive,Naive,427,Unknown,Unknown,1
4,4,0FTw3E,False,False,False,0,Naive,Naive,Naive,274,Unknown,Unknown,1
5,79,0FTw3E,False,False,False,0,Naive,Naive,Naive,178,Unknown,Unknown,1
6,78,0FTw3E,False,False,False,0,Naive,Naive,Naive,474,Unknown,Unknown,2
7,44,0FTw3E,False,False,False,0,Naive,Naive,Naive,326,Unknown,Unknown,2
8,61,0FTw3E,False,False,False,0,Naive,Naive,Naive,310,Unknown,Unknown,2
9,42,0FTw3E,False,False,False,0,Naive,Naive,Naive,168,Unknown,Unknown,2
10,21,0FTw3E,False,False,False,0,Naive,Naive,Naive,469,Unknown,Unknown,1
11,89,0FTw3E,False,False,False,0,Naive,Naive,Naive,314,Unknown,Unknown,2
12,11,0FTw3E,False,False,False,0,Naive,Naive,Naive,143,Unknown,Unknown,1
13,92,0FTw3E,False,False,False,0,Naive,Naive,Naive,258,Unknown,Unknown,2
14,30,0FTw3E,False,False,False,0,Naive,Naive,Naive,411,Unknown,Unknown,2
15,16,0FTw3E,False,False,False,0,Naive,Naive,Naive,309,Unknown,Unknown,1
16,69,0FTw3E,False,False,False,0,Naive,Naive,Naive,404,Unknown,Unknown,2
17,23,0FTw3E,False,False,False,0,Naive,Naive,Naive,190,Unknown,Unknown,1
18,41,0FTw3E,False,False,False,0,Naive,Naive,Naive,410,Unknown,Unknown,1
19,9,0FTw3E,False,False,False,0,Naive,Naive,Naive,347,Unknown,Unknown,1
20,34,0FTw3E,False,False,False,0,Naive,Naive,Naive,322,Unknown,Unknown,1
21,36,0FTw3E,False,False,False,0,Naive,Naive,Naive,140,Unknown,Unknown,2
22,8,0FTw3E,False,False,False,0,Naive,Naive,Naive,420,Unknown,Unknown,1
23,33,0FTw3E,False,False,False,0,Naive,Naive,Naive,409,Unknown,Unknown,2
24,71,0FTw3E,False,False,False,0,Naive,Naive,Naive,345,Unknown,Unknown,2
25,31,0FTw3E,False,False,False,1,Naive,Naive,Naive,446,Unknown,Unknown,1
26,80,0FTw3E,False,False,False,0,Naive,Naive,Naive,316,Unknown,Unknown,1
27,96,0FTw3E,False,False,False,0,Naive,Naive,Naive,459,Unknown,Unknown,1
28,67,0FTw3E,False,False,False,0,Naive,Naive,Naive,308,Unknown,Unknown,1
29,27,0FTw3E,False,False,False,0,Naive,Naive,Naive,385,Unknown,Unknown,2
30,59,0FTw3E,False,False,False,0,Naive,Naive,Naive,285,Unknown,Unknown,2
31,91,0FTw3E,False,False,False,0,Naive,Naive,Naive,356,Unknown,Unknown,2
32,17,0FTw3E,False,False,False,0,Naive,Naive,Naive,414,Unknown,Unknown,1
33,3,0FTw3E,False,False,False,0,Naive,Naive,Naive,378,Unknown,Unknown,2
34,39,0FTw3E,False,False,False,0,Naive,Naive,Naive,246,Unknown,Unknown,2
35,53,0FTw3E,False,True,True,2,271,17,social,272,Unknown,Unknown,1
36,1,0FTw3E,False,False,False,0,Naive,Naive,Naive,33,Unknown,Unknown,2
37,37,0FTw3E,False,False,False,0,Naive,Naive,Naive,164,Unknown,Unknown,2
38,51,0FTw3E,False,False,False,0,Naive,Naive,Naive,479,Unknown,Unknown,2
39,19,0FTw3E,False,False,False,0,Naive,Naive,Naive,354,Unknown,Unknown,1
40,7,0FTw3E,False,False,False,0,Naive,Naive,Naive,347,Unknown,Unknown,2
41,13,0FTw3E,False,False,False,0,Naive,Naive,Naive,177,Unknown,Unknown,2
