,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,50,11BMnT,False,False,False,0,Naive,Naive,Naive,369,Unknown,Unknown,1
1,43,11BMnT,False,False,False,0,Naive,Naive,Naive,239,Unknown,Unknown,2
2,25,11BMnT,False,False,False,0,Naive,Naive,Naive,130,Unknown,Unknown,2
3,7,11BMnT,False,False,False,0,Naive,Naive,Naive,285,Unknown,Unknown,1
4,29,11BMnT,False,False,False,0,Naive,Naive,Naive,361,Unknown,Unknown,2
5,3,11BMnT,False,False,False,0,Naive,Naive,Naive,347,Unknown,Unknown,2
6,55,11BMnT,False,False,False,0,Naive,Naive,Naive,378,Unknown,Unknown,1
7,12,11BMnT,False,False,False,0,Naive,Naive,Naive,318,Unknown,Unknown,1
8,8,11BMnT,False,False,False,0,Naive,Naive,Naive,315,Unknown,Unknown,1
9,88,11BMnT,False,False,False,0,Naive,Naive,Naive,453,Unknown,Unknown,2
10,79,11BMnT,False,False,False,0,Naive,Naive,Naive,245,Unknown,Unknown,1
11,96,11BMnT,False,False,False,0,Naive,Naive,Naive,80,Unknown,Unknown,2
12,58,11BMnT,False,False,False,0,Naive,Naive,Naive,162,Unknown,Unknown,1
13,65,11BMnT,False,False,False,0,Naive,Naive,Naive,105,Unknown,Unknown,2
14,33,11BMnT,False,False,False,0,Naive,Naive,Naive,234,Unknown,Unknown,2
15,52,11BMnT,False,False,False,0,Naive,Naive,Naive,262,Unknown,Unknown,2
16,45,11BMnT,False,False,False,0,Naive,Naive,Naive,476,Unknown,Unknown,2
17,38,11BMnT,False,False,False,0,Naive,Naive,Naive,354,Unknown,Unknown,2
18,2,11BMnT,False,False,False,0,Naive,Naive,Naive,102,Unknown,Unknown,1
19,60,11BMnT,False,False,False,0,Naive,Naive,Naive,465,Unknown,Unknown,2
20,42,11BMnT,False,False,False,0,Naive,Naive,Naive,355,Unknown,Unknown,2
21,62,11BMnT,False,False,False,0,Naive,Naive,Naive,462,Unknown,Unknown,2
22,67,11BMnT,False,False,False,0,Naive,Naive,Naive,378,Unknown,Unknown,1
23,92,11BMnT,False,False,False,0,Naive,Naive,Naive,435,Unknown,Unknown,1
24,4,11BMnT,False,False,False,0,Naive,Naive,Naive,165,Unknown,Unknown,2
25,1,11BMnT,False,False,False,0,Naive,Naive,Naive,266,Unknown,Unknown,2
26,51,11BMnT,False,False,False,0,Naive,Naive,Naive,361,Unknown,Unknown,1
27,16,11BMnT,False,False,False,0,Naive,Naive,Naive,350,Unknown,Unknown,2
28,19,11BMnT,False,False,False,0,Naive,Naive,Naive,243,Unknown,Unknown,1
29,30,11BMnT,False,False,False,0,Naive,Naive,Naive,305,Unknown,Unknown,1
30,31,11BMnT,False,False,False,0,Naive,Naive,Naive,464,Unknown,Unknown,1
31,14,11BMnT,False,False,False,0,Naive,Naive,Naive,171,Unknown,Unknown,2
32,27,11BMnT,False,False,False,0,Naive,Naive,Naive,494,Unknown,Unknown,2
33,89,11BMnT,False,False,False,0,Naive,Naive,Naive,196,Unknown,Unknown,2
34,32,11BMnT,False,False,False,0,Naive,Naive,Naive,124,Unknown,Unknown,1
35,18,11BMnT,False,False,False,0,Naive,Naive,Naive,170,Unknown,Unknown,1
36,87,11BMnT,False,False,False,0,Naive,Naive,Naive,397,Unknown,Unknown,1
37,91,11BMnT,False,False,False,0,Naive,Naive,Naive,387,Unknown,Unknown,2
38,21,11BMnT,False,False,False,0,Naive,Naive,Naive,371,Unknown,Unknown,2
39,86,11BMnT,False,False,False,0,Naive,Naive,Naive,219,Unknown,Unknown,1
40,84,11BMnT,False,False,False,0,Naive,Naive,Naive,246,Unknown,Unknown,2
41,63,11BMnT,False,False,False,0,Naive,Naive,Naive,307,Unknown,Unknown,2
42,77,11BMnT,False,False,False,0,Naive,Naive,Naive,261,Unknown,Unknown,2
43,72,11BMnT,False,False,False,0,Naive,Naive,Naive,323,Unknown,Unknown,2
44,48,11BMnT,False,False,False,0,Naive,Naive,Naive,483,Unknown,Unknown,1
45,46,11BMnT,False,False,False,1,Naive,Naive,Naive,474,Unknown,Unknown,2
46,97,11BMnT,False,False,False,0,Naive,Naive,Naive,136,Unknown,Unknown,2
