,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,23,2B2flK,False,False,False,0,Naive,Naive,Naive,345,Unknown,Unknown,1
1,24,2B2flK,False,False,False,0,Naive,Naive,Naive,271,Unknown,Unknown,1
2,47,2B2flK,False,False,False,0,Naive,Naive,Naive,500,Unknown,Unknown,1
3,27,2B2flK,False,False,False,0,Naive,Naive,Naive,373,Unknown,Unknown,1
4,55,2B2flK,False,False,False,0,Naive,Naive,Naive,196,Unknown,Unknown,2
5,95,2B2flK,False,False,False,0,Naive,Naive,Naive,339,Unknown,Unknown,1
6,62,2B2flK,False,False,False,0,Naive,Naive,Naive,349,Unknown,Unknown,2
7,1,2B2flK,False,False,False,0,Naive,Naive,Naive,448,Unknown,Unknown,2
8,87,2B2flK,False,False,False,0,Naive,Naive,Naive,267,Unknown,Unknown,1
9,31,2B2flK,False,False,False,0,Naive,Naive,Naive,405,Unknown,Unknown,1
10,49,2B2flK,False,False,False,0,Naive,Naive,Naive,443,Unknown,Unknown,1
11,6,2B2flK,False,False,False,0,Naive,Naive,Naive,315,Unknown,Unknown,2
12,68,2B2flK,False,False,False,0,Naive,Naive,Naive,469,Unknown,Unknown,2
13,59,2B2flK,False,False,False,0,Naive,Naive,Naive,491,Unknown,Unknown,1
14,98,2B2flK,False,False,False,0,Naive,Naive,Naive,255,Unknown,Unknown,2
15,99,2B2flK,False,False,False,0,Naive,Naive,Naive,286,Unknown,Unknown,2
16,80,2B2flK,False,False,False,0,Naive,Naive,Naive,386,Unknown,Unknown,1
17,73,2B2flK,False,False,False,0,Naive,Naive,Naive,144,Unknown,Unknown,2
18,96,2B2flK,False,False,False,0,Naive,Naive,Naive,486,Unknown,Unknown,1
19,29,2B2flK,False,False,False,0,Naive,Naive,Naive,65,Unknown,Unknown,1
20,86,2B2flK,False,False,False,0,Naive,Naive,Naive,401,Unknown,Unknown,2
21,93,2B2flK,False,False,False,0,Naive,Naive,Naive,218,Unknown,Unknown,1
22,79,2B2flK,False,False,False,0,Naive,Naive,Naive,347,Unknown,Unknown,2
23,54,2B2flK,False,False,False,0,Naive,Naive,Naive,496,Unknown,Unknown,2
24,30,2B2flK,False,False,False,0,Naive,Naive,Naive,216,Unknown,Unknown,1
25,63,2B2flK,False,False,False,0,Naive,Naive,Naive,301,Unknown,Unknown,2
26,60,2B2flK,False,False,False,1,Naive,Naive,Naive,403,Unknown,Unknown,2
27,84,2B2flK,False,False,False,0,Naive,Naive,Naive,509,Unknown,Unknown,1
28,16,2B2flK,False,False,False,0,Naive,Naive,Naive,153,Unknown,Unknown,2
29,51,2B2flK,False,False,False,0,Naive,Naive,Naive,260,Unknown,Unknown,1
30,10,2B2flK,False,False,False,0,Naive,Naive,Naive,295,Unknown,Unknown,1
31,82,2B2flK,False,False,False,0,Naive,Naive,Naive,506,Unknown,Unknown,2
32,85,2B2flK,False,False,False,0,Naive,Naive,Naive,83,Unknown,Unknown,1
33,72,2B2flK,False,False,False,0,Naive,Naive,Naive,380,Unknown,Unknown,1
34,2,2B2flK,False,False,False,0,Naive,Naive,Naive,290,Unknown,Unknown,1
35,36,2B2flK,False,False,False,0,Naive,Naive,Naive,516,Unknown,Unknown,1
36,46,2B2flK,False,False,False,0,Naive,Naive,Naive,454,Unknown,Unknown,2
37,18,2B2flK,False,False,False,0,Naive,Naive,Naive,418,Unknown,Unknown,2
38,70,2B2flK,False,False,False,0,Naive,Naive,Naive,416,Unknown,Unknown,2
39,15,2B2flK,False,False,False,0,Naive,Naive,Naive,82,Unknown,Unknown,1
40,48,2B2flK,False,False,False,0,Naive,Naive,Naive,352,Unknown,Unknown,2
41,71,2B2flK,False,False,False,0,Naive,Naive,Naive,251,Unknown,Unknown,2
42,56,2B2flK,False,False,False,0,Naive,Naive,Naive,435,Unknown,Unknown,1
43,7,2B2flK,False,False,False,0,Naive,Naive,Naive,350,Unknown,Unknown,2
44,45,2B2flK,False,False,False,0,Naive,Naive,Naive,440,Unknown,Unknown,2
45,58,2B2flK,False,False,False,0,Naive,Naive,Naive,387,Unknown,Unknown,2
46,22,2B2flK,False,False,False,0,Naive,Naive,Naive,509,Unknown,Unknown,1
47,39,2B2flK,False,False,False,0,Naive,Naive,Naive,419,Unknown,Unknown,2
48,91,2B2flK,False,False,False,0,Naive,Naive,Naive,466,Unknown,Unknown,1
49,25,2B2flK,False,False,False,0,Naive,Naive,Naive,391,Unknown,Unknown,1
50,20,2B2flK,False,False,False,0,Naive,Naive,Naive,330,Unknown,Unknown,1
51,90,2B2flK,False,False,False,0,Naive,Naive,Naive,483,Unknown,Unknown,2
52,44,2B2flK,False,False,False,0,Naive,Naive,Naive,496,Unknown,Unknown,1
53,97,2B2flK,False,False,False,0,Naive,Naive,Naive,221,Unknown,Unknown,2
54,50,2B2flK,False,False,False,0,Naive,Naive,Naive,290,Unknown,Unknown,1
55,35,2B2flK,False,False,False,0,Naive,Naive,Naive,229,Unknown,Unknown,1
56,94,2B2flK,False,False,False,0,Naive,Naive,Naive,281,Unknown,Unknown,1
57,140,2B2flK,False,False,False,0,Naive,Naive,Naive,16,121,False,2
58,5,2B2flK,False,False,False,0,Naive,Naive,Naive,132,Unknown,Unknown,1
59,28,2B2flK,False,False,False,2,Naive,Naive,Naive,235,Unknown,Unknown,2
60,8,2B2flK,False,False,False,0,Naive,Naive,Naive,434,Unknown,Unknown,2
61,76,2B2flK,False,False,False,0,Naive,Naive,Naive,415,Unknown,Unknown,2
62,21,2B2flK,False,False,False,0,Naive,Naive,Naive,243,Unknown,Unknown,2
63,4,2B2flK,False,False,False,0,Naive,Naive,Naive,145,Unknown,Unknown,2
64,65,2B2flK,False,False,False,0,Naive,Naive,Naive,355,Unknown,Unknown,1
65,88,2B2flK,False,False,False,0,Naive,Naive,Naive,193,Unknown,Unknown,1
66,17,2B2flK,False,False,False,0,Naive,Naive,Naive,99,Unknown,Unknown,2
67,19,2B2flK,False,False,False,0,Naive,Naive,Naive,203,Unknown,Unknown,2
68,37,2B2flK,False,False,False,0,Naive,Naive,Naive,518,Unknown,Unknown,1
69,78,2B2flK,False,False,False,0,Naive,Naive,Naive,303,Unknown,Unknown,1
70,127,2B2flK,False,False,False,0,Naive,Naive,Naive,29,121,False,2
71,81,2B2flK,False,False,False,0,Naive,Naive,Naive,450,Unknown,Unknown,1
72,67,2B2flK,False,False,False,0,Naive,Naive,Naive,315,Unknown,Unknown,1
73,89,2B2flK,False,False,False,0,Naive,Naive,Naive,490,Unknown,Unknown,2
74,158,2B2flK,False,False,False,0,Naive,Naive,Naive,14,74,False,2
75,83,2B2flK,False,False,False,0,Naive,Naive,Naive,298,Unknown,Unknown,2
76,40,2B2flK,False,False,False,0,Naive,Naive,Naive,369,Unknown,Unknown,2
77,116,2B2flK,False,False,False,0,Naive,Naive,Naive,42,110,False,1
78,64,2B2flK,False,False,False,0,Naive,Naive,Naive,287,Unknown,Unknown,2
79,3,2B2flK,False,False,False,0,Naive,Naive,Naive,140,Unknown,Unknown,1
80,130,2B2flK,False,False,False,0,Naive,Naive,Naive,42,58,False,1
81,165,2B2flK,False,False,False,0,Naive,Naive,Naive,21,111,False,1
82,11,2B2flK,False,False,False,0,Naive,Naive,Naive,263,Unknown,Unknown,2
83,107,2B2flK,False,False,False,0,Naive,Naive,Naive,56,101,False,2
84,57,2B2flK,False,False,False,0,Naive,Naive,Naive,480,Unknown,Unknown,1
85,61,2B2flK,False,False,False,0,Naive,Naive,Naive,242,Unknown,Unknown,1
86,135,2B2flK,False,False,False,2,Naive,Naive,Naive,47,22,False,1
87,109,2B2flK,False,False,False,0,Naive,Naive,Naive,62,28,False,1
88,75,2B2flK,False,False,False,0,Naive,Naive,Naive,372,Unknown,Unknown,1
89,105,2B2flK,False,False,False,0,Naive,Naive,Naive,66,2,False,2
90,166,2B2flK,False,False,False,0,Naive,Naive,Naive,32,162,False,2
91,69,2B2flK,False,False,False,1,Naive,Naive,Naive,569,Unknown,Unknown,2
92,147,2B2flK,False,False,False,0,Naive,Naive,Naive,50,143,False,1
93,113,2B2flK,False,False,False,0,Naive,Naive,Naive,64,57,False,1
94,9,2B2flK,False,False,False,0,Naive,Naive,Naive,202,Unknown,Unknown,2
95,134,2B2flK,False,False,False,1,Naive,Naive,Naive,59,28,False,2
96,133,2B2flK,False,False,False,0,Naive,Naive,Naive,61,110,False,1
97,151,2B2flK,False,False,False,0,Naive,Naive,Naive,50,75,False,1
98,111,2B2flK,False,False,False,0,Naive,Naive,Naive,72,108,False,1
99,14,2B2flK,False,False,False,0,Naive,Naive,Naive,187,Unknown,Unknown,2
100,162,2B2flK,False,False,False,0,Naive,Naive,Naive,47,52,False,1
101,137,2B2flK,False,False,False,0,Naive,Naive,Naive,66,105,False,2
102,131,2B2flK,False,False,False,0,Naive,Naive,Naive,69,2,False,1
103,182,2B2flK,False,False,False,0,Naive,Naive,Naive,29,169,False,1
104,66,2B2flK,False,False,False,0,Naive,Naive,Naive,322,Unknown,Unknown,1
105,74,2B2flK,False,False,False,0,Naive,Naive,Naive,167,Unknown,Unknown,2
106,103,2B2flK,False,False,False,0,Naive,Naive,Naive,83,22,False,1
107,33,2B2flK,False,False,False,0,Naive,Naive,Naive,152,Unknown,Unknown,1
108,13,2B2flK,False,False,False,0,Naive,Naive,Naive,388,Unknown,Unknown,1
109,41,2B2flK,False,False,False,0,Naive,Naive,Naive,332,Unknown,Unknown,1
110,104,2B2flK,False,False,False,0,Naive,Naive,Naive,89,2,False,1
111,118,2B2flK,False,False,False,0,Naive,Naive,Naive,82,106,False,1
112,100,2B2flK,False,True,True,0,Naive,Naive,Naive,92,Unknown,Unknown,2
113,53,2B2flK,False,False,False,0,Naive,Naive,Naive,265,Unknown,Unknown,1
114,12,2B2flK,True,False,False,0,Naive,Naive,Naive,157,Unknown,Unknown,2
115,26,2B2flK,True,False,False,0,Naive,Naive,Naive,142,Unknown,Unknown,2
116,32,2B2flK,True,False,False,0,Naive,Naive,Naive,157,Unknown,Unknown,1
117,34,2B2flK,True,False,False,1,Naive,Naive,Naive,201,Unknown,Unknown,2
118,38,2B2flK,True,False,False,0,Naive,Naive,Naive,276,Unknown,Unknown,1
119,42,2B2flK,True,False,False,0,Naive,Naive,Naive,211,Unknown,Unknown,1
120,43,2B2flK,True,False,False,0,Naive,Naive,Naive,138,Unknown,Unknown,1
121,52,2B2flK,True,False,False,0,Naive,Naive,Naive,127,Unknown,Unknown,1
122,77,2B2flK,True,False,False,0,Naive,Naive,Naive,298,Unknown,Unknown,1
123,92,2B2flK,True,False,False,4,Naive,Naive,Naive,492,Unknown,Unknown,2
124,101,2B2flK,True,False,False,0,Naive,Naive,Naive,91,15,False,2
125,102,2B2flK,True,False,False,0,Naive,Naive,Naive,91,32,False,2
126,106,2B2flK,True,False,False,0,Naive,Naive,Naive,90,33,False,1
127,108,2B2flK,True,False,False,0,Naive,Naive,Naive,90,22,False,1
128,110,2B2flK,True,False,False,0,Naive,Naive,Naive,89,77,False,1
129,112,2B2flK,True,False,False,0,Naive,Naive,Naive,87,8,False,2
130,114,2B2flK,True,False,False,0,Naive,Naive,Naive,85,40,False,1
131,115,2B2flK,True,False,False,0,Naive,Naive,Naive,84,96,False,1
132,117,2B2flK,True,False,False,0,Naive,Naive,Naive,84,19,False,2
133,119,2B2flK,True,False,False,0,Naive,Naive,Naive,83,51,False,2
134,120,2B2flK,True,False,False,0,Naive,Naive,Naive,83,2,False,1
135,121,2B2flK,True,False,False,0,Naive,Naive,Naive,83,19,False,2
136,122,2B2flK,True,False,False,0,Naive,Naive,Naive,83,103,False,1
137,123,2B2flK,True,False,False,1,Naive,Naive,Naive,83,94,False,1
138,124,2B2flK,True,False,False,0,Naive,Naive,Naive,83,46,False,2
139,125,2B2flK,True,False,False,0,Naive,Naive,Naive,82,63,False,2
140,126,2B2flK,True,False,False,0,Naive,Naive,Naive,82,57,False,1
141,128,2B2flK,True,False,False,0,Naive,Naive,Naive,81,21,False,1
142,129,2B2flK,True,False,False,0,Naive,Naive,Naive,81,103,False,1
143,132,2B2flK,True,False,False,0,Naive,Naive,Naive,78,112,False,2
144,136,2B2flK,True,False,False,0,Naive,Naive,Naive,77,123,False,1
145,138,2B2flK,True,False,False,0,Naive,Naive,Naive,77,70,False,2
146,139,2B2flK,True,False,False,0,Naive,Naive,Naive,77,103,False,1
147,141,2B2flK,True,False,False,0,Naive,Naive,Naive,76,121,False,2
148,142,2B2flK,True,False,False,0,Naive,Naive,Naive,75,12,False,1
149,143,2B2flK,True,False,False,0,Naive,Naive,Naive,74,110,False,1
150,144,2B2flK,True,False,False,0,Naive,Naive,Naive,73,142,False,1
151,145,2B2flK,True,False,False,0,Naive,Naive,Naive,72,133,False,1
152,146,2B2flK,True,False,False,0,Naive,Naive,Naive,72,137,False,2
153,148,2B2flK,True,False,False,0,Naive,Naive,Naive,71,142,False,1
154,149,2B2flK,True,False,False,0,Naive,Naive,Naive,70,140,False,2
155,150,2B2flK,True,False,False,0,Naive,Naive,Naive,67,107,False,2
156,152,2B2flK,True,False,False,0,Naive,Naive,Naive,66,128,False,2
157,153,2B2flK,True,False,False,0,Naive,Naive,Naive,65,125,False,2
158,154,2B2flK,True,False,False,0,Naive,Naive,Naive,64,133,False,1
