,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,37,2KREUE,False,False,False,0,Naive,Naive,Naive,278,Unknown,Unknown,2
1,18,2KREUE,False,False,False,0,Naive,Naive,Naive,445,Unknown,Unknown,2
2,10,2KREUE,False,False,False,0,Naive,Naive,Naive,265,Unknown,Unknown,2
3,44,2KREUE,False,False,False,0,Naive,Naive,Naive,139,Unknown,Unknown,1
4,77,2KREUE,False,False,False,0,Naive,Naive,Naive,277,Unknown,Unknown,1
5,52,2KREUE,False,False,False,0,Naive,Naive,Naive,403,Unknown,Unknown,2
6,78,2KREUE,False,False,False,0,Naive,Naive,Naive,321,Unknown,Unknown,1
7,49,2KREUE,False,False,False,0,Naive,Naive,Naive,291,Unknown,Unknown,2
8,23,2KREUE,False,False,False,0,Naive,Naive,Naive,322,Unknown,Unknown,2
9,72,2KREUE,False,False,False,0,Naive,Naive,Naive,483,Unknown,Unknown,2
10,99,2KREUE,False,False,False,0,Naive,Naive,Naive,417,Unknown,Unknown,1
11,39,2KREUE,False,False,False,0,Naive,Naive,Naive,355,Unknown,Unknown,2
12,74,2KREUE,False,False,False,0,Naive,Naive,Naive,369,Unknown,Unknown,2
13,60,2KREUE,False,False,False,0,Naive,Naive,Naive,198,Unknown,Unknown,1
14,5,2KREUE,False,False,False,0,Naive,Naive,Naive,482,Unknown,Unknown,1
15,28,2KREUE,False,False,False,0,Naive,Naive,Naive,392,Unknown,Unknown,1
16,84,2KREUE,False,False,False,0,Naive,Naive,Naive,416,Unknown,Unknown,2
17,67,2KREUE,False,False,False,0,Naive,Naive,Naive,115,Unknown,Unknown,2
18,79,2KREUE,False,False,False,0,Naive,Naive,Naive,346,Unknown,Unknown,1
19,58,2KREUE,False,False,False,0,Naive,Naive,Naive,358,Unknown,Unknown,2
20,46,2KREUE,False,False,False,0,Naive,Naive,Naive,257,Unknown,Unknown,2
21,24,2KREUE,False,False,False,0,Naive,Naive,Naive,505,Unknown,Unknown,2
22,56,2KREUE,False,False,False,0,Naive,Naive,Naive,280,Unknown,Unknown,1
23,57,2KREUE,False,False,False,0,Naive,Naive,Naive,28,Unknown,Unknown,1
24,38,2KREUE,False,False,False,0,Naive,Naive,Naive,454,Unknown,Unknown,1
25,76,2KREUE,False,False,False,0,Naive,Naive,Naive,147,Unknown,Unknown,2
26,55,2KREUE,False,False,False,0,Naive,Naive,Naive,419,Unknown,Unknown,2
27,33,2KREUE,False,False,False,0,Naive,Naive,Naive,174,Unknown,Unknown,1
28,71,2KREUE,False,False,False,0,Naive,Naive,Naive,414,Unknown,Unknown,1
29,53,2KREUE,False,False,False,0,Naive,Naive,Naive,464,Unknown,Unknown,2
30,19,2KREUE,False,False,False,0,Naive,Naive,Naive,488,Unknown,Unknown,2
31,81,2KREUE,False,False,False,0,Naive,Naive,Naive,493,Unknown,Unknown,1
32,43,2KREUE,False,False,False,0,Naive,Naive,Naive,168,Unknown,Unknown,1
33,48,2KREUE,False,False,False,0,Naive,Naive,Naive,192,Unknown,Unknown,1
34,3,2KREUE,False,False,False,0,Naive,Naive,Naive,299,Unknown,Unknown,2
35,88,2KREUE,False,False,False,0,Naive,Naive,Naive,244,Unknown,Unknown,1
36,41,2KREUE,False,False,False,0,Naive,Naive,Naive,498,Unknown,Unknown,1
37,69,2KREUE,False,False,False,0,Naive,Naive,Naive,235,Unknown,Unknown,1
38,40,2KREUE,False,False,False,0,Naive,Naive,Naive,206,Unknown,Unknown,1
39,7,2KREUE,False,False,False,0,Naive,Naive,Naive,80,Unknown,Unknown,1
40,90,2KREUE,False,False,False,0,Naive,Naive,Naive,148,Unknown,Unknown,2
41,66,2KREUE,False,False,False,0,Naive,Naive,Naive,123,Unknown,Unknown,2
42,27,2KREUE,False,False,False,1,Naive,Naive,Naive,212,Unknown,Unknown,2
43,86,2KREUE,False,False,False,0,Naive,Naive,Naive,256,Unknown,Unknown,1
44,4,2KREUE,False,False,False,0,Naive,Naive,Naive,36,Unknown,Unknown,1
45,61,2KREUE,False,False,False,0,Naive,Naive,Naive,439,Unknown,Unknown,1
46,20,2KREUE,False,False,False,0,Naive,Naive,Naive,406,Unknown,Unknown,1
47,98,2KREUE,False,False,False,0,Naive,Naive,Naive,213,Unknown,Unknown,1
48,11,2KREUE,False,False,False,0,Naive,Naive,Naive,353,Unknown,Unknown,2
49,64,2KREUE,False,False,False,0,Naive,Naive,Naive,417,Unknown,Unknown,1
50,47,2KREUE,False,False,False,0,Naive,Naive,Naive,363,Unknown,Unknown,1
51,17,2KREUE,False,False,False,0,Naive,Naive,Naive,458,Unknown,Unknown,1
52,63,2KREUE,False,False,False,0,Naive,Naive,Naive,153,Unknown,Unknown,2
53,59,2KREUE,False,False,False,0,Naive,Naive,Naive,266,Unknown,Unknown,1
54,9,2KREUE,False,False,False,0,Naive,Naive,Naive,263,Unknown,Unknown,2
55,29,2KREUE,False,False,False,0,Naive,Naive,Naive,183,Unknown,Unknown,1
56,70,2KREUE,False,False,False,0,Naive,Naive,Naive,210,Unknown,Unknown,2
57,54,2KREUE,False,False,False,0,Naive,Naive,Naive,179,Unknown,Unknown,2
58,31,2KREUE,False,False,False,0,Naive,Naive,Naive,189,Unknown,Unknown,1
59,115,2KREUE,False,False,False,0,Naive,Naive,Naive,40,81,False,1
60,127,2KREUE,False,False,False,0,Naive,Naive,Naive,34,117,False,1
61,121,2KREUE,False,False,False,0,Naive,Naive,Naive,37,26,False,2
62,75,2KREUE,False,False,False,0,Naive,Naive,Naive,171,Unknown,Unknown,2
63,83,2KREUE,False,False,False,0,Naive,Naive,Naive,109,Unknown,Unknown,2
64,12,2KREUE,False,False,False,0,Naive,Naive,Naive,144,Unknown,Unknown,2
65,97,2KREUE,False,False,False,0,Naive,Naive,Naive,522,Unknown,Unknown,1
66,2,2KREUE,False,False,False,0,Naive,Naive,Naive,455,Unknown,Unknown,1
67,94,2KREUE,False,False,False,0,Naive,Naive,Naive,238,Unknown,Unknown,2
68,22,2KREUE,False,False,False,0,Naive,Naive,Naive,136,Unknown,Unknown,1
69,6,2KREUE,False,False,False,0,Naive,Naive,Naive,535,Unknown,Unknown,1
70,89,2KREUE,False,False,False,0,Naive,Naive,Naive,396,Unknown,Unknown,1
71,96,2KREUE,False,False,False,0,Naive,Naive,Naive,149,Unknown,Unknown,1
72,8,2KREUE,False,False,False,0,Naive,Naive,Naive,114,Unknown,Unknown,1
73,91,2KREUE,False,False,False,0,Naive,Naive,Naive,220,Unknown,Unknown,2
74,15,2KREUE,False,False,False,0,Naive,Naive,Naive,449,Unknown,Unknown,1
75,95,2KREUE,False,False,False,0,Naive,Naive,Naive,501,Unknown,Unknown,1
76,14,2KREUE,False,False,False,2,Naive,Naive,Naive,129,Unknown,Unknown,2
77,111,2KREUE,False,False,False,1,Naive,Naive,Naive,62,25,False,1
78,113,2KREUE,False,False,False,0,Naive,Naive,Naive,62,105,False,1
79,93,2KREUE,False,False,False,0,Naive,Naive,Naive,223,Unknown,Unknown,2
80,30,2KREUE,False,False,False,0,Naive,Naive,Naive,340,Unknown,Unknown,2
81,161,2KREUE,False,False,False,0,Naive,Naive,Naive,20,109,False,1
82,101,2KREUE,False,False,False,1,Naive,Naive,Naive,70,7,False,1
83,123,2KREUE,False,False,False,0,Naive,Naive,Naive,58,109,False,1
84,50,2KREUE,False,False,False,0,Naive,Naive,Naive,386,Unknown,Unknown,2
85,25,2KREUE,False,False,False,0,Naive,Naive,Naive,365,Unknown,Unknown,2
86,34,2KREUE,False,False,False,1,Naive,Naive,Naive,489,Unknown,Unknown,1
87,158,2KREUE,False,False,False,0,Naive,Naive,Naive,34,133,False,1
88,92,2KREUE,False,False,False,0,Naive,Naive,Naive,475,Unknown,Unknown,1
89,103,2KREUE,False,False,False,1,Naive,Naive,Naive,76,53,False,2
90,51,2KREUE,False,False,False,0,Naive,Naive,Naive,209,Unknown,Unknown,1
91,106,2KREUE,False,False,False,3,Naive,Naive,Naive,77,2,False,1
