,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,74,2pDXao,False,False,False,0,Naive,Naive,Naive,223,Unknown,Unknown,1
1,86,2pDXao,False,False,False,0,Naive,Naive,Naive,360,Unknown,Unknown,2
2,7,2pDXao,False,False,False,0,Naive,Naive,Naive,329,Unknown,Unknown,2
3,11,2pDXao,False,False,False,0,Naive,Naive,Naive,75,Unknown,Unknown,1
4,55,2pDXao,False,False,False,0,Naive,Naive,Naive,300,Unknown,Unknown,2
5,43,2pDXao,False,False,False,0,Naive,Naive,Naive,488,Unknown,Unknown,2
6,41,2pDXao,False,False,False,0,Naive,Naive,Naive,217,Unknown,Unknown,2
7,18,2pDXao,False,False,False,0,Naive,Naive,Naive,306,Unknown,Unknown,2
8,54,2pDXao,False,False,False,0,Naive,Naive,Naive,377,Unknown,Unknown,1
9,46,2pDXao,False,False,False,0,Naive,Naive,Naive,452,Unknown,Unknown,1
10,85,2pDXao,False,False,False,0,Naive,Naive,Naive,360,Unknown,Unknown,2
11,9,2pDXao,False,False,False,0,Naive,Naive,Naive,421,Unknown,Unknown,1
12,50,2pDXao,False,False,False,0,Naive,Naive,Naive,450,Unknown,Unknown,1
13,60,2pDXao,False,False,False,0,Naive,Naive,Naive,422,Unknown,Unknown,1
14,10,2pDXao,False,False,False,0,Naive,Naive,Naive,474,Unknown,Unknown,1
15,98,2pDXao,False,False,False,0,Naive,Naive,Naive,340,Unknown,Unknown,1
16,5,2pDXao,False,False,False,0,Naive,Naive,Naive,485,Unknown,Unknown,2
17,52,2pDXao,False,False,False,0,Naive,Naive,Naive,269,Unknown,Unknown,1
18,64,2pDXao,False,False,False,0,Naive,Naive,Naive,468,Unknown,Unknown,1
19,95,2pDXao,False,False,False,0,Naive,Naive,Naive,372,Unknown,Unknown,2
20,31,2pDXao,False,False,False,0,Naive,Naive,Naive,177,Unknown,Unknown,2
21,6,2pDXao,False,False,False,0,Naive,Naive,Naive,460,Unknown,Unknown,2
22,16,2pDXao,False,False,False,0,Naive,Naive,Naive,311,Unknown,Unknown,2
23,27,2pDXao,False,False,False,0,Naive,Naive,Naive,362,Unknown,Unknown,2
24,100,2pDXao,False,True,True,0,Naive,Naive,Naive,14,Unknown,Unknown,2
25,66,2pDXao,False,False,False,0,Naive,Naive,Naive,192,Unknown,Unknown,1
26,76,2pDXao,False,False,False,0,Naive,Naive,Naive,51,Unknown,Unknown,2
27,67,2pDXao,False,False,False,0,Naive,Naive,Naive,381,Unknown,Unknown,2
28,1,2pDXao,True,False,False,0,Naive,Naive,Naive,115,Unknown,Unknown,2
29,2,2pDXao,True,False,False,0,Naive,Naive,Naive,238,Unknown,Unknown,1
30,3,2pDXao,True,False,False,0,Naive,Naive,Naive,90,Unknown,Unknown,2
31,4,2pDXao,True,False,False,0,Naive,Naive,Naive,450,Unknown,Unknown,2
32,8,2pDXao,True,False,False,0,Naive,Naive,Naive,39,Unknown,Unknown,2
33,12,2pDXao,True,False,False,0,Naive,Naive,Naive,31,Unknown,Unknown,2
34,13,2pDXao,True,False,False,0,Naive,Naive,Naive,359,Unknown,Unknown,2
35,14,2pDXao,True,False,False,0,Naive,Naive,Naive,265,Unknown,Unknown,1
36,15,2pDXao,True,False,False,0,Naive,Naive,Naive,30,Unknown,Unknown,2
37,17,2pDXao,True,False,False,0,Naive,Naive,Naive,318,Unknown,Unknown,1
38,19,2pDXao,True,False,False,0,Naive,Naive,Naive,262,Unknown,Unknown,1
39,20,2pDXao,True,False,False,0,Naive,Naive,Naive,247,Unknown,Unknown,1
