,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,13,3AuLn8,False,False,False,0,Naive,Naive,Naive,196,Unknown,Unknown,2
1,21,3AuLn8,False,False,False,0,Naive,Naive,Naive,241,Unknown,Unknown,2
2,59,3AuLn8,False,False,False,0,Naive,Naive,Naive,300,Unknown,Unknown,2
3,78,3AuLn8,False,False,False,0,Naive,Naive,Naive,34,Unknown,Unknown,1
4,27,3AuLn8,False,False,False,0,Naive,Naive,Naive,129,Unknown,Unknown,2
5,36,3AuLn8,False,False,False,0,Naive,Naive,Naive,212,Unknown,Unknown,1
6,17,3AuLn8,False,False,False,0,Naive,Naive,Naive,25,Unknown,Unknown,2
7,38,3AuLn8,False,False,False,0,Naive,Naive,Naive,467,Unknown,Unknown,1
8,20,3AuLn8,False,False,False,0,Naive,Naive,Naive,228,Unknown,Unknown,1
9,92,3AuLn8,False,False,False,0,Naive,Naive,Naive,492,Unknown,Unknown,2
10,44,3AuLn8,False,False,False,0,Naive,Naive,Naive,257,Unknown,Unknown,2
11,70,3AuLn8,False,False,False,0,Naive,Naive,Naive,470,Unknown,Unknown,1
12,52,3AuLn8,False,False,False,0,Naive,Naive,Naive,143,Unknown,Unknown,2
13,6,3AuLn8,False,False,False,0,Naive,Naive,Naive,349,Unknown,Unknown,2
14,49,3AuLn8,False,False,False,0,Naive,Naive,Naive,508,Unknown,Unknown,2
15,50,3AuLn8,False,False,False,0,Naive,Naive,Naive,471,Unknown,Unknown,1
16,11,3AuLn8,False,False,False,0,Naive,Naive,Naive,382,Unknown,Unknown,1
17,16,3AuLn8,False,False,False,0,Naive,Naive,Naive,289,Unknown,Unknown,1
18,87,3AuLn8,False,False,False,0,Naive,Naive,Naive,347,Unknown,Unknown,1
19,80,3AuLn8,False,False,False,0,Naive,Naive,Naive,413,Unknown,Unknown,2
20,60,3AuLn8,False,False,False,0,Naive,Naive,Naive,505,Unknown,Unknown,1
21,31,3AuLn8,False,False,False,0,Naive,Naive,Naive,402,Unknown,Unknown,1
22,94,3AuLn8,False,False,False,0,Naive,Naive,Naive,393,Unknown,Unknown,1
23,8,3AuLn8,False,False,False,0,Naive,Naive,Naive,326,Unknown,Unknown,2
24,33,3AuLn8,False,False,False,0,Naive,Naive,Naive,444,Unknown,Unknown,2
25,43,3AuLn8,False,False,False,0,Naive,Naive,Naive,79,Unknown,Unknown,1
26,62,3AuLn8,False,False,False,0,Naive,Naive,Naive,329,Unknown,Unknown,1
27,97,3AuLn8,False,False,False,0,Naive,Naive,Naive,192,Unknown,Unknown,1
28,30,3AuLn8,False,False,False,0,Naive,Naive,Naive,105,Unknown,Unknown,1
29,56,3AuLn8,False,False,False,0,Naive,Naive,Naive,247,Unknown,Unknown,1
30,72,3AuLn8,False,False,False,0,Naive,Naive,Naive,169,Unknown,Unknown,1
31,34,3AuLn8,False,False,False,0,Naive,Naive,Naive,175,Unknown,Unknown,2
32,85,3AuLn8,False,False,False,0,Naive,Naive,Naive,371,Unknown,Unknown,1
33,28,3AuLn8,False,False,False,0,Naive,Naive,Naive,140,Unknown,Unknown,1
34,63,3AuLn8,False,False,False,0,Naive,Naive,Naive,285,Unknown,Unknown,2
35,5,3AuLn8,False,False,False,0,Naive,Naive,Naive,168,Unknown,Unknown,2
36,23,3AuLn8,False,False,False,0,Naive,Naive,Naive,471,Unknown,Unknown,1
37,66,3AuLn8,False,False,False,0,Naive,Naive,Naive,447,Unknown,Unknown,1
38,79,3AuLn8,False,False,False,0,Naive,Naive,Naive,510,Unknown,Unknown,1
39,67,3AuLn8,False,False,False,0,Naive,Naive,Naive,315,Unknown,Unknown,2
40,51,3AuLn8,False,False,False,0,Naive,Naive,Naive,473,Unknown,Unknown,1
41,69,3AuLn8,False,False,False,0,Naive,Naive,Naive,143,Unknown,Unknown,2
42,7,3AuLn8,False,False,False,0,Naive,Naive,Naive,449,Unknown,Unknown,2
43,54,3AuLn8,False,False,False,0,Naive,Naive,Naive,292,Unknown,Unknown,1
44,71,3AuLn8,False,False,False,0,Naive,Naive,Naive,517,Unknown,Unknown,1
