,source,target
0,73.0,83.0
0,12.0,41.0
0,87.0,35.0
0,91.0,15.0
0,75.0,7.0
0,50.0,89.0
0,34.0,32.0
0,9.0,14.0
0,80.0,67.0
0,37.0,28.0
0,1.0,91.0
0,22.0,12.0
0,70.0,78.0
0,77.0,88.0
0,60.0,98.0
0,49.0,61.0
0,18.0,74.0
0,85.0,70.0
0,26.0,68.0
0,92.0,63.0
0,15.0,30.0
0,24.0,68.0
0,18.0,81.0
0,43.0,74.0
0,33.0,78.0
0,50.0,89.0
0,80.0,46.0
0,63.0,92.0
0,98.0,102.0
0,52.0,58.0
0,83.0,90.0
0,38.0,96.0
0,91.0,16.0
0,68.0,26.0
0,70.0,65.0
0,90.0,73.0
0,38.0,64.0
0,91.0,33.0
0,51.0,22.0
0,3.0,82.0
0,93.0,83.0
0,50.0,6.0
0,58.0,52.0
0,26.0,45.0
0,70.0,103.0
0,69.0,95.0
0,25.0,91.0
0,57.0,30.0
0,33.0,16.0
0,23.0,14.0
0,10.0,35.0
0,25.0,65.0
0,63.0,86.0
0,15.0,18.0
0,1.0,31.0
0,81.0,43.0
0,30.0,15.0
0,12.0,66.0
0,34.0,53.0
0,98.0,102.0
0,46.0,12.0
0,77.0,88.0
0,15.0,18.0
0,82.0,3.0
0,12.0,41.0
0,65.0,91.0
0,5.0,6.0
0,30.0,57.0
0,58.0,27.0
0,58.0,52.0
0,88.0,101.0
0,70.0,103.0
0,80.0,77.0
0,90.0,36.0
0,45.0,75.0
0,70.0,33.0
0,102.0,98.0
0,89.0,50.0
0,39.0,10.0
0,47.0,84.0
0,1.0,65.0
0,3.0,89.0
0,60.0,3.0
0,25.0,92.0
0,39.0,14.0
0,33.0,70.0
0,57.0,18.0
0,52.0,105.0
0,70.0,103.0
0,52.0,58.0
0,104.0,107.0
0,75.0,26.0
0,107.0,50.0
0,79.0,87.0
0,28.0,37.0
0,16.0,65.0
0,63.0,72.0
0,44.0,56.0
0,47.0,20.0
0,2.0,38.0
0,41.0,80.0
0,51.0,49.0
0,62.0,22.0
0,2.0,28.0
0,53.0,25.0
0,104.0,89.0
0,43.0,86.0
0,18.0,105.0
0,58.0,74.0
0,99.0,101.0
0,44.0,34.0
0,68.0,45.0
0,64.0,51.0
0,97.0,98.0
0,102.0,97.0
0,16.0,70.0
0,35.0,39.0
0,35.0,14.0
0,25.0,65.0
0,75.0,106.0
0,58.0,52.0
0,19.0,57.0
0,23.0,14.0
0,22.0,62.0
0,64.0,28.0
0,99.0,101.0
0,94.0,30.0
0,8.0,105.0
0,50.0,6.0
0,66.0,12.0
0,89.0,104.0
0,15.0,1.0
0,25.0,65.0
0,23.0,39.0
0,98.0,97.0
0,103.0,70.0
0,18.0,15.0
0,53.0,32.0
0,6.0,5.0
0,28.0,2.0
0,102.0,98.0
0,65.0,109.0
0,50.0,107.0
0,80.0,108.0
0,6.0,82.0
0,55.0,24.0
0,110.0,8.0
0,67.0,88.0
0,18.0,15.0
0,18.0,112.0
0,94.0,33.0
0,18.0,110.0
0,2.0,113.0
0,73.0,11.0
0,1.0,111.0
0,18.0,105.0
0,31.0,25.0
0,88.0,99.0
0,75.0,106.0
0,71.0,19.0
0,14.0,23.0
0,11.0,84.0
0,98.0,102.0
0,99.0,101.0
0,111.0,94.0
0,2.0,49.0
0,80.0,77.0
0,89.0,104.0
0,8.0,105.0
0,8.0,110.0
0,108.0,77.0
0,80.0,108.0
0,83.0,24.0
0,75.0,106.0
0,112.0,15.0
0,39.0,35.0
0,67.0,88.0
0,16.0,1.0
0,16.0,111.0
0,56.0,43.0
0,67.0,101.0
0,112.0,91.0
0,29.0,5.0
0,32.0,30.0
0,79.0,47.0
0,97.0,102.0
0,10.0,7.0
0,12.0,61.0
0,83.0,55.0
0,75.0,106.0
0,41.0,77.0
0,29.0,42.0
0,72.0,56.0
0,108.0,80.0
0,98.0,60.0
0,25.0,85.0
0,15.0,33.0
0,39.0,14.0
0,88.0,41.0
0,89.0,104.0
0,65.0,109.0
0,41.0,101.0
0,114.0,110.0
0,71.0,112.0
0,76.0,37.0
0,101.0,67.0
0,15.0,116.0
0,5.0,97.0
0,43.0,117.0
0,24.0,115.0
0,116.0,112.0
0,118.0,76.0
0,9.0,68.0
0,18.0,15.0
0,39.0,35.0
0,84.0,73.0
0,119.0,77.0
0,108.0,22.0
0,40.0,58.0
0,88.0,101.0
0,98.0,102.0
0,105.0,114.0
0,96.0,2.0
0,116.0,18.0
0,25.0,85.0
0,88.0,41.0
0,86.0,72.0
0,83.0,55.0
0,18.0,71.0
0,97.0,90.0
0,63.0,81.0
0,25.0,121.0
0,114.0,110.0
0,120.0,98.0
0,40.0,74.0
0,3.0,120.0
0,65.0,109.0
0,24.0,84.0
0,91.0,33.0
0,122.0,91.0
0,104.0,89.0
0,7.0,118.0
0,15.0,116.0
0,33.0,122.0
0,117.0,124.0
0,89.0,123.0
0,75.0,106.0
0,43.0,117.0
0,116.0,112.0
0,115.0,24.0
0,18.0,91.0
0,39.0,26.0
0,91.0,57.0
0,100.0,106.0
0,30.0,121.0
0,43.0,124.0
0,1.0,111.0
0,26.0,118.0
0,9.0,68.0
0,90.0,97.0
0,62.0,119.0
0,82.0,107.0
0,88.0,99.0
0,120.0,3.0
0,15.0,116.0
0,41.0,67.0
0,2.0,113.0
0,30.0,1.0
0,33.0,122.0
0,32.0,103.0
0,82.0,123.0
0,32.0,53.0
0,55.0,84.0
0,86.0,56.0
0,115.0,55.0
0,64.0,14.0
0,35.0,39.0
0,100.0,75.0
0,123.0,104.0
0,35.0,37.0
0,71.0,19.0
0,113.0,96.0
0,105.0,114.0
0,100.0,106.0
0,97.0,98.0
0,86.0,117.0
0,84.0,83.0
0,14.0,35.0
0,121.0,1.0
0,88.0,101.0
0,116.0,112.0
0,110.0,74.0
0,56.0,72.0
0,66.0,46.0
0,39.0,37.0
0,104.0,107.0
0,99.0,67.0
0,69.0,28.0
0,74.0,105.0
0,97.0,120.0
0,1.0,111.0
0,112.0,91.0
0,33.0,71.0
0,105.0,114.0
0,24.0,115.0
0,7.0,118.0
0,97.0,102.0
0,57.0,19.0
0,65.0,109.0
0,33.0,122.0
0,15.0,116.0
0,107.0,123.0
0,1.0,30.0
0,115.0,100.0
0,105.0,114.0
0,124.0,86.0
0,35.0,39.0
0,117.0,124.0
0,7.0,118.0
0,112.0,19.0
0,43.0,117.0
0,101.0,67.0
0,15.0,112.0
0,82.0,29.0
0,88.0,101.0
0,48.0,47.0
0,57.0,91.0
0,85.0,121.0
0,98.0,102.0
0,5.0,90.0
0,93.0,54.0
0,124.0,56.0
0,108.0,88.0
0,4.0,28.0
0,12.0,34.0
0,35.0,37.0
0,15.0,1.0
0,104.0,123.0
0,33.0,57.0
0,65.0,109.0
0,111.0,85.0
0,24.0,115.0
0,91.0,33.0
0,75.0,106.0
0,89.0,104.0
0,43.0,117.0
0,15.0,116.0
0,65.0,109.0
0,5.0,107.0
0,124.0,72.0
0,61.0,66.0
0,7.0,68.0
0,25.0,111.0
0,85.0,121.0
0,9.0,118.0
0,101.0,88.0
0,46.0,99.0
0,117.0,55.0
0,37.0,39.0
0,9.0,23.0
0,104.0,123.0
0,56.0,86.0
0,116.0,25.0
0,91.0,57.0
0,32.0,71.0
0,105.0,110.0
0,117.0,124.0
0,75.0,106.0
0,116.0,112.0
0,2.0,113.0
0,89.0,104.0
0,35.0,23.0
0,85.0,121.0
0,24.0,115.0
0,88.0,108.0
0,46.0,66.0
0,15.0,112.0
0,111.0,15.0
0,71.0,25.0
0,105.0,114.0
0,1.0,111.0
0,34.0,28.0
0,66.0,61.0
0,86.0,55.0
0,107.0,89.0
0,83.0,106.0
0,56.0,117.0
0,7.0,118.0
0,88.0,101.0
0,51.0,69.0
0,105.0,19.0
0,84.0,24.0
0,65.0,109.0
0,84.0,73.0
0,104.0,123.0
0,32.0,125.0
0,71.0,32.0
0,114.0,110.0
0,26.0,79.0
0,48.0,12.0
0,118.0,68.0
0,15.0,116.0
0,7.0,23.0
0,32.0,125.0
0,57.0,19.0
0,1.0,74.0
0,102.0,98.0
0,72.0,1.0
0,24.0,73.0
0,75.0,106.0
0,55.0,124.0
0,26.0,79.0
0,111.0,15.0
0,46.0,66.0
0,111.0,112.0
0,99.0,46.0
0,111.0,116.0
0,66.0,41.0
0,104.0,89.0
0,105.0,114.0
0,96.0,2.0
0,29.0,93.0
0,65.0,119.0
0,7.0,39.0
0,19.0,32.0
0,98.0,90.0
0,105.0,110.0
0,14.0,37.0
0,85.0,53.0
0,82.0,104.0
0,23.0,118.0
0,124.0,86.0
0,107.0,5.0
0,28.0,48.0
0,109.0,126.0
0,121.0,103.0
0,125.0,122.0
0,89.0,104.0
0,63.0,25.0
0,123.0,5.0
0,127.0,32.0
0,2.0,113.0
0,24.0,115.0
0,109.0,126.0
0,46.0,66.0
0,5.0,89.0
0,118.0,68.0
0,104.0,123.0
0,98.0,102.0
0,10.0,35.0
0,32.0,19.0
0,74.0,63.0
0,114.0,18.0
0,28.0,48.0
0,125.0,71.0
0,7.0,118.0
0,99.0,61.0
0,103.0,57.0
0,110.0,114.0
0,53.0,85.0
0,75.0,106.0
0,15.0,116.0
0,111.0,74.0
0,119.0,65.0
0,117.0,124.0
0,95.0,72.0
0,128.0,82.0
0,83.0,75.0
0,90.0,98.0
0,122.0,127.0
0,24.0,115.0
0,15.0,25.0
0,107.0,123.0
0,2.0,113.0
0,46.0,66.0
0,117.0,86.0
0,4.0,64.0
0,41.0,99.0
0,117.0,124.0
0,5.0,128.0
0,63.0,112.0
0,40.0,105.0
0,104.0,5.0
0,47.0,28.0
0,1.0,111.0
0,7.0,23.0
0,75.0,106.0
0,98.0,102.0
0,129.0,7.0
0,128.0,104.0
0,45.0,120.0
0,65.0,109.0
0,84.0,75.0
0,120.0,79.0
0,76.0,10.0
0,104.0,107.0
0,67.0,41.0
0,101.0,108.0
0,110.0,114.0
0,96.0,14.0
0,122.0,71.0
0,75.0,83.0
0,72.0,95.0
0,103.0,19.0
0,106.0,55.0
0,111.0,72.0
0,35.0,10.0
0,116.0,130.0
0,7.0,118.0
0,64.0,12.0
0,2.0,113.0
0,24.0,115.0
0,89.0,128.0
0,28.0,34.0
0,5.0,123.0
0,46.0,67.0
0,51.0,2.0
0,68.0,129.0
0,132.0,104.0
0,83.0,106.0
0,65.0,109.0
0,112.0,63.0
0,111.0,74.0
0,132.0,107.0
0,99.0,101.0
0,122.0,127.0
0,95.0,1.0
0,28.0,47.0
0,116.0,103.0
0,114.0,110.0
0,73.0,24.0
0,100.0,58.0
0,42.0,54.0
0,10.0,9.0
0,133.0,99.0
0,55.0,75.0
0,65.0,126.0
0,42.0,93.0
0,73.0,75.0
0,108.0,101.0
0,61.0,46.0
0,89.0,128.0
0,24.0,115.0
0,24.0,55.0
0,130.0,116.0
0,25.0,125.0
0,53.0,109.0
0,84.0,117.0
0,2.0,113.0
0,64.0,12.0
0,103.0,19.0
0,125.0,130.0
0,14.0,7.0
0,101.0,88.0
0,104.0,5.0
0,132.0,123.0
0,90.0,98.0
0,123.0,107.0
0,69.0,2.0
0,29.0,54.0
0,124.0,83.0
0,103.0,57.0
0,131.0,76.0
0,66.0,53.0
0,10.0,131.0
0,110.0,114.0
0,129.0,118.0
0,109.0,126.0
0,117.0,47.0
0,2.0,51.0
0,7.0,118.0
0,119.0,4.0
0,128.0,89.0
0,104.0,123.0
0,25.0,125.0
0,123.0,107.0
0,2.0,113.0
0,117.0,83.0
0,108.0,88.0
0,1.0,111.0
0,124.0,117.0
0,134.0,99.0
0,125.0,130.0
0,53.0,126.0
0,9.0,10.0
0,131.0,9.0
0,46.0,108.0
0,68.0,129.0
0,10.0,131.0
0,127.0,103.0
0,57.0,127.0
0,127.0,19.0
0,55.0,84.0
0,98.0,102.0
0,116.0,81.0
0,2.0,69.0
0,7.0,68.0
0,75.0,106.0
0,88.0,101.0
0,122.0,91.0
0,114.0,110.0
0,123.0,132.0
0,107.0,136.0
0,126.0,134.0
0,89.0,104.0
0,61.0,101.0
0,24.0,115.0
0,42.0,54.0
0,81.0,40.0
0,53.0,121.0
0,66.0,53.0
0,65.0,109.0
0,57.0,116.0
0,71.0,127.0
0,93.0,82.0
0,25.0,130.0
0,7.0,118.0
0,76.0,14.0
0,119.0,4.0
0,117.0,124.0
0,132.0,90.0
0,134.0,66.0
0,22.0,2.0
0,10.0,9.0
0,126.0,99.0
0,134.0,67.0
0,136.0,98.0
0,88.0,108.0
0,118.0,137.0
0,54.0,93.0
0,73.0,106.0
0,126.0,134.0
0,88.0,46.0
0,91.0,103.0
0,7.0,39.0
0,136.0,123.0
0,123.0,132.0
0,120.0,45.0
0,113.0,51.0
0,42.0,29.0
0,105.0,110.0
0,110.0,114.0
0,69.0,113.0
0,89.0,104.0
0,83.0,55.0
0,101.0,46.0
0,111.0,124.0
0,130.0,135.0
0,131.0,14.0
0,104.0,128.0
0,108.0,88.0
0,40.0,116.0
0,88.0,101.0
0,68.0,129.0
0,18.0,25.0
0,109.0,126.0
0,53.0,139.0
0,103.0,91.0
0,121.0,99.0
0,125.0,86.0
0,67.0,53.0
0,25.0,130.0
0,75.0,106.0
0,74.0,19.0
0,54.0,82.0
0,69.0,22.0
0,105.0,110.0
0,109.0,134.0
0,4.0,119.0
0,117.0,125.0
0,123.0,132.0
0,113.0,96.0
0,128.0,90.0
0,116.0,57.0
0,2.0,138.0
0,139.0,67.0
0,127.0,71.0
0,25.0,81.0
0,67.0,133.0
0,125.0,86.0
0,118.0,39.0
0,14.0,9.0
0,132.0,136.0
0,83.0,125.0
0,99.0,126.0
0,68.0,129.0
0,53.0,99.0
0,24.0,115.0
0,108.0,88.0
0,82.0,54.0
0,126.0,134.0
0,89.0,128.0
0,136.0,123.0
0,2.0,138.0
0,81.0,135.0
0,137.0,68.0
0,29.0,42.0
0,9.0,35.0
0,127.0,74.0
0,7.0,118.0
0,25.0,81.0
0,7.0,137.0
0,127.0,1.0
0,104.0,89.0
0,75.0,106.0
0,113.0,22.0
0,47.0,64.0
0,105.0,114.0
0,65.0,109.0
0,89.0,128.0
0,89.0,104.0
0,24.0,115.0
0,139.0,121.0
0,135.0,130.0
0,139.0,133.0
0,4.0,64.0
0,19.0,127.0
0,35.0,131.0
0,69.0,51.0
0,99.0,139.0
0,1.0,81.0
0,90.0,89.0
0,1.0,140.0
0,7.0,118.0
0,132.0,136.0
0,105.0,114.0
0,118.0,137.0
0,15.0,116.0
0,1.0,71.0
0,83.0,111.0
0,2.0,138.0
0,120.0,3.0
0,68.0,129.0
0,113.0,22.0
0,126.0,134.0
0,39.0,68.0
0,29.0,42.0
0,99.0,121.0
0,105.0,110.0
0,88.0,108.0
0,25.0,40.0
0,135.0,71.0
0,106.0,75.0
0,118.0,37.0
0,124.0,125.0
0,15.0,112.0
0,139.0,141.0
0,130.0,135.0
0,140.0,74.0
0,137.0,68.0
0,3.0,120.0
0,89.0,104.0
0,118.0,137.0
0,35.0,14.0
0,39.0,96.0
0,126.0,134.0
0,112.0,124.0
0,81.0,25.0
0,117.0,42.0
0,143.0,138.0
0,81.0,130.0
0,104.0,123.0
0,116.0,142.0
0,24.0,115.0
0,68.0,129.0
0,61.0,126.0
0,145.0,106.0
0,113.0,137.0
0,25.0,135.0
0,110.0,105.0
0,55.0,100.0
0,102.0,107.0
0,116.0,95.0
0,131.0,10.0
0,89.0,128.0
0,37.0,144.0
0,133.0,53.0
0,24.0,115.0
0,109.0,65.0
0,123.0,132.0
0,53.0,99.0
0,12.0,119.0
0,123.0,136.0
0,129.0,96.0
0,129.0,39.0
0,25.0,130.0
0,22.0,113.0
0,141.0,139.0
0,10.0,35.0
0,124.0,111.0
0,75.0,145.0
0,126.0,134.0
0,138.0,143.0
0,131.0,35.0
0,18.0,81.0
0,25.0,135.0
0,58.0,29.0
0,68.0,129.0
0,48.0,46.0
0,64.0,83.0
0,112.0,142.0
0,65.0,109.0
0,75.0,106.0
0,139.0,53.0
0,142.0,95.0
0,40.0,140.0
0,68.0,137.0
0,144.0,96.0
0,58.0,117.0
0,139.0,141.0
0,29.0,42.0
0,116.0,124.0
0,108.0,101.0
0,15.0,116.0
0,98.0,123.0
0,104.0,89.0
0,2.0,113.0
0,19.0,127.0
0,138.0,143.0
0,25.0,130.0
0,68.0,144.0
0,10.0,131.0
0,123.0,132.0
0,45.0,90.0
0,35.0,10.0
0,106.0,145.0
0,53.0,139.0
0,141.0,53.0
0,144.0,39.0
0,118.0,68.0
0,81.0,18.0
0,25.0,135.0
0,140.0,1.0
0,89.0,104.0
0,2.0,37.0
0,24.0,115.0
0,106.0,75.0
0,37.0,113.0
0,109.0,126.0
0,40.0,140.0
0,88.0,101.0
0,45.0,24.0
0,124.0,147.0
0,89.0,128.0
0,2.0,138.0
0,68.0,137.0
0,117.0,146.0
0,112.0,95.0
0,105.0,114.0
0,123.0,132.0
0,116.0,142.0
0,137.0,129.0
0,125.0,81.0
0,29.0,15.0
0,10.0,131.0
0,39.0,96.0
0,135.0,40.0
0,139.0,141.0
0,18.0,111.0
0,129.0,96.0
0,75.0,45.0
0,84.0,73.0
0,133.0,141.0
0,75.0,145.0
0,143.0,22.0
0,103.0,57.0
0,119.0,12.0
0,128.0,123.0
0,81.0,140.0
0,75.0,106.0
0,101.0,88.0
0,22.0,138.0
0,106.0,115.0
0,1.0,19.0
0,123.0,89.0
0,25.0,130.0
0,93.0,117.0
0,10.0,131.0
0,127.0,125.0
0,1.0,40.0
0,118.0,137.0
0,104.0,136.0
0,125.0,135.0
0,144.0,129.0
0,116.0,124.0
0,2.0,113.0
0,116.0,147.0
0,123.0,132.0
0,24.0,115.0
0,142.0,112.0
0,89.0,104.0
0,90.0,106.0
0,140.0,135.0
0,118.0,137.0
0,136.0,128.0
0,119.0,113.0
0,106.0,75.0
0,73.0,86.0
0,108.0,101.0
0,81.0,64.0
0,136.0,132.0
0,123.0,136.0
0,15.0,100.0
0,40.0,111.0
0,135.0,40.0
0,146.0,124.0
0,124.0,147.0
0,53.0,65.0
0,124.0,148.0
0,46.0,88.0
0,25.0,130.0
0,68.0,129.0
0,125.0,25.0
0,10.0,131.0
0,18.0,1.0
0,98.0,102.0
0,81.0,140.0
0,129.0,144.0
0,73.0,84.0
0,99.0,141.0
0,115.0,90.0
0,61.0,126.0
0,93.0,146.0
0,35.0,76.0
0,122.0,32.0
0,89.0,104.0
0,2.0,113.0
0,135.0,81.0
0,86.0,84.0
0,103.0,18.0
0,84.0,83.0
0,10.0,35.0
0,137.0,9.0
0,76.0,131.0
0,130.0,125.0
0,124.0,147.0
0,26.0,120.0
0,81.0,140.0
0,104.0,128.0
0,1.0,19.0
0,109.0,48.0
0,117.0,146.0
0,91.0,32.0
0,116.0,142.0
0,132.0,123.0
0,129.0,137.0
0,123.0,136.0
0,147.0,148.0
0,149.0,74.0
0,137.0,144.0
0,134.0,77.0
0,25.0,121.0
0,108.0,101.0
0,25.0,130.0
0,24.0,115.0
0,24.0,90.0
0,39.0,22.0
0,98.0,102.0
0,139.0,141.0
0,2.0,138.0
0,126.0,109.0
0,65.0,53.0
0,127.0,111.0
0,130.0,149.0
0,123.0,104.0
0,37.0,131.0
0,75.0,145.0
0,142.0,116.0
0,86.0,84.0
0,118.0,68.0
0,1.0,111.0
0,74.0,149.0
0,25.0,130.0
0,130.0,121.0
0,61.0,134.0
0,109.0,61.0
0,89.0,128.0
0,117.0,146.0
0,102.0,98.0
0,53.0,48.0
0,145.0,106.0
0,105.0,148.0
0,150.0,136.0
0,86.0,73.0
0,118.0,137.0
0,2.0,138.0
0,146.0,124.0
0,35.0,76.0
0,58.0,47.0
0,146.0,147.0
0,110.0,95.0
0,24.0,115.0
0,101.0,108.0
0,109.0,126.0
0,137.0,129.0
0,39.0,22.0
0,10.0,96.0
0,139.0,141.0
0,138.0,143.0
0,25.0,149.0
0,40.0,81.0
0,89.0,128.0
0,65.0,48.0
0,98.0,123.0
0,10.0,131.0
0,25.0,152.0
0,22.0,2.0
0,151.0,1.0
0,112.0,116.0
0,130.0,135.0
0,118.0,137.0
0,68.0,144.0
0,46.0,101.0
0,121.0,25.0
0,118.0,9.0
0,64.0,112.0
0,89.0,104.0
0,123.0,132.0
0,139.0,141.0
0,146.0,147.0
0,116.0,142.0
0,22.0,138.0
0,77.0,99.0
0,126.0,134.0
0,121.0,130.0
0,86.0,58.0
0,142.0,100.0
0,109.0,126.0
0,46.0,108.0
0,111.0,151.0
0,146.0,148.0
0,75.0,145.0
0,41.0,65.0
0,24.0,115.0
0,129.0,68.0
0,154.0,74.0
0,32.0,91.0
0,84.0,73.0
0,68.0,144.0
0,113.0,137.0
0,105.0,114.0
0,77.0,109.0
0,81.0,140.0
0,10.0,76.0
0,117.0,146.0
0,121.0,135.0
0,39.0,138.0
0,65.0,101.0
0,133.0,141.0
0,141.0,156.0
0,25.0,149.0
0,25.0,130.0
0,109.0,126.0
0,89.0,104.0
0,138.0,153.0
0,73.0,58.0
0,40.0,81.0
0,24.0,3.0
0,22.0,143.0
0,137.0,10.0
0,3.0,115.0
0,135.0,152.0
0,123.0,132.0
0,76.0,131.0
0,75.0,145.0
0,100.0,116.0
0,12.0,68.0
0,132.0,155.0
0,1.0,111.0
0,10.0,9.0
0,1.0,151.0
