,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,90,9hegv1,False,False,False,0,Naive,Naive,Naive,360,Unknown,Unknown,2
1,54,9hegv1,False,False,False,0,Naive,Naive,Naive,129,Unknown,Unknown,2
2,14,9hegv1,False,False,False,0,Naive,Naive,Naive,248,Unknown,Unknown,1
3,75,9hegv1,False,False,False,0,Naive,Naive,Naive,267,Unknown,Unknown,1
4,68,9hegv1,False,False,False,0,Naive,Naive,Naive,50,Unknown,Unknown,1
5,96,9hegv1,False,False,False,0,Naive,Naive,Naive,421,Unknown,Unknown,2
6,82,9hegv1,False,False,False,0,Naive,Naive,Naive,329,Unknown,Unknown,1
7,77,9hegv1,False,False,False,0,Naive,Naive,Naive,505,Unknown,Unknown,2
8,79,9hegv1,False,False,False,0,Naive,Naive,Naive,458,Unknown,Unknown,1
9,47,9hegv1,False,False,False,0,Naive,Naive,Naive,128,Unknown,Unknown,1
10,1,9hegv1,False,False,False,0,Naive,Naive,Naive,295,Unknown,Unknown,2
11,93,9hegv1,False,False,False,0,Naive,Naive,Naive,164,Unknown,Unknown,2
12,97,9hegv1,False,False,False,0,Naive,Naive,Naive,295,Unknown,Unknown,1
13,51,9hegv1,False,False,False,0,Naive,Naive,Naive,170,Unknown,Unknown,2
14,52,9hegv1,False,False,False,0,Naive,Naive,Naive,260,Unknown,Unknown,1
15,45,9hegv1,False,False,False,0,Naive,Naive,Naive,496,Unknown,Unknown,1
16,67,9hegv1,False,False,False,0,Naive,Naive,Naive,257,Unknown,Unknown,1
17,46,9hegv1,False,False,False,0,Naive,Naive,Naive,288,Unknown,Unknown,2
18,21,9hegv1,False,False,False,0,Naive,Naive,Naive,484,Unknown,Unknown,1
19,60,9hegv1,False,False,False,0,Naive,Naive,Naive,432,Unknown,Unknown,1
20,49,9hegv1,False,False,False,0,Naive,Naive,Naive,294,Unknown,Unknown,1
21,23,9hegv1,False,False,False,0,Naive,Naive,Naive,449,Unknown,Unknown,2
22,80,9hegv1,False,False,False,0,Naive,Naive,Naive,498,Unknown,Unknown,1
23,91,9hegv1,False,False,False,0,Naive,Naive,Naive,327,Unknown,Unknown,2
24,15,9hegv1,False,False,False,0,Naive,Naive,Naive,489,Unknown,Unknown,2
25,6,9hegv1,False,False,False,0,Naive,Naive,Naive,487,Unknown,Unknown,2
26,26,9hegv1,False,False,False,0,Naive,Naive,Naive,428,Unknown,Unknown,1
27,42,9hegv1,False,False,False,0,Naive,Naive,Naive,467,Unknown,Unknown,2
28,20,9hegv1,False,False,False,0,Naive,Naive,Naive,277,Unknown,Unknown,1
29,17,9hegv1,False,False,False,0,Naive,Naive,Naive,468,Unknown,Unknown,2
30,55,9hegv1,False,False,False,0,Naive,Naive,Naive,333,Unknown,Unknown,2
31,28,9hegv1,False,False,False,0,Naive,Naive,Naive,111,Unknown,Unknown,2
32,24,9hegv1,False,False,False,0,Naive,Naive,Naive,482,Unknown,Unknown,1
33,22,9hegv1,False,False,False,0,Naive,Naive,Naive,388,Unknown,Unknown,1
34,31,9hegv1,False,False,False,0,Naive,Naive,Naive,425,Unknown,Unknown,1
35,43,9hegv1,False,False,False,0,Naive,Naive,Naive,229,Unknown,Unknown,1
36,64,9hegv1,False,False,False,0,Naive,Naive,Naive,327,Unknown,Unknown,1
37,69,9hegv1,False,False,False,0,Naive,Naive,Naive,320,Unknown,Unknown,1
38,66,9hegv1,False,False,False,0,Naive,Naive,Naive,436,Unknown,Unknown,2
39,85,9hegv1,False,False,False,0,Naive,Naive,Naive,76,Unknown,Unknown,1
40,94,9hegv1,False,False,False,0,Naive,Naive,Naive,444,Unknown,Unknown,1
41,27,9hegv1,False,False,False,0,Naive,Naive,Naive,333,Unknown,Unknown,1
42,11,9hegv1,False,False,False,0,Naive,Naive,Naive,467,Unknown,Unknown,2
43,18,9hegv1,False,False,False,0,Naive,Naive,Naive,190,Unknown,Unknown,1
44,9,9hegv1,False,False,False,1,Naive,Naive,Naive,374,Unknown,Unknown,1
45,62,9hegv1,False,False,False,0,Naive,Naive,Naive,235,Unknown,Unknown,2
46,70,9hegv1,False,False,False,0,Naive,Naive,Naive,463,Unknown,Unknown,2
47,36,9hegv1,False,False,False,0,Naive,Naive,Naive,406,Unknown,Unknown,2
48,108,9hegv1,False,False,False,0,Naive,Naive,Naive,28,42,False,2
49,59,9hegv1,False,False,False,0,Naive,Naive,Naive,451,Unknown,Unknown,2
50,109,9hegv1,False,False,False,0,Naive,Naive,Naive,29,102,False,2
51,32,9hegv1,False,False,False,0,Naive,Naive,Naive,489,Unknown,Unknown,1
52,34,9hegv1,False,False,False,2,Naive,Naive,Naive,419,Unknown,Unknown,2
53,98,9hegv1,False,False,False,0,Naive,Naive,Naive,391,Unknown,Unknown,2
54,74,9hegv1,False,False,False,0,Naive,Naive,Naive,473,Unknown,Unknown,1
55,2,9hegv1,False,False,False,0,Naive,Naive,Naive,161,Unknown,Unknown,1
56,73,9hegv1,False,False,False,0,Naive,Naive,Naive,326,Unknown,Unknown,2
57,4,9hegv1,False,False,False,0,Naive,Naive,Naive,433,Unknown,Unknown,2
58,10,9hegv1,False,False,False,0,Naive,Naive,Naive,233,Unknown,Unknown,2
